"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","38207","36088","673","0","0","35898","73384","22581","275","8","14618","5024","46391","56652","7823","110866"
"ALEXANDER","4692","11798","128","0","0","8060","21798","952","32","2","1894","395","11251","12046","1381","24678"
"ALLEGHANY","1979","3035","35","0","0","2519","6795","69","7","0","697","190","3398","3643","527","7568"
"ANSON","9096","2916","43","0","0","3708","6629","6357","28","0","2749","95","5980","7265","2518","15763"
"ASHE","4216","8903","102","0","0","6394","18152","116","24","1","1322","269","8869","9827","919","19615"
"AVERY","1350","7085","54","0","0","3771","11182","51","20","0","1007","85","5495","6031","734","12260"
"BEAUFORT","10790","11979","127","0","0","9586","22796","7030","37","2","2617","479","13898","16536","2048","32482"
"BERTIE","8135","1655","38","0","0","2885","4590","7358","19","1","745","42","5402","6686","625","12713"
"BLADEN","9729","5046","74","0","0","6894","12362","7457","383","2","1539","466","9601","11371","771","21743"
"BRUNSWICK","27072","47948","641","0","0","44151","99384","8704","369","5","11350","1595","51283","59132","9397","119812"
"BUNCOMBE","75403","45763","1696","0","0","80825","169569","10365","356","37","23360","4503","87308","102229","14150","203687"
"BURKE","14367","22901","350","0","0","20346","48962","3123","94","0","5785","1134","25812","28633","3519","57964"
"CABARRUS","43921","51146","1194","0","0","53737","97040","29370","386","8","23194","6129","63359","74348","12291","149998"
"CALDWELL","10499","26179","374","0","0","16743","46654","2649","74","0","4418","1001","24174","26553","3068","53795"
"CAMDEN","1484","2861","64","0","0","3367","6343","898","8","1","526","39","3546","3853","377","7776"
"CARTERET","9748","24150","311","0","0","18399","45881","2172","90","10","4455","576","22995","26008","3605","52608"
"CASWELL","6524","3995","49","0","0","4648","9350","4704","22","1","1139","192","6698","7661","857","15216"
"CATAWBA","21618","47054","616","0","0","38484","85291","8747","141","3","13590","3954","47459","53343","6970","107772"
"CHATHAM","21092","13972","316","0","0","22770","43593","5983","125","1","8448","1965","24439","28438","5273","58150"
"CHEROKEE","3857","11039","133","0","0","7328","20824","240","125","0","1168","196","10526","11444","387","22357"
"CHOWAN","3821","2841","35","0","0","3083","6336","2776","12","3","653","70","4241","5235","304","9780"
"CLAY","1555","4412","61","0","0","3308","8784","42","17","0","493","78","4290","4680","366","9336"
"CLEVELAND","21399","25125","381","0","0","19579","46907","13305","94","2","6176","808","28497","33408","4579","66484"
"COLUMBUS","15394","9938","104","0","0","10463","21882","10280","933","0","2804","376","15470","18357","2072","35899"
"CRAVEN","20106","26118","522","0","0","23176","48982","13729","162","8","7041","1712","30139","36064","3719","69922"
"CUMBERLAND","87502","47636","1655","0","0","66804","83221","81130","2229","54","36963","11785","80921","102151","20525","203597"
"CURRITUCK","3372","9088","206","0","0","9039","18961","1086","45","2","1611","188","10033","10608","1064","21705"
"DARE","7573","10433","223","0","0","12276","27526","509","36","1","2433","266","13672","15101","1732","30505"
"DAVIDSON","22356","54439","629","0","0","35063","90529","10180","249","5","11524","2447","49148","55758","7581","112487"
"DAVIE","4954","16148","165","0","0","10145","26690","1897","38","1","2786","660","14129","15591","1692","31412"
"DUPLIN","11832","9387","117","0","0","9249","18236","8186","60","1","4102","1849","13022","15328","2235","30585"
"DURHAM","125497","24459","1279","0","0","79959","111279","75005","581","24","44305","10039","92259","116739","22196","231194"
"EDGECOMBE","21514","6449","98","0","0","5885","12086","19476","66","1","2317","489","13926","18489","1531","33946"
"FORSYTH","103274","73038","1646","0","0","87638","160148","68461","525","22","36440","11878","109907","134610","21079","265596"
"FRANKLIN","16846","15266","346","0","0","15794","31020","11457","145","3","5627","1402","20587","23502","4163","48252"
"GASTON","41553","59405","1118","0","0","49525","106572","25899","344","3","18783","4733","64504","75970","11127","151601"
"GATES","3658","1995","30","0","0","2422","4994","2497","15","0","599","48","3524","4063","518","8105"
"GRAHAM","1285","2936","30","0","0","1771","5486","8","262","1","265","25","2829","3013","180","6022"
"GRANVILLE","16617","10635","179","0","0","11953","23441","11642","83","3","4215","988","16488","19240","3656","39384"
"GREENE","5071","2368","23","0","0","3125","5814","3732","12","0","1029","417","4574","5522","491","10587"
"GUILFORD","159770","89844","2173","0","0","118022","193426","123635","981","11","51756","12009","155574","194426","19809","369809"
"HALIFAX","21613","4957","104","0","0","9618","13936","18684","1081","0","2591","257","15411","19063","1818","36292"
"HARNETT","24342","29149","731","0","0","26175","50391","16619","476","15","12896","4234","33590","39870","6937","80397"
"HAYWOOD","13352","15668","337","0","0","16026","41980","462","115","1","2825","492","20416","23397","1570","45383"
"HENDERSON","17549","31779","601","0","0","36539","75610","2364","146","3","8345","2277","37291","44359","4818","86468"
"HERTFORD","9542","1549","38","0","0","3152","4597","8735","96","3","850","96","6001","7747","533","14281"
"HOKE","14069","7194","298","0","0","10912","12952","12314","2007","13","5187","2215","14202","17195","1076","32473"
"HYDE","1399","597","19","0","0","1011","2258","569","1","0","198","44","1350","1524","152","3026"
"IREDELL","28210","54641","844","0","0","47867","103038","14139","216","2","14167","3866","58193","64779","8590","131562"
"JACKSON","9030","8194","220","0","0","11436","23832","618","1482","3","2945","636","12654","14210","2016","28880"
"JOHNSTON","40002","55401","1152","0","0","49412","100230","23684","417","13","21623","7014","64292","73939","7736","145967"
"JONES","2682","2121","38","0","0","2026","4267","2069","13","0","518","75","2973","3497","397","6867"
"LEE","13105","11613","240","0","0","13161","24860","7206","151","7","5895","2943","16154","19310","2655","38119"
"LENOIR","16874","9957","136","0","0","8964","18307","14290","61","0","3273","655","14834","18642","2455","35931"
"LINCOLN","12229","30235","424","0","0","21506","54706","3386","88","0","6214","1787","28869","31410","4115","64394"
"MACON","5505","11977","165","0","0","9591","25060","175","60","2","1941","411","12569","14268","401","27238"
"MADISON","5440","4651","122","0","0","6450","15160","141","29","0","1333","165","7508","7972","1183","16663"
"MARTIN","8335","3522","42","0","0","4082","8567","6525","26","0","863","149","6878","8548","555","15981"
"MCDOWELL","6252","12527","164","0","0","10311","26685","796","36","1","1736","486","13365","14798","1091","29254"
"MECKLENBURG","332967","162268","5954","0","0","280408","405664","242451","2122","40","131320","40153","331387","396498","53712","781597"
"MITCHELL","1110","6529","45","0","0","3374","9975","39","12","0","1032","112","4943","5412","703","11058"
"MONTGOMERY","5864","6108","86","0","0","4954","11910","3175","46","0","1881","691","7595","8501","916","17012"
"MOORE","15816","30356","585","0","0","26559","58808","7679","345","5","6479","1534","32283","38040","2993","73316"
"NASH","30038","19296","303","0","0","16839","34103","26036","343","4","5990","1503","28345","34699","3432","66476"
"NEW HANOVER","51262","53593","1486","0","0","68728","134966","19548","379","11","20165","3492","73285","85972","15812","175069"
"NORTHAMPTON","8414","1560","41","0","0","3144","5180","7280","32","0","667","52","5724","6806","629","13159"
"ONSLOW","23733","42576","1533","0","0","42208","75442","17309","396","20","16883","5710","46581","54936","8533","110050"
"ORANGE","50462","13841","610","0","0","42111","75129","11548","255","2","20090","3824","44594","52702","9728","107024"
"PAMLICO","2898","3673","49","0","0","2756","7289","1388","25","0","674","78","4172","4732","472","9376"
