"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","39553","30337","157","0","0","19777","68076","17957","183","0","1304","1127","39782","49464","0","89824"
"ALEXANDER","7690","10350","35","0","0","5413","22046","1039","23","0","166","137","11242","12120","0","23488"
"ALLEGHANY","3368","2279","14","0","0","1570","7008","78","8","0","41","90","3381","3812","0","7231"
"ANSON","12360","2340","7","0","0","2033","8340","8019","39","0","72","24","7368","8993","0","16740"
"ASHE","6641","7943","28","0","0","4125","18394","98","14","0","87","97","8821","9878","0","18737"
"AVERY","1578","7216","17","0","0","2801","11330","63","21","0","53","55","5428","6110","0","11612"
"BEAUFORT","15987","9761","37","0","0","6340","23126","8351","33","0","250","156","14292","17553","0","32125"
"BERTIE","11108","1408","8","0","0","1640","5273","8471","17","0","36","21","6042","7927","0","14164"
"BLADEN","15092","2752","12","0","0","4067","13019","8118","254","0","147","144","9877","11942","0","21923"
"BRUNSWICK","27005","28674","127","0","0","21842","67638","8067","217","0","614","522","35945","41057","0","77648"
"BUNCOMBE","75532","47266","448","0","0","51863","157058","10254","322","0","3170","1417","79246","93734","0","175109"
"BURKE","22132","19904","122","0","0","14693","51688","3418","72","0","698","338","26489","30166","0","56851"
"CABARRUS","37836","43531","261","0","0","27782","87718","16444","247","0","1705","1846","49575","58709","0","109410"
"CALDWELL","17552","23560","107","0","0","11414","48729","2745","47","0","444","346","24657","27736","0","52633"
"CAMDEN","3074","1937","14","0","0","2187","5911","1119","13","0","58","23","3414","3723","0","7212"
"CARTERET","15094","19524","86","0","0","13070","43902","2598","86","0","368","227","22133","25035","0","47774"
"CASWELL","9204","3204","14","0","0","2880","9475","5546","15","0","95","50","6849","8359","0","15302"
"CATAWBA","30160","43769","144","0","0","25442","86926","8534","106","0","1445","1128","45819","53239","0","99515"
"CHATHAM","20168","11297","74","0","0","11733","35082","6157","74","0","563","544","19444","22995","0","43272"
"CHEROKEE","7161","8726","33","0","0","5253","20576","203","117","0","82","83","9895","11226","0","21173"
"CHOWAN","5824","2456","9","0","0","2254","7031","3303","11","0","52","27","4707","5767","0","10543"
"CLAY","2768","3360","19","0","0","2711","8662","32","14","0","31","30","4162","4641","0","8858"
"CLEVELAND","29502","18388","64","0","0","12296","46292","12616","77","0","343","328","27008","32986","0","60250"
"COLUMBUS","24224","5806","27","0","0","6214","23515","11251","968","0","187","115","16303","19878","0","36271"
"CRAVEN","27696","22853","108","0","0","16954","49451","15359","116","0","1193","907","30377","36599","0","67611"
"CUMBERLAND","100157","47754","351","0","0","45972","96162","78418","1988","0","9812","7454","85503","105839","0","194234"
