"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","39284","30526","162","0","0","20221","68312","18041","181","0","3659","1168","39895","49717","581","90193"
"ALEXANDER","7604","10412","37","0","0","5525","22116","1044","25","0","393","147","11264","12191","123","23578"
"ALLEGHANY","3334","2303","14","0","0","1574","6996","78","9","0","142","97","3382","3805","38","7225"
"ANSON","12515","2383","7","0","0","2124","8434","8165","38","0","392","26","7476","9112","441","17029"
"ASHE","6628","7971","30","0","0","4235","18514","101","13","0","236","101","8884","9940","40","18864"
"AVERY","1570","7191","21","0","0","2854","11353","64","21","0","198","53","5443","6119","74","11636"
"BEAUFORT","15457","9741","42","0","0","6409","22800","8198","32","0","619","159","14046","17323","280","31649"
"BERTIE","11089","1436","9","0","0","1695","5281","8527","17","0","404","21","6080","7950","199","14229"
"BLADEN","14972","2774","15","0","0","4175","13046","8096","259","0","535","150","9893","11939","104","21936"
"BRUNSWICK","27113","29119","141","0","0","22558","68761","8177","218","0","1775","544","36544","41742","645","78931"
"BUNCOMBE","75769","47682","515","0","0","53528","158944","10415","326","0","7809","1487","80350","94907","2237","177494"
"BURKE","21998","19993","130","0","0","15109","51956","3430","75","0","1769","364","26701","30326","203","57230"
"CABARRUS","38034","44205","309","0","0","28807","89008","16893","254","0","5200","1935","50462","59751","1142","111355"
"CALDWELL","17432","23688","119","0","0","11738","49042","2746","47","0","1142","374","24776","27957","244","52977"
"CAMDEN","3066","1981","15","0","0","2233","5975","1132","13","0","175","23","3459","3761","75","7295"
"CARTERET","14993","19914","100","0","0","13622","44686","2619","87","0","1237","243","22508","25503","618","48629"
"CASWELL","9131","3231","13","0","0","2983","9518","5549","15","0","276","56","6886","8376","96","15358"
"CATAWBA","30132","44031","155","0","0","26144","87572","8691","109","0","4090","1209","46225","53774","463","100462"
"CHATHAM","20178","11483","79","0","0","12097","35564","6161","80","0","2032","602","19670","23329","838","43837"
"CHEROKEE","7205","8853","39","0","0","5431","20915","213","119","0","281","88","10074","11403","51","21528"
"CHOWAN","5758","2463","7","0","0","2288","7013","3286","12","0","205","31","4708","5742","66","10516"
"CLAY","2750","3419","22","0","0","2769","8750","34","14","0","162","32","4224","4671","65","8960"
"CLEVELAND","29171","18573","73","0","0","12699","46440","12705","83","0","1288","339","27101","33156","259","60516"
"COLUMBUS","23944","5953","31","0","0","6479","23569","11301","969","0","568","121","16359","19962","86","36407"
"CRAVEN","27616","23153","125","0","0","17510","50043","15503","120","0","2738","945","30754","37020","630","68404"
"CUMBERLAND","101089","48448","407","0","0","48015","97426","80154","2018","0","18361","7794","87005","107893","3061","197959"
"CURRITUCK","5227","5610","48","0","0","6251","15661","976","50","0","449","96","8110","8884","142","17136"
