"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","39723","31199","288","0","0","22790","68834","19072","237","0","5857","1669","41186","50935","1879","94000"
"ALEXANDER","7279","10600","49","0","0","6169","22518","1043","30","0","506","195","11530","12421","146","24097"
"ALLEGHANY","3069","2318","21","0","0","1705","6852","81","11","0","169","120","3345","3724","44","7113"
"ANSON","12444","2402","13","0","0","2286","7784","7694","39","0","1628","43","7041","8453","1651","17145"
"ASHE","6139","7779","42","0","0","4486","18073","94","16","0","263","123","8698","9696","52","18446"
"AVERY","1604","7268","29","0","0","3109","11615","101","29","0","265","64","5597","6327","86","12010"
"BEAUFORT","15057","10130","82","0","0","7029","22970","8477","37","0","814","226","14455","17444","399","32298"
"BERTIE","10950","1419","14","0","0","2007","5104","8683","18","0","585","28","6169","7837","384","14390"
"BLADEN","14788","2962","26","0","0","4618","13077","8401","287","0","629","220","10179","12092","123","22394"
"BRUNSWICK","26988","30506","250","0","0","25667","72146","8630","244","0","2391","685","38516","44069","826","83411"
"BUNCOMBE","75512","47358","869","0","0","59752","162497","10983","376","0","9635","1965","82949","97703","2839","183491"
"BURKE","20943","20012","203","0","0","16232","51755","3492","77","0","2066","459","26738","30426","226","57390"
"CABARRUS","39778","46134","486","0","0","32952","92678","19335","310","0","7027","2654","54047","63742","1561","119350"
"CALDWELL","16289","23583","254","0","0","12719","48654","2840","52","0","1299","501","24880","27703","262","52845"
"CAMDEN","2881","2019","26","0","0","2365","5963","1108","12","0","208","29","3457","3757","77","7291"
"CARTERET","14140","20695","196","0","0","15139","45700","2730","99","0","1641","316","23212","26163","795","50170"
"CASWELL","8815","3398","21","0","0","3200","9539","5493","21","0","381","70","6948","8340","146","15434"
"CATAWBA","29495","43782","274","0","0","28052","87040","9396","127","0","5040","1645","46692","54301","610","101603"
"CHATHAM","20278","11934","161","0","0","13764","36990","6239","95","0","2813","820","20521","24275","1341","46137"
"CHEROKEE","6686","8826","67","0","0","5885","20787","223","123","0","331","108","10040","11360","64","21464"
"CHOWAN","5509","2514","14","0","0","2472","6928","3331","10","0","240","37","4690","5744","75","10509"
"CLAY","2502","3352","29","0","0","2841","8518","38","17","0","151","39","4120","4584","20","8724"
"CLEVELAND","28658","19032","138","0","0","13869","46448","13605","86","0","1558","439","27737","33612","348","61697"
"COLUMBUS","23565","6191","48","0","0","7189","23543","11719","984","0","747","165","16624","20238","131","36993"
"CRAVEN","26969","23277","243","0","0","18968","49831","16082","138","0","3406","1110","30993","37526","938","69457"
"CUMBERLAND","101718","47682","706","0","0","50746","94699","82877","2090","0","21186","8913","88009","108322","4521","200852"
"CURRITUCK","4706","5767","88","0","0","6664","15724","957","50","0","494","113","8172","8916","137","17225"
"DARE","9659","8131","150","0","0","9462","26050","553","38","0","761","165","13012","14259","131","27402"
"DAVIDSON","30019","47570","334","0","0","25375","90613","9725","252","0","2708","1034","47886","55038","374","103298"
"DAVIE","6119","14645","68","0","0","7090","25197","1922","33","0","770","294","12933","14910","79","27922"
"DUPLIN","15211","7448","67","0","0","6510","18602","9179","41","0","1414","864","12837","15744","655","29236"
"DURHAM","118114","27890","685","0","0","54270","101924","77966","523","0","20546","4899","85878","110062","5019","200959"
"EDGECOMBE","28966","6055","50","0","0","3889","14437","23727","53","0","743","219","16944","21743","273","38960"
"FORSYTH","105784","75979","812","0","0","57732","159958","66844","447","0","13058","5245","105891","131524","2892","240307"
"FRANKLIN","18876","12046","143","0","0","8766","27080","11048","113","0","1590","551","18360","20863","608","39831"
"GASTON","47032","50799","418","0","0","34438","105268","21256","314","0","5849","2019","58923","71642","2122","132687"
"GATES","4919","1537","16","0","0","1767","5032","2899","9","0","299","24","3662","4297","280","8239"
"GRAHAM","2317","2807","13","0","0","1436","6144","3","302","0","124","42","3142","3377","54","6573"
"GRANVILLE","19815","8769","104","0","0","7718","22626","12210","93","0","1477","439","16161","19158","1087","36406"
"GREENE","7174","1932","19","0","0","2094","6571","4307","12","0","329","206","5142","6064","13","11219"
"GUILFORD","169370","95462","1279","0","0","82911","206951","120188","992","0","20891","5592","154642","192937","1443","349022"
"HALIFAX","26538","4886","71","0","0","6031","14915","20289","1103","0","1219","190","16252","20890","384","37526"
"HARNETT","28369","23355","348","0","0","16578","48054","15875","462","0","4259","1975","30764","37354","532","68650"
"HAYWOOD","18577","12139","118","0","0","11061","40710","420","102","0","663","244","19296","22369","230","41895"
"HENDERSON","18316","30543","279","0","0","28045","71894","2240","141","0","2908","1183","35161","41430","592","77183"
"HERTFORD","11572","1469","15","0","0","2001","5146","9425","106","0","380","55","6452","8526","79","15057"
"HOKE","15238","6282","96","0","0","8252","13734","11601","2186","0","2347","1372","13365","16454","49","29868"
"HYDE","2271","504","4","0","0","677","2511","873","4","0","68","13","1594","1830","32","3456"
"IREDELL","32827","44999","362","0","0","31308","91199","13313","213","0","4771","1759","51137","57463","896","109496"
"JACKSON","10699","6631","93","0","0","8813","22376","480","1558","0","1822","232","11589","13391","1256","26236"
"JOHNSTON","38421","41404","402","0","0","28512","85060","17587","317","0","5775","2249","49585","57838","1316","108739"
"JONES","4173","1660","18","0","0","1589","4681","2574","16","0","169","50","3428","3964","48","7440"
"LEE","16000","9937","99","0","0","8295","24631","7560","118","0","2022","1357","15581","18561","189","34331"
"LENOIR","23010","9476","60","0","0","6384","21370","16604","59","0","897","309","17148","21624","158","38930"
"LINCOLN","15508","21934","117","0","0","14242","46994","3058","81","0","1668","798","24333","27034","434","51801"
"MACON","7637","9809","62","0","0","7355","24061","163","47","0","592","153","11418","13246","199","24863"
"MADISON","7121","4456","61","0","0","4469","15482","123","23","0","479","56","7664","8088","355","16107"
"MARTIN","11376","3160","38","0","0","2946","9436","7748","37","0","299","79","7846","9581","93","17520"
"MCDOWELL","9756","10106","80","0","0","8275","26862","850","24","0","481","200","13226","14991","0","28217"
"MECKLENBURG","302078","171485","2484","0","0","182370","384161","213997","1862","0","58397","19285","292144","355553","10720","658417"
"MITCHELL","1280","7312","17","0","0","3014","11417","25","15","0","166","64","5429","6145","49","11623"
"MONTGOMERY","7992","4637","25","0","0","3429","11801","3583","45","0","654","245","7374","8623","86","16083"
"MOORE","17899","26102","261","0","0","18745","52628","8241","310","0","1828","634","28779","34200","28","63007"
"NASH","35715","19181","120","0","0","11548","38439","25700","287","0","2138","682","30123","36151","290","66564"
"NEW HANOVER","53825","50912","944","0","0","48999","125305","21451","336","0","7588","1893","69444","82094","3142","154680"
"NORTHAMPTON","11773","1380","11","0","0","2109","5963","8963","25","0","322","25","6640","8317","316","15273"
"ONSLOW","30740","33129","472","0","0","30256","68392","17748","315","0","8142","3664","41990","51218","1389","94597"
"ORANGE","52433","17593","559","0","0","35145","81606","12909","290","0","10925","2496","47079","56794","1857","105730"
"PAMLICO","4355","2770","21","0","0","2207","7247","1825","31","0","250","48","4337","4904","112","9353"
"PASQUOTANK","14577","5590","110","0","0","8001","15809","11092","50","0","1327","175","12539","15139","600","28278"
"PENDER","13730","13068","160","0","0","9613","28711","6603","64","0","1193","374","17043","19195","333","36571"
"PERQUIMANS","4595","2408","27","0","0","2792","7262","2397","14","0","149","39","4546","5263","13","9822"
"PERSON","13213","6022","63","0","0","6385","17780","7121","120","0","662","203","11646","13863","174","25683"
"PITT","57271","30010","448","0","0","27143","69649","39543","240","0","5440","1436","50637","63205","1030","114872"
"POLK","4779","5357","57","0","0","5109","14201","735","10","0","356","147","6940","8284","78","15302"
"RANDOLPH","21255","44421","271","0","0","23248","80360","5576","269","0","2990","1610","41329","47443","423","89195"
"RICHMOND","18822","5300","60","0","0","6232","19108","10050","359","0","897","256","13739","16479","196","30414"
"ROBESON","52893","8651","135","0","0","12619","23659","21660","25742","0","3237","813","32032","41904","362","74298"
"ROCKINGHAM","26124","19304","163","0","0","13637","45475","11953","113","0","1687","458","27072","32156","0","59228"
"ROWAN","30782","37173","211","0","0","23138","72547","15698","162","0","2897","1022","42386","48460","458","91304"
"RUTHERFORD","17358","14699","127","0","0","11157","37538","4568","63","0","1172","377","19734","23157","450","43341"
"SAMPSON","18057","13287","71","0","0","5891","23033","11905","547","0","1821","868","16472","20384","450","37306"
"SCOTLAND","13752","3398","33","0","0","5061","11017","8960","1375","0","892","144","9393","12532","319","22244"
"STANLY","13035","17087","76","0","0","9517","34183","4323","65","0","1144","181","18433","20939","343","39715"
"STOKES","9061","14469","116","0","0","6807","28454","1357","60","0","582","213","14324","16113","16","30453"
"SURRY","16166","17534","136","0","0","9843","40655","1797","56","0","1171","605","19784","23652","243","43679"
"SWAIN","4403","2675","25","0","0","3208","8162","104","1834","0","211","42","4850","5440","21","10311"
"TRANSYLVANIA","7392","8209","89","0","0","8357","22483","894","46","0","624","139","11103","12650","294","24047"
"TYRRELL","1629","323","2","0","0","545","1590","832","7","0","70","20","1142","1338","19","2499"
"UNION","39667","59486","505","0","0","39014","113586","17163","343","0","7580","3629","65304","72484","884","138672"
"VANCE","20765","4154","45","0","0","4764","13330","15468","43","0","887","249","13036","16363","329","29728"
"WAKE","259468","186335","3007","0","0","202146","450707","134592","1559","0","64098","16022","298596","343774","8586","650956"
"WARREN","9835","1619","31","0","0","1980","5334","7166","584","0","381","37","6104","7240","121","13465"
"WASHINGTON","6407","1137","18","0","0","1316","4165","4529","8","0","176","29","3918","4914","46","8878"
"WATAUGA","12281","14345","400","0","0","16564","40933","794","64","0","1799","562","20790","22533","267","43590"
"WAYNE","34728","23165","194","0","0","14780","43399","24983","142","0","4343","1324","32135","39272","1460","72867"
"WILKES","11129","21303","95","0","0","8930","39017","1664","30","0","746","386","19362","21881","214","41457"
"WILSON","30598","13573","98","0","0","10327","29489","22831","79","0","2197","679","24212","29933","451","54596"
"YADKIN","4868","13295","56","0","0","5485","22308","755","27","0","614","355","11054","12381","269","23704"
"YANCEY","5936","5045","29","0","0","3157","13835","91","18","0","223","51","6660","7396","111","14167"
