"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","39425","30328","160","0","0","19855","68002","17966","183","0","1308","1138","39715","49473","0","89768"
"ALEXANDER","7666","10376","36","0","0","5455","22084","1045","24","0","164","140","11261","12148","0","23533"
"ALLEGHANY","3356","2275","15","0","0","1575","6995","78","8","0","42","93","3374","3807","0","7221"
"ANSON","12414","2351","7","0","0","2059","8367","8073","38","0","75","25","7411","9024","0","16831"
"ASHE","6652","7942","29","0","0","4151","18431","98","13","0","88","99","8850","9886","0","18774"
"AVERY","1577","7222","18","0","0","2819","11355","63","21","0","54","54","5442","6120","0","11636"
"BEAUFORT","15973","9807","37","0","0","6389","23187","8365","33","0","248","158","14330","17593","0","32206"
"BERTIE","11104","1415","8","0","0","1665","5273","8498","17","0","37","21","6057","7938","0","14192"
"BLADEN","15055","2756","13","0","0","4094","13013","8117","257","0","142","144","9871","11939","0","21918"
"BRUNSWICK","27143","28881","135","0","0","22081","68145","8131","218","0","625","530","36240","41352","0","78240"
"BUNCOMBE","75603","47323","474","0","0","52390","157597","10294","323","0","3234","1446","79544","94108","0","175790"
"BURKE","22075","19921","122","0","0","14783","51710","3424","72","0","706","343","26531","30173","0","56901"
"CABARRUS","37923","43737","273","0","0","28052","88115","16569","248","0","1726","1872","49823","59023","0","109985"
"CALDWELL","17523","23553","107","0","0","11477","48755","2737","48","0","448","348","24653","27767","0","52660"
"CAMDEN","3075","1947","15","0","0","2197","5927","1123","13","0","57","23","3423","3737","0","7234"
"CARTERET","15065","19650","87","0","0","13264","44165","2610","85","0","374","235","22262","25196","0","48066"
"CASWELL","9179","3235","14","0","0","2902","9503","5543","15","0","96","52","6864","8370","0","15330"
"CATAWBA","30167","43840","151","0","0","25636","87105","8588","107","0","1470","1155","45947","53387","0","99794"
"CHATHAM","20154","11338","76","0","0","11828","35180","6153","77","0","572","568","19505","23057","0","43396"
"CHEROKEE","7177","8748","35","0","0","5302","20665","204","116","0","80","84","9944","11267","0","21262"
"CHOWAN","5796","2451","9","0","0","2263","7023","3284","12","0","54","28","4692","5759","0","10519"
"CLAY","2767","3372","19","0","0","2716","8671","32","14","0","31","31","4173","4643","0","8874"
"CLEVELAND","29406","18419","67","0","0","12399","46324","12620","78","0","342","329","27028","33006","0","60291"
