"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","39193","36266","654","31","66","34686","71862","21874","274","7","16879","4397","45435","55655","9806","110896"
"ALEXANDER","5103","11774","108","3","22","7940","21633","939","37","1","2340","352","11214","12071","1665","24950"
"ALLEGHANY","2156","2985","34","4","2","2429","6739","76","8","0","787","188","3359","3647","604","7610"
"ANSON","10131","2870","35","8","24","3678","6720","6821","28","0","3177","83","6303","7546","2897","16746"
"ASHE","4502","8875","92","5","16","6055","17822","110","24","0","1589","237","8723","9727","1095","19545"
"AVERY","1432","7181","61","6","9","3704","11100","73","19","0","1201","91","5471","6052","870","12393"
"BEAUFORT","11950","12091","109","16","18","9898","23190","7762","40","0","3090","492","14572","17093","2417","34082"
"BERTIE","8779","1632","38","3","3","2896","4626","7795","19","1","910","40","5613","7001","737","13351"
"BLADEN","10753","4956","63","5","7","7069","12730","8003","404","1","1715","460","10108","11850","895","22853"
"BRUNSWICK","27175","45493","585","30","53","41372","92012","8659","345","2","13690","1418","48182","55481","11045","114708"
"BUNCOMBE","77655","47582","1666","252","112","80065","169130","10822","383","33","26964","4139","87659","102826","16847","207332"
"BURKE","15378","22718","330","31","46","19789","48569","3221","90","0","6412","1003","25756","28581","3955","58292"
"CABARRUS","44756","52558","1109","76","109","51963","95411","27498","369","6","27287","5579","61674","72489","16408","150571"
"CALDWELL","11394","26545","390","38","34","16367","46961","2729","68","0","5010","930","24478","26816","3474","54768"
"CAMDEN","1759","2894","62","2","2","3448","6503","969","11","1","683","36","3741","3975","451","8167"
"CARTERET","10155","23849","281","14","32","18033","44476","2242","89","6","5551","535","22510","25371","4483","52364"
"CASWELL","6923","3930","46","4","10","4595","9265","4849","22","1","1371","169","6753","7733","1022","15508"
"CATAWBA","23160","47688","565","33","67","37331","84395","9041","127","2","15279","3574","47232","53177","8435","108844"
"CHATHAM","21344","14203","297","20","24","22056","41850","6065","125","1","9903","1816","23653","27639","6652","57944"
"CHEROKEE","4273","10945","126","11","10","7349","21151","236","133","0","1194","193","10625","11708","381","22714"
"CHOWAN","4231","2922","35","3","3","3145","6539","3067","12","2","719","70","4463","5503","373","10339"
"CLAY","1633","4183","61","3","5","3243","8502","43","16","0","567","67","4155","4547","426","9128"
"CLEVELAND","23053","24929","344","17","52","19298","46817","13689","97","2","7088","713","28704","33676","5313","67693"
"COLUMBUS","16968","9567","95","7","19","10391","22338","10871","959","0","2879","320","15939","19026","2082","37047"
"CRAVEN","21962","26706","496","42","43","23747","49637","14842","170","7","8340","1737","31096","37247","4653","72996"
"CUMBERLAND","97981","52482","1701","103","188","74086","91424","89021","2414","49","43633","13129","89808","111505","25228","226541"
"CURRITUCK","3659","8879","198","14","15","9066","18885","1102","48","2","1794","168","10070","10573","1188","21831"
"DARE","7866","10158","210","22","15","11910","26920","533","37","1","2690","256","13429","14839","1913","30181"
"DAVIDSON","24016","54967","558","39","71","34113","89532","10352","260","4","13616","2219","49107","55552","9105","113764"
"DAVIE","5138","16256","157","10","26","9898","25860","1893","36","1","3695","567","13811","15295","2379","31485"
"DUPLIN","12476","9032","113","6","23","8851","18020","8454","52","1","3974","1656","12894","15268","2339","30501"
"DURHAM","132426","26843","1287","150","79","83743","111617","79204","605","22","53080","10024","95641","120565","28322","244528"
"EDGECOMBE","23389","6501","98","11","15","5769","12342","20723","71","0","2647","457","14822","19223","1738","35783"
"FORSYTH","107319","76663","1590","137","159","86862","161066","69703","536","15","41410","10993","110935","135923","25872","272730"
"FRANKLIN","17397","15163","305","25","39","14768","29102","11225","135","2","7233","1201","19735","22443","5519","47697"
"GASTON","42883","59910","1012","68","134","47986","105842","25000","342","2","20807","4199","63604","75334","13055","151993"
"GATES","3921","1978","32","0","5","2410","5030","2623","18","0","675","45","3625","4138","583","8346"
"GRAHAM","1410","2924","24","0","6","1730","5553","5","270","1","265","22","2871","3045","178","6094"
"GRANVILLE","17672","10656","173","13","25","11767","23054","12021","78","2","5151","882","16515","19298","4493","40306"
"GREENE","5605","2456","21","5","4","3273","6138","4032","11","0","1183","439","4915","5870","579","11364"
"GUILFORD","168972","94541","2270","221","201","118347","197351","128616","1014","9","57562","11411","159780","199442","25330","384552"
"HALIFAX","23313","5067","109","9","8","9444","14416","19646","1087","0","2801","259","16130","19938","1882","37950"
"HARNETT","26032","29775","683","38","78","25687","49696","17021","469","13","15094","3952","33631","40072","8590","82293"
"HAYWOOD","14390","15928","319","19","37","15938","42752","474","117","0","3288","443","20871","23854","1906","46631"
"HENDERSON","17980","32632","558","51","46","36285","75081","2406","150","2","9913","2140","37242","44255","6055","87552"
"HERTFORD","10279","1569","38","6","10","3141","4695","9230","97","2","1019","103","6284","8113","646","15043"
"HOKE","14572","7403","272","19","38","10925","13249","12455","2046","11","5468","2171","14310","17499","1420","33229"
"HYDE","1539","582","17","1","0","1028","2276","641","1","0","249","34","1414","1568","185","3167"
"IREDELL","29271","54858","777","55","72","45746","99722","14040","217","1","16799","3467","56772","63325","10682","130779"
"JACKSON","9615","8344","216","20","12","11563","24048","684","1461","1","3576","628","12793","14510","2467","29770"
"JOHNSTON","40604","55357","1054","60","150","46482","98188","22571","398","11","22539","6223","62479","71817","9411","143707"
"JONES","3107","2155","35","3","2","2093","4465","2292","15","0","623","76","3238","3710","447","7395"
"LEE","13842","11725","238","12","38","12846","24491","7423","142","6","6639","2771","16119","19320","3262","38701"
"LENOIR","18768","10333","132","8","16","9271","19201","15615","66","0","3646","652","15955","19844","2729","38528"
"LINCOLN","12436","29389","362","20","57","20369","51514","3194","87","1","7837","1577","27385","29846","5402","62633"
"MACON","5878","11814","160","23","18","9348","25048","182","57","0","1954","393","12508","14271","462","27241"
"MADISON","5903","4722","119","14","9","6495","15298","178","32","0","1754","166","7647","8124","1491","17262"
"MARTIN","8937","3522","40","5","9","3999","8675","6818","29","0","990","137","7100","8774","638","16512"
"MCDOWELL","6839","12727","166","17","17","10232","27243","828","33","1","1893","429","13689","15143","1166","29998"
"MECKLENBURG","341600","170654","5798","465","440","273837","402195","245261","2120","36","143182","37416","331275","396223","65296","792794"
"MITCHELL","1117","6649","40","1","3","3327","9984","33","11","0","1109","100","4953","5400","784","11137"
"MONTGOMERY","6244","5983","83","5","21","4717","11760","3242","43","0","2008","622","7542","8438","1073","17053"
"MOORE","16504","30835","528","31","60","26057","58222","7974","336","3","7480","1394","32178","38184","3653","74015"
"NASH","31928","19868","275","14","43","16472","34543","26578","331","4","7144","1375","29057","35192","4351","68600"
"NEW HANOVER","52975","55124","1428","128","96","67579","132526","20585","384","10","23825","3247","72751","85364","19215","177330"
"NORTHAMPTON","9127","1531","39","3","5","3230","5286","7800","32","0","817","51","6007","7178","750","13935"
"ONSLOW","26514","44489","1458","66","158","44449","78622","18926","411","18","19157","6163","49175","58214","9745","117134"
