"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","36117","32578","534","14","28","30359","68955","20525","251","0","9899","3623","42850","52823","3957","99630"
"ALEXANDER","5377","10578","87","0","9","7191","21253","907","35","0","1047","287","10922","11797","523","23242"
"ALLEGHANY","2247","2595","30","1","0","2080","6511","70","6","0","366","153","3241","3519","193","6953"
"ANSON","10086","2346","26","3","23","3163","6515","6693","27","0","2412","76","6079","7400","2168","15647"
"ASHE","4605","7830","74","2","3","5394","17149","98","20","0","641","188","8294","9320","294","17908"
"AVERY","1329","6598","49","2","1","3316","10697","77","18","0","503","89","5233","5829","233","11295"
"BEAUFORT","11978","10789","95","6","7","9037","22405","7622","43","0","1842","410","14010","16646","1256","31912"
"BERTIE","8669","1404","26","1","1","2512","4532","7535","17","0","529","32","5394","6857","362","12613"
"BLADEN","11059","4078","46","1","5","6292","12405","7791","381","0","904","376","9681","11530","270","21481"
"BRUNSWICK","25610","39362","441","16","24","36764","86413","8392","303","0","7109","1202","45340","52449","4428","102217"
"BUNCOMBE","72279","43966","1501","138","47","72422","163126","10365","369","0","16493","3589","83746","99174","7433","190353"
"BURKE","15570","19739","277","12","21","17660","46753","3165","79","0","3282","865","24574","27731","974","53279"
"CABARRUS","40044","47690","877","40","61","44750","92666","24873","338","0","15585","4866","58212","69027","6223","133462"
"CALDWELL","11630","23400","351","22","16","14733","45171","2629","63","0","2289","791","23458","25881","813","50152"
"CAMDEN","1857","2444","56","1","3","3027","6080","949","9","0","350","33","3508","3734","146","7388"
"CARTERET","10683","22119","225","4","6","17465","45137","2409","100","0","2856","487","22694","25852","1956","50502"
"CASWELL","6904","3243","34","2","5","4215","8907","4770","19","0","707","142","6480","7536","387","14403"
"CATAWBA","22486","43040","443","12","31","33612","81842","8795","119","0","8868","3015","45262","51558","2804","99624"
"CHATHAM","20006","12791","261","20","17","19564","40351","5963","110","0","6235","1577","22507","26522","3630","52659"
"CHEROKEE","4336","9595","127","7","6","6836","20029","209","120","0","549","160","9883","10959","65","20907"
"CHOWAN","4234","2594","28","1","1","2765","6329","2893","10","0","391","53","4213","5271","139","9623"
"CLAY","1647","3671","52","2","4","3029","8038","42","13","0","312","55","3896","4334","175","8405"
"CLEVELAND","23199","20828","275","8","17","17108","44894","13193","80","0","3268","598","27298","32373","1764","61435"
"COLUMBUS","17292","7508","72","3","7","9315","21417","10549","921","0","1310","284","15317","18360","520","34197"
"CRAVEN","21237","23975","388","18","17","21297","47527","14331","154","0","4920","1514","29502","35711","1719","66932"
"CUMBERLAND","90345","46086","1254","42","82","64563","86803","83551","2180","0","29838","11481","83662","105501","13209","202372"
"CURRITUCK","3553","7524","168","9","7","8113","17415","1025","45","0","889","137","9202","9757","415","19374"
"DARE","7899","9136","217","7","5","11236","26689","551","34","0","1226","238","13314","14649","537","28500"
"DAVIDSON","23293","49299","460","16","30","30787","86704","9912","238","0","7031","1943","47002","53819","3064","103885"
"DAVIE","4914","14771","124","6","10","8911","24887","1816","35","0","1998","489","13137","14737","862","28736"
"DUPLIN","12392","7936","103","1","11","7866","17526","8231","48","0","2504","1473","12295","14943","1071","28309"
"DURHAM","120233","25677","1120","94","45","73070","106839","77645","558","0","35197","8583","91089","115887","13263","220239"
"EDGECOMBE","23036","5637","77","5","8","5015","11982","20431","69","0","1296","372","14335","18862","581","33778"
"FORSYTH","99431","71941","1317","67","65","75329","155808","66892","502","0","24948","9405","106116","131404","10630","248150"
"FRANKLIN","16463","13080","227","9","21","12529","27753","10720","125","0","3731","993","18679","21455","2195","42329"
"GASTON","40338","52248","779","23","59","42155","100587","22986","323","0","11706","3565","59313","71008","5281","135602"
"GATES","3832","1671","28","0","3","2157","4769","2528","14","0","380","40","3453","3937","301","7691"
"GRAHAM","1508","2636","26","0","1","1515","5301","3","266","0","116","20","2715","2910","61","5686"
