"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"NASH","36507","19984","58","0","0","10264","40996","23953","245","0","854","468","30102","36554","0","66813"
"NEW HANOVER","54723","49854","351","0","0","41184","120781","19618","280","0","1621","1157","65711","77675","0","146112"
"NORTHAMPTON","11716","1287","4","0","0","1775","6042","8456","26","0","40","21","6369","8133","0","14782"
"ONSLOW","31203","30996","173","0","0","25229","64886","16339","269","0","3226","2662","38483","48118","0","87601"
"ORANGE","53062","18287","217","0","0","29208","79816","12409","241","0","2620","1579","45155","54753","0","100774"
"PAMLICO","4636","2666","7","0","0","1882","7165","1810","26","0","52","28","4202","4906","0","9191"
"PASQUOTANK","14983","5590","44","0","0","7217","16314","10403","41","0","342","117","12376","15174","0","27834"
"PENDER","14349","11991","62","0","0","8139","27181","6399","57","0","250","218","15939","18321","0","34541"
"PERQUIMANS","4777","2240","10","0","0","2473","7081","2252","14","0","44","26","4384","5116","0","9500"
"PERSON","13616","5718","26","0","0","5539","17526","6731","122","0","164","137","11276","13493","0","24899"
"PITT","54706","27502","168","0","0","21605","65815","34137","225","0","1713","830","45957","57671","0","103981"
"POLK","4910","5317","17","0","0","4627","13894","701","12","0","124","96","6762","8063","0","14871"
"RANDOLPH","22728","43409","132","0","0","20268","78946","5094","255","0","1058","1088","39941","46345","0","86537"
"RICHMOND","19801","5103","14","0","0","5317","19647","9633","293","0","279","162","13604","16556","0","30235"
"ROBESON","52219","7733","52","0","0","9888","23795","20018","23677","0","1137","564","29553","40022","0","69892"
"ROCKINGHAM","27745","18215","65","0","0","12209","45374","11571","109","0","408","326","26366","31868","0","58234"
"ROWAN","32505","37173","71","0","0","20541","73336","14563","171","0","1027","629","41738","48121","0","90290"
"RUTHERFORD","18545","14275","46","0","0","9941","37561","4331","54","0","270","257","19418","23049","0","42807"
"SAMPSON","18486","12961","25","0","0","5077","23099","11533","539","0","720","551","16059","20252","0","36549"
"SCOTLAND","14147","3671","12","0","0","4662","12013","8521","1181","0","183","119","9540","12673","0","22492"
"STANLY","13970","16709","37","0","0","8237","34219","3895","49","0","242","104","18053","20696","0","38953"
"STOKES","9897","14349","49","0","0","5953","28377","1359","54","0","186","133","14124","16102","0","30248"
"SURRY","17726","17214","55","0","0","8741","41097","1814","42","0","328","355","19947","23643","0","43736"
"SWAIN","4417","2471","14","0","0","2708","7757","60","1622","0","69","30","4515","5080","0","9610"
"TRANSYLVANIA","7947","8523","24","0","0","6994","22155","864","42","0","172","90","10912","12411","0","23488"
"TYRRELL","1873","299","0","0","0","489","1693","903","3","0","26","9","1200","1441","0","2661"
"UNION","37960","54181","219","0","0","31433","103494","14727","292","0","2566","2348","57937","65021","0","123793"
"VANCE","21018","4035","25","0","0","4119","13661","14826","33","0","281","171","12771","16273","0","29197"
"WAKE","244451","177372","1096","0","0","159954","421693","117096","1264","0","16582","9915","269201","309962","0","582873"
"WARREN","10084","1622","18","0","0","1698","5361","7197","558","0","88","31","6096","7249","0","13422"
"WASHINGTON","6763","1106","9","0","0","1182","4395","4502","12","0","34","14","3951","5068","0","9060"
"WATAUGA","13108","14574","134","0","0","13808","39380","656","57","0","426","303","20073","21256","0","41624"
"WAYNE","34873","21976","86","0","0","12921","43046","23307","129","0","1138","800","30437","38029","0","69856"
"WILKES","12091","21597","34","0","0","8028","39515","1626","23","0","229","247","19530","22028","0","41750"
"WILSON","31075","13539","33","0","0","8414","29898","21597","67","0","840","443","23599","29251","0","53061"
"YADKIN","5193","13376","17","0","0","4810","22180","739","20","0","198","221","10900","12231","0","23396"
"YANCEY","6598","5305","13","0","0","2824","14457","101","14","0","55","43","6954","7706","0","14740"
