"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","36204","32724","544","16","32","30640","69112","20611","249","0","10188","3698","43034","52979","4147","100160"
"ALEXANDER","5342","10671","89","0","12","7296","21341","915","36","0","1118","301","10963","11853","594","23410"
"ALLEGHANY","2249","2623","32","1","0","2143","6580","70","7","0","391","161","3272","3566","210","7048"
"ANSON","10093","2397","28","6","25","3229","6561","6727","27","0","2463","75","6110","7456","2212","15778"
"ASHE","4589","7849","74","2","3","5412","17158","99","21","0","651","189","8301","9327","301","17929"
"AVERY","1327","6623","51","2","1","3341","10729","75","18","0","523","86","5253","5843","249","11345"
"BEAUFORT","11947","10842","98","7","7","9156","22454","7646","42","0","1915","422","14068","16680","1309","32057"
"BERTIE","8689","1408","26","2","1","2583","4547","7596","18","0","548","34","5444","6883","382","12709"
"BLADEN","11028","4160","48","1","6","6367","12474","7807","378","0","951","379","9742","11565","303","21610"
"BRUNSWICK","25666","39681","442","17","25","37144","86910","8406","309","0","7350","1245","45615","52708","4652","102975"
"BUNCOMBE","72610","44117","1499","142","56","73207","163877","10396","367","0","16991","3656","84141","99699","7791","191631"
"BURKE","15527","19846","275","15","24","17803","46845","3166","79","0","3400","891","24624","27786","1080","53490"
"CABARRUS","40546","48103","884","46","67","45665","93415","25284","341","0","16271","4999","58908","69798","6605","135311"
"CALDWELL","11599","23534","348","23","17","14838","45300","2635","63","0","2361","809","23510","25966","883","50359"
"CAMDEN","1844","2496","57","1","2","3093","6139","952","10","0","392","34","3544","3770","179","7493"
"CARTERET","10650","22350","231","5","6","17644","45336","2414","99","0","3037","494","22803","25981","2102","50886"
"CASWELL","6883","3281","34","2","6","4245","8922","4777","18","0","734","144","6486","7553","412","14451"
"CATAWBA","22447","43077","448","13","33","33735","81738","8797","119","0","9099","3048","45264","51479","3010","99753"
"CHATHAM","19966","12825","265","18","18","19653","40339","5935","111","0","6360","1579","22477","26544","3724","52745"
"CHEROKEE","4311","9699","126","7","6","6877","20118","214","120","0","574","161","9933","11030","63","21026"
"CHOWAN","4206","2612","27","2","1","2847","6341","2922","10","0","422","54","4243","5292","160","9695"
"CLAY","1634","3726","54","3","4","3042","8081","44","14","0","324","55","3926","4347","190","8463"
"CLEVELAND","23144","21049","275","8","19","17226","45034","13212","80","0","3395","616","27398","32465","1858","61721"
"COLUMBUS","17208","7631","68","3","9","9408","21492","10553","920","0","1362","289","15347","18425","555","34327"
"CRAVEN","21218","24138","391","23","21","21572","47740","14353","156","0","5114","1543","29663","35844","1856","67363"
"CUMBERLAND","90976","46553","1276","44","98","65515","87340","84228","2213","0","30681","11707","84290","106393","13779","204462"
"CURRITUCK","3566","7705","167","9","7","8235","17643","1040","45","0","961","143","9339","9886","464","19689"
"DARE","7963","9330","221","8","7","11496","27101","560","34","0","1330","245","13523","14903","599","29025"
"DAVIDSON","23326","49457","470","18","35","31065","86823","9961","238","0","7349","1975","47127","53924","3320","104371"
"DAVIE","4930","14871","130","6","12","9037","25022","1826","34","0","2104","506","13216","14822","948","28986"
"DUPLIN","12379","7967","104","2","13","7940","17548","8245","49","0","2563","1498","12347","14956","1102","28405"
"DURHAM","121420","25782","1129","102","56","74254","107715","77860","563","0","36605","8795","91881","116750","14112","222743"
"EDGECOMBE","23033","5657","78","5","11","5018","11954","20447","72","0","1329","379","14327","18880","595","33802"
"FORSYTH","100334","72468","1365","75","87","77259","157064","67518","496","0","26510","9808","107301","132646","11641","251588"
"FRANKLIN","16427","13136","226","9","22","12586","27735","10690","128","0","3853","1011","18662","21439","2305","42406"
"GASTON","40459","52631","791","26","65","42621","100935","23143","324","0","12191","3640","59608","71368","5617","136593"
"GATES","3847","1703","28","0","1","2208","4831","2551","15","0","390","40","3491","3984","312","7787"
"GRAHAM","1499","2630","26","0","1","1529","5298","3","267","0","117","20","2713","2910","62","5685"
"GRANVILLE","17171","9190","151","7","8","10377","22354","11721","75","0","2754","738","15841","18845","2218","36904"
"GREENE","5760","2133","19","1","3","2963","6139","3992","10","0","738","408","4849","5818","212","10879"
"GUILFORD","157282","89398","1973","106","112","106005","193364","122147","951","0","38414","9944","152400","192414","10062","354876"
"HALIFAX","22799","4390","90","7","3","8463","13951","19111","1046","0","1644","243","15525","19425","802","35752"
"HARNETT","24602","26074","549","17","42","22638","47971","16225","443","0","9283","3448","31945","38324","3653","73922"
"HAYWOOD","14564","13658","271","11","17","14210","40423","455","100","0","1753","377","19515","22477","739","42731"
"HENDERSON","16687","30067","484","25","26","33203","72272","2286","138","0","5796","1933","35644","42381","2467","80492"
