"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","39692","31211","289","0","0","22943","68867","19086","236","0","5946","1689","41215","50986","1934","94135"
"ALEXANDER","7262","10630","49","0","0","6219","22584","1037","30","0","509","195","11557","12457","146","24160"
"ALLEGHANY","3060","2322","20","0","0","1720","6860","80","11","0","171","123","3346","3732","44","7122"
"ANSON","12479","2406","13","0","0","2306","7802","7720","39","0","1643","43","7061","8479","1664","17204"
"ASHE","6141","7819","43","0","0","4524","18154","93","18","0","262","126","8733","9741","53","18527"
"AVERY","1599","7267","30","0","0","3121","11622","101","29","0","265","64","5607","6324","86","12017"
"BEAUFORT","15072","10201","85","0","0","7112","23107","8504","37","0","822","226","14537","17528","405","32470"
"BERTIE","10956","1424","14","0","0","2022","5102","8708","18","0","588","29","6181","7850","385","14416"
"BLADEN","14777","2968","27","0","0","4661","13106","8406","287","0","634","224","10209","12102","122","22433"
"BRUNSWICK","27037","30608","255","0","0","25860","72429","8667","245","0","2419","700","38683","44240","837","83760"
"BUNCOMBE","75648","47501","880","0","0","60184","163126","11013","381","0","9693","1980","83299","98071","2843","184213"
"BURKE","20991","20130","206","0","0","16397","52006","3524","78","0","2116","467","26913","30567","244","57724"
"CABARRUS","39907","46230","488","0","0","33190","92942","19494","314","0","7065","2680","54268","63995","1552","119815"
"CALDWELL","16342","23747","265","0","0","12834","48968","2853","53","0","1314","513","25058","27869","261","53188"
"CAMDEN","2873","2023","26","0","0","2365","5959","1109","12","0","207","29","3463","3748","76","7287"
"CARTERET","14155","20792","200","0","0","15255","45901","2748","101","0","1652","318","23333","26279","790","50402"
"CASWELL","8803","3399","21","0","0","3212","9546","5485","21","0","383","72","6948","8341","146","15435"
"CATAWBA","29476","43786","278","0","0","28133","87056","9408","127","0","5082","1670","46707","54357","609","101673"
"CHATHAM","20313","11958","161","0","0","13867","37112","6248","95","0","2844","828","20594","24345","1360","46299"
"CHEROKEE","6707","8868","69","0","0","5936","20893","228","123","0","336","110","10101","11415","64","21580"
"CHOWAN","5520","2546","14","0","0","2501","6985","3344","10","0","242","37","4726","5779","76","10581"
"CLAY","2505","3372","30","0","0","2862","8559","38","17","0","155","39","4143","4606","20","8769"
"CLEVELAND","28681","19062","142","0","0","13918","46515","13635","87","0","1566","439","27780","33673","350","61803"
"COLUMBUS","23550","6185","49","0","0","7212","23539","11723","983","0","751","164","16619","20246","131","36996"
"CRAVEN","26908","23343","247","0","0","19057","49862","16124","137","0","3432","1123","31051","37570","934","69555"
"CUMBERLAND","101901","47801","716","0","0","51038","94869","83219","2110","0","21258","8963","88284","108646","4526","201456"
"CURRITUCK","4697","5775","89","0","0","6685","15737","961","50","0","498","115","8191","8917","138","17246"
"DARE","9665","8167","156","0","0","9533","26160","554","38","0","769","167","13077","14313","131","27521"
"DAVIDSON","30039","47754","347","0","0","25618","91018","9755","251","0","2734","1051","48141","55245","372","103758"
"DAVIE","6125","14714","70","0","0","7169","25335","1928","33","0","782","295","12988","15009","81","28078"
"DUPLIN","15187","7453","67","0","0","6520","18601","9170","41","0","1415","868","12835","15740","652","29227"
"DURHAM","118115","27844","692","0","0","54356","101771","78133","524","0","20579","4919","85905","110071","5031","201007"
"EDGECOMBE","29048","6077","50","0","0","3920","14463","23834","50","0","748","222","17018","21806","271","39095"
"FORSYTH","105924","76062","821","0","0","58002","160140","67044","450","0","13175","5310","106131","131772","2906","240809"
"FRANKLIN","18921","12081","150","0","0","8888","27206","11114","113","0","1607","556","18459","20973","608","40040"
"GASTON","46996","50824","425","0","0","34542","105300","21307","314","0","5866","2031","58997","71674","2116","132787"
"GATES","4916","1547","16","0","0","1768","5045","2896","9","0","297","24","3663","4307","277","8247"
"GRAHAM","2327","2825","13","0","0","1445","6179","3","304","0","124","42","3166","3390","54","6610"
"GRANVILLE","19757","8735","104","0","0","7701","22554","12181","93","0","1469","438","16108","19108","1081","36297"
"GREENE","7179","1931","22","0","0","2118","6578","4316","12","0","344","219","5157","6080","13","11250"
"GUILFORD","169517","95477","1297","0","0","83347","207052","120586","992","0","21008","5638","154909","193282","1447","349638"
"HALIFAX","26592","4863","68","0","0","6156","14985","20354","1110","0","1230","192","16322","20972","385","37679"
"HARNETT","28328","23397","351","0","0","16652","48079","15899","463","0","4287","1990","30780","37414","534","68728"
"HAYWOOD","18567","12184","123","0","0","11124","40797","424","102","0","675","247","19323","22440","235","41998"
"HENDERSON","18309","30578","283","0","0","28185","72045","2251","139","0","2920","1197","35246","41521","588","77355"
"HERTFORD","11568","1474","16","0","0","2013","5145","9436","106","0","384","55","6456","8535","80","15071"
"HOKE","15296","6316","101","0","0","8338","13819","11686","2192","0","2354","1379","13444","16558","49","30051"
"HYDE","2269","507","4","0","0","689","2517","877","4","0","71","14","1600","1837","32","3469"
"IREDELL","32810","45125","366","0","0","31470","91424","13339","212","0","4796","1767","51262","57617","892","109771"
"JACKSON","10679","6631","93","0","0","8807","22359","474","1561","0","1816","232","11585","13373","1252","26210"
"JOHNSTON","38496","41581","411","0","0","28709","85410","17655","318","0","5814","2276","49800","58082","1315","109197"
