"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38364","38503","694","37","262","6","3","14","42161","76949","24781","274","18","1280","758","10406","5578","7138","49665","59999","10380","120044","1"
"ALEXANDER","3968","12808","121","5","72","4","2","11","9101","22599","969","39","2","158","43","1846","436","559","11694","12489","1909","26092","1"
"ALLEGHANY","1689","3608","40","1","19","0","0","2","3024","7339","78","12","0","6","17","767","164","259","3712","3972","699","8383","1"
"ANSON","8514","3437","58","5","39","1","1","5","4745","6978","6466","33","1","104","22","2971","230","178","6253","7534","3018","16805","1"
"ASHE","3661","9614","107","4","33","0","0","1","7503","19024","123","26","3","58","21","1421","247","361","9301","10263","1359","20923","1"
"AVERY","1273","7385","67","4","23","0","1","2","4180","11635","67","18","0","27","19","1037","132","136","5759","6238","938","12935","1"
"BEAUFORT","10130","13492","135","8","64","1","6","10","11481","24465","7144","43","3","63","72","2739","798","761","14946","17479","2902","35327","1"
"BERTIE","7506","1806","40","1","20","1","1","1","3480","4648","7096","17","1","32","17","967","78","57","5312","6574","970","12856","1"
"BLADEN","8996","6004","85","8","64","0","4","10","8673","13034","7620","433","5","29","99","2057","567","679","10135","11957","1752","23844","1"
"BRUNSWICK","28478","58334","744","34","320","4","8","13","54926","118266","9414","415","12","608","276","11198","2672","2494","60394","69925","12542","142861","1"
"BUNCOMBE","74611","46428","1659","229","659","17","10","52","94777","179431","10607","379","51","1653","1116","19035","6170","6043","92557","108046","17839","218442","1"
"BURKE","12386","25290","371","21","116","7","3","17","23507","51215","3228","102","2","1045","145","4387","1594","1607","26961","30033","4724","61718","1"
"CABARRUS","45383","53475","1196","105","756","12","23","57","62800","100145","33787","437","22","4019","788","16498","8111","8504","68229","79735","15843","163807","1"
"CALDWELL","9275","28057","361","15","116","9","3","8","18508","47079","2610","81","0","206","163","5189","1024","1273","24913","27524","3915","56352","1"
"CAMDEN","1357","3388","71","6","24","1","0","2","3918","7106","938","11","2","35","18","494","163","71","3973","4256","538","8767","1"
"CARTERET","9266","27445","365","19","95","9","3","11","22066","51090","2282","108","7","331","150","4455","856","852","25658","28907","4714","59279","1"
"CASWELL","5878","4747","64","1","27","1","2","2","5238","9882","4572","22","1","38","50","1136","259","280","6951","7848","1161","15960","1"
"CATAWBA","20721","51462","671","50","430","17","14","51","44963","90895","9286","155","10","2798","361","9671","5203","5570","51312","57015","10052","118379","1"
"CHATHAM","21515","15223","319","28","143","3","2","5","26766","46418","6005","134","10","1235","274","7547","2381","2678","26206","30302","7496","64004","1"
"CHEROKEE","3253","12916","157","7","37","2","0","3","8354","22932","254","124","2","99","37","1000","281","276","11674","12520","535","24729","1"
"CHOWAN","3565","3358","47","3","31","1","1","4","3701","6976","2848","15","6","17","29","686","134","104","4647","5594","470","10711","1"
"CLAY","1391","5169","59","2","5","0","2","2","3797","9777","43","17","0","17","12","476","85","102","4736","5244","447","10427","1"
"CLEVELAND","19772","28211","421","20","239","4","5","28","22868","49041","13769","103","8","374","256","6657","1360","1263","30139","34934","6495","71568","1"
"COLUMBUS","13370","11814","122","7","55","3","1","4","12773","22952","10517","979","4","63","92","2871","671","649","16246","19131","2772","38149","1"
"CRAVEN","20378","30321","602","40","272","10","8","9","29193","56005","14746","200","10","1363","341","5447","2721","2611","34721","40705","5407","80833","1"
"CUMBERLAND","89361","53028","1879","140","1290","30","46","95","84547","90778","89659","2505","122","3775","2267","26134","15176","15665","91701","113099","25616","230416","1"
"CURRITUCK","3360","10748","221","7","96","0","1","6","10858","21710","1254","46","3","118","77","1574","515","290","11514","12191","1592","25297","1"
"DARE","7457","12048","247","15","82","3","5","3","14612","31112","568","37","1","130","73","1889","662","422","15576","16999","1897","34472","1"
"DAVIDSON","21803","59421","709","30","413","15","13","35","40598","95799","11425","263","6","993","302","10699","3550","3862","52771","59597","10669","123037","1"
"DAVIE","4700","17304","167","14","98","1","0","3","11639","28351","1992","43","0","145","89","2507","799","1003","14991","16653","2282","33926","1"
"DUPLIN","10593","10702","133","10","74","4","2","7","11455","18981","8241","68","3","70","143","3576","1898","2655","13883","16112","2985","32980","1"
"DURHAM","129621","24439","1161","189","755","19","31","54","97022","119455","75971","621","49","9832","2984","32798","11581","13742","98178","124628","30485","253291","1"
"EDGECOMBE","20300","7052","118","8","132","5","5","9","8949","12490","19484","67","3","55","111","3673","695","733","14402","18557","3619","36578","1"
"FORSYTH","99761","73513","1689","151","1020","25","36","77","102413","164345","67848","555","38","3725","1626","28208","12340","15363","113003","138792","26890","278685","1"
"FRANKLIN","17209","17561","400","14","163","9","2","10","20408","34940","12640","155","6","373","211","5275","2176","2367","23271","26502","6003","55776","1"
"GASTON","42184","63895","1205","65","912","20","13","75","57676","113099","30000","343","15","1531","730","14024","6303","7127","70467","82945","12633","166045","1"
"GATES","3363","2331","33","1","20","0","0","3","2807","5362","2466","20","0","11","42","568","89","60","3724","4203","631","8558","1"
"GRAHAM","1032","3277","36","0","2","1","1","2","2009","5754","9","280","1","19","5","245","47","41","2995","3142","223","6360","1"
"GRANVILLE","15708","11811","223","9","145","3","4","11","14538","23070","11308","78","4","181","204","6344","1263","1269","16624","19000","6828","42452","1"
"GREENE","4702","2761","26","1","44","2","4","3","3827","6128","3764","11","1","22","24","872","548","589","4854","5766","750","11370","1"
"GUILFORD","160155","92107","2151","224","1557","37","57","106","143821","199020","133650","1034","59","10756","2932","35879","16885","16419","166203","206940","27072","400215","1"
"HALIFAX","20239","5074","109","6","103","2","5","4","11055","13949","18581","1037","5","179","136","2271","439","332","15576","18803","2218","36597","1"
"HARNETT","25044","34242","813","61","500","13","19","36","33596","57647","18768","511","30","814","576","10335","5643","6427","39162","45481","9681","94324","1"
"HAYWOOD","11930","17365","341","26","139","4","8","11","18818","44543","511","139","0","172","106","2502","669","741","21929","24905","1808","48642","1"
"HENDERSON","17658","33353","629","43","236","18","4","21","41086","80325","2470","162","16","601","415","6252","2807","3355","39883","47196","5969","93048","1"
"HERTFORD","8828","1757","43","4","30","0","1","1","3800","4681","8502","99","3","45","61","908","165","117","5984","7647","833","14464","1"
"HOKE","13866","8332","314","23","155","4","5","6","14282","14146","13181","2060","22","396","263","4246","2673","2765","15474","18247","3266","36987","1"
"HYDE","1305","724","14","0","3","0","0","0","1150","2393","561","2","0","2","8","181","49","69","1415","1610","171","3196","1"
"IREDELL","28274","61391","906","48","495","10","13","36","56764","113668","16132","221","12","1727","462","10550","5165","5758","65022","71891","11024","147937","1"
"JACKSON","8458","9076","238","26","55","5","2","7","13974","25280","655","1609","9","252","199","3081","756","924","13541","15218","3082","31841","1"
"JOHNSTON","41949","61719","1225","84","877","23","22","79","61651","110210","28178","466","29","1167","670","18297","8612","10725","71708","82399","13522","167629","1"
"JONES","2385","2463","31","0","17","2","1","4","2443","4451","1999","11","2","21","27","728","107","120","3102","3528","716","7346","1"
"LEE","12562","13054","324","20","169","0","3","2","15726","26589","7576","152","9","322","285","4036","2891","3945","17513","20766","3581","41860","1"
"LENOIR","16367","11055","143","16","246","2","10","14","11869","19156","15071","62","6","107","136","4208","976","1039","15822","19734","4166","39722","1"
"LINCOLN","11737","34001","416","14","185","8","1","13","24477","59142","3857","92","3","368","177","5313","1900","2383","31307","34088","5457","70852","1"
"MACON","4948","12987","205","7","27","2","2","4","11509","27065","206","67","1","124","68","1545","615","672","13760","15415","516","29691","1"
"MADISON","4872","5174","119","15","43","3","1","4","7708","15788","133","26","2","61","45","1650","234","217","7721","8323","1895","17939","1"
"MARTIN","7493","3656","58","3","34","1","2","2","5513","8710","6216","25","1","26","54","1484","246","238","6795","8522","1445","16762","1"
"MCDOWELL","5405","14153","186","9","80","3","5","9","11867","28562","857","39","1","158","134","1313","653","709","14411","15774","1532","31717","1"
"MECKLENBURG","334130","163045","5832","519","3599","53","99","175","334332","420227","251693","2207","103","25291","5645","89576","47042","50933","347423","416766","77595","841784","1"
"MITCHELL","1050","6691","54","2","20","0","1","3","3779","10263","45","12","1","19","16","1142","102","150","5093","5588","919","11600","1"
"MONTGOMERY","4936","6853","77","6","46","0","6","10","6026","12347","2994","54","1","191","48","1600","725","915","7790","8741","1429","17960","1"
"MOORE","15209","32920","613","22","157","3","3","16","30333","63262","7517","385","11","708","269","4727","2397","2097","34689","40528","4059","79276","1"
"NASH","27706","20339","293","21","262","8","8","16","22941","35115","27103","378","4","389","300","6113","2192","2187","29530","35908","6156","71594","1"
"NEW HANOVER","51625","56787","1450","133","654","17","12","40","80804","144236","19045","424","22","1634","869","20279","5013","4738","77704","92005","21813","191522","1"
"NORTHAMPTON","7636","1682","35","2","34","1","0","2","3875","5167","7017","33","0","10","20","924","96","77","5657","6644","966","13267","1"
"ONSLOW","24076","52398","1818","57","453","13","4","38","57809","92029","20031","523","71","1938","918","13297","7859","9011","58218","66288","12160","136666","1"
"ORANGE","51626","14056","546","79","264","5","9","12","48624","78451","12052","243","8","5786","1179","12791","4711","5003","46768","55910","12543","115221","1"
"PAMLICO","2767","4411","57","5","24","1","3","2","3428","8293","1457","29","1","46","21","715","136","144","4776","5257","665","10698","1"
"PASQUOTANK","11043","8327","216","12","131","1","2","3","12630","17887","10296","47","3","168","183","3016","765","526","13544","15814","3007","32365","1"
"PENDER","10859","21733","440","16","154","5","1","11","19653","40637","5861","146","6","254","160","4317","1491","1604","22940","25365","4567","52872","1"
"PERQUIMANS","2865","3919","64","3","32","1","1","3","4076","7938","1941","22","2","27","24","886","124","82","4671","5385","908","10964","1"
"PERSON","9400","8846","124","9","56","3","3","8","10527","18665","7148","115","3","64","97","2230","654","670","12465","14437","2074","28976","1"
"PITT","48995","32360","767","72","513","15","22","27","46753","67539","41982","261","12","1189","755","12785","5001","4197","51515","64540","13469","129524","1"
"POLK","3642","6685","117","6","36","2","0","4","7066","15472","599","14","2","57","39","1076","299","335","7795","9139","624","17558","1"
"RANDOLPH","14949","52589","579","25","309","7","11","19","32161","80685","6366","330","9","809","251","7964","4235","4933","44156","49250","7243","100649","1"
"RICHMOND","11693","8232","125","12","105","4","2","3","9713","17213","9039","431","3","157","65","2079","902","710","12893","15146","1850","29889","1"
"ROBESON","33566","16288","246","23","358","10","9","28","29375","21010","19769","26844","49","334","508","8040","3349","2654","33309","41133","5461","79903","1"
"ROCKINGHAM","17264","26354","341","20","181","11","9","24","20799","45342","11572","107","0","234","187","6110","1451","1540","28645","33389","2969","65003","1"
"ROWAN","22789","44194","635","38","485","11","11","47","34569","73660","16211","190","7","581","354","8333","3443","3891","44066","50222","8491","102779","1"
"RUTHERFORD","9543","21157","267","15","134","2","5","9","16909","38765","4019","55","1","144","115","3954","988","1018","20621","23693","3727","48041","1"
"SAMPSON","12562","16174","195","9","158","7","7","9","10441","22772","10193","543","2","104","132","3221","2595","3274","17191","20154","2217","39562","1"
"SCOTLAND","9676","5176","83","11","97","3","4","5","8021","9948","8225","1872","18","172","118","2413","310","290","9215","11608","2253","23076","1"
"STANLY","8481","22681","220","24","225","3","4","37","15487","35979","4953","91","7","467","77","4640","948","914","19809","22433","4920","47162","1"
"STOKES","5057","18178","214","16","60","5","0","8","10490","29218","1270","60","2","81","91","2826","480","549","16216","17709","103","34028","1"
"SURRY","8934","23801","231","17","93","4","3","6","16604","41658","1690","54","3","134","104","4323","1727","2383","21835","24420","3438","49693","1"
"SWAIN","2747","3381","75","11","27","2","3","4","4147","7759","107","1676","1","38","40","620","156","108","4699","5172","526","10397","1"
"TRANSYLVANIA","5722","8865","149","4","39","3","2","7","12535","24194","749","49","2","99","82","1796","355","302","11918","13620","1788","27326","1"
"TYRRELL","976","499","11","0","3","0","0","0","890","1439","640","3","0","21","5","227","44","42","1030","1114","235","2379","1"
"UNION","40642","74054","1197","74","629","14","7","39","69770","124456","20132","549","14","4517","851","27228","8679","9659","77448","85711","23267","186426","1"
"VANCE","15906","5523","110","10","91","1","4","10","7644","11672","14278","64","2","116","104","2203","860","900","11948","15238","2113","29299","1"
"WAKE","293644","181377","5973","532","3191","37","61","103","377640","516648","151578","2245","91","36998","5705","102917","46376","40129","358953","412186","91419","862558","1"
"WARREN","7723","2522","44","3","28","4","0","4","3365","5738","6307","550","3","33","45","815","202","151","5882","6972","839","13693","1"
"WASHINGTON","4513","1537","21","0","10","0","0","2","2182","3726","3780","8","1","16","17","616","101","69","3431","4241","593","8265","1"
"WATAUGA","11444","12806","371","62","102","4","3","5","21435","39907","890","58","15","410","497","3603","852","1458","19932","22955","3345","46232","1"
"WAYNE","26919","27181","461","27","511","14","18","44","23339","43031","24127","144","7","579","409","6106","4111","3825","32813","39261","6440","78514","1"
"WILKES","6566","25153","205","9","88","4","1","7","13571","39495","1634","52","0","142","116","3261","904","1093","20114","22153","3337","45604","1"
"WILSON","24767","14657","260","19","197","6","10","13","17179","27700","22377","126","2","299","168","4081","2355","2238","23725","29738","3645","57108","1"
"YADKIN","2863","14799","135","6","47","4","1","6","8033","22252","739","25","2","69","42","1857","908","1134","11496","12552","1846","25894","1"
"YANCEY","3617","5621","88","7","26","0","1","2","5363","13219","76","31","1","30","24","1177","167","181","6610","7151","964","14725","1"
