"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","35641","32117","520","12","22","29173","68194","20129","245","0","8917","3410","42230","51988","3267","97485"
"ALEXANDER","5435","10488","82","0","6","7039","21133","902","35","0","980","275","10855","11717","478","23050"
"ALLEGHANY","2275","2544","29","1","0","2026","6463","71","6","0","335","148","3207","3500","168","6875"
"ANSON","10122","2301","26","3","23","3058","6469","6657","28","0","2379","68","6044","7345","2144","15533"
"ASHE","4637","7740","74","1","3","5282","17021","100","19","0","597","181","8245","9231","261","17737"
"AVERY","1311","6500","48","2","1","3244","10541","79","20","0","466","89","5136","5767","203","11106"
"BEAUFORT","12022","10488","89","3","6","8769","22035","7556","45","0","1741","381","13777","16391","1209","31377"
"BERTIE","8690","1374","26","1","1","2433","4526","7469","18","0","512","32","5353","6826","346","12525"
"BLADEN","11089","3998","42","1","1","6205","12384","7760","372","0","820","358","9639","11474","223","21336"
"BRUNSWICK","25177","38050","419","12","15","35460","84094","8263","288","0","6488","1119","44085","51161","3887","99133"
"BUNCOMBE","71712","43588","1448","117","33","70915","161477","10271","360","0","15705","3431","82773","98186","6854","187813"
"BURKE","15639","19423","269","10","15","17196","46401","3140","76","0","2935","797","24342","27481","729","52552"
"CABARRUS","39447","47242","839","32","44","43476","92170","24329","326","0","14255","4712","57496","68229","5355","131080"
"CALDWELL","11663","23124","346","12","16","14410","44805","2614","63","0","2089","745","23213","25674","684","49571"
"CAMDEN","1889","2385","56","1","1","2972","6028","948","9","0","319","33","3482","3702","120","7304"
"CARTERET","10753","21752","228","2","4","17006","44659","2380","93","0","2613","474","22420","25570","1755","49745"
"CASWELL","6917","3168","34","1","3","4182","8895","4734","19","0","657","139","6459","7509","337","14305"
"CATAWBA","22392","42575","422","10","19","32560","81093","8686","119","0","8080","2803","44622","51014","2342","97978"
"CHATHAM","19791","12571","236","17","15","18945","39825","5931","106","0","5713","1484","22171","26103","3301","51575"
"CHEROKEE","4332","9335","126","6","5","6692","19682","199","120","0","495","156","9660","10774","62","20496"
"CHOWAN","4254","2524","25","1","1","2654","6220","2864","10","0","365","51","4133","5187","139","9459"
"CLAY","1636","3597","50","2","2","2975","7914","37","14","0","297","53","3826","4273","163","8262"
"CLEVELAND","23171","20440","270","7","11","16647","44449","13007","78","0","3012","570","26974","32013","1559","60546"
"COLUMBUS","17416","7227","66","3","6","9024","21147","10451","908","0","1236","276","15092","18192","458","33742"
"CRAVEN","21205","23662","375","12","9","20754","47091","14184","152","0","4590","1457","29159","35343","1515","66017"
"CUMBERLAND","89625","45538","1212","30","63","63072","86121","82535","2147","0","28737","11120","82634","104283","12623","199540"
"CURRITUCK","3517","7270","160","6","4","7882","16981","1009","44","0","805","135","8966","9512","361","18839"
"DARE","7900","8961","212","7","3","11007","26391","539","35","0","1125","231","13147","14484","459","28090"
"DAVIDSON","23206","48707","437","14","21","30008","86012","9755","236","0","6390","1842","46527","53320","2546","102393"
"DAVIE","4893","14578","121","4","7","8729","24693","1798","33","0","1808","466","12993","14634","705","28332"
"DUPLIN","12387","7808","103","2","9","7688","17432","8168","48","0","2349","1429","12146","14837","1014","27997"
"DURHAM","118613","25564","1092","75","35","71554","105646","77246","559","0","33482","8336","90034","114764","12135","216933"
"EDGECOMBE","23228","5588","78","5","5","4843","12008","20482","66","0","1191","365","14344","18897","506","33747"
"FORSYTH","98945","71878","1284","55","54","74015","155384","66466","496","0","23885","9092","105539","130660","10032","246231"
"FRANKLIN","16462","12878","215","6","14","12196","27565","10674","123","0","3409","936","18534","21278","1959","41771"
"GASTON","39977","51586","742","16","39","41188","99741","22590","313","0","10904","3384","58627","70202","4719","133548"
"GATES","3841","1639","29","0","2","2109","4729","2511","15","0","365","41","3402","3926","292","7620"
"GRAHAM","1533","2594","26","0","1","1488","5261","3","264","0","114","19","2689","2892","61","5642"
"GRANVILLE","17139","8985","143","6","7","10072","22180","11655","75","0","2442","709","15708","18681","1963","36352"
"GREENE","5889","2071","19","1","2","2805","6122","3974","9","0","682","393","4836","5779","172","10787"
"GUILFORD","155593","88724","1884","80","76","102015","191904","120461","929","0","35078","9391","150067","189851","8454","348372"
"HALIFAX","22753","4233","85","4","3","8186","13844","18870","1034","0","1516","232","15313","19261","690","35264"
"HARNETT","24276","25304","507","11","18","21485","47045","15793","444","0","8319","3216","31118","37509","2974","71601"
"HAYWOOD","14609","13159","261","10","12","13535","39510","445","98","0","1533","358","19049","21983","554","41586"
"HENDERSON","16427","29752","454","16","18","32155","71310","2245","129","0","5138","1810","35068","41715","2039","78822"
"HERTFORD","10132","1328","35","4","4","2607","4584","8909","93","0","524","79","5959","7929","222","14110"
"HOKE","13534","6092","200","5","14","9233","12293","11712","1851","0","3222","1798","12912","15824","342","29078"
"HYDE","1634","496","14","0","0","854","2255","642","1","0","100","30","1379","1551","68","2998"
"IREDELL","27744","48052","603","25","19","38485","93693","13107","204","0","7924","2840","52833","59511","2584","114928"
"JACKSON","9255","7262","177","10","2","10033","22768","646","1314","0","2011","527","11867","13760","1112","26739"
"JOHNSTON","36781","48039","752","16","48","38419","92434","20177","340","0","11104","4885","55985","65136","2934","124055"
"JONES","3225","1827","21","1","0","1844","4329","2267","16","0","306","72","3168","3588","162","6918"
"LEE","13414","9996","186","2","8","10897","23501","7191","130","0","3681","2359","15162","18431","910","34503"
"LENOIR","18744","9219","102","1","2","7752","19059","15119","57","0","1585","550","15499","19528","793","35820"
"LINCOLN","12069","24829","265","7","14","17465","48106","3027","83","0","3433","1310","25315","27751","1583","54649"
"MACON","5910","10258","137","6","6","8337","23498","177","52","0","927","294","11374","13093","187","24654"
"MADISON","5825","4220","104","7","1","5739","14925","167","27","0","777","151","7413","7951","532","15896"
"MARTIN","9017","3137","37","1","4","3496","8511","6726","26","0","429","110","6955","8565","172","15692"
"MCDOWELL","7074","10682","145","8","8","8990","25530","790","27","0","560","297","12728","14174","5","26907"
"MECKLENBURG","308907","161292","4742","147","159","235212","385916","230975","1968","0","91600","32039","310265","375498","24696","710459"
"MITCHELL","1032","6038","27","1","0","2954","9560","29","7","0","456","91","4711","5151","190","10052"
"MONTGOMERY","6375","4891","66","3","5","4116","11089","3170","40","0","1157","550","7116","8034","306","15456"
"MOORE","15573","27327","372","10","9","23044","54714","7739","299","0","3583","1109","29898","35813","624","66335"
"NASH","31269","18119","218","7","13","14069","34098","25617","316","0","3664","1165","28012","34383","1300","63695"
"NEW HANOVER","49296","50836","1156","40","34","59372","126612","19972","350","0","13800","2772","69338","82039","9357","160734"
"NORTHAMPTON","9185","1366","24","2","1","2558","5099","7612","31","0","394","35","5745","7046","345","13136"
"ONSLOW","24001","36728","934","23","46","37016","70300","17245","354","0","10849","5158","43371","52379","2998","98748"
"ORANGE","49180","14649","675","30","13","41164","76439","11858","245","0","17169","3426","45215","54301","6195","105711"
"PAMLICO","3301","3100","41","0","0","2514","6992","1517","25","0","422","72","4091","4654","211","8956"
"PASQUOTANK","11189","5783","150","9","2","8571","14886","9287","41","0","1490","242","11282","13771","651","25704"
"PENDER","11378","15065","239","7","15","12485","30676","5867","93","0","2553","748","17951","20175","1063","39189"
"PERQUIMANS","3475","2633","32","3","3","3039","6815","2084","20","0","266","42","4196","4898","91","9185"
"PERSON","10973","6429","93","2","2","7630","16979","6803","110","0","1237","315","11199","13421","509","25129"
"PITT","51275","29803","689","39","30","33217","66075","40546","240","0","8192","2512","48926","62343","3784","115053"
"POLK","3915","5355","75","9","8","5613","13747","651","8","0","569","185","6785","7992","198","14975"
"RANDOLPH","16620","44050","492","11","21","24650","74429","5449","257","0","5709","2732","39644","44439","1761","85844"
"RICHMOND","14210","5645","76","4","11","7388","16573","9094","383","0","1284","350","12220","14686","428","27334"
"ROBESON","43116","9011","182","7","21","17710","20681","19940","24637","0","4789","1392","30753","38664","630","70047"
