"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36534","38190","620","48","0","0","0","0","45266","76282","24792","267","21","1351","632","10402","6911","7971","49931","60233","10494","120658","1","0"
"ALEXANDER","3573","12728","113","5","0","0","0","0","9363","22362","939","31","1","172","38","1715","524","614","11582","12365","1835","25782","1","0"
"ALLEGHANY","1482","3609","32","2","0","0","0","0","3071","7177","81","12","0","8","12","701","205","278","3672","3879","645","8196","1","0"
"ANSON","7612","3421","55","6","0","0","0","0","4875","6761","6124","32","1","94","25","2646","286","227","5966","7274","2729","15969","1","0"
"ASHE","3299","9643","101","5","0","0","0","0","7740","18917","121","28","2","58","17","1355","290","368","9329","10161","1298","20788","1","0"
"AVERY","1119","7099","66","5","0","0","0","0","4180","11223","57","17","0","31","14","953","174","151","5561","6033","875","12469","1","0"
"BEAUFORT","8739","13321","121","15","0","0","0","0","11820","23791","6466","38","3","60","50","2726","882","821","14312","16798","2906","34016","1","0"
"BERTIE","6919","1799","41","2","0","0","0","0","4033","4595","6648","17","0","29","16","1405","84","61","5073","6306","1415","12794","1","0"
"BLADEN","7928","6025","72","11","0","0","0","0","8960","12544","7026","387","7","28","86","2280","638","697","9571","11398","2027","22996","1","0"
"BRUNSWICK","27797","60827","740","56","0","0","0","0","59313","124007","9569","432","10","695","236","10512","3272","2929","63285","73290","12158","148733","1","0"
"BUNCOMBE","71461","44809","1536","281","0","0","0","0","99882","178114","10499","370","42","1716","1007","19255","6966","6540","92469","107455","18045","217969","1","0"
"BURKE","11153","25184","363","31","0","0","0","0","23825","50317","3078","99","2","1008","126","4134","1792","1787","26510","29502","4544","60556","1","0"
"CABARRUS","43671","52035","1071","129","0","0","0","0","65940","98304","33912","440","20","4499","690","15597","9384","9292","68057","79501","15288","162846","1","0"
"CALDWELL","8534","27886","341","17","0","0","0","0","19258","46115","2559","75","0","226","143","5659","1259","1440","24606","27310","4120","56036","1","0"
"CAMDEN","1187","3479","67","6","0","0","0","0","3946","6867","868","10","2","46","15","691","186","98","3843","4089","753","8685","1","0"
"CARTERET","8278","26855","335","22","0","0","0","0","22303","49917","2104","107","9","336","121","4211","988","895","25159","28195","4439","57793","1","0"
"CASWELL","5384","4845","57","3","0","0","0","0","5371","9792","4359","24","1","37","51","1096","300","314","6793","7731","1136","15660","1","0"
"CATAWBA","19641","51415","676","55","0","0","0","0","47196","91153","9064","152","9","2825","312","9521","5947","6049","51463","57355","10165","118983","1","0"
"CHATHAM","20957","14994","299","32","0","0","0","0","28107","46830","5838","134","9","1400","239","7115","2824","2917","26462","30706","7221","64389","1","0"
"CHEROKEE","2943","13342","151","9","0","0","0","0","8514","23153","261","118","2","111","29","959","326","293","11811","12597","551","24959","1","0"
"CHOWAN","3097","3288","47","2","0","0","0","0","3785","6655","2504","16","6","20","25","845","148","110","4444","5235","540","10219","1","0"
"CLAY","1267","5161","55","2","0","0","0","0","3757","9556","43","16","0","19","9","500","99","113","4660","5112","470","10242","1","0"
"CLEVELAND","17951","27754","399","20","0","0","0","0","23535","48011","13161","96","8","393","210","6223","1557","1371","29371","34154","6134","69659","1","0"
"COLUMBUS","11583","11932","125","10","0","0","0","0","13775","22529","9965","972","4","61","82","3047","765","736","15849","18565","3011","37425","1","0"
"CRAVEN","18526","29072","552","50","0","0","0","0","29270","53896","13612","179","9","1327","263","5249","2935","2562","33203","38964","5303","77470","1","0"
"CUMBERLAND","83023","50993","1776","178","0","0","0","0","88540","86349","86760","2448","123","3794","1926","26809","16301","15701","88758","109743","26009","224510","1","0"
"CURRITUCK","3030","10794","204","7","0","0","0","0","10865","21293","1218","41","3","143","63","1579","560","336","11333","11978","1589","24900","1","0"
"DARE","6107","11510","217","19","0","0","0","0","15002","29645","547","35","1","128","59","1695","745","468","14924","16204","1727","32855","1","0"
"DAVIDSON","20741","59229","673","44","0","0","0","0","42268","95361","11502","255","7","1029","264","10194","4343","4415","52972","59565","10418","122955","1","0"
"DAVIE","4437","17149","160","15","0","0","0","0","12061","28187","1970","41","0","168","82","2378","996","1152","14982","16599","2241","33822","1","0"
"DUPLIN","9593","10695","123","11","0","0","0","0","12039","18685","7804","61","3","65","119","3590","2134","2750","13580","15779","3102","32461","1","0"
"DURHAM","122721","22510","1011","226","0","0","0","0","101340","116537","72530","571","45","9686","2517","32737","13185","14391","95943","121564","30301","247808","1","0"
"EDGECOMBE","18679","6892","116","18","0","0","0","0","10357","12079","18228","60","2","58","86","4771","778","806","13613","17701","4748","36062","1","0"
"FORSYTH","94753","71140","1613","202","0","0","0","0","107065","161540","65135","505","37","3876","1428","27929","14323","16424","110893","137130","26750","274773","1","0"
"FRANKLIN","16526","17876","367","20","0","0","0","0","22191","35788","12615","134","5","429","183","5161","2665","2685","23831","27103","6046","56980","1","0"
