"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","38183","33210","501","8","2","29947","72256","21114","269","0","8212","3243","44622","54625","2604","101851"
"ALEXANDER","6132","10784","87","0","2","7362","22462","1004","36","0","865","267","11590","12445","332","24367"
"ALLEGHANY","2612","2618","35","0","0","2171","7045","79","11","0","301","176","3500","3823","113","7436"
"ANSON","11597","2476","21","3","25","3265","7404","7619","36","0","2328","66","6985","8292","2110","17387"
"ASHE","5279","8132","68","1","0","5610","18486","111","18","0","475","193","8952","9959","179","19090"
"AVERY","1402","6980","48","0","0","3425","11397","75","22","0","361","86","5483","6235","137","11855"
"BEAUFORT","13199","10838","89","1","5","9209","23446","8234","45","0","1616","380","14868","17546","927","33341"
"BERTIE","10035","1550","26","1","0","2559","4996","8609","19","0","547","27","6160","7640","371","14171"
"BLADEN","12473","4026","40","1","1","6496","13389","8437","434","0","777","362","10539","12334","164","23037"
"BRUNSWICK","27363","38091","376","6","4","35873","87316","9055","305","0","5037","1111","46017","53203","2493","101713"
"BUNCOMBE","75154","46100","1443","38","6","73104","170142","11005","404","0","14294","3324","87544","102744","5557","195845"
"BURKE","18100","20788","266","6","2","19142","51753","3477","92","0","2982","793","27303","30578","423","58304"
"CABARRUS","41587","49412","803","15","10","44988","99212","24899","356","0","12348","4622","61138","72109","3568","136815"
"CALDWELL","13885","24563","361","3","5","15751","49868","2854","72","0","1774","765","25857","28300","411","54568"
"CAMDEN","2211","2489","46","0","1","3133","6469","1100","12","0","299","32","3808","3987","85","7880"
"CARTERET","11954","22378","241","1","0","18010","47555","2697","101","0","2231","481","24074","27165","1345","52584"
"CASWELL","7876","3302","37","0","1","4473","9747","5319","22","0","601","135","7103","8313","273","15689"
"CATAWBA","25253","44752","414","2","5","34425","87737","9360","138","0","7616","2763","48239","55161","1451","104851"
"CHATHAM","20851","12975","238","6","4","19276","41849","6450","110","0","4941","1527","23307","27429","2614","53350"
"CHEROKEE","5559","10059","128","1","0","7564","22440","255","142","0","474","175","10970","12274","67","23311"
"CHOWAN","4827","2647","23","0","0","2778","6719","3190","12","0","354","45","4557","5605","113","10275"
"CLAY","1851","3608","47","2","1","3123","8318","45","18","0","251","55","4060","4455","117","8632"
"CLEVELAND","25652","21077","249","3","1","17521","47844","13914","92","0","2653","597","29039","34346","1118","64503"
"COLUMBUS","20465","7270","60","2","0","9591","23470","11741","1045","0","1132","288","16896","20179","313","37388"
"CRAVEN","23066","24268","370","1","5","21740","49692","15345","162","0","4251","1495","31184","37114","1152","69450"
"CUMBERLAND","98667","49582","1211","7","9","68407","96447","89434","2397","0","29605","11925","92556","113677","11650","217883"
"CURRITUCK","3956","7384","163","3","1","8421","18107","1081","47","0","693","143","9567","10102","259","19928"
"DARE","8748","9271","218","3","2","11722","28351","578","36","0","999","230","14204","15461","299","29964"
"DAVIDSON","25739","50591","453","4","8","31530","92642","10227","268","0","5188","1792","49968","56876","1481","108325"
"DAVIE","5409","15092","112","1","1","9153","26271","1977","35","0","1485","491","13795","15592","381","29768"
"DUPLIN","13923","8132","120","0","2","8058","18949","9003","51","0","2232","1528","13268","16110","857","30235"
"DURHAM","123517","27674","1120","30","9","72741","111399","82148","602","0","30942","8171","95538","120117","9436","225091"
"EDGECOMBE","26664","6215","83","4","1","5341","13807","23251","71","0","1179","393","16726","21169","413","38308"
"FORSYTH","105397","75902","1278","25","15","76672","165665","70987","535","0","22102","9143","112952","138477","7860","259289"
"FRANKLIN","18052","13385","203","3","1","12587","29630","11559","132","0","2910","941","20148","22678","1405","44231"
"GASTON","44710","54588","714","5","9","44456","110092","24122","366","0","9902","3395","64175","76748","3559","144482"
"GATES","4593","1783","28","0","0","2342","5425","2950","14","0","357","37","3937","4513","296","8746"
"GRAHAM","1887","2830","26","0","0","1667","5936","4","319","0","151","43","3078","3266","66","6410"
"GRANVILLE","18626","9404","138","1","0","10386","23959","12404","83","0","2109","706","16951","19981","1623","38555"
"GREENE","6498","2089","22","1","1","2873","6488","4370","10","0","616","395","5236","6143","105","11484"
"GUILFORD","168722","95034","1817","33","14","107283","208397","129741","1063","0","33702","9347","163171","203602","6130","372903"
"HALIFAX","25408","4651","91","2","0","8692","15193","20937","1155","0","1559","256","17064","21183","597","38844"
"HARNETT","26426","26206","512","1","4","22372","50586","17018","496","0","7421","3245","33510","40031","1980","75521"
"HAYWOOD","16445","13579","253","5","3","14308","42684","475","111","0","1323","365","20539","23697","357","44593"
"HENDERSON","18083","31799","453","8","5","34598","77593","2501","155","0","4697","1911","38244","45305","1397","84946"
"HERTFORD","11193","1470","36","0","2","2762","5034","9790","107","0","532","87","6633","8646","184","15463"
"HOKE","15302","6816","203","1","1","10372","14293","12836","2336","0","3230","1936","14721","17840","134","32695"
"HYDE","1956","533","13","0","0","919","2514","813","3","0","91","28","1598","1771","52","3421"
"IREDELL","30263","49597","589","9","6","39938","99057","14073","211","0","7061","2839","56205","62630","1567","120402"
"JACKSON","10130","7589","175","4","2","10607","24272","663","1595","0","1977","484","12682","14719","1106","28507"
"JOHNSTON","38817","48521","727","8","16","39158","96805","20677","361","0","9404","4732","58189","67003","2055","127247"
"JONES","3531","1842","22","0","0","1917","4601","2436","17","0","258","79","3361","3846","105","7312"
"LEE","14655","10367","175","3","2","11372","25293","7764","139","0","3378","2330","16370","19651","553","36574"
"LENOIR","20768","9582","119","0","1","8137","20595","16479","62","0","1471","545","16962","21001","644","38607"
"LINCOLN","13662","25357","260","0","2","18465","51562","3221","93","0","2870","1340","27066","29681","999","57746"
"MACON","6507","10546","131","2","0","8894","24988","187","57","0","848","282","12026","13864","190","26080"
"MADISON","6537","4437","105","2","0","6022","16210","200","27","0","666","141","8115","8572","416","17103"
"MARTIN","10032","3306","39","1","3","3677","9170","7458","24","0","406","112","7651","9274","133","17058"
"MCDOWELL","8234","11161","152","2","0","9887","27893","895","31","0","617","314","13925","15510","1","29436"
"MECKLENBURG","320417","171045","4506","65","43","237859","406342","239118","2113","0","86362","31257","324546","389916","19473","733935"
"MITCHELL","1146","6639","30","0","0","3228","10618","30","8","0","387","95","5195","5713","135","11043"
"MONTGOMERY","7076","5073","58","3","0","4310","11943","3448","46","0","1083","527","7619","8688","213","16520"
"MOORE","16488","27472","346","3","3","23426","56083","8263","337","0","3055","1067","30849","36763","126","67738"
"NASH","33205","18748","216","1","6","14476","36428","26644","326","0","3254","1153","29739","36069","844","66652"
"NEW HANOVER","53154","53357","1196","14","8","62616","135530","21875","397","0","12543","2861","74786","87553","8006","170345"
"NORTHAMPTON","10419","1444","25","2","0","2718","5583","8600","38","0","387","37","6459","7819","330","14608"
"ONSLOW","27715","39196","963","10","8","40501","77713","19391","397","0","10892","5519","48493","57527","2373","108393"
"ORANGE","52683","16372","723","14","1","44274","83353","13049","272","0","17393","3583","49380","58939","5748","114067"
