"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36533","38063","636","51","0","0","0","0","43022","75381","24273","260","19","1297","645","10161","6269","7449","48997","59065","10243","118305","1"
"ALEXANDER","3711","12659","119","4","0","0","0","0","9091","22190","933","32","2","156","37","1753","481","579","11464","12263","1857","25584","1"
"ALLEGHANY","1542","3587","37","1","0","0","0","0","2958","7118","77","11","0","8","13","724","174","255","3617","3839","669","8125","1"
"ANSON","7641","3386","54","6","0","0","0","0","4651","6614","6041","34","2","87","25","2673","262","207","5873","7122","2743","15738","1"
"ASHE","3396","9518","99","5","0","0","0","0","7451","18619","113","26","2","56","17","1372","264","350","9129","10016","1324","20469","1"
"AVERY","1125","7044","66","4","0","0","0","0","4011","11015","55","17","0","28","14","976","145","136","5450","5904","896","12250","1"
"BEAUFORT","9089","13186","120","10","0","0","0","0","11025","23468","6484","38","3","60","52","2511","814","765","14128","16619","2683","33430","1"
"BERTIE","7010","1795","42","1","0","0","0","0","3404","4564","6631","16","1","28","15","927","70","51","5044","6266","942","12252","1"
"BLADEN","8157","5927","76","9","0","0","0","0","8409","12460","7033","392","6","27","88","1996","576","647","9511","11321","1746","22578","1"
"BRUNSWICK","27286","58280","717","38","0","0","0","0","55472","117844","9145","407","12","633","238","10625","2889","2612","60097","69508","12188","141793","1"
"BUNCOMBE","71015","44826","1530","235","0","0","0","0","94369","174576","10165","361","44","1662","1003","17766","6398","6131","90182","105200","16593","211975","1"
"BURKE","11417","24904","353","21","0","0","0","0","23009","49619","3044","96","2","967","130","4213","1633","1650","26082","29007","4615","59704","1"
"CABARRUS","42966","51748","1077","120","0","0","0","0","62756","96587","32618","419","21","4200","699","15649","8474","8578","66079","77319","15269","158667","1"
"CALDWELL","8692","27693","343","15","0","0","0","0","18502","45720","2522","76","0","208","144","5432","1143","1345","24271","26970","4004","55245","1"
"CAMDEN","1191","3342","66","6","0","0","0","0","3760","6694","859","8","2","39","16","579","168","80","3732","3992","641","8365","1"
"CARTERET","8443","26579","345","26","0","0","0","0","21382","49050","2072","101","7","322","122","4203","898","840","24640","27692","4443","56775","1"
"CASWELL","5478","4708","59","2","0","0","0","0","5188","9629","4325","24","1","37","47","1097","275","294","6675","7619","1141","15435","1"
"CATAWBA","19560","51039","663","51","0","0","0","0","45116","89433","8887","157","10","2709","317","9505","5411","5671","50276","56050","10103","116429","1"
"CHATHAM","20836","14945","311","28","0","0","0","0","27174","45985","5772","128","9","1313","249","7260","2578","2751","25893","30085","7316","63294","1"
"CHEROKEE","2977","12971","148","7","0","0","0","0","8228","22569","250","116","2","99","30","965","300","275","11498","12284","549","24331","1"
"CHOWAN","3156","3202","42","1","0","0","0","0","3475","6520","2539","16","6","18","23","621","133","96","4303","5129","444","9876","1"
"CLAY","1271","5051","53","2","0","0","0","0","3632","9358","43","16","0","18","10","480","84","100","4557","4998","454","10009","1"
"CLEVELAND","18188","27569","400","21","0","0","0","0","22514","47324","12968","96","8","384","213","6264","1435","1283","28875","33668","6149","68692","1"
"COLUMBUS","12239","11732","121","7","0","0","0","0","12567","22272","9892","959","4","58","82","2712","687","655","15605","18386","2675","36666","1"
"CRAVEN","18525","28687","543","40","0","0","0","0","27897","52798","13460","180","8","1290","263","5004","2689","2399","32454","38182","5056","75692","1"
"CUMBERLAND","82199","50398","1744","148","0","0","0","0","82338","84309","84138","2366","125","3618","1958","25430","14883","14712","85770","106435","24622","216827","1"
"CURRITUCK","3013","10402","203","5","0","0","0","0","10426","20611","1171","42","3","127","66","1514","515","303","10923","11585","1541","24049","1"
"DARE","6611","11285","221","17","0","0","0","0","13913","28888","520","33","1","122","62","1733","688","420","14510","15783","1754","32047","1"
"DAVIDSON","20625","58749","686","34","0","0","0","0","40517","93888","11122","257","7","983","265","10206","3883","4047","51771","58441","10399","120611","1"
"DAVIE","4427","17013","153","13","0","0","0","0","11527","27663","1925","41","0","149","85","2392","878","1050","14641","16263","2229","33133","1"
"DUPLIN","9784","10425","120","10","0","0","0","0","11080","18306","7737","60","3","65","126","3207","1915","2553","13279","15419","2721","31419","1"
"DURHAM","121775","22702","1042","211","0","0","0","0","95916","114201","71584","574","46","9330","2530","31347","12034","13548","93685","118992","28969","241646","1"
"EDGECOMBE","19039","6912","111","12","0","0","0","0","8934","12075","18376","66","3","57","92","3620","719","751","13614","17768","3626","35008","1"
"FORSYTH","94146","71420","1592","178","0","0","0","0","102044","159509","64320","510","36","3713","1461","26754","13077","15464","108966","134760","25654","269380","1"
"FRANKLIN","16527","17607","390","20","0","0","0","0","20949","34898","12336","143","6","402","185","5124","2399","2501","23117","26406","5970","55493","1"
"GASTON","39962","62309","1141","69","0","0","0","0","56993","109325","28910","326","14","1535","647","13150","6567","7292","68181","80359","11934","160474","1"
"GATES","3042","2287","32","2","0","0","0","0","2744","5138","2296","17","0","10","37","527","82","58","3549","3973","585","8107","1"
"GRAHAM","941","3222","31","0","0","0","0","0","1991","5602","10","272","1","16","5","229","50","44","2912","3065","208","6185","1"
"GRANVILLE","14878","11540","216","8","0","0","0","0","14539","22219","10725","74","2","181","181","6503","1296","1297","15990","18304","6887","41181","1"
"GREENE","4340","2709","30","3","0","0","0","0","3813","5905","3554","10","1","16","14","846","549","580","4619","5529","747","10895","1"
"GUILFORD","151802","88897","2005","250","0","0","0","0","142707","192149","127669","974","57","10782","2551","34039","17440","16537","160433","199615","25613","385661","1"
"HALIFAX","18429","4847","94","7","0","0","0","0","10761","13210","17079","948","4","184","119","2150","444","345","14362","17649","2127","34138","1"
"HARNETT","23857","33979","781","64","0","0","0","0","34010","56610","18152","482","33","840","500","10178","5896","6511","38445","44678","9568","92691","1"
"HAYWOOD","11150","17161","316","28","0","0","0","0","19013","43692","495","135","0","170","100","2370","706","768","21540","24423","1705","47668","1"
"HENDERSON","16781","32322","608","53","0","0","0","0","40857","78132","2355","150","15","581","374","5996","3018","3431","38880","45970","5771","90621","1"
"HERTFORD","8046","1690","39","4","0","0","0","0","3679","4479","7778","90","3","41","49","864","154","110","5565","7088","805","13458","1"
"HOKE","12877","7984","301","26","0","0","0","0","14290","13438","12587","1909","22","375","220","4214","2713","2716","14697","17384","3397","35478","1"
"HYDE","1184","712","12","0","0","0","0","0","1075","2253","504","2","0","2","8","158","56","63","1328","1503","152","2983","1"
"IREDELL","27150","60692","891","47","0","0","0","0","57218","111484","15995","210","14","1750","414","10574","5557","5920","64096","70722","11180","145998","1"
"JACKSON","7764","8761","218","24","0","0","0","0","13604","24159","573","1511","9","238","179","2956","746","896","12889","14528","2954","30371","1"
"JOHNSTON","40378","60944","1194","90","0","0","0","0","63088","108732","27900","451","29","1236","578","17403","9365","11105","70854","81398","13442","165694","1"
"JONES","2164","2399","29","0","0","0","0","0","2345","4248","1821","11","2","19","22","699","115","126","2921","3331","685","6937","1"
"LEE","11900","12875","307","22","0","0","0","0","15743","25826","7295","137","9","330","249","3890","3111","4015","17083","20210","3554","40847","1"
"LENOIR","14766","10566","136","17","0","0","0","0","11598","18132","13768","52","5","96","116","3972","942","992","14580","18557","3946","37083","1"
"LINCOLN","11073","33489","405","17","0","0","0","0","24211","57681","3777","88","2","359","149","5123","2016","2430","30549","33287","5359","69195","1"
"MACON","4573","12620","194","10","0","0","0","0","11679","26440","200","66","1","122","59","1493","695","740","13514","15055","507","29076","1"
"MADISON","4527","5070","114","14","0","0","0","0","7683","15337","111","26","3","65","39","1597","230","205","7461","8091","1856","17408","1"
"MARTIN","6971","3648","60","5","0","0","0","0","5469","8505","5832","25","1","22","49","1466","253","231","6501","8201","1451","16153","1"
"MCDOWELL","4943","13866","177","11","0","0","0","0","11718","27621","819","38","0","152","121","1298","666","703","13966","15225","1524","30715","1"
"MECKLENBURG","317463","156592","5394","573","0","0","0","0","331600","407298","242593","2088","94","25410","4790","80033","49316","51672","337170","404682","69770","811622","1"
"MITCHELL","959","6405","57","3","0","0","0","0","3679","9851","46","14","1","16","15","1050","110","145","4886","5348","869","11103","1"
"MONTGOMERY","4445","6668","72","6","0","0","0","0","5922","11888","2730","46","1","183","42","1483","740","875","7425","8326","1362","17113","1"
"MOORE","14583","33180","608","24","0","0","0","0","30990","63390","7240","393","8","737","246","4826","2545","2235","34731","40532","4122","79385","1"
"NASH","26362","19976","270","21","0","0","0","0","22954","34222","26247","364","5","372","255","5877","2241","2200","28641","34934","6008","69583","1"
"NEW HANOVER","48642","54789","1342","132","0","0","0","0","78821","139021","17693","399","16","1605","759","19146","5087","4741","74513","88689","20524","183726","1"
"NORTHAMPTON","7068","1640","33","2","0","0","0","0","3816","4986","6547","30","0","11","14","874","97","82","5385","6267","907","12559","1"
"ONSLOW","21353","50181","1629","60","0","0","0","0","55285","86184","18349","480","71","1871","743","12739","8071","8573","54788","61753","11967","128508","1"
"ORANGE","49239","13290","476","77","0","0","0","0","47771","75246","11393","231","9","5640","1035","12399","4900","4865","44997","53832","12024","110853","1"
"PAMLICO","2512","4285","50","5","0","0","0","0","3379","7986","1350","24","1","46","16","662","146","143","4572","5015","644","10231","1"
"PASQUOTANK","9763","7966","190","15","0","0","0","0","11747","16636","9115","36","4","161","143","2834","752","509","12382","14492","2807","29681","1"
"PENDER","10279","21706","402","16","0","0","0","0","19888","40344","5597","138","5","248","141","4202","1616","1672","22714","25063","4514","52291","1"
"PERQUIMANS","2555","3835","57","3","0","0","0","0","3828","7492","1740","17","2","25","19","861","122","81","4370","5016","892","10278","1"
"PERSON","8819","8762","124","9","0","0","0","0","10397","18220","6791","111","3","57","92","2162","675","678","12078","13984","2049","28111","1"
"PITT","45137","31120","681","78","0","0","0","0","46355","64050","39047","243","12","1143","628","13406","4842","4116","48383","61180","13808","123371","1"
"POLK","3396","6549","104","6","0","0","0","0","6938","14989","571","14","2","54","36","1035","292","328","7520","8865","608","16993","1"
"RANDOLPH","13891","51507","540","25","0","0","0","0","31956","78349","6117","297","9","810","213","7685","4439","5029","42878","47917","7124","97919","1"
"RICHMOND","10544","8096","110","13","0","0","0","0","9427","16310","8279","396","3","155","50","2074","923","746","12016","14274","1900","28190","1"
"ROBESON","30095","15873","224","27","0","0","0","0","28549","19683","18152","25112","46","294","430","7778","3273","2610","30771","38351","5646","74768","1"
"ROCKINGHAM","16168","26053","335","24","0","0","0","0","20814","44371","11110","104","1","231","167","5835","1575","1626","27906","32476","3012","63394","1"
"ROWAN","21374","43391","621","46","0","0","0","0","34466","71742","15413","165","7","583","314","7936","3738","4062","42863","48770","8265","99898","1"
"RUTHERFORD","8688","20903","251","17","0","0","0","0","16787","37695","3747","46","1","152","95","3843","1067","1047","19985","22946","3715","46646","1"
"SAMPSON","11666","15882","176","11","0","0","0","0","10403","22070","9595","524","2","100","112","3028","2707","3261","16540","19406","2192","38138","1"
"SCOTLAND","8592","5011","77","12","0","0","0","0","7932","9365","7407","1764","18","169","113","2486","302","279","8511","10763","2350","21624","1"
