"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38418","32163","374","0","0","0","26385","70224","20049","245","0","0","0","0","6822","2407","42518","52603","2219","97340","0"
"ALEXANDER","6549","10506","62","0","0","0","6786","22274","998","31","0","0","0","0","600","217","11412","12307","184","23903","0"
"ALLEGHANY","2811","2456","28","0","0","0","1996","6992","81","12","0","0","0","0","206","157","3426","3817","48","7291","0"
"ANSON","11870","2365","18","0","0","0","2899","7507","7673","36","0","0","0","0","1936","58","6991","8305","1856","17152","0"
"ASHE","5654","7857","54","0","0","0","5081","18211","99","21","0","0","0","0","315","162","8793","9793","60","18646","0"
"AVERY","1460","6909","43","0","0","0","3265","11301","83","25","0","0","0","0","268","76","5421","6171","85","11677","0"
"BEAUFORT","13858","10483","90","0","0","0","8208","23245","8302","41","0","0","0","0","1051","292","14620","17462","557","32639","0"
"BERTIE","10270","1498","19","0","0","0","2305","4986","8525","20","0","0","0","0","561","25","6101","7613","378","14092","0"
"BLADEN","13566","3224","28","0","0","0","5653","13048","8377","389","0","0","0","0","657","281","10255","12083","133","22471","0"
"BRUNSWICK","26670","33976","295","0","0","0","30883","79721","8874","269","0","0","0","0","2960","920","42248","48463","1113","91824","0"
"BUNCOMBE","76561","46810","1196","0","0","0","68186","169656","11226","408","0","0","0","0","11463","2751","86761","102243","3749","192753","0"
"BURKE","19243","20149","244","0","0","0","17905","51579","3445","81","0","0","0","0","2436","615","26918","30353","270","57541","0"
"CABARRUS","40094","47958","600","0","0","0","38878","96168","22110","336","0","0","0","0","8916","3501","57368","67932","2230","127530","0"
"CALDWELL","15097","24141","314","0","0","0","14656","49726","2891","59","0","0","0","0","1532","628","25645","28280","283","54208","0"
"CAMDEN","2514","2234","36","0","0","0","2737","6159","1103","14","0","0","0","0","245","29","3618","3837","66","7521","0"
"CARTERET","12837","21472","213","0","0","0","17003","46802","2742","102","0","0","0","0","1879","418","23720","26814","991","51525","0"
"CASWELL","8194","3559","30","0","0","0","3566","9564","5339","22","0","0","0","0","424","95","6924","8252","173","15349","0"
"CATAWBA","27157","43673","351","0","0","0","30795","86564","9402","122","0","0","0","0","5888","2126","46900","54228","848","101976","0"
"CHATHAM","20335","12807","200","0","0","0","16400","39624","6367","104","0","0","0","0","3647","1157","21926","25903","1913","49742","0"
"CHEROKEE","6561","9679","112","0","0","0","7054","22595","255","142","0","0","0","0","414","155","10961","12378","67","23406","0"
