"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36551","37914","639","43","0","0","0","0","41947","74865","24014","264","20","1269","648","10038","5976","7222","48482","58477","10135","117094","1"
"ALEXANDER","3765","12617","115","5","0","0","0","0","9048","22145","933","32","2","153","37","1781","467","569","11428","12252","1870","25550","1"
"ALLEGHANY","1569","3556","35","1","0","0","0","0","2922","7079","76","11","0","5","13","737","162","243","3583","3818","682","8083","1"
"ANSON","7829","3362","53","5","0","0","0","0","4603","6651","6066","32","2","90","23","2743","245","190","5887","7150","2815","15852","1"
"ASHE","3437","9434","97","5","0","0","0","0","7356","18469","112","25","3","56","19","1383","262","346","9050","9945","1334","20329","1"
"AVERY","1135","7052","63","4","0","0","0","0","3990","11009","55","16","0","27","14","983","140","131","5447","5894","903","12244","1"
"BEAUFORT","9206","13110","126","9","0","0","0","0","10871","23366","6492","39","3","61","54","2515","792","744","14060","16576","2686","33322","1"
"BERTIE","7019","1774","40","1","0","0","0","0","3346","4531","6598","17","1","28","15","917","73","54","5026","6229","925","12180","1"
"BLADEN","8216","5817","76","8","0","0","0","0","8327","12365","7049","397","6","26","88","1963","550","637","9482","11269","1693","22444","1"
"BRUNSWICK","27142","57219","701","34","0","0","0","0","54077","115425","9018","402","12","613","244","10705","2754","2514","58926","68117","12130","139173","1"
"BUNCOMBE","71301","44756","1523","225","0","0","0","0","92997","173376","10039","363","44","1627","1010","18152","6191","5960","89449","104457","16896","210802","1"
"BURKE","11492","24745","349","20","0","0","0","0","22812","49406","3040","95","2","955","130","4219","1571","1601","25927","28888","4603","59418","1"
"CABARRUS","43018","51665","1091","110","0","0","0","0","61861","96212","32335","418","21","4091","704","15743","8221","8391","65659","76834","15252","157745","1"
"CALDWELL","8797","27736","342","16","0","0","0","0","18381","45859","2535","77","0","205","145","5349","1102","1314","24295","26997","3980","55272","1"
"CAMDEN","1201","3262","67","6","0","0","0","0","3695","6629","861","8","2","35","16","525","155","74","3686","3964","581","8231","1"
"CARTERET","8532","26381","340","20","0","0","0","0","21118","48659","2072","99","7","315","123","4259","857","819","24431","27487","4473","56391","1"
"CASWELL","5514","4648","58","1","0","0","0","0","5123","9553","4325","24","1","37","46","1094","264","283","6643","7572","1129","15344","1"
"CATAWBA","19532","50666","653","50","0","0","0","0","44259","88611","8799","158","10","2646","319","9407","5210","5504","49786","55420","9954","115160","1"
"CHATHAM","20813","14858","304","27","0","0","0","0","26726","45516","5758","124","10","1258","257","7376","2429","2662","25614","29761","7353","62728","1"
