"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"LENOIR","16907","10162","142","0","0","9759","18574","14584","63","3","3746","702","15121","18986","2863","36970"
"LINCOLN","12180","30879","442","0","0","22365","55851","3492","91","0","6432","1917","29490","32037","4339","65866"
"MACON","5243","12213","164","0","0","10096","25464","188","64","1","1999","456","12811","14501","404","27716"
"MADISON","5324","4791","127","0","0","6790","15476","141","32","0","1383","180","7655","8112","1265","17032"
"MARTIN","8165","3450","50","0","0","4613","8687","6554","26","0","1011","165","6930","8646","702","16278"
"MCDOWELL","6009","12692","171","0","0","10672","26889","814","37","1","1803","515","13462","14918","1164","29544"
"MECKLENBURG","335597","162235","6111","0","0","290348","411045","246427","2140","43","134636","42217","336786","402782","54723","794291"
"MITCHELL","1092","6521","46","0","0","3472","10022","40","13","1","1055","121","4965","5432","734","11131"
"MONTGOMERY","5660","6265","86","0","0","5331","12134","3196","46","0","1966","739","7740","8650","952","17342"
"MOORE","15794","30918","597","0","0","27503","60040","7754","352","5","6661","1615","32921","38793","3098","74812"
"NASH","29781","19468","301","0","0","18168","34334","26541","340","5","6498","1614","28802","35064","3852","67718"
"NEW HANOVER","51604","53952","1514","1","0","71195","137282","19759","392","11","20822","3791","74656","87417","16193","178266"
"NORTHAMPTON","8329","1544","45","0","0","3288","5187","7317","33","0","669","58","5752","6825","629","13206"
"ONSLOW","24170","44521","1652","0","0","46058","79062","18102","426","23","18788","6403","49053","57675","9673","116401"
"ORANGE","50879","13789","604","0","0","43323","76050","11704","260","0","20581","3999","45138","53353","10104","108595"
"PAMLICO","2905","3828","56","0","0","2957","7569","1420","27","0","730","94","4314","4921","511","9746"
"PASQUOTANK","11111","7191","202","0","0","10172","16202","9745","40","1","2688","363","12281","14631","1764","28676"
"PENDER","11292","18703","410","0","0","16696","36373","5925","117","3","4683","1149","20813","23138","3150","47101"
"PERQUIMANS","3093","3390","58","0","0","3521","7453","2023","20","2","564","54","4481","5136","445","10062"
"PERSON","9896","7984","122","0","0","9556","17995","6912","120","3","2528","462","11916","13937","1705","27558"
"PITT","48966","30168","761","0","0","38869","63990","40113","242","3","14416","2985","48356","60871","9537","118764"
"POLK","3711","6043","113","0","0","6393","14427","601","11","2","1219","243","7259","8512","489","16260"
"RANDOLPH","15898","49707","596","0","0","29329","78754","5963","312","7","10494","3434","42566","47446","5518","95530"
"RICHMOND","12336","7105","120","0","0","8350","16520","8730","388","0","2273","471","12207","14476","1228","27911"
"ROBESON","36451","12717","215","0","0","21946","20223","18733","24719","8","7646","1946","30661","38389","2279","71329"
"ROCKINGHAM","18539","23914","322","0","0","18351","42711","11148","99","0","7168","1108","27502","32237","1387","61126"
"ROWAN","23587","41309","583","0","0","31457","70895","15559","196","6","10280","2673","42156","47976","6804","96936"
"RUTHERFORD","10847","19644","249","0","0","15484","37617","4100","63","0","4444","812","20107","23090","3027","46224"
"SAMPSON","13370","15167","188","0","0","9311","22205","10253","543","0","5035","2553","16507","19682","1847","38036"
"SCOTLAND","10125","4302","77","0","0","6426","9505","7947","1622","5","1851","191","8583","11027","1320","20930"
"STANLY","8859","20620","198","0","0","13829","33860","4388","85","2","5171","570","18592","20929","3985","43506"
"STOKES","5663","16795","182","0","0","9555","27687","1190","51","0","3267","392","15221","16680","294","32195"
"SURRY","9970","21802","214","0","0","15245","40331","1733","50","1","5116","1899","20801","23536","2894","47231"
"SWAIN","3042","3020","67","0","0","3765","7565","100","1575","1","653","84","4450","5085","359","9894"
"TRANSYLVANIA","5949","8519","149","0","0","11799","23560","777","50","0","2029","229","11586","13357","1473","26416"
"TYRRELL","1083","434","8","0","0","762","1412","654","4","0","217","35","1011","1116","160","2287"
"UNION","39084","68087","1093","0","0","60534","122243","19216","479","7","26853","7919","73804","82294","12700","168798"
"VANCE","17015","4910","107","0","0","6659","11462","14415","58","1","2755","682","11878","15116","1697","28691"
"WAKE","289231","179307","6432","5","0","330484","496956","147631","2021","40","158811","32674","341215","390770","73474","805459"
"WARREN","8082","2164","40","0","0","2814","5293","6353","539","2","913","107","5675","6787","638","13100"
"WASHINGTON","4854","1338","19","0","0","1899","3678","3890","11","0","531","62","3447","4318","345","8110"
"WATAUGA","11340","12684","418","0","0","19376","38448","850","61","4","4455","1117","19110","21799","2909","43818"
"WAYNE","28181","25303","434","0","0","21262","41663","23988","125","3","9401","2801","31671","38060","5449","75180"
"WILKES","7365","23817","203","0","0","12563","38588","1595","51","0","3714","882","19487","21565","2896","43948"
"WILSON","25671","13785","231","0","0","15507","27030","22133","105","0","5926","1642","23123","29132","2939","55194"
"YADKIN","3236","14082","126","0","0","7358","21723","737","29","0","2313","883","11178","12212","1412","24802"
"YANCEY","4055","5466","71","0","0","4857","13293","74","22","1","1059","121","6577","7125","747","14449"
