"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36503","38219","620","47","0","0","0","0","45108","76232","24714","266","20","1341","633","10421","6870","7946","49828","60120","10549","120497","1","0"
"ALEXANDER","3587","12713","113","5","0","0","0","0","9331","22333","941","32","1","169","37","1717","519","613","11569","12340","1840","25749","1","0"
"ALLEGHANY","1486","3616","32","2","0","0","0","0","3061","7178","79","12","0","8","12","705","203","276","3673","3874","650","8197","1","0"
"ANSON","7617","3417","57","6","0","0","0","0","4872","6759","6119","31","2","95","25","2655","283","224","5959","7265","2745","15969","1","0"
"ASHE","3308","9633","101","5","0","0","0","0","7716","18888","119","27","2","58","17","1363","289","369","9310","10147","1306","20763","1","0"
"AVERY","1119","7097","66","5","0","0","0","0","4176","11214","56","17","0","31","14","958","173","150","5558","6026","879","12463","1","0"
"BEAUFORT","8777","13322","122","13","0","0","0","0","11719","23786","6473","38","3","61","53","2667","872","812","14308","16791","2854","33953","1","0"
"BERTIE","6950","1801","41","2","0","0","0","0","3931","4596","6669","17","0","29","16","1315","83","60","5084","6315","1326","12725","1","0"
"BLADEN","7945","6020","71","11","0","0","0","0","8857","12522","7027","386","7","28","86","2213","635","694","9565","11379","1960","22904","1","0"
"BRUNSWICK","27710","60481","737","55","0","0","0","0","58947","123222","9543","434","10","687","236","10552","3246","2904","62901","72799","12230","147930","1","0"
"BUNCOMBE","71379","44845","1539","266","0","0","0","0","99229","177759","10471","368","42","1710","1008","18987","6913","6501","92222","107211","17825","217258","1","0"
"BURKE","11182","25188","361","29","0","0","0","0","23782","50302","3076","99","2","1006","126","4141","1790","1783","26494","29481","4567","60542","1","0"
"CABARRUS","43668","52102","1065","130","0","0","0","0","65706","98254","33850","438","20","4475","695","15632","9307","9240","67929","79369","15373","162671","1","0"
"CALDWELL","8549","27893","342","18","0","0","0","0","19215","46120","2553","76","0","225","142","5650","1251","1436","24590","27291","4136","56017","1","0"
"CAMDEN","1188","3468","65","8","0","0","0","0","3927","6859","871","9","2","45","15","671","184","93","3841","4080","735","8656","1","0"
"CARTERET","8269","26831","334","23","0","0","0","0","22237","49842","2096","107","8","334","121","4210","976","887","25099","28145","4450","57694","1","0"
"CASWELL","5391","4830","58","3","0","0","0","0","5346","9775","4355","24","1","36","50","1092","295","311","6776","7715","1137","15628","1","0"
"CATAWBA","19609","51417","674","57","0","0","0","0","46951","90986","9043","155","9","2813","314","9488","5900","6021","51368","57189","10151","118708","1","0"
"CHATHAM","20964","14990","300","31","0","0","0","0","28018","46763","5831","134","9","1389","239","7129","2809","2904","26404","30648","7251","64303","1","0"
"CHEROKEE","2955","13308","153","9","0","0","0","0","8485","23110","257","118","2","109","29","961","324","291","11788","12569","553","24910","1","0"
"CHOWAN","3113","3288","48","2","0","0","0","0","3777","6669","2516","16","6","20","25","827","149","109","4444","5250","534","10228","1","0"
"CLAY","1267","5152","55","2","0","0","0","0","3753","9553","43","16","0","19","9","493","96","111","4659","5106","464","10229","1","0"
"CLEVELAND","17968","27749","399","20","0","0","0","0","23435","47953","13149","96","8","392","211","6219","1543","1362","29307","34120","6144","69571","1","0"
"COLUMBUS","11599","11922","127","10","0","0","0","0","13636","22500","9945","973","4","61","80","2976","755","729","15799","18536","2959","37294","1","0"
"CRAVEN","18523","29067","553","50","0","0","0","0","29119","53801","13615","180","8","1323","260","5214","2911","2551","33112","38917","5283","77312","1","0"
"CUMBERLAND","82909","50904","1768","177","0","0","0","0","87869","86080","86467","2440","123","3770","1931","26656","16160","15599","88409","109329","25889","223627","1","0"
"CURRITUCK","3020","10754","205","7","0","0","0","0","10830","21224","1214","41","3","142","63","1574","555","329","11284","11945","1587","24816","1","0"
"DARE","6114","11501","214","19","0","0","0","0","14954","29606","543","35","1","128","60","1696","733","460","14903","16161","1738","32802","1","0"
"DAVIDSON","20713","59213","673","43","0","0","0","0","42120","95246","11475","258","7","1026","262","10187","4301","4379","52862","59450","10450","122762","1","0"
"DAVIE","4444","17142","160","15","0","0","0","0","12004","28149","1962","41","0","167","82","2372","992","1148","14944","16573","2248","33765","1","0"
"DUPLIN","9604","10701","126","11","0","0","0","0","11979","18688","7808","62","3","65","119","3557","2119","2742","13586","15762","3073","32421","1","0"
"DURHAM","122660","22560","1012","221","0","0","0","0","101057","116347","72480","566","45","9638","2524","32847","13063","14305","95689","121355","30466","247510","1","0"
"EDGECOMBE","18741","6901","118","18","0","0","0","0","10135","12087","18275","58","2","58","87","4572","774","804","13629","17726","4558","35913","1","0"
"FORSYTH","94672","71178","1610","198","0","0","0","0","106411","161282","65055","504","37","3860","1424","27719","14188","16314","110672","136816","26581","274069","1","0"
"FRANKLIN","16541","17851","370","21","0","0","0","0","22069","35711","12581","136","5","428","183","5168","2640","2675","23731","27053","6068","56852","1","0"
"GASTON","40292","62735","1168","78","0","0","0","0","59934","110980","30018","334","19","1615","632","13345","7264","7936","69792","82205","12210","164207","1","0"
"GATES","2932","2366","33","4","0","0","0","0","2940","5255","2326","17","0","10","38","539","90","62","3627","4054","594","8275","1","0"
"GRAHAM","899","3275","27","0","0","0","0","0","2056","5669","11","271","1","14","5","231","55","49","2964","3087","206","6257","1","0"
"GRANVILLE","14691","11718","226","10","0","0","0","0","15196","22463","10826","74","2","187","180","6692","1417","1411","16229","18568","7044","41841","1","0"
"GREENE","4249","2744","29","6","0","0","0","0","3992","5955","3541","9","1","15","14","900","585","619","4663","5553","804","11020","1","0"
"GUILFORD","152152","88570","1974","247","0","0","0","0","149732","193495","129324","998","57","11088","2524","36623","18566","17381","162765","202224","27686","392675","1","0"
"HALIFAX","18234","4840","94","8","0","0","0","0","11530","13274","17143","954","4","188","119","2566","458","373","14424","17766","2516","34706","1","0"
"HARNETT","24217","34682","802","80","0","0","0","0","36157","58491","18827","487","34","910","501","10240","6448","7032","39834","46351","9753","95938","1","0"
"HAYWOOD","10807","17352","312","33","0","0","0","0","19761","44256","503","141","0","180","95","2338","752","826","21847","24723","1695","48265","1","0"
"HENDERSON","16969","32562","623","64","0","0","0","0","42022","79477","2428","154","17","606","371","5926","3261","3650","39621","46824","5795","92240","1","0"
"HERTFORD","7895","1718","40","5","0","0","0","0","4020","4500","7773","89","3","42","48","1064","159","115","5570","7109","999","13678","1","0"
"HOKE","12966","8138","308","27","0","0","0","0","15634","13846","12939","1954","21","398","222","4742","2951","2922","15202","17967","3904","37073","1","0"
"HYDE","1139","740","13","0","0","0","0","0","1152","2284","505","2","0","2","5","173","73","76","1357","1523","164","3044","1","0"
"IREDELL","27578","61677","912","54","0","0","0","0","59546","114021","16574","218","14","1860","402","10581","6097","6355","65869","72632","11266","149767","1","0"
"JACKSON","7594","8873","228","28","0","0","0","0","14027","24427","564","1562","9","231","176","2987","794","908","13088","14700","2962","30750","1","0"
"JOHNSTON","41029","61664","1191","94","0","0","0","0","66572","111403","28855","453","30","1341","573","17483","10412","12014","72946","83808","13796","170550","1","0"
"JONES","2110","2421","31","0","0","0","0","0","2496","4324","1797","13","3","20","22","753","126","139","2969","3348","741","7058","1","0"
"LEE","11933","12973","318","24","0","0","0","0","16377","26278","7387","138","8","343","239","3866","3366","4237","17450","20626","3549","41625","1","0"
"LENOIR","14581","10701","135","20","0","0","0","0","12676","18403","13974","52","5","109","115","4387","1068","1088","14859","18923","4331","38113","1","0"
"LINCOLN","11067","33991","416","21","0","0","0","0","25044","58702","3834","90","3","376","150","5186","2198","2544","31124","33976","5439","70539","1","0"
"MACON","4478","12750","183","11","0","0","0","0","12182","26890","213","68","1","123","57","1492","760","795","13784","15325","495","29604","1","0"
"MADISON","4481","5119","119","15","0","0","0","0","7934","15604","113","30","4","68","38","1568","243","210","7617","8215","1836","17668","1","0"
"MARTIN","6823","3672","61","7","0","0","0","0","5943","8551","5841","26","1","25","48","1743","271","250","6558","8233","1715","16506","1","0"
"MCDOWELL","4841","13965","184","12","0","0","0","0","12166","27961","846","42","0","160","114","1310","735","756","14204","15402","1562","31168","1","0"
"MECKLENBURG","322456","157304","5417","586","0","0","0","0","351017","416958","249467","2128","96","26600","4717","83569","53245","54966","347275","415971","73534","836780","1","0"
"MITCHELL","925","6383","53","4","0","0","0","0","3850","9946","50","12","1","20","14","1044","128","161","4954","5397","864","11215","1","0"
"MONTGOMERY","4354","6751","73","7","0","0","0","0","6110","12027","2710","46","1","183","42","1460","826","955","7515","8422","1358","17295","1","0"
"MOORE","14728","33712","605","26","0","0","0","0","32228","64929","7322","404","8","785","243","4869","2739","2411","35650","41446","4203","81299","1","0"
"NASH","25074","19918","265","23","0","0","0","0","26090","34446","26320","363","6","388","257","7150","2440","2375","28928","35204","7238","71370","1","0"
"NEW HANOVER","49186","54807","1346","137","0","0","0","0","82827","142030","18170","425","16","1688","741","19720","5513","5093","76426","90903","20974","188303","1","0"
"NORTHAMPTON","6993","1646","32","2","0","0","0","0","4170","5032","6577","30","0","11","16","1075","102","90","5436","6312","1095","12843","1","0"
"ONSLOW","21688","51265","1670","79","0","0","0","0","59541","89395","19028","498","72","1966","757","13678","8849","9271","57134","64194","12915","134243","1","0"
"ORANGE","49292","13121","463","83","0","0","0","0","48923","75637","11413","231","9","5742","1008","12709","5133","4967","45397","54151","12334","111882","1","0"
"PAMLICO","2435","4326","51","5","0","0","0","0","3472","8054","1317","25","1","46","16","677","153","145","4598","5031","660","10289","1","0"
