"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38007","32661","483","0","0","0","28171","71003","20509","274","0","0","0","0","7536","2952","43589","53466","2267","99322","0"
"ALEXANDER","6181","10687","77","0","0","0","7121","22259","982","33","0","0","0","0","792","238","11447","12315","304","24066","0"
"ALLEGHANY","2669","2550","36","0","0","0","2077","6978","81","12","0","0","0","0","261","168","3449","3796","87","7332","0"
"ANSON","11620","2447","23","0","0","0","3115","7352","7535","36","0","0","0","0","2282","62","6917","8209","2079","17205","0"
"ASHE","5379","7990","68","0","0","0","5307","18177","111","18","0","0","0","0","438","181","8822","9775","147","18744","0"
"AVERY","1401","6811","48","0","0","0","3310","11153","72","20","0","0","0","0","325","77","5348","6106","116","11570","0"
"BEAUFORT","13244","10643","98","0","0","0","8751","23102","8090","39","0","0","0","0","1505","337","14602","17286","848","32736","0"
"BERTIE","9997","1537","24","0","0","0","2359","4939","8415","18","0","0","0","0","545","24","6029","7517","371","13917","0"
"BLADEN","13030","3553","40","0","0","0","5981","13126","8343","418","0","0","0","0","717","328","10334","12132","138","22604","0"
"BRUNSWICK","26848","36504","359","0","0","0","33810","83899","8849","289","0","0","0","0","4484","1024","44341","51125","2055","97521","0"
"BUNCOMBE","74454","45873","1349","0","0","0","69974","167112","10811","405","0","0","0","0","13322","3091","85768","100855","5027","191650","0"
"BURKE","18330","20496","257","0","0","0","18424","51226","3453","90","0","0","0","0","2738","729","26949","30215","343","57507","0"
"CABARRUS","40964","48729","738","0","0","0","42464","97792","23821","355","0","0","0","0","10927","4188","59705","70413","2777","132895","0"
"CALDWELL","14217","24458","354","0","0","0","15314","49824","2814","75","0","0","0","0","1630","707","25730","28259","354","54343","0"
"CAMDEN","2357","2379","44","0","0","0","2843","6247","1087","12","0","0","0","0","277","29","3667","3887","69","7623","0"
"CARTERET","12110","21937","244","0","0","0","17348","46787","2682","103","0","0","0","0","2067","448","23684","26757","1198","51639","0"
"CASWELL","7891","3636","35","0","0","0","3840","9562","5247","24","0","0","0","0","569","123","6934","8214","254","15402","0"
"CATAWBA","25922","44016","411","0","0","0","32206","86386","9230","137","0","0","0","0","6802","2476","47204","54204","1147","102555","0"
"CHATHAM","20469","13117","228","0","0","0","17835","40642","6354","106","0","0","0","0","4547","1371","22656","26525","2468","51649","0"
"CHEROKEE","5906","9745","128","0","0","0","7114","22067","251","139","0","0","0","0","436","168","10768","12062","63","22893","0"
"CHOWAN","4867","2598","24","0","0","0","2665","6680","3153","12","0","0","0","0","309","38","4518","5545","91","10154","0"
"CLAY","1968","3503","40","0","0","0","2959","8180","40","16","0","0","0","0","234","50","4001","4361","108","8470","0"
"CLEVELAND","26159","20809","230","0","0","0","16879","47740","13828","97","0","0","0","0","2412","556","28890","34210","977","64077","0"
"COLUMBUS","20941","6960","56","0","0","0","8746","23136","11555","1031","0","0","0","0","981","253","16588","19870","245","36703","0"
"CRAVEN","23030","23676","344","0","0","0","20541","48559","14966","156","0","0","0","0","3910","1365","30412","36145","1034","67591","0"
"CUMBERLAND","97482","48695","1101","0","0","0","64255","94919","87021","2321","0","0","0","0","27272","11173","90309","110940","10284","211533","0"
"CURRITUCK","3974","6968","146","0","0","0","7941","17311","1030","46","0","0","0","0","642","136","9104","9685","240","19029","0"
"DARE","8748","8992","203","0","0","0","11173","27590","567","35","0","0","0","0","924","217","13824","15023","269","29116","0"
"DAVIDSON","26804","49594","446","0","0","0","29199","91255","9978","267","0","0","0","0","4543","1606","49062","55903","1078","106043","0"
"DAVIE","5432","14901","108","0","0","0","8725","25881","1941","36","0","0","0","0","1308","448","13585","15325","256","29166","0"
"DUPLIN","14013","8200","118","0","0","0","7536","18837","8957","48","0","0","0","0","2025","1408","13114","15969","784","29867","0"
"DURHAM","121627","27972","1066","0","0","0","68748","109098","81177","595","0","0","0","0","28543","7529","93459","117819","8135","219413","0"
"EDGECOMBE","26787","6184","78","0","0","0","5022","13819","23102","64","0","0","0","0","1086","350","16583","21102","386","38071","0"
"FORSYTH","103853","75655","1219","0","0","0","72531","163211","69075","509","0","0","0","0","20463","8349","110199","135919","7140","253258","0"
"FRANKLIN","18045","13163","188","0","0","0","11798","29054","11458","130","0","0","0","0","2552","861","19791","22254","1149","43194","0"
"GASTON","44364","53868","668","0","0","0","42366","108448","23428","354","0","0","0","0","9036","3146","62963","75192","3111","141266","0"
"GATES","4577","1748","26","0","0","0","2153","5249","2902","14","0","0","0","0","339","32","3823","4385","296","8504","0"
"GRAHAM","1904","2782","20","0","0","0","1599","5849","4","308","0","0","0","0","144","42","3024","3216","65","6305","0"
"GRANVILLE","18678","9404","143","0","0","0","9970","23757","12359","81","0","0","0","0","1998","675","16832","19835","1528","38195","0"
"GREENE","6534","2070","22","0","0","0","2710","6455","4313","10","0","0","0","0","558","352","5177","6068","91","11336","0"
"GUILFORD","166909","94615","1720","0","0","0","101417","206092","127219","1042","0","0","0","0","30308","8605","160138","199741","4782","364661","0"
"HALIFAX","25206","4660","82","0","0","0","7999","14955","20494","1125","0","0","0","0","1373","232","16671","20816","460","37947","0"
"HARNETT","26267","25543","497","0","0","0","20951","49614","16545","490","0","0","0","0","6609","2954","32611","39110","1537","73258","0"
"HAYWOOD","16553","13213","235","0","0","0","13648","41870","455","102","0","0","0","0","1222","335","20155","23202","292","43649","0"
"HENDERSON","18030","31283","433","0","0","0","33025","75898","2430","155","0","0","0","0","4288","1750","37380","44187","1204","82771","0"
"HERTFORD","11129","1479","35","0","0","0","2593","5015","9620","104","0","0","0","0","497","80","6525","8541","170","15236","0"
"HOKE","15062","6704","189","0","0","0","9666","14033","12409","2283","0","0","0","0","2896","1784","14280","17297","44","31621","0"
"HYDE","1979","531","11","0","0","0","869","2488","809","3","0","0","0","0","90","22","1582","1758","50","3390","0"
"IREDELL","29924","48550","547","0","0","0","37817","96619","13732","211","0","0","0","0","6276","2612","54682","60914","1242","116838","0"
"JACKSON","10097","7405","165","0","0","0","10226","23781","646","1573","0","0","0","0","1893","442","12409","14384","1100","27893","0"
"JOHNSTON","38146","47105","668","0","0","0","36561","94134","19809","354","0","0","0","0","8183","4253","56107","64666","1707","122480","0"
"JONES","3535","1809","22","0","0","0","1832","4551","2397","14","0","0","0","0","236","74","3319","3798","81","7198","0"
"LEE","14685","10209","161","0","0","0","10789","24966","7672","137","0","0","0","0","3069","2154","16070","19371","403","35844","0"
"LENOIR","20901","9469","108","0","0","0","7842","20514","16373","63","0","0","0","0","1370","493","16793","20940","587","38320","0"
"LINCOLN","13980","24550","244","0","0","0","17300","50361","3151","91","0","0","0","0","2471","1241","26334","28980","760","56074","0"
"MACON","6522","10310","123","0","0","0","8467","24401","176","58","0","0","0","0","787","254","11701","13529","192","25422","0"
"MADISON","6535","4358","98","0","0","0","5707","15896","170","27","0","0","0","0","605","120","7912","8389","397","16698","0"
"MARTIN","10083","3344","39","0","0","0","3360","9063","7368","21","0","0","0","0","374","97","7547","9152","127","16826","0"
"MCDOWELL","8354","10950","148","0","0","0","9487","27463","871","32","0","0","0","0","573","284","13674","15265","0","28939","0"
"MECKLENBURG","313084","170135","4234","0","0","0","224466","398302","232613","2044","0","0","0","0","78960","28958","315693","380157","16069","711919","0"
"MITCHELL","1135","6627","30","0","0","0","3143","10562","31","8","0","0","0","0","334","88","5152","5677","106","10935","0"
"MONTGOMERY","7105","4953","55","0","0","0","4110","11752","3424","46","0","0","0","0","1001","471","7488","8547","188","16223","0"
"MOORE","16422","26944","332","0","0","0","22386","54904","8161","331","0","0","0","0","2688","959","30112","35956","16","66084","0"
"NASH","33084","18620","195","0","0","0","13745","36320","26058","311","0","0","0","0","2955","1062","29385","35596","663","65644","0"
"NEW HANOVER","52284","52666","1144","0","0","0","59527","132219","21325","381","0","0","0","0","11696","2681","72639","85550","7432","165621","0"
"NORTHAMPTON","10411","1449","20","0","0","0","2537","5533","8496","32","0","0","0","0","356","36","6356","7760","301","14417","0"
"ONSLOW","27398","37705","870","0","0","0","37809","74836","18692","375","0","0","0","0","9879","5077","46697","55245","1840","103782","0"
"ORANGE","52157","16580","719","0","0","0","43033","82533","12959","277","0","0","0","0","16720","3470","48676","58355","5458","112489","0"
"PAMLICO","3814","3077","36","0","0","0","2618","7460","1720","28","0","0","0","0","337","57","4415","4983","147","9545","0"
"PASQUOTANK","13094","6040","163","0","0","0","8945","16057","10608","54","0","0","0","0","1523","232","12602","15017","623","28242","0"
"PENDER","12649","14973","228","0","0","0","12099","31621","6367","90","0","0","0","0","1871","669","18606","20747","596","39949","0"
"PERQUIMANS","4081","2666","31","0","0","0","3170","7350","2359","22","0","0","0","0","217","46","4653","5267","28","9948","0"
"PERSON","12046","6609","99","0","0","0","7729","18159","7237","116","0","0","0","0","971","273","11953","14229","301","26483","0"
"PITT","55434","31757","703","0","0","0","33373","71063","42059","250","0","0","0","0","7895","2359","52041","65455","3771","121267","0"
"POLK","4384","5508","79","0","0","0","5764","14507","727","13","0","0","0","0","488","182","7186","8416","133","15735","0"
"RANDOLPH","18821","45533","410","0","0","0","25687","79943","5671","275","0","0","0","0","4562","2546","42169","47354","928","90451","0"
