"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37123","36270","690","20","3","0","38013","73129","23118","255","9","15608","5733","46782","56756","8581","112119"
"ALEXANDER","4222","12061","121","3","2","0","8467","21841","944","34","1","2056","482","11280","12046","1550","24876"
"ALLEGHANY","1801","3277","40","0","2","0","2739","6991","74","7","0","787","225","3497","3774","588","7859"
"ANSON","8921","3062","52","1","0","0","4026","6771","6459","30","1","2801","127","6103","7385","2574","16062"
"ASHE","3804","9109","105","1","2","0","6924","18366","111","25","2","1441","305","9003","9882","1060","19945"
"AVERY","1289","7248","59","1","0","0","4019","11443","58","20","0","1095","106","5637","6170","809","12616"
"BEAUFORT","10372","12597","141","2","0","0","10744","23681","7121","41","2","3011","632","14485","17054","2317","33856"
"BERTIE","7725","1663","38","0","0","0","3183","4570","7128","19","1","891","54","5277","6568","764","12609"
"BLADEN","9318","5383","89","2","0","0","7496","12572","7482","403","3","1828","567","9753","11513","1022","22288"
"BRUNSWICK","27198","51723","690","18","7","0","48579","106586","8808","372","9","12440","1932","54490","63083","10642","128215"
"BUNCOMBE","72802","44542","1632","70","11","0","86350","170797","10039","340","45","24186","5120","87498","102709","15200","205407"
"BURKE","12672","23267","349","7","0","0","21934","48718","3054","91","1","6365","1327","25506","28499","4224","58229"
"CABARRUS","43418","50894","1210","41","15","0","56995","96401","30659","388","11","25114","6972","63926","75165","13482","152573"
"CALDWELL","9457","26363","363","5","2","0","17258","45935","2535","71","0","4907","1109","23719","26220","3509","53448"
"CAMDEN","1419","3115","74","0","2","0","3720","6841","922","10","1","556","55","3804","4104","422","8330"
"CARTERET","9416","25624","353","6","6","0","20286","48130","2208","100","9","5244","681","24138","27306","4247","55691"
"CASWELL","6015","4190","57","1","0","0","4828","9336","4530","22","1","1202","220","6606","7547","938","15091"
"CATAWBA","20272","47720","659","15","22","0","41447","85828","8611","145","4","15547","4653","48042","53651","8442","110135"
"CHATHAM","21062","14169","329","9","3","0","24431","44180","5841","121","3","9858","2199","24745","28826","6432","60003"
"CHEROKEE","3365","11611","146","1","1","0","7718","21265","239","120","1","1217","227","10749","11622","471","22842"
"CHOWAN","3634","3128","43","0","0","0","3480","6699","2827","12","4","743","84","4446","5460","379","10285"
"CLAY","1385","4677","58","0","0","0","3508","9030","42","17","0","539","87","4406","4813","409","9628"
"CLEVELAND","19967","25724","399","9","2","0","20848","46721","13170","86","4","6968","1016","28521","33170","5258","66949"
"COLUMBUS","14331","10650","109","4","0","0","11154","21954","10275","945","4","3070","515","15574","18428","2246","36248"
"CRAVEN","20069","27790","578","13","12","0","26341","52281","14116","173","8","8225","2070","32126","38141","4536","74803"
"CUMBERLAND","86941","48308","1808","50","12","0","73185","85223","83797","2328","66","38890","13294","84394","105349","20561","210304"
"CURRITUCK","3423","9975","216","4","0","0","10075","20591","1183","44","3","1872","226","10912","11519","1262","23693"
"DARE","7542","11252","255","10","2","0","13679","29597","542","36","1","2564","335","14725","16224","1791","32740"
"DAVIDSON","21306","55291","672","10","11","0","37099","91073","10465","242","7","12602","3080","49629","56300","8460","114389"
"DAVIE","4685","16340","162","9","3","0","10858","27003","1909","44","1","3100","821","14241","15848","1968","32057"
"DUPLIN","10770","9682","134","5","2","0","10333","18152","8026","65","1","4682","2176","13063","15395","2468","30926"
"DURHAM","123971","23250","1192","60","20","0","83201","112186","72597","571","33","46307","11121","91666","116369","23659","231694"
"EDGECOMBE","20547","6580","104","2","4","0","6781","11984","19156","59","2","2817","579","13805","18148","2065","34018"
"FORSYTH","97320","70694","1695","58","13","0","91005","157671","64636","504","29","37945","12971","107087","131830","21868","260785"
"FRANKLIN","16785","15955","382","5","1","0","17830","32306","11848","138","3","6663","1771","21321","24520","5117","50958"
"GASTON","40380","59691","1163","20","20","0","52546","107099","26848","330","5","19538","5632","65341","77119","11360","153820"
"GATES","3472","2058","37","1","1","0","2593","5040","2457","16","0","649","53","3561","4051","550","8162"
"GRAHAM","1118","3026","32","0","1","0","1863","5490","9","260","1","280","35","2825","3014","201","6040"
"GRANVILLE","16014","10891","228","5","5","0","13028","22974","11424","78","4","5691","1147","16333","18971","4867","40171"
"GREENE","4893","2506","30","1","1","0","3453","5932","3770","12","0","1170","488","4687","5622","575","10884"
"GUILFORD","154843","88108","2199","66","26","0","126428","191850","123547","947","24","55302","13455","155930","194495","21245","371670"
"HALIFAX","20372","4803","99","2","3","0","10127","13528","18226","1028","4","2620","290","15092","18437","1877","35406"
"HARNETT","23925","30328","778","24","11","0","29175","52143","17209","470","17","14402","5130","35043","41162","8036","84241"
"HAYWOOD","12144","15970","308","9","4","0","16967","41903","466","115","1","2917","585","20434","23297","1671","45402"
"HENDERSON","17081","31757","620","11","6","0","38436","76405","2338","146","11","9011","2760","37678","44862","5371","87911"
"HERTFORD","8924","1546","36","0","2","0","3313","4462","8357","93","2","907","95","5732","7468","621","13821"
"HOKE","13697","7257","301","13","2","0","11605","12950","12451","1940","16","5518","2350","14253","17115","1507","32875"
"HYDE","1366","673","15","0","0","0","1097","2356","569","0","0","226","59","1399","1587","165","3151"
"IREDELL","27295","56204","875","23","6","0","51629","105961","14582","221","4","15264","4624","59995","66592","9445","136032"
"JACKSON","8466","8322","250","12","4","0","12301","24093","609","1518","5","3130","714","12785","14379","2191","29355"
"JOHNSTON","39744","56605","1206","42","26","0","54491","102509","25279","423","17","23886","8286","65885","75923","10306","152114"
"JONES","2528","2292","37","0","0","0","2237","4403","2052","11","1","627","100","3065","3523","506","7094"
"LEE","12509","11853","273","4","0","0","14299","25068","7264","143","6","6457","3282","16353","19538","3047","38938"
"LENOIR","16500","10367","149","10","2","0","10455","18708","14556","63","5","4151","797","15198","19062","3223","37483"
"LINCOLN","11751","31528","422","12","7","0","22816","56143","3560","86","2","6745","2032","29591","32143","4802","66536"
"MACON","4962","12296","188","2","0","0","10297","25425","193","61","1","2065","533","12841","14440","464","27745"
"MADISON","4982","4739","114","5","1","0","6953","15112","122","26","0","1534","184","7367","7984","1443","16794"
"MARTIN","7708","3467","51","1","0","0","4699","8536","6275","27","0","1088","181","6665","8457","804","15926"
"MCDOWELL","5659","12944","181","5","2","0","10794","26832","806","34","1","1912","584","13428","14875","1282","29585"
"MECKLENBURG","320605","153575","5895","179","6","0","290855","396966","235894","2029","58","136168","43331","323873","389817","57425","771115"
"MITCHELL","1049","6459","43","2","2","0","3559","9991","40","13","1","1069","137","4921","5414","779","11114"
"MONTGOMERY","5344","6372","84","2","3","0","5552","12160","3085","46","0","2066","773","7695","8595","1067","17357"
"MOORE","15080","30625","617","9","12","0","27641","59454","7405","342","6","6777","1696","32461","38149","3374","73984"
"NASH","28363","19267","305","7","7","0","18873","33776","25911","342","4","6789","1744","28176","34447","4199","66822"
"NEW HANOVER","50337","53229","1479","36","15","0","72220","136025","18945","377","13","21956","3946","73564","86516","17236","177316"
"NORTHAMPTON","7873","1581","41","3","1","0","3342","5092","7029","33","0","687","66","5582","6615","644","12841"
"ONSLOW","24303","46897","1781","22","27","0","49698","83537","18781","456","29","19925","7447","52428","60530","9770","122728"
"ORANGE","50198","13193","561","24","12","0","43410","74561","11407","234","1","21195","4151","44122","52347","10929","107398"
"PAMLICO","2849","4021","58","3","0","0","3164","7859","1436","26","0","774","110","4483","5049","563","10095"
"PASQUOTANK","10981","7468","212","7","2","0","10850","16623","9846","39","3","3009","416","12632","14870","2018","29520"
"PENDER","10865","19292","417","12","2","0","17397","36850","5744","120","4","5267","1264","20940","23271","3774","47985"
"PERQUIMANS","2931","3504","51","1","0","0","3640","7491","1961","19","2","654","59","4458","5127","542","10127"
