"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36466","38275","613","47","0","0","0","0","44791","76103","24650","263","20","1336","632","10414","6774","7859","49703","59956","10533","120192","1"
"ALEXANDER","3600","12749","112","4","0","0","0","0","9296","22349","942","32","1","168","37","1721","511","608","11580","12340","1841","25761","1"
"ALLEGHANY","1488","3632","34","2","0","0","0","0","3058","7187","80","12","0","8","12","717","198","271","3674","3879","661","8214","1"
"ANSON","7664","3425","58","6","0","0","0","0","4845","6750","6131","31","2","94","25","2684","281","221","5971","7261","2766","15998","1"
"ASHE","3329","9614","100","5","0","0","0","0","7652","18823","118","26","2","57","17","1372","285","365","9265","10119","1316","20700","1"
"AVERY","1120","7116","65","5","0","0","0","0","4156","11213","56","17","0","31","14","960","171","150","5563","6020","879","12462","1"
"BEAUFORT","8854","13336","119","12","0","0","0","0","11560","23762","6496","38","3","61","54","2601","866","807","14318","16773","2790","33881","1"
"BERTIE","6997","1803","41","2","0","0","0","0","3684","4616","6688","17","0","29","16","1081","80","58","5091","6343","1093","12527","1"
"BLADEN","8034","6015","71","10","0","0","0","0","8738","12521","7060","398","7","27","88","2145","622","687","9579","11389","1900","22868","1"
"BRUNSWICK","27525","60018","728","48","0","0","0","0","58216","121999","9487","433","10","676","237","10525","3168","2828","62318","72056","12161","146535","1"
"BUNCOMBE","71299","44924","1547","257","0","0","0","0","97994","177352","10416","365","43","1700","1000","18327","6818","6435","91907","106905","17209","216021","1"
"BURKE","11245","25195","357","30","0","0","0","0","23698","50279","3079","99","2","992","127","4180","1767","1766","26459","29453","4613","60525","1"
"CABARRUS","43554","52120","1074","130","0","0","0","0","65187","98073","33614","432","21","4429","698","15659","9139","9112","67624","79046","15395","162065","1"
"CALDWELL","8587","27909","338","18","0","0","0","0","19097","46119","2546","77","0","221","140","5604","1242","1424","24582","27264","4103","55949","1"
"CAMDEN","1198","3449","65","7","0","0","0","0","3853","6830","866","9","2","44","15","627","179","90","3822","4058","692","8572","1"
"CARTERET","8279","26800","337","25","0","0","0","0","22097","49687","2106","107","7","333","121","4209","968","884","25026","28058","4454","57538","1"
"CASWELL","5423","4807","59","4","0","0","0","0","5308","9752","4347","24","1","37","50","1099","291","304","6760","7696","1145","15601","1"
"CATAWBA","19593","51397","668","55","0","0","0","0","46509","90705","9025","154","9","2795","316","9414","5804","5956","51160","56971","10091","118222","1"
"CHATHAM","20958","15003","303","29","0","0","0","0","27862","46633","5821","133","9","1374","243","7177","2765","2875","26327","30538","7290","64155","1"
"CHEROKEE","2962","13228","152","9","0","0","0","0","8419","22980","254","117","2","108","29","962","318","289","11714","12504","552","24770","1"
"CHOWAN","3154","3280","47","2","0","0","0","0","3665","6651","2561","16","6","19","23","726","146","106","4422","5239","487","10148","1"
"CLAY","1256","5132","52","2","0","0","0","0","3738","9512","43","16","0","19","9","492","89","107","4639","5076","465","10180","1"
"CLEVELAND","18024","27800","396","19","0","0","0","0","23182","47876","13128","97","8","393","210","6182","1527","1352","29257","34059","6105","69421","1"
"COLUMBUS","11630","11920","125","10","0","0","0","0","13499","22468","9950","977","4","62","80","2900","743","712","15778","18533","2873","37184","1"
"CRAVEN","18546","29016","545","51","0","0","0","0","28869","53562","13620","181","8","1322","263","5210","2861","2513","32979","38766","5282","77027","1"
"CUMBERLAND","82835","50869","1759","170","0","0","0","0","86413","85761","86117","2428","124","3745","1947","26039","15885","15393","87982","108756","25308","222046","1"
"CURRITUCK","3022","10665","202","5","0","0","0","0","10719","21050","1199","41","4","138","63","1573","545","324","11181","11848","1584","24613","1"
"DARE","6122","11459","215","17","0","0","0","0","14839","29453","536","35","1","127","61","1715","724","450","14822","16078","1752","32652","1"
"DAVIDSON","20707","59270","671","38","0","0","0","0","41869","95152","11423","257","7","1022","262","10204","4228","4323","52726","59365","10464","122555","1"
"DAVIE","4448","17165","157","14","0","0","0","0","11901","28080","1960","41","0","163","83","2387","971","1134","14909","16521","2255","33685","1"
"DUPLIN","9622","10698","125","11","0","0","0","0","11833","18662","7813","62","3","65","120","3470","2094","2712","13551","15746","2992","32289","1"
"DURHAM","122374","22580","1025","213","0","0","0","0","100051","115822","72246","563","45","9539","2534","32654","12840","14151","95180","120792","30271","246243","1"
"EDGECOMBE","18815","6921","115","17","0","0","0","0","9895","12083","18317","59","2","58","89","4388","767","795","13642","17737","4384","35763","1"
