"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37040","36210","694","22","10","0","38116","73042","23152","255","10","15633","5757","46774","56707","8611","112092"
"ALEXANDER","4208","12037","121","3","8","0","8487","21815","944","35","1","2069","485","11263","12039","1562","24864"
"ALLEGHANY","1792","3303","41","0","5","0","2764","7029","74","7","0","795","231","3518","3796","591","7905"
"ANSON","8884","3070","53","1","2","0","4044","6768","6451","31","1","2803","131","6100","7376","2578","16054"
"ASHE","3780","9132","103","1","10","0","6984","18421","111","25","2","1451","312","9024","9925","1061","20010"
"AVERY","1290","7255","60","1","3","0","4047","11485","59","20","0","1092","108","5651","6197","808","12656"
"BEAUFORT","10322","12607","137","3","7","0","10757","23655","7123","42","2","3011","637","14480","17042","2311","33833"
"BERTIE","7699","1676","38","1","0","0","3172","4565","7118","20","1","882","54","5264","6559","763","12586"
"BLADEN","9285","5413","88","2","2","0","7552","12570","7485","405","3","1879","583","9759","11533","1050","22342"
"BRUNSWICK","27227","52018","695","17","30","0","49069","107340","8837","375","9","12495","1972","54842","63520","10694","129056"
"BUNCOMBE","72738","44406","1642","81","50","0","86665","170939","10045","338","43","24217","5174","87577","102812","15193","205582"
"BURKE","12613","23281","352","7","5","0","22005","48713","3045","90","1","6414","1345","25507","28494","4262","58263"
"CABARRUS","43425","50861","1215","45","59","0","57178","96334","30737","390","10","25312","7079","63979","75253","13551","152783"
"CALDWELL","9408","26346","370","5","8","0","17280","45864","2534","71","0","4948","1119","23700","26201","3516","53417"
"CAMDEN","1420","3153","73","0","4","0","3747","6890","927","10","1","569","58","3839","4126","432","8397"
"CARTERET","9412","25647","355","5","15","0","20376","48256","2212","103","9","5230","689","24168","27404","4238","55810"
"CASWELL","5993","4195","58","1","3","0","4852","9335","4532","22","1","1212","224","6607","7556","939","15102"
"CATAWBA","20163","47687","665","17","52","0","41605","85752","8599","143","4","15691","4689","47992","53605","8592","110189"
"CHATHAM","21032","14173","327","8","18","0","24497","44214","5831","122","3","9885","2230","24754","28843","6458","60055"
"CHEROKEE","3368","11740","148","1","5","0","7779","21458","243","120","1","1219","231","10846","11719","476","23041"
"CHOWAN","3676","3133","43","0","3","0","3482","6724","2859","12","5","737","85","4467","5491","379","10337"
"CLAY","1389","4726","59","0","2","0","3536","9116","42","17","0","537","89","4448","4861","403","9712"
"CLEVELAND","19874","25712","402","9","17","0","20879","46665","13155","86","4","6983","1023","28487","33135","5271","66893"
"COLUMBUS","14290","10680","112","5","0","0","11209","21985","10284","949","4","3074","519","15597","18446","2253","36296"
"CRAVEN","20038","27960","592","17","56","0","26574","52584","14131","175","8","8339","2132","32318","38349","4570","75237"
"CUMBERLAND","86807","48335","1817","55","71","0","73480","85277","83921","2319","65","38983","13395","84535","105493","20537","210565"
"CURRITUCK","3449","10131","217","4","8","0","10256","20897","1197","45","3","1923","236","11078","11700","1287","24065"
"DARE","7526","11297","265","10","12","0","13746","29698","550","37","1","2570","337","14776","16284","1796","32856"
"DAVIDSON","21325","55415","688","14","49","0","37286","91296","10543","240","7","12691","3123","49786","56473","8518","114777"
"DAVIE","4667","16320","159","8","11","0","10888","26991","1901","44","1","3116","829","14217","15852","1984","32053"
"DUPLIN","10782","9740","136","8","10","0","10396","18189","8058","67","1","4757","2267","13149","15455","2468","31072"
