"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38156","36453","711","1","0","0","37555","74222","23145","271","8","0","0","0","15230","5341","47167","57430","8279","112876","0"
"ALEXANDER","4512","11976","125","0","0","0","8348","21995","955","37","2","0","0","0","1972","445","11412","12107","1442","24961","0"
"ALLEGHANY","1893","3155","38","0","0","0","2658","6939","72","7","0","0","0","0","726","217","3484","3720","540","7744","0"
"ANSON","9056","2966","49","0","0","0","3868","6682","6438","29","0","0","0","0","2790","109","6041","7337","2561","15939","0"
"ASHE","4018","9064","106","0","0","0","6744","18426","114","26","1","0","0","0","1365","289","9024","9942","966","19932","0"
"AVERY","1347","7226","56","1","0","0","3945","11451","56","19","0","0","0","0","1049","94","5641","6157","777","12575","0"
"BEAUFORT","10617","12303","132","0","0","0","10209","23267","7114","38","2","0","0","0","2840","551","14238","16818","2205","33261","0"
"BERTIE","8056","1657","39","0","0","0","3088","4595","7382","20","1","0","0","0","842","47","5415","6707","718","12840","0"
"BLADEN","9525","5231","78","0","0","0","7255","12500","7487","396","2","0","0","0","1704","512","9664","11503","922","22089","0"
"BRUNSWICK","27436","50237","696","1","0","0","47037","104171","8886","382","5","0","0","0","11963","1792","53604","61817","9986","125407","0"
"BUNCOMBE","74931","46038","1702","5","0","0","86190","173630","10574","370","38","0","0","0","24254","4889","89336","104621","14909","208866","0"
"BURKE","13494","23259","364","0","0","0","21781","49464","3156","95","1","0","0","0","6182","1231","26035","28978","3885","58898","0"
"CABARRUS","44171","51366","1229","1","0","0","56093","97813","30390","394","9","0","0","0","24254","6628","64395","75581","12884","152860","0"
"CALDWELL","10082","26325","380","0","0","0","17343","46809","2642","73","0","0","0","0","4606","1058","24200","26675","3255","54130","0"
"CAMDEN","1453","3007","66","0","0","0","3596","6644","922","10","1","0","0","0","545","48","3703","4018","401","8122","0"
"CARTERET","9642","24949","331","1","0","0","19486","47098","2216","99","11","0","0","0","4985","627","23592","26747","4070","54409","0"
"CASWELL","6337","4097","56","0","0","0","4873","9465","4691","21","1","0","0","0","1185","210","6733","7724","906","15363","0"
"CATAWBA","21363","47723","646","0","0","0","40644","86574","8896","149","4","0","0","0","14753","4332","48386","54238","7752","110376","0"
"CHATHAM","21324","14141","325","0","0","0","23888","44520","6034","124","2","0","0","0","8998","2136","24971","29022","5685","59678","0"
"CHEROKEE","3639","11512","143","0","0","0","7795","21503","253","126","1","0","0","0","1206","219","10874","11781","434","23089","0"
"CHOWAN","3716","2988","39","0","0","0","3285","6501","2817","12","2","0","0","0","696","75","4337","5340","351","10028","0"
"CLAY","1461","4618","58","0","0","0","3504","9059","45","16","0","0","0","0","521","84","4428","4821","392","9641","0"
"CLEVELAND","21057","25498","402","0","0","0","20487","47320","13509","97","4","0","0","0","6514","883","28861","33712","4871","67444","0"
"COLUMBUS","15152","10347","107","0","0","0","11044","22198","10492","962","1","0","0","0","2997","442","15778","18647","2225","36650","0"
"CRAVEN","20306","27188","556","1","0","0","25191","51098","14063","171","9","0","0","0","7901","1877","31414","37408","4420","73242","0"
"CUMBERLAND","88473","48476","1746","1","0","0","71258","85282","83686","2309","61","0","0","0","38616","12696","83713","105190","21051","209954","0"
"CURRITUCK","3431","9523","217","0","0","0","9594","19847","1151","44","3","0","0","0","1720","205","10518","11119","1128","22765","0"
"DARE","7632","10930","245","1","0","0","12985","28734","527","36","1","0","0","0","2495","297","14249","15783","1761","31793","0"
"DAVIDSON","22157","55181","656","0","0","0","36706","91862","10480","249","7","0","0","0","12102","2764","50010","56672","8018","114700","0"
"DAVIE","4878","16328","165","1","0","0","10641","27119","1936","40","1","0","0","0","2917","747","14348","15870","1795","32013","0"
"DUPLIN","11337","9512","136","0","0","0","10145","18344","8234","61","1","0","0","0","4490","1998","13152","15514","2464","31130","0"
"DURHAM","126973","24403","1273","0","0","0","84065","114002","75501","596","25","0","0","0","46590","10710","94126","118842","23746","236714","0"
"EDGECOMBE","21475","6614","108","0","0","0","6613","12222","19810","65","2","0","0","0","2711","561","14230","18686","1894","34810","0"
"FORSYTH","102604","72691","1736","2","0","0","91411","161316","68754","523","27","0","0","0","37824","12543","110960","135650","21834","268444","0"
"FRANKLIN","17034","15692","361","0","0","0","17179","31940","11859","145","3","0","0","0","6319","1560","21222","24256","4788","50266","0"
"GASTON","41454","60052","1161","0","0","0","52050","108270","26751","350","5","0","0","0","19341","5191","65791","77568","11358","154717","0"
"GATES","3638","2031","34","0","0","0","2577","5132","2520","15","0","0","0","0","613","50","3602","4153","525","8280","0"
"GRAHAM","1212","3011","31","0","0","0","1828","5530","8","271","1","0","0","0","272","31","2844","3047","191","6082","0"
"GRANVILLE","16506","10836","201","0","0","0","12770","23612","11765","86","3","0","0","0","4847","1089","16714","19453","4146","40313","0"
"GREENE","5039","2433","26","0","0","0","3314","5915","3797","11","0","0","0","0","1089","449","4682","5623","507","10812","0"
"GUILFORD","160090","90048","2271","5","0","0","124899","195251","126169","990","20","0","0","0","54883","12974","158551","197584","21178","377313","0"
"HALIFAX","21784","4987","105","0","0","0","10203","14139","19157","1097","3","0","0","0","2683","285","15827","19368","1884","37079","0"
"HARNETT","24326","29953","767","0","0","0","28341","51769","17169","479","15","0","0","0","13955","4697","34693","41016","7678","83387","0"
"HAYWOOD","12796","15881","348","0","0","0","16661","42234","465","121","0","0","0","0","2866","538","20571","23521","1594","45686","0"
"HENDERSON","17451","32162","630","0","0","0","38330","77300","2403","154","6","0","0","0","8710","2500","38070","45381","5122","88573","0"
"HERTFORD","9436","1561","37","0","0","0","3296","4602","8741","95","1","0","0","0","891","100","6015","7741","574","14330","0"
"HOKE","14092","7361","311","0","0","0","11653","13322","12578","2023","15","0","0","0","5479","2378","14568","17568","1281","33417","0"
"HYDE","1380","635","18","0","0","0","1061","2307","571","0","0","0","0","0","216","52","1386","1539","169","3094","0"
"IREDELL","28023","55659","869","1","0","0","50355","105388","14511","227","3","0","0","0","14778","4269","59653","66246","9008","134907","0"
"JACKSON","8925","8330","244","2","0","0","12056","24348","641","1515","3","0","0","0","3050","673","12928","14530","2099","29557","0"
"JOHNSTON","40368","56576","1175","3","0","0","53125","102704","24770","437","14","0","0","0","23322","7731","66050","75894","9303","151247","0"
"JONES","2619","2218","37","0","0","0","2186","4363","2081","13","1","0","0","0","602","80","3031","3546","483","7060","0"
"LEE","12910","11853","256","0","0","0","14173","25317","7344","150","8","0","0","0","6373","3135","16514","19684","2994","39192","0"
"LENOIR","16827","10188","145","0","0","0","9917","18597","14591","63","3","0","0","0","3823","713","15142","18994","2941","37077","0"
"LINCOLN","12176","31003","446","0","0","0","22522","56047","3509","92","0","0","0","0","6499","1937","29567","32139","4441","66147","0"
"MACON","5209","12285","168","0","0","0","10190","25586","189","64","1","0","0","0","2012","460","12872","14564","416","27852","0"
"MADISON","5319","4806","125","0","0","0","6839","15525","142","32","0","0","0","0","1390","184","7669","8150","1270","17089","0"
"MARTIN","8097","3457","47","0","0","0","4651","8682","6513","26","0","0","0","0","1031","165","6908","8617","727","16252","0"
