"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37044","36216","694","22","10","0","38120","73051","23157","255","10","15633","5758","46783","56712","8611","112106"
"ALEXANDER","4208","12039","121","3","8","0","8487","21818","944","35","1","2068","485","11264","12041","1561","24866"
"ALLEGHANY","1792","3278","40","0","4","0","2747","6990","74","7","0","790","231","3499","3772","590","7861"
"ANSON","8885","3070","53","1","2","0","4045","6769","6452","31","1","2803","131","6101","7376","2579","16056"
"ASHE","3780","9133","103","1","9","0","6979","18416","111","25","2","1451","312","9024","9920","1061","20005"
"AVERY","1291","7254","60","1","3","0","4047","11486","59","20","0","1091","108","5651","6198","807","12656"
"BEAUFORT","10323","12608","137","3","7","0","10760","23660","7122","42","2","3012","637","14483","17043","2312","33838"
"BERTIE","7699","1678","38","1","0","0","3172","4567","7118","20","1","882","54","5265","6560","763","12588"
"BLADEN","9285","5412","88","2","2","0","7552","12570","7485","405","3","1878","583","9759","11532","1050","22341"
"BRUNSWICK","27229","52024","695","17","30","0","49075","107352","8836","375","9","12498","1972","54850","63523","10697","129070"
"BUNCOMBE","72753","44413","1644","81","50","0","86690","170978","10047","338","43","24225","5174","87595","102836","15200","205631"
"BURKE","12619","23291","352","7","5","0","22011","48733","3047","90","1","6414","1345","25518","28505","4262","58285"
"CABARRUS","43438","50884","1215","45","59","0","57197","96373","30745","390","10","25320","7081","63999","75280","13559","152838"
"CALDWELL","9408","26345","370","5","8","0","17280","45863","2534","71","0","4948","1119","23700","26200","3516","53416"
"CAMDEN","1421","3148","73","0","4","0","3746","6887","927","10","1","567","57","3836","4125","431","8392"
"CARTERET","9416","25660","355","5","15","0","20378","48271","2211","103","9","5235","691","24180","27407","4242","55829"
"CASWELL","5995","4195","58","1","3","0","4852","9336","4533","22","1","1212","224","6608","7556","940","15104"
"CATAWBA","20166","47701","665","17","52","0","41615","85773","8602","143","4","15694","4689","48003","53617","8596","110216"
"CHATHAM","21052","14180","327","8","18","0","24512","44244","5836","122","3","9892","2227","24771","28863","6463","60097"
"CHEROKEE","3370","11732","147","1","5","0","7772","21443","243","120","1","1220","231","10836","11715","476","23027"
"CHOWAN","3675","3134","43","0","3","0","3483","6725","2859","12","5","737","85","4467","5492","379","10338"
"CLAY","1388","4717","59","0","2","0","3531","9102","42","17","0","536","88","4442","4852","403","9697"
"CLEVELAND","19884","25720","402","9","17","0","20883","46680","13161","86","4","6984","1022","28493","33148","5274","66915"
"COLUMBUS","14295","10679","112","5","0","0","11209","21986","10286","949","4","3075","519","15597","18450","2253","36300"
"CRAVEN","20055","27971","595","17","49","0","26571","52603","14138","175","8","8334","2128","32326","38356","4576","75258"
"CUMBERLAND","86813","48339","1817","55","71","0","73485","85286","83926","2319","65","38984","13396","84540","105503","20537","210580"
"CURRITUCK","3450","10146","217","4","8","0","10272","20921","1203","45","3","1925","236","11105","11702","1290","24097"
