"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","39950","30008","112","0","0","0","18807","67599","17629","180","0","0","0","0","1212","1034","39347","48977","0","88877","0"
"ALEXANDER","8076","10504","30","0","0","0","5179","22334","1077","25","0","0","0","0","151","121","11342","12329","0","23789","0"
"ALLEGHANY","3482","2270","12","0","0","0","1468","7011","79","7","0","0","0","0","44","79","3374","3825","0","7232","0"
"ANSON","12256","2293","6","0","0","0","1935","8286","7859","41","0","0","0","0","67","27","7269","8961","0","16490","0"
"ASHE","7596","8641","22","0","0","0","4238","20147","111","11","0","0","0","0","89","85","9568","10889","0","20497","0"
"AVERY","1616","7300","14","0","0","0","2754","11394","58","20","0","0","0","0","55","54","5473","6126","0","11684","0"
"BEAUFORT","16099","9521","15","0","0","0","5862","22688","8187","33","0","0","0","0","232","139","13946","17280","0","31497","0"
"BERTIE","11246","1387","9","0","0","0","1500","5277","8476","19","0","0","0","0","28","19","6011","7958","0","14142","0"
"BLADEN","15453","2804","5","0","0","0","3761","13115","8133","244","0","0","0","0","137","126","9837","12075","0","22023","0"
"BRUNSWICK","27362","28013","92","0","0","0","20375","66131","7917","212","0","0","0","0","572","461","35148","40066","0","75842","0"
"BUNCOMBE","76621","47712","268","0","0","0","49215","156101","10218","329","0","0","0","0","2901","1301","78372","93294","0","173816","0"
"BURKE","22777","19988","71","0","0","0","13943","51732","3394","66","0","0","0","0","675","297","26370","30212","0","56779","0"
"CABARRUS","38435","43209","156","0","0","0","26581","87299","16100","237","0","0","0","0","1545","1628","49186","58076","0","108381","0"
"CALDWELL","17980","23574","75","0","0","0","10886","48694","2718","50","0","0","0","0","405","302","24566","27730","0","52515","0"
"CAMDEN","3206","1939","11","0","0","0","2128","5969","1141","12","0","0","0","0","58","22","3485","3734","0","7284","0"
"CARTERET","15527","19129","52","0","0","0","12373","43335","2556","89","0","0","0","0","330","204","21816","24676","0","47081","0"
"CASWELL","9371","3126","12","0","0","0","2690","9376","5560","14","0","0","0","0","86","46","6801","8301","0","15199","0"
"CATAWBA","31945","45033","92","0","0","0","25166","89599","8700","110","0","0","0","0","1420","1008","46884","54889","0","102236","0"
"CHATHAM","20059","10833","44","0","0","0","10839","33921","6056","70","0","0","0","0","529","474","18855","22205","0","41775","0"
"CHEROKEE","7312","8603","24","0","0","0","4922","20300","202","107","0","0","0","0","81","76","9731","11096","0","20861","0"
"CHOWAN","5973","2395","5","0","0","0","2105","6919","3345","12","0","0","0","0","53","26","4669","5741","0","10478","0"
"CLAY","2832","3309","11","0","0","0","2536","8521","28","14","0","0","0","0","28","28","4092","4546","0","8688","0"
"CLEVELAND","30527","18640","53","0","0","0","12155","47161","12857","83","0","0","0","0","348","319","27605","33528","0","61375","0"
"COLUMBUS","24807","5777","22","0","0","0","6076","23845","11351","985","0","0","0","0","176","97","16492","20104","0","36682","0"
"CRAVEN","28006","22453","51","0","0","0","15701","48464","15184","107","0","0","0","0","1071","780","29704","35938","0","66211","0"
"CUMBERLAND","101049","47932","223","0","0","0","44835","96926","77551","1989","0","0","0","0","9680","7369","85641","105428","0","194039","0"
"CURRITUCK","5295","5160","29","0","0","0","5609","14662","952","54","0","0","0","0","150","88","7591","8364","0","16093","0"
"DARE","10318","7738","44","0","0","0","8145","25084","506","37","0","0","0","0","242","117","12455","13709","0","26245","0"
"DAVIDSON","32863","46667","146","0","0","0","21238","89520","9190","241","0","0","0","0","941","727","46832","53952","0","100914","0"
"DAVIE","6305","14456","29","0","0","0","5789","24353","1765","28","0","0","0","0","204","189","12419","14156","0","26579","0"
"DUPLIN","15749","6811","17","0","0","0","5556","18429","8774","41","0","0","0","0","344","459","12190","15426","0","28133","0"
"DURHAM","110455","27942","225","0","0","0","41752","95008","70405","410","0","0","0","0","3825","3007","77983","99286","0","180374","0"
"EDGECOMBE","28399","5691","12","0","0","0","3233","14464","22225","42","0","0","0","0","212","90","15986","21110","0","37335","0"
"FORSYTH","102987","74150","275","0","0","0","46882","153788","60940","379","0","0","0","0","3680","3069","98666","123714","0","224294","0"
"FRANKLIN","18762","10951","44","0","0","0","6930","25361","10199","95","0","0","0","0","439","376","16795","19557","0","36687","0"
"GASTON","48129","49316","148","0","0","0","29174","104020","18701","256","0","0","0","0","1226","1261","56195","69283","0","126767","0"
"GATES","5034","1489","4","0","0","0","1568","5043","2795","3","0","0","0","0","45","13","3607","4284","0","8095","0"
"GRAHAM","2481","2760","4","0","0","0","1253","6116","1","293","0","0","0","0","44","41","3115","3372","0","6498","0"
"GRANVILLE","19635","8001","41","0","0","0","5910","21283","11240","76","0","0","0","0","353","286","14662","18088","0","33587","0"
"GREENE","7456","1697","6","0","0","0","1730","6540","4128","15","0","0","0","0","99","115","4873","6008","0","10889","0"
"GUILFORD","171972","100470","387","0","0","0","72759","218663","110669","920","0","0","0","0","5333","3366","152704","192184","0","345588","0"
"HALIFAX","26643","4756","24","0","0","0","4966","15386","19025","1029","0","0","0","0","240","108","15496","20659","0","36389","0"
"HARNETT","28306","20728","129","0","0","0","12528","44585","13955","407","0","0","0","0","1157","1145","27683","33807","0","61691","0"
"HAYWOOD","20296","11912","27","0","0","0","9522","40723","405","96","0","0","0","0","203","208","19149","22496","0","41757","0"
"HENDERSON","19140","31384","88","0","0","0","24562","70744","2035","128","0","0","0","0","881","807","34336","40334","0","75174","0"
"HERTFORD","11620","1769","6","0","0","0","1488","5511","8999","85","0","0","0","0","86","35","6265","8553","0","14883","0"
"HOKE","14136","5272","30","0","0","0","6452","12189","10115","2031","0","0","0","0","1045","922","11482","14354","0","25890","0"
"HYDE","2558","472","2","0","0","0","531","2546","955","6","0","0","0","0","14","9","1611","1927","0","3563","0"
"IREDELL","34012","42059","124","0","0","0","25309","85738","12024","157","0","0","0","0","1025","1135","47024","53661","0","101504","0"
"JACKSON","11886","6958","23","0","0","0","7614","23517","464","1447","0","0","0","0","191","158","12087","13820","0","26481","0"
"JOHNSTON","38896","37739","115","0","0","0","22795","80199","15467","279","0","0","0","0","1766","1188","45475","53456","0","99545","0"
"JONES","4555","1443","10","0","0","0","1293","4608","2556","11","0","0","0","0","44","32","3328","3915","0","7301","0"
"LEE","16263","9280","31","0","0","0","6807","24089","6831","95","0","0","0","0","663","839","14635","17633","0","32381","0"
"LENOIR","23207","8803","21","0","0","0","5452","21315","15427","57","0","0","0","0","306","180","16254","21101","0","37483","0"
"LINCOLN","16856","20913","32","0","0","0","11780","45603","2764","64","0","0","0","0","443","518","23247","26111","0","49581","0"
"MACON","8399","9743","14","0","0","0","6196","23692","188","41","0","0","0","0","120","99","11181","13068","0","24352","0"
"MADISON","7649","4461","21","0","0","0","3771","15440","125","26","0","0","0","0","81","38","7599","8109","0","15902","0"
"MARTIN","12268","2949","7","0","0","0","2547","9692","7821","37","0","0","0","0","98","52","7796","9928","0","17771","0"
"MCDOWELL","10778","9730","19","0","0","0","7039","26304","843","19","0","0","0","0","202","125","12835","14728","0","27566","0"
"MECKLENBURG","273100","170043","748","0","0","0","150762","367781","180581","1583","0","0","0","0","15318","11651","263388","321243","0","594653","0"
"MITCHELL","1321","7515","8","0","0","0","2747","11430","22","13","0","0","0","0","36","44","5391","6172","0","11591","0"
"MONTGOMERY","8463","4637","13","0","0","0","3012","12101","3479","36","0","0","0","0","207","160","7417","8651","0","16125","0"
"MOORE","18385","25446","88","0","0","0","15967","50593","7815","280","0","0","0","0","702","387","27292","32568","0","59886","0"
"NASH","36369","19868","54","0","0","0","9905","40724","23640","240","0","0","0","0","834","449","29816","36221","0","66196","0"
"NEW HANOVER","54500","49144","300","0","0","0","39801","118877","19249","281","0","0","0","0","1561","1103","64578","76426","0","143745","0"
"NORTHAMPTON","11724","1281","4","0","0","0","1725","6027","8430","22","0","0","0","0","39","20","6332","8114","0","14734","0"
"ONSLOW","31063","30488","137","0","0","0","24473","63808","16116","268","0","0","0","0","3093","2559","37772","47384","0","86161","0"
"ORANGE","53253","18395","202","0","0","0","28900","79855","12377","245","0","0","0","0","2607","1553","45149","54721","0","100750","0"
"PAMLICO","4683","2643","5","0","0","0","1830","7139","1811","26","0","0","0","0","50","26","4171","4906","0","9161","0"
"PASQUOTANK","14957","5524","37","0","0","0","7045","16123","10328","40","0","0","0","0","341","113","12220","15060","0","27563","0"
"PENDER","14389","11730","55","0","0","0","7916","26783","6345","55","0","0","0","0","247","212","15721","18086","0","34090","0"
"PERQUIMANS","4774","2205","9","0","0","0","2422","6997","2243","14","0","0","0","0","43","24","4334","5076","0","9410","0"
"PERSON","13626","5702","15","0","0","0","5338","17361","6688","123","0","0","0","0","159","134","11163","13392","0","24681","0"
"PITT","54455","27393","147","0","0","0","20981","65288","33731","223","0","0","0","0","1639","809","45477","57139","0","102976","0"
"POLK","4899","5301","14","0","0","0","4493","13732","700","12","0","0","0","0","117","90","6660","7999","0","14707","0"
"RANDOLPH","22785","43158","114","0","0","0","19652","78267","5031","253","0","0","0","0","987","1018","39571","45888","0","85709","0"
"RICHMOND","19773","5093","10","0","0","0","5132","19522","9562","285","0","0","0","0","259","152","13473","16462","0","30008","0"
"ROBESON","52143","7653","41","0","0","0","9521","23666","19848","23489","0","0","0","0","1100","530","29357","39680","0","69358","0"
"ROCKINGHAM","27797","17976","53","0","0","0","11905","44964","11493","107","0","0","0","0","392","310","26113","31614","0","57731","0"
