"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","36191","32713","543","15","33","30600","69076","20604","249","0","10166","3692","43015","52954","4126","100095"
"ALEXANDER","5354","10624","87","0","11","7239","21271","911","35","0","1098","294","10926","11813","576","23315"
"ALLEGHANY","2252","2613","32","1","0","2126","6560","71","7","0","386","160","3265","3555","204","7024"
"ANSON","10077","2372","27","5","25","3206","6537","6708","27","0","2440","74","6089","7433","2190","15712"
"ASHE","4593","7856","74","2","3","5417","17174","99","21","0","651","189","8308","9336","301","17945"
"AVERY","1329","6623","51","2","1","3346","10736","75","18","0","523","86","5254","5849","249","11352"
"BEAUFORT","11932","10827","98","7","7","9139","22432","7632","42","0","1904","422","14042","16665","1303","32010"
"BERTIE","8675","1402","26","2","1","2569","4536","7578","17","0","544","34","5434","6862","379","12675"
"BLADEN","11025","4144","48","1","5","6363","12462","7799","379","0","946","378","9733","11555","298","21586"
"BRUNSWICK","25686","39703","441","17","25","37161","86967","8408","309","0","7349","1245","45640","52742","4651","103033"
"BUNCOMBE","72441","44037","1492","142","54","72986","163463","10378","368","0","16943","3642","83930","99445","7777","191152"
"BURKE","15547","19852","272","13","24","17795","46874","3167","79","0","3383","886","24636","27798","1069","53503"
"CABARRUS","40582","48139","886","46","67","45706","93500","25305","341","0","16280","5003","58961","69854","6611","135426"
"CALDWELL","11604","23535","348","23","17","14842","45311","2635","63","0","2360","810","23518","25969","882","50369"
"CAMDEN","1846","2490","57","1","3","3087","6133","950","10","0","391","34","3538","3768","178","7484"
"CARTERET","10658","22350","231","5","6","17652","45352","2415","99","0","3036","495","22810","25991","2101","50902"
"CASWELL","6888","3260","34","2","5","4227","8904","4773","18","0","721","142","6477","7537","402","14416"
"CATAWBA","22502","43154","449","13","33","33797","81910","8815","119","0","9104","3053","45352","51590","3006","99948"
"CHATHAM","20004","12846","265","18","18","19680","40408","5945","111","0","6367","1582","22513","26588","3730","52831"
"CHEROKEE","4326","9682","127","7","6","6868","20116","214","119","0","567","158","9935","11016","65","21016"
"CHOWAN","4208","2614","27","2","1","2846","6342","2924","10","0","422","54","4245","5293","160","9698"
"CLAY","1637","3719","54","3","4","3040","8076","44","14","0","323","55","3921","4347","189","8457"
"CLEVELAND","23139","21033","273","8","19","17202","44993","13205","80","0","3396","615","27372","32442","1860","61674"
"COLUMBUS","17209","7633","68","3","9","9411","21496","10554","920","0","1363","290","15352","18426","555","34333"
"CRAVEN","21233","24149","391","23","21","21596","47765","14371","156","0","5121","1543","29683","35869","1861","67413"
"CUMBERLAND","91029","46586","1276","44","97","65528","87393","84272","2213","0","30682","11710","84343","106438","13779","204560"
"CURRITUCK","3558","7672","168","9","8","8209","17591","1040","46","0","947","143","9306","9861","457","19624"
"DARE","7957","9307","221","8","7","11482","27066","559","34","0","1323","245","13505","14881","596","28982"
"DAVIDSON","23333","49501","472","18","35","31080","86896","9965","238","0","7340","1975","47168","53955","3316","104439"
"DAVIE","4920","14797","128","6","11","8984","24923","1824","34","0","2065","500","13168","14765","913","28846"
"DUPLIN","12385","7976","104","2","13","7943","17559","8250","49","0","2565","1498","12355","14964","1104","28423"
"DURHAM","120805","25657","1121","101","50","73744","107186","77630","560","0","36102","8716","91410","116262","13806","221478"
"EDGECOMBE","23060","5662","78","5","11","5027","11972","20469","72","0","1330","380","14345","18903","595","33843"
"FORSYTH","100384","72536","1365","75","87","77298","157182","67551","496","0","26516","9807","107380","132719","11646","251745"
"FRANKLIN","16444","13151","226","9","23","12604","27773","10698","128","0","3858","1012","18679","21471","2307","42457"
"GASTON","40425","52554","790","26","65","42551","100861","23120","324","0","12106","3634","59548","71307","5556","136411"
"GATES","3847","1702","28","0","1","2201","4827","2547","15","0","390","40","3488","3980","311","7779"
"GRAHAM","1502","2633","26","0","1","1532","5307","3","267","0","117","20","2717","2915","62","5694"
"GRANVILLE","17187","9201","151","7","8","10390","22376","11733","75","0","2760","739","15854","18867","2223","36944"
"GREENE","5752","2126","19","1","3","2964","6132","3991","10","0","732","409","4846","5816","203","10865"
"GUILFORD","157378","89437","1975","106","112","106130","193477","122210","952","0","38499","9957","152482","192533","10123","355138"
"HALIFAX","22795","4374","89","7","3","8440","13933","19092","1046","0","1637","243","15505","19408","795","35708"
"HARNETT","24580","26016","546","17","41","22593","47912","16215","443","0","9223","3430","31905","38281","3607","73793"
"HAYWOOD","14586","13560","272","11","13","14075","40224","455","99","0","1739","373","19414","22380","723","42517"
"HENDERSON","16694","30077","484","25","26","33217","72301","2289","138","0","5795","1933","35654","42403","2466","80523"
"HERTFORD","10124","1362","32","4","4","2716","4587","8991","89","0","575","88","6031","7950","261","14242"
"HOKE","13726","6288","217","7","24","9626","12509","11925","1895","0","3559","1925","13178","16198","512","29888"
