"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36519","38224","621","47","0","0","0","0","45185","76271","24751","268","20","1344","633","10420","6889","7955","49884","60175","10537","120596","1","0"
"ALEXANDER","3579","12717","113","5","0","0","0","0","9354","22345","943","32","1","169","38","1718","522","614","11575","12352","1841","25768","1","0"
"ALLEGHANY","1485","3611","32","2","0","0","0","0","3066","7178","79","12","0","8","12","703","204","277","3671","3878","647","8196","1","0"
"ANSON","7612","3419","57","6","0","0","0","0","4870","6758","6118","31","1","94","25","2653","284","225","5961","7263","2740","15964","1","0"
"ASHE","3307","9627","101","5","0","0","0","0","7729","18898","120","27","2","58","17","1359","288","368","9314","10152","1303","20769","1","0"
"AVERY","1120","7098","66","5","0","0","0","0","4181","11222","57","17","0","31","14","956","173","150","5562","6031","877","12470","1","0"
"BEAUFORT","8766","13325","122","13","0","0","0","0","11736","23788","6471","38","3","61","53","2673","875","813","14302","16801","2859","33962","1","0"
"BERTIE","6937","1801","41","2","0","0","0","0","3965","4596","6657","17","0","29","16","1348","83","60","5078","6309","1359","12746","1","0"
"BLADEN","7931","6029","71","11","0","0","0","0","8921","12531","7023","386","7","28","87","2265","636","695","9568","11383","2012","22963","1","0"
"BRUNSWICK","27762","60677","740","56","0","0","0","0","59124","123659","9553","434","10","693","236","10514","3260","2914","63108","73073","12178","148359","1","0"
"BUNCOMBE","71447","44847","1538","274","0","0","0","0","99587","178004","10484","368","42","1717","1008","19135","6935","6527","92361","107369","17963","217693","1","0"
"BURKE","11162","25198","364","30","0","0","0","0","23816","50320","3078","99","2","1009","127","4144","1791","1787","26515","29492","4563","60570","1","0"
"CABARRUS","43666","52079","1067","130","0","0","0","0","65838","98303","33879","440","20","4482","691","15627","9338","9264","67996","79434","15350","162780","1","0"
"CALDWELL","8549","27897","342","18","0","0","0","0","19239","46128","2557","76","0","225","141","5662","1256","1439","24606","27308","4131","56045","1","0"
"CAMDEN","1186","3470","65","6","0","0","0","0","3939","6859","870","10","2","46","15","680","184","98","3840","4083","743","8666","1","0"
"CARTERET","8268","26849","335","22","0","0","0","0","22261","49878","2096","107","8","334","121","4209","982","891","25132","28155","4448","57735","1","0"
"CASWELL","5386","4840","58","3","0","0","0","0","5360","9789","4354","24","1","37","51","1094","297","313","6787","7721","1139","15647","1","0"
"CATAWBA","19610","51391","676","57","0","0","0","0","47095","91060","9051","154","9","2814","313","9512","5916","6030","51413","57252","10164","118829","1","0"
"CHATHAM","20964","15002","300","31","0","0","0","0","28066","46815","5831","134","9","1397","239","7122","2816","2910","26430","30697","7236","64363","1","0"
"CHEROKEE","2956","13331","152","9","0","0","0","0","8510","23155","258","118","2","110","29","959","327","293","11813","12592","553","24958","1","0"
"CHOWAN","3097","3285","48","2","0","0","0","0","3778","6653","2505","16","6","20","25","838","147","109","4434","5241","535","10210","1","0"
"CLAY","1265","5161","55","2","0","0","0","0","3759","9558","43","16","0","19","9","499","98","112","4662","5109","471","10242","1","0"
"CLEVELAND","17961","27746","400","20","0","0","0","0","23483","47984","13155","96","8","393","211","6213","1550","1366","29342","34135","6133","69610","1","0"
"COLUMBUS","11594","11923","126","10","0","0","0","0","13699","22512","9951","972","4","61","80","3015","757","729","15812","18545","2995","37352","1","0"
"CRAVEN","18530","29067","556","50","0","0","0","0","29204","53874","13615","179","9","1325","261","5221","2923","2556","33153","38967","5287","77407","1","0"
"CUMBERLAND","82934","50953","1773","178","0","0","0","0","88200","86219","86568","2441","123","3779","1929","26767","16212","15637","88530","109515","25993","224038","1","0"
"CURRITUCK","3025","10785","203","7","0","0","0","0","10855","21272","1217","41","3","142","63","1578","559","333","11317","11969","1589","24875","1","0"
"DARE","6112","11511","217","19","0","0","0","0","14976","29635","545","35","1","128","60","1695","736","463","14920","16183","1732","32835","1","0"
"DAVIDSON","20738","59216","671","44","0","0","0","0","42181","95295","11490","257","7","1028","262","10192","4319","4394","52904","59507","10439","122850","1","0"
"DAVIE","4438","17155","159","15","0","0","0","0","12023","28173","1966","41","0","167","82","2370","991","1149","14955","16594","2241","33790","1","0"
"DUPLIN","9596","10703","125","11","0","0","0","0","12018","18689","7810","61","3","65","119","3576","2130","2747","13589","15775","3089","32453","1","0"
"DURHAM","122689","22539","1011","223","0","0","0","0","101291","116467","72508","569","45","9664","2521","32845","13134","14346","95859","121447","30447","247753","1","0"
"EDGECOMBE","18703","6896","118","18","0","0","0","0","10296","12080","18244","60","2","58","87","4726","774","805","13617","17706","4708","36031","1","0"
"FORSYTH","94716","71158","1615","202","0","0","0","0","106842","161456","65106","505","37","3872","1426","27866","14265","16382","110817","137004","26712","274533","1","0"
"FRANKLIN","16528","17864","370","21","0","0","0","0","22130","35750","12597","134","5","429","183","5162","2653","2682","23781","27075","6057","56913","1","0"
"GASTON","40319","62766","1171","79","0","0","0","0","60193","111116","30099","333","20","1618","632","13408","7302","7976","69912","82345","12271","164528","1","0"
"GATES","2945","2378","32","4","0","0","0","0","2929","5262","2326","17","0","9","39","544","91","62","3631","4059","598","8288","1","0"
"GRAHAM","897","3281","27","0","0","0","0","0","2061","5676","11","271","1","16","5","231","55","49","2971","3088","207","6266","1","0"
"GRANVILLE","14677","11724","227","10","0","0","0","0","15240","22472","10826","74","2","187","180","6714","1423","1417","16229","18572","7077","41878","1","0"
"GREENE","4250","2742","29","6","0","0","0","0","4005","5949","3546","9","1","15","14","909","589","621","4671","5548","813","11032","1","0"
"GUILFORD","152156","88554","1978","251","0","0","0","0","149930","193526","129433","998","57","11094","2521","36622","18618","17415","162931","202309","27629","392869","1","0"
"HALIFAX","18233","4845","94","8","0","0","0","0","11614","13294","17147","954","4","188","119","2631","457","376","14437","17782","2575","34794","1","0"
"HARNETT","24226","34717","805","80","0","0","0","0","36271","58589","18843","494","35","914","500","10242","6482","7059","39898","46440","9761","96099","1","0"
"HAYWOOD","10800","17368","310","33","0","0","0","0","19816","44315","504","141","0","180","95","2335","757","827","21877","24759","1691","48327","1","0"
"HENDERSON","16981","32591","624","64","0","0","0","0","42071","79572","2430","154","17","603","366","5920","3269","3655","39668","46876","5787","92331","1","0"
"HERTFORD","7883","1719","40","5","0","0","0","0","4052","4501","7772","89","3","41","48","1086","159","116","5576","7103","1020","13699","1","0"
