"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36566","37845","640","43","307","8","7","17","41200","74677","23936","266","19","1258","651","9953","5873","7141","48307","58284","10042","116633","1"
"ALEXANDER","3776","12614","115","5","80","5","2","11","8926","22120","937","33","2","152","38","1789","463","567","11421","12243","1870","25534","1"
"ALLEGHANY","1579","3545","35","1","20","0","0","2","2890","7071","75","11","0","5","13","738","159","241","3578","3812","682","8072","1"
"ANSON","7849","3338","53","5","45","1","2","8","4537","6639","6063","32","1","92","23","2751","237","181","5881","7139","2818","15838","1"
"ASHE","3447","9421","97","5","34","0","0","1","7275","18423","112","25","3","55","20","1389","253","343","9022","9921","1337","20280","1"
"AVERY","1135","7062","62","4","22","0","1","2","3959","11014","55","16","0","26","14","987","135","128","5447","5897","903","12247","1"
"BEAUFORT","9220","13058","123","9","67","2","6","18","10730","23294","6481","39","3","58","54","2527","777","731","13998","16550","2685","33233","1"
"BERTIE","7031","1762","38","1","21","2","1","3","3312","4519","6602","17","1","27","15","917","73","54","5029","6220","922","12171","1"
"BLADEN","8245","5777","76","8","68","0","7","17","8198","12330","7042","395","6","27","88","1964","544","632","9468","11237","1691","22396","1"
"BRUNSWICK","27090","56864","689","34","330","5","6","16","53173","114564","8972","401","14","595","247","10732","2682","2466","58469","67628","12110","138207","1"
"BUNCOMBE","71378","44733","1529","229","696","19","14","60","91804","172951","10038","363","45","1612","1025","18317","6111","5915","89249","104208","17005","210462","1"
"BURKE","11535","24700","343","21","132","8","4","21","22571","49310","3047","95","2","948","130","4254","1549","1580","25879","28820","4636","59335","1"
"CABARRUS","42933","51601","1092","112","834","14","30","72","60405","95927","32145","418","22","4042","706","15779","8054","8246","65356","76476","15261","157093","1"
"CALDWELL","8813","27685","341","15","143","9","5","12","18127","45792","2530","77","0","203","143","5324","1081","1297","24248","26941","3961","55150","1"
"CAMDEN","1199","3239","67","6","29","1","0","2","3640","6609","854","8","2","35","16","506","153","73","3674","3948","561","8183","1"
"CARTERET","8545","26333","335","20","104","9","3","11","20880","48494","2068","99","7","313","122","4285","852","812","24352","27399","4489","56240","1"
"CASWELL","5513","4635","59","1","27","1","2","2","5065","9523","4315","24","1","37","46","1095","264","283","6627","7548","1130","15305","1"
"CATAWBA","19549","50572","653","50","458","21","18","59","43413","88337","8776","154","10","2613","320","9458","5125","5432","49600","55214","9979","114793","1"
"CHATHAM","20791","14838","305","27","155","2","7","5","26404","45345","5746","124","10","1238","258","7413","2400","2642","25539","29644","7351","62534","1"
"CHEROKEE","3015","12689","142","7","37","5","1","5","8025","22163","246","115","2","99","31","984","286","265","11293","12095","538","23926","1"
"CHOWAN","3181","3177","41","2","32","1","1","5","3421","6499","2549","15","6","17","23","629","123","95","4294","5116","451","9861","1"
"CLAY","1274","4995","52","2","5","0","2","2","3590","9270","43","16","0","18","11","480","84","102","4515","4955","452","9922","1"
"CLEVELAND","18349","27340","393","19","251","5","5","30","21778","46899","12867","96","7","361","221","6375","1344","1230","28612","33353","6205","68170","1"
"COLUMBUS","12423","11541","118","7","61","4","2","5","12243","22075","9872","936","4","60","84","2739","634","616","15482","18240","2682","36404","1"
"CRAVEN","18524","28334","540","40","279","12","9","17","26726","51978","13317","180","8","1240","268","4971","2519","2296","31886","37600","4995","74481","1"
"CUMBERLAND","82288","50117","1715","148","1414","36","62","127","78463","83683","83331","2338","122","3512","1981","25153","14250","14307","84699","105317","24354","214370","1"
"CURRITUCK","3000","10182","194","6","97","0","1","6","10077","20157","1155","42","3","122","67","1526","491","286","10673","11346","1544","23563","1"
"DARE","6679","11140","220","16","85","3","6","3","13540","28544","516","33","1","117","64","1770","647","387","14326","15580","1786","31692","1"
"DAVIDSON","20721","58317","678","32","430","15","13","42","39297","93154","10968","252","6","955","276","10307","3627","3854","51222","57906","10417","119545","1"
