"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37117","36273","694","21","5","0","38064","73149","23140","255","10","15620","5747","46808","56780","8586","112174"
"ALEXANDER","4217","12063","121","3","4","0","8479","21849","946","35","1","2056","485","11287","12055","1545","24887"
"ALLEGHANY","1797","3282","40","0","3","0","2746","6999","74","7","0","788","226","3503","3776","589","7868"
"ANSON","8924","3075","53","1","1","0","4030","6779","6464","30","1","2810","128","6108","7389","2587","16084"
"ASHE","3796","9107","103","1","2","0","6945","18375","111","25","2","1441","304","9004","9891","1059","19954"
"AVERY","1293","7242","60","1","1","0","4039","11464","58","20","0","1094","107","5638","6187","811","12636"
"BEAUFORT","10341","12596","140","2","2","0","10731","23657","7106","41","2","3006","631","14472","17027","2313","33812"
"BERTIE","7722","1665","38","1","0","0","3176","4566","7127","19","1","889","54","5271","6567","764","12602"
"BLADEN","9306","5407","89","2","0","0","7548","12584","7495","404","3","1866","580","9771","11535","1046","22352"
"BRUNSWICK","27220","51909","690","17","12","0","48861","107016","8832","372","9","12480","1955","54695","63332","10682","128709"
"BUNCOMBE","72816","44530","1635","75","25","0","86504","170975","10051","339","45","24175","5136","87596","102807","15182","205585"
"BURKE","12669","23283","352","7","2","0","21964","48738","3053","91","1","6394","1332","25515","28518","4244","58277"
"CABARRUS","43480","50933","1211","43","32","0","57098","96460","30725","390","10","25212","7019","63994","75280","13523","152797"
"CALDWELL","9444","26362","364","5","3","0","17265","45907","2534","71","0","4931","1112","23717","26211","3515","53443"
"CAMDEN","1419","3121","73","0","2","0","3728","6852","922","10","1","558","55","3809","4108","426","8343"
"CARTERET","9426","25655","355","6","9","0","20342","48232","2215","100","9","5237","689","24182","27364","4247","55793"
"CASWELL","6005","4192","57","1","0","0","4834","9332","4530","22","1","1204","221","6601","7551","937","15089"
"CATAWBA","20237","47739","661","16","35","0","41543","85839","8610","143","4","15635","4665","48050","53642","8539","110231"
"CHATHAM","21074","14180","328","9","11","0","24461","44236","5841","121","3","9862","2209","24766","28862","6435","60063"
"CHEROKEE","3365","11633","145","1","2","0","7730","21296","239","120","1","1220","229","10768","11637","471","22876"
"CHOWAN","3636","3130","43","0","2","0","3487","6709","2829","12","5","743","85","4449","5470","379","10298"
"CLAY","1389","4687","58","0","1","0","3515","9053","42","17","0","538","87","4418","4823","409","9650"
"CLEVELAND","19942","25728","402","9","8","0","20865","46721","13169","86","4","6974","1022","28516","33176","5262","66954"
"COLUMBUS","14303","10664","109","5","0","0","11182","21963","10278","946","4","3072","518","15575","18440","2248","36263"
"CRAVEN","20086","27844","581","14","22","0","26394","52368","14135","175","8","8255","2087","32192","38203","4546","74941"
"CUMBERLAND","86878","48283","1811","53","22","0","73225","85181","83793","2326","66","38906","13309","84391","105331","20550","210272"
"CURRITUCK","3433","10016","216","4","4","0","10134","20697","1184","43","3","1880","228","10971","11565","1271","23807"
"DARE","7549","11279","260","10","2","0","13689","29638","545","37","1","2568","337","14746","16252","1791","32789"
"DAVIDSON","21310","55307","677","11","17","0","37171","91139","10480","241","7","12626","3102","49662","56365","8466","114493"
"DAVIE","4685","16347","162","9","5","0","10881","27028","1912","44","1","3104","819","14259","15849","1981","32089"
"DUPLIN","10771","9711","134","6","2","0","10365","18165","8040","65","1","4718","2205","13097","15414","2478","30989"
"DURHAM","123867","23231","1190","61","26","0","83210","112141","72545","566","33","46300","11138","91639","116304","23642","231585"
"EDGECOMBE","20508","6569","104","3","5","0","6792","11965","19134","58","2","2822","583","13794","18119","2068","33981"
"FORSYTH","97315","70690","1697","60","32","0","91417","157817","64678","504","29","38183","13029","107195","131950","22066","261211"
"FRANKLIN","16785","15973","382","5","1","0","17899","32348","11868","141","3","6685","1778","21369","24551","5125","51045"
"GASTON","40480","59871","1169","20","48","0","52828","107468","26975","333","5","19635","5701","65603","77423","11390","154416"
"GATES","3471","2056","37","1","1","0","2590","5035","2457","16","0","648","53","3558","4049","549","8156"
"GRAHAM","1123","3029","32","0","1","0","1871","5495","9","260","1","291","36","2829","3018","209","6056"
"GRANVILLE","16001","10895","226","6","10","0","13048","22975","11417","78","4","5712","1151","16336","18967","4883","40186"
"GREENE","4868","2497","29","1","1","0","3448","5919","3753","12","0","1160","487","4673","5602","569","10844"
"GUILFORD","154895","88098","2195","68","41","0","126860","191895","123671","950","24","55617","13497","156115","194731","21311","372157"
"HALIFAX","20377","4817","99","2","5","0","10151","13557","18237","1028","4","2625","293","15109","18466","1876","35451"
"HARNETT","23925","30361","777","25","17","0","29267","52212","17243","473","17","14427","5163","35095","41227","8050","84372"
"HAYWOOD","12146","15993","309","11","6","0","17022","41975","467","115","1","2929","585","20465","23338","1684","45487"
"HENDERSON","17106","31778","621","11","12","0","38512","76512","2342","146","11","9029","2769","37733","44917","5390","88040"
"HERTFORD","8925","1556","36","0","2","0","3333","4474","8364","93","2","919","96","5745","7472","635","13852"
"HOKE","13721","7285","303","12","4","0","11646","12986","12483","1942","16","5544","2356","14292","17149","1530","32971"
"HYDE","1362","677","15","0","0","0","1097","2358","567","0","0","226","59","1398","1588","165","3151"
"IREDELL","27287","56283","878","23","13","0","51691","106059","14599","221","4","15292","4633","60042","66665","9468","136175"
"JACKSON","8458","8322","249","15","6","0","12341","24121","613","1514","6","3137","723","12799","14400","2192","29391"
"JOHNSTON","39762","56689","1216","43","65","0","54859","102755","25387","422","17","24053","8363","66090","76117","10427","152634"
"JONES","2521","2299","37","0","0","0","2242","4402","2052","11","1","633","101","3062","3526","511","7099"
"LEE","12512","11913","276","4","11","0","14393","25149","7296","144","6","6514","3315","16420","19613","3076","39109"
"LENOIR","16482","10366","149","10","12","0","10456","18688","14565","63","5","4154","797","15199","19055","3221","37475"
"LINCOLN","11738","31567","422","12","11","0","22890","56208","3564","86","2","6780","2048","29632","32193","4815","66640"
"MACON","4979","12314","187","2","0","0","10323","25479","195","60","1","2070","534","12875","14463","467","27805"
"MADISON","4969","4740","114","6","2","0","6964","15111","124","26","0","1534","184","7372","7978","1445","16795"
"MARTIN","7691","3463","51","1","1","0","4704","8527","6266","27","0","1091","181","6658","8446","807","15911"
"MCDOWELL","5662","12956","180","6","3","0","10827","26868","811","34","1","1920","593","13446","14902","1286","29634"
"MECKLENBURG","320516","153501","5888","183","15","0","291114","396738","235924","2029","58","136468","43356","323840","389681","57696","771217"
"MITCHELL","1045","6437","43","2","1","0","3558","9970","39","12","1","1064","138","4906","5405","775","11086"
"MONTGOMERY","5346","6394","86","2","4","0","5568","12195","3089","47","0","2069","777","7716","8615","1069","17400"
"MOORE","15081","30671","616","9","15","0","27752","59596","7407","342","6","6793","1712","32531","38242","3371","74144"
"NASH","28356","19278","306","7","12","0","18906","33794","25920","341","4","6806","1753","28192","34460","4213","66865"
"NEW HANOVER","50407","53336","1477","37","20","0","72560","136435","18986","379","13","22024","3974","73766","86796","17275","177837"
"NORTHAMPTON","7843","1578","41","3","4","0","3339","5079","7010","33","0","686","66","5568","6596","644","12808"
"ONSLOW","24283","46988","1785","23","55","0","49835","83746","18781","460","29","19953","7488","52516","60693","9760","122969"
"ORANGE","50224","13189","562","26","14","0","43469","74608","11414","233","1","21228","4162","44157","52387","10940","107484"
"PAMLICO","2844","4036","58","3","3","0","3186","7886","1439","26","0","779","111","4492","5072","566","10130"
"PASQUOTANK","10982","7481","213","7","2","0","10862","16635","9859","39","3","3011","417","12639","14888","2020","29547"
"PENDER","10864","19391","415","12","6","0","17546","37058","5753","120","5","5298","1277","21050","23390","3794","48234"
"PERQUIMANS","2931","3515","53","1","0","0","3647","7507","1961","19","2","658","59","4465","5138","544","10147"
"PERSON","9490","8103","122","4","4","0","9750","17893","6825","117","3","2635","510","11817","13820","1836","27473"
"PITT","48305","30374","774","26","16","0","41592","64425","40250","245","8","16159","3372","48875","61233","10979","121087"
"POLK","3603","6101","109","3","2","0","6507","14466","581","9","2","1267","289","7242","8563","520","16325"
"RANDOLPH","15021","49502","600","6","12","0","29651","77497","5968","311","6","11010","3799","42025","46874","5893","94792"
"RICHMOND","11913","7437","126","5","4","0","8718","16629","8760","407","0","2407","568","12360","14560","1283","28203"
"ROBESON","35075","13377","235","8","11","0","23065","20145","18749","24809","15","8053","2142","30817","38381","2573","71771"
"ROCKINGHAM","17561","24128","325","9","9","0","18822","42564","10944","100","0","7246","1203","27104","31792","1958","60854"
"ROWAN","22356","41274","622","15","33","0","31704","70064","15052","182","6","10700","2991","41435","47372","7197","96004"
"RUTHERFORD","9963","19802","258","5","6","0","15900","37327","3973","58","0","4576","878","19869","22835","3230","45934"
"SAMPSON","12728","15316","178","1","12","0","9516","21991","9964","531","0","5265","2787","16406","19408","1937","37751"
"SCOTLAND","9887","4533","73","4","2","0","6765","9542","7996","1675","9","2042","220","8718","11098","1448","21264"
"STANLY","8439","20797","209","16","15","0","14170","33740","4471","79","3","5353","672","18452","20921","4273","43646"
"STOKES","5253","16819","203","8","5","0","9763","27562","1172","51","1","3265","440","15252","16751","48","32051"
"SURRY","9264","22015","234","9","7","0","15555","40044","1678","45","2","5315","2031","20733","23295","3056","47084"
"SWAIN","2809","3058","66","1","2","0","3797","7411","92","1546","1","683","90","4408","4926","399","9733"
"TRANSYLVANIA","5694","8374","150","2","3","0","11679","23124","713","49","1","2015","242","11299","13089","1514","25902"
"TYRRELL","1041","446","7","0","0","0","799","1411","643","3","0","236","37","1008","1106","179","2293"
"UNION","39775","69522","1165","29","34","0","64509","123331","19659","513","10","31521","8674","75322","83705","16007","175034"
"VANCE","16049","4912","104","5","9","0","6769","11185","13826","54","1","2782","710","11425","14660","1763","27848"
"WAKE","285577","174914","6346","204","145","0","341098","495822","144936","2069","53","165404","34665","340286","391022","76976","808284"
"WARREN","7785","2248","41","0","2","0","2968","5369","6193","530","2","950","118","5587","6746","711","13044"
"WASHINGTON","4620","1377","24","0","0","0","1940","3643","3754","9","0","555","63","3357","4188","416","7961"
"WATAUGA","11380","12341","391","30","1","0","19861","38314","842","60","11","4777","1229","18908","22013","3083","44004"
"WAYNE","26798","25281","435","11","18","0","21190","40950","23130","127","5","9521","3000","30953","37254","5526","73733"
"WILKES","6867","23923","204","6","4","0","12688","38229","1576","47","0","3840","934","19318","21363","3011","43692"
"WILSON","24813","13811","237","6","13","0","15875","26826","21773","109","0","6047","1812","22949","28739","3067","54755"
"YADKIN","2994","14126","132","1","4","0","7477","21560","723","26","1","2424","968","11097","12120","1517","24734"
"YANCEY","3747","5353","81","1","4","0","4951","12907","72","25","1","1132","146","6361","6954","822","14137"
