"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36528","38200","619","49","0","0","0","0","45299","76306","24792","267","21","1357","632","10399","6921","7980","49946","60278","10471","120695","1","0"
"ALEXANDER","3564","12732","112","5","0","0","0","0","9366","22361","938","31","1","172","38","1712","526","615","11578","12369","1832","25779","1","0"
"ALLEGHANY","1484","3614","32","2","0","0","0","0","3074","7186","81","12","0","8","12","702","205","278","3677","3884","645","8206","1","0"
"ANSON","7603","3416","55","6","0","0","0","0","4870","6754","6115","32","1","94","25","2643","286","226","5957","7267","2726","15950","1","0"
"ASHE","3297","9640","101","5","0","0","0","0","7739","18911","121","28","2","58","17","1354","291","368","9326","10159","1297","20782","1","0"
"AVERY","1107","7057","65","5","0","0","0","0","4169","11179","57","17","0","31","14","931","174","151","5538","6014","851","12403","1","0"
"BEAUFORT","8739","13320","121","14","0","0","0","0","11835","23793","6466","38","3","61","51","2732","885","822","14323","16798","2908","34029","1","0"
"BERTIE","6920","1802","42","2","0","0","0","0","4037","4592","6643","17","0","29","15","1422","85","62","5065","6309","1429","12803","1","0"
"BLADEN","7920","6022","72","11","0","0","0","0","8980","12547","7021","387","7","28","86","2290","639","698","9566","11401","2038","23005","1","0"
"BRUNSWICK","27810","60915","742","56","0","0","0","0","59565","124201","9599","434","10","698","239","10627","3280","2945","63402","73448","12238","149088","1","0"
"BUNCOMBE","71450","44823","1540","289","0","0","0","0","100066","178237","10509","368","42","1721","1002","19296","6993","6555","92552","107558","18058","218168","1","0"
"BURKE","11149","25199","364","31","0","0","0","0","23837","50336","3081","99","2","1007","125","4132","1798","1789","26524","29518","4538","60580","1","0"
"CABARRUS","43689","52036","1066","128","0","0","0","0","66035","98348","33947","441","20","4505","690","15595","9408","9305","68126","79558","15270","162954","1","0"
"CALDWELL","8530","27871","341","17","0","0","0","0","19277","46107","2559","75","0","226","143","5667","1259","1440","24605","27312","4119","56036","1","0"
"CAMDEN","1187","3476","67","6","0","0","0","0","3952","6868","870","10","2","46","15","691","186","99","3844","4090","754","8688","1","0"
"CARTERET","8271","26835","336","22","0","0","0","0","22324","49918","2101","107","9","336","121","4205","991","897","25163","28197","4428","57788","1","0"
"CASWELL","5382","4848","57","3","0","0","0","0","5375","9794","4362","24","1","37","51","1096","300","313","6798","7731","1136","15665","1","0"
"CATAWBA","19641","51440","678","55","0","0","0","0","47283","91220","9065","152","9","2825","311","9551","5964","6061","51510","57401","10186","119097","1","0"
"CHATHAM","20952","14994","297","32","0","0","0","0","28174","46878","5837","135","9","1404","239","7112","2835","2919","26502","30736","7211","64449","1","0"
"CHEROKEE","2941","13356","151","9","0","0","0","0","8512","23163","262","118","2","112","29","957","326","293","11817","12601","551","24969","1","0"
"CHOWAN","3098","3290","47","2","0","0","0","0","3794","6654","2510","16","6","21","25","851","148","109","4449","5235","547","10231","1","0"
"CLAY","1268","5161","55","2","0","0","0","0","3764","9563","43","16","0","20","9","500","99","114","4664","5116","470","10250","1","0"
"CLEVELAND","17954","27751","400","20","0","0","0","0","23549","48020","13163","96","8","393","210","6225","1559","1374","29379","34163","6132","69674","1","0"
"COLUMBUS","11568","11935","125","10","0","0","0","0","13792","22537","9954","972","4","61","82","3055","765","735","15852","18560","3018","37430","1","0"
"CRAVEN","18537","29063","552","50","0","0","0","0","29313","53927","13616","181","9","1328","261","5255","2938","2561","33224","38988","5303","77515","1","0"
"CUMBERLAND","83037","50989","1780","178","0","0","0","0","88621","86353","86794","2450","123","3798","1926","26830","16331","15710","88790","109790","26025","224605","1","0"
"CURRITUCK","3032","10802","205","7","0","0","0","0","10870","21307","1218","41","3","144","63","1579","561","337","11342","11987","1587","24916","1","0"
"DARE","6107","11497","215","19","0","0","0","0","15017","29644","547","35","1","128","59","1694","747","470","14923","16207","1725","32855","1","0"
"DAVIDSON","20742","59247","674","45","0","0","0","0","42301","95407","11506","256","7","1025","263","10191","4354","4422","52999","59604","10406","123009","1","0"
"DAVIE","4437","17150","159","15","0","0","0","0","12073","28204","1969","41","0","168","81","2375","996","1151","14988","16610","2236","33834","1","0"
