"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38094","33041","496","2","0","0","29174","71907","20909","272","0","0","0","0","7719","3103","44337","54205","2265","100807","0"
"ALEXANDER","6166","10788","83","0","0","0","7288","22458","1000","35","0","0","0","0","832","261","11577","12437","311","24325","0"
"ALLEGHANY","2644","2604","34","0","0","0","2145","7044","81","12","0","0","0","0","290","178","3496","3826","105","7427","0"
"ANSON","11631","2466","19","2","0","0","3223","7397","7614","35","0","0","0","0","2295","66","6980","8277","2084","17341","0"
"ASHE","5299","8054","72","0","0","0","5461","18310","112","18","0","0","0","0","446","190","8884","9851","151","18886","0"
"AVERY","1396","6914","48","0","0","0","3388","11314","75","20","0","0","0","0","337","82","5437","6187","122","11746","0"
"BEAUFORT","13220","10774","89","0","0","0","9007","23322","8179","42","0","0","0","0","1547","353","14772","17458","860","33090","0"
"BERTIE","10041","1541","24","0","0","0","2443","4962","8521","18","0","0","0","0","548","27","6088","7591","370","14049","0"
"BLADEN","12622","3911","38","0","0","0","6333","13304","8429","432","0","0","0","0","739","348","10465","12298","141","22904","0"
"BRUNSWICK","27146","37237","369","1","0","0","34759","85607","8972","297","0","0","0","0","4636","1064","45235","52151","2126","99512","0"
"BUNCOMBE","74850","46016","1411","16","0","0","71987","169136","10958","408","0","0","0","0","13778","3253","86999","102075","5206","194280","0"
"BURKE","18220","20679","266","2","0","0","18887","51644","3467","92","0","0","0","0","2851","775","27243","30466","345","58054","0"
"CABARRUS","41319","49272","773","5","0","0","44033","99000","24489","349","0","0","0","0","11564","4490","60788","71619","2995","135402","0"
"CALDWELL","14129","24592","356","1","0","0","15639","50127","2839","72","0","0","0","0","1679","754","25928","28442","347","54717","0"
"CAMDEN","2226","2458","47","0","0","0","3081","6420","1098","12","0","0","0","0","282","28","3775","3967","70","7812","0"
"CARTERET","11990","22268","239","0","0","0","17791","47372","2700","103","0","0","0","0","2113","475","23968","27083","1237","52288","0"
"CASWELL","7905","3295","34","0","0","0","4430","9748","5315","23","0","0","0","0","578","129","7080","8330","254","15664","0"
"CATAWBA","25302","44644","405","2","0","0","33835","87561","9343","136","0","0","0","0","7148","2670","48026","54983","1179","104188","0"
"CHATHAM","20738","12894","234","0","0","0","18876","41499","6444","105","0","0","0","0","4694","1475","23138","27133","2471","52742","0"
"CHEROKEE","5622","9948","129","1","0","0","7460","22320","259","139","0","0","0","0","442","170","10896","12201","63","23160","0"
"CHOWAN","4843","2628","21","0","0","0","2754","6706","3186","12","0","0","0","0","342","41","4547","5593","106","10246","0"
"CLAY","1881","3595","44","0","0","0","3115","8331","43","17","0","0","0","0","244","56","4092","4436","107","8635","0"
"CLEVELAND","25920","21001","236","2","0","0","17308","47931","13931","95","0","0","0","0","2510","583","29095","34366","1006","64467","0"
"COLUMBUS","20698","7139","58","1","0","0","9277","23376","11724","1046","0","0","0","0","1027","277","16820","20104","249","37173","0"
"CRAVEN","22966","24023","354","0","0","0","21336","49251","15197","158","0","0","0","0","4073","1446","30893","36730","1056","68679","0"
"CUMBERLAND","97955","49231","1138","4","0","0","66162","95823","88253","2372","0","0","0","0","28042","11595","91565","112438","10487","214490","0"
"CURRITUCK","3964","7218","154","1","0","0","8264","17831","1064","47","0","0","0","0","659","138","9411","9951","239","19601","0"
"DARE","8752","9152","212","1","0","0","11506","28056","578","36","0","0","0","0","953","227","14075","15281","267","29623","0"
"DAVIDSON","25849","50459","444","1","0","0","30903","92469","10145","271","0","0","0","0","4771","1737","49823","56720","1113","107656","0"
"DAVIE","5439","15092","112","0","0","0","9039","26291","1977","37","0","0","0","0","1377","486","13813","15582","287","29682","0"
"DUPLIN","14005","8110","124","0","0","0","7897","18962","9019","49","0","0","0","0","2106","1492","13246","16115","775","30136","0"
"DURHAM","122976","27737","1092","12","0","0","70868","110552","82168","601","0","0","0","0","29364","7904","95020","119354","8311","222685","0"
"EDGECOMBE","26700","6212","83","2","0","0","5177","13819","23183","65","0","0","0","0","1107","370","16632","21159","383","38174","0"
"FORSYTH","104445","75674","1243","5","0","0","74760","164447","69970","516","0","0","0","0","21194","8786","111603","137155","7369","256127","0"
"FRANKLIN","18079","13317","198","1","0","0","12278","29512","11584","131","0","0","0","0","2646","908","20110","22591","1172","43873","0"
"GASTON","44604","54350","693","1","0","0","43594","109692","23930","366","0","0","0","0","9254","3296","63865","76292","3085","143242","0"
"GATES","4575","1762","29","0","0","0","2270","5352","2930","14","0","0","0","0","340","32","3888","4456","292","8636","0"
"GRAHAM","1896","2822","26","0","0","0","1657","5932","4","318","0","0","0","0","147","43","3075","3262","64","6401","0"
"GRANVILLE","18655","9376","144","1","0","0","10204","23854","12399","83","0","0","0","0","2044","692","16890","19926","1564","38380","0"
"GREENE","6523","2085","21","1","0","0","2797","6495","4340","10","0","0","0","0","582","383","5217","6119","91","11427","0"
"GUILFORD","167803","94990","1748","12","0","0","104086","207689","128623","1043","0","0","0","0","31284","9037","161806","201959","4874","368639","0"
"HALIFAX","25263","4610","83","1","0","0","8375","15086","20674","1148","0","0","0","0","1424","243","16854","20999","479","38332","0"
"HARNETT","26248","25926","492","0","0","0","21720","50221","16768","493","0","0","0","0","6904","3119","33131","39646","1609","74386","0"
"HAYWOOD","16479","13428","249","4","0","0","14059","42406","467","107","0","0","0","0","1239","351","20438","23486","295","44219","0"
"HENDERSON","17941","31634","435","5","0","0","34150","77060","2474","155","0","0","0","0","4476","1871","37997","44935","1233","84165","0"
"HERTFORD","11180","1475","36","0","0","0","2674","5014","9734","106","0","0","0","0","511","87","6597","8594","174","15365","0"
"HOKE","15209","6767","194","1","0","0","9994","14185","12647","2318","0","0","0","0","3015","1869","14518","17600","47","32165","0"
"HYDE","1973","531","13","0","0","0","906","2513","814","3","0","0","0","0","93","27","1597","1774","52","3423","0"
"IREDELL","30154","49217","568","4","0","0","39061","98289","13960","211","0","0","0","0","6544","2744","55690","62068","1246","119004","0"
"JACKSON","10156","7516","173","3","0","0","10521","24163","662","1594","0","0","0","0","1950","468","12623","14645","1101","28369","0"
"JOHNSTON","38564","48110","693","4","0","0","38032","96039","20391","362","0","0","0","0","8611","4549","57515","66140","1748","125403","0"
"JONES","3545","1834","21","0","0","0","1901","4609","2428","16","0","0","0","0","248","78","3361","3850","90","7301","0"
"LEE","14663","10319","172","2","0","0","11163","25242","7747","141","0","0","0","0","3189","2258","16315","19593","411","36319","0"
"LENOIR","20827","9538","114","0","0","0","8014","20583","16445","61","0","0","0","0","1404","522","16900","20993","600","38493","0"
"LINCOLN","13709","25061","256","0","0","0","18023","51152","3213","93","0","0","0","0","2591","1305","26831","29441","777","57049","0"
"MACON","6510","10445","128","2","0","0","8716","24753","181","59","0","0","0","0","808","274","11894","13719","188","25801","0"
"MADISON","6547","4391","107","0","0","0","5884","16102","180","29","0","0","0","0","618","134","8039","8501","389","16929","0"
"MARTIN","10097","3292","34","0","0","0","3588","9166","7435","22","0","0","0","0","388","102","7638","9251","122","17011","0"
"MCDOWELL","8300","11108","151","0","0","0","9753","27792","891","32","0","0","0","0","597","302","13879","15433","0","29312","0"
"MECKLENBURG","317624","170578","4367","21","0","0","231346","403330","236836","2083","0","0","0","0","81687","30260","321118","386187","16631","723936","0"
"MITCHELL","1146","6648","28","0","0","0","3203","10618","31","8","0","0","0","0","368","94","5185","5722","118","11025","0"
"MONTGOMERY","7106","5040","57","2","0","0","4244","11921","3440","44","0","0","0","0","1044","512","7599","8660","190","16449","0"
"MOORE","16410","27203","340","1","0","0","23028","55596","8221","337","0","0","0","0","2828","1018","30548","36412","22","66982","0"
"NASH","33207","18738","205","1","0","0","14090","36484","26390","316","0","0","0","0","3051","1111","29626","35930","685","66241","0"
"NEW HANOVER","52739","53041","1175","7","0","0","61128","134191","21635","392","0","0","0","0","11872","2753","73895","86719","7476","168090","0"
"NORTHAMPTON","10486","1434","21","1","0","0","2650","5564","8616","36","0","0","0","0","376","39","6457","7828","307","14592","0"
"ONSLOW","27521","38547","921","4","0","0","39384","76586","19159","387","0","0","0","0","10245","5338","47795","56686","1896","106377","0"
"ORANGE","52385","16389","718","10","0","0","43722","82972","13047","276","0","0","0","0","16929","3548","49101","58701","5422","113224","0"
"PAMLICO","3803","3146","38","0","0","0","2696","7577","1723","27","0","0","0","0","356","65","4479","5051","153","9683","0"
"PASQUOTANK","13095","6108","168","3","0","0","9350","16346","10749","55","0","0","0","0","1574","248","12833","15256","635","28724","0"
"PENDER","12560","15355","237","0","0","0","12698","32372","6438","93","0","0","0","0","1947","714","19044","21216","590","40850","0"
"PERQUIMANS","4040","2707","32","1","0","0","3227","7397","2365","20","0","0","0","0","225","48","4660","5317","30","10007","0"
"PERSON","12002","6624","97","0","0","0","7926","18245","7296","117","0","0","0","0","991","286","12016","14341","292","26649","0"
"PITT","55576","31817","712","7","0","0","34449","71520","42720","258","0","0","0","0","8063","2449","52743","66107","3711","122561","0"
"POLK","4380","5561","80","2","0","0","5934","14709","733","12","0","0","0","0","503","194","7300","8524","133","15957","0"
"RANDOLPH","18722","45863","484","3","0","0","26357","80584","5768","267","0","0","0","0","4810","2717","42654","47827","948","91429","0"
"RICHMOND","16485","5933","74","0","0","0","7837","18546","10106","439","0","0","0","0","1238","362","13770","16251","308","30329","0"
"ROBESON","48635","9455","189","1","0","0","17744","22884","21535","27282","0","0","0","0","4323","1326","33423","42127","474","76024","0"
"ROCKINGHAM","22456","20722","218","2","0","0","16490","45247","11876","123","0","0","0","0","2642","813","27524","32364","0","59888","0"
"ROWAN","27822","38245","388","0","0","0","27931","73122","16713","180","0","0","0","0","4371","1723","43628","49745","1013","94386","0"
"RUTHERFORD","14367","16885","217","0","0","0","13430","38264","4503","70","0","0","0","0","2062","560","20413","23488","998","44899","0"
"SAMPSON","16256","13863","108","0","0","0","7675","23072","11574","559","0","0","0","0","2697","1679","16955","20564","383","37902","0"
"SCOTLAND","12795","3722","50","0","0","0","6014","10795","9101","1613","0","0","0","0","1072","179","9659","12513","409","22581","0"
"STANLY","11024","18269","140","1","0","0","12041","34774","4502","81","0","0","0","0","2118","323","19106","21446","923","41475","0"
