"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","37078","36673","699","25","51","0","39231","73918","23534","259","10","1076","673","9575","4712","6060","47497","57529","8731","113757","1"
"ALEXANDER","4122","12192","113","3","19","0","8741","22072","965","35","1","154","37","1554","372","510","11418","12188","1584","25190","1"
"ALLEGHANY","1733","3354","43","0","6","0","2832","7075","73","7","0","6","15","657","135","240","3546","3820","602","7968","1"
"ANSON","8769","3119","57","2","11","0","4137","6822","6451","31","1","97","22","2484","187","141","6137","7398","2560","16095","1"
"ASHE","3727","9279","106","2","10","0","7146","18646","117","24","2","52","18","1189","222","334","9131","10053","1086","20270","1"
"AVERY","1295","7348","65","1","10","0","4104","11643","62","19","0","25","19","936","119","116","5728","6284","811","12823","1"
"BEAUFORT","10238","12859","135","3","16","0","11001","23939","7165","41","2","61","69","2256","719","687","14672","17229","2351","34252","1"
"BERTIE","7660","1702","38","1","2","0","3244","4600","7112","19","1","32","18","795","70","56","5268","6587","792","12647","1"
"BLADEN","9222","5500","88","2","11","0","7800","12660","7553","408","3","23","94","1371","511","615","9866","11614","1143","22623","1"
"BRUNSWICK","27241","53329","714","18","78","0","50564","109809","9002","386","9","520","255","9748","2215","2110","56141","64936","10867","131944","1"
"BUNCOMBE","72622","44854","1654","113","168","0","89205","173494","10201","342","45","1554","989","16474","5517","5416","89006","104311","15299","208616","1"
"BURKE","12525","23655","360","8","27","0","22459","49330","3071","90","1","949","128","4085","1380","1422","25893","28854","4287","59034","1"
"CABARRUS","43688","51457","1225","68","187","0","58909","97669","31538","401","10","3561","745","14716","6894","7426","65300","76526","13708","155534","1"
"CALDWELL","9291","26584","372","5","32","0","17611","46092","2553","74","0","187","134","3917","938","1166","23874","26431","3590","53895","1"
"CAMDEN","1412","3225","76","0","12","0","3805","6993","937","10","1","35","18","380","156","64","3908","4191","431","8530","1"
"CARTERET","9301","26028","359","7","36","0","20943","49030","2236","105","7","296","136","4115","749","750","24581","27822","4271","56674","1"
"CASWELL","5958","4275","62","2","7","0","4946","9438","4558","23","1","30","49","938","213","234","6685","7611","954","15250","1"
