"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","40535","30052","93","0","0","0","18423","67830","17639","176","0","0","0","0","1180","1007","39501","49032","0","89103","0"
"ALEXANDER","8227","10539","27","0","0","0","4940","22285","1081","25","0","0","0","0","147","124","11294","12320","0","23733","0"
"ALLEGHANY","3520","2253","8","0","0","0","1374","6951","77","7","0","0","0","0","37","63","3340","3782","0","7155","0"
"ANSON","12099","2246","4","0","0","0","1812","8168","7676","35","0","0","0","0","64","24","7127","8804","0","16161","0"
"ASHE","7626","8682","18","0","0","0","4111","20086","108","11","0","0","0","0","90","83","9539","10857","0","20437","0"
"AVERY","1626","7317","7","0","0","0","2621","11289","58","19","0","0","0","0","54","49","5435","6057","0","11571","0"
"BEAUFORT","16200","9438","10","0","0","0","5576","22473","8143","32","0","0","0","0","224","131","13859","17106","0","31224","0"
"BERTIE","11253","1359","7","0","0","0","1390","5271","8355","19","0","0","0","0","28","17","5945","7889","0","14009","0"
"BLADEN","15373","2931","1","0","0","0","3408","12917","8077","215","0","0","0","0","134","120","9690","11940","0","21713","0"
"BRUNSWICK","28580","27079","68","0","0","0","18493","64731","7771","215","0","0","0","0","552","414","34376","39245","0","74220","0"
"BUNCOMBE","76793","47901","185","0","0","0","47525","154769","10165","336","0","0","0","0","2830","1260","77665","92535","0","172404","0"
"BURKE","22940","20012","54","0","0","0","13408","51409","3412","65","0","0","0","0","640","282","26175","30035","0","56414","0"
"CABARRUS","38944","43023","119","0","0","0","25439","86727","15926","234","0","0","0","0","1477","1551","48801","57579","0","107525","0"
"CALDWELL","18103","23438","57","0","0","0","10526","48350","2695","50","0","0","0","0","375","283","24417","27488","0","52124","0"
"CAMDEN","3145","1888","7","0","0","0","2050","5822","1103","14","0","0","0","0","56","18","3393","3642","0","7090","0"
"CARTERET","15651","18907","38","0","0","0","11891","42827","2517","82","0","0","0","0","316","193","21515","24392","0","46487","0"
"CASWELL","9425","3098","9","0","0","0","2595","9321","5551","14","0","0","0","0","79","45","6779","8249","0","15127","0"
"CATAWBA","32149","45078","72","0","0","0","24418","89256","8645","107","0","0","0","0","1357","942","46672","54584","0","101717","0"
"CHATHAM","20340","10737","37","0","0","0","10315","33599","6077","71","0","0","0","0","497","444","18726","21981","0","41429","0"
"CHEROKEE","7317","8480","18","0","0","0","4680","19949","199","109","0","0","0","0","78","70","9564","10898","0","20495","0"
"CHOWAN","6034","2387","5","0","0","0","2054","6935","3328","13","0","0","0","0","53","25","4669","5737","0","10480","0"
"CLAY","2910","3422","5","0","0","0","2312","8503","27","13","0","0","0","0","27","27","4072","4531","0","8649","0"
"CLEVELAND","30992","18991","42","0","0","0","11332","47101","12920","82","0","0","0","0","343","313","27652","33464","0","61357","0"
"COLUMBUS","25026","5704","18","0","0","0","5926","23876","11327","982","0","0","0","0","168","95","16472","20119","0","36674","0"
"CRAVEN","28082","22278","39","0","0","0","15150","47948","15069","106","0","0","0","0","1022","741","29455","35518","0","65549","0"
"CUMBERLAND","101035","47690","166","0","0","0","43574","96528","76725","1964","0","0","0","0","9393","7121","84981","104506","0","192465","0"
"CURRITUCK","5355","5092","24","0","0","0","5456","14486","971","53","0","0","0","0","143","82","7498","8289","0","15927","0"
"DARE","10274","7573","32","0","0","0","7968","24689","508","37","0","0","0","0","235","116","12258","13508","0","25847","0"
"DAVIDSON","33957","46379","120","0","0","0","19776","88974","9119","234","0","0","0","0","883","676","46582","53525","0","100232","0"
"DAVIE","6370","14439","25","0","0","0","5553","24141","1769","28","0","0","0","0","199","185","12300","14038","0","26387","0"
"DUPLIN","15913","6735","11","0","0","0","5397","18366","8797","40","0","0","0","0","312","411","12140","15392","0","28056","0"
"DURHAM","111464","28146","188","0","0","0","41531","95411","70770","409","0","0","0","0","3763","3009","78345","99782","0","181329","0"
"EDGECOMBE","28282","5633","8","0","0","0","3106","14392","21978","47","0","0","0","0","206","81","15817","20965","0","37029","0"
"FORSYTH","102904","74271","188","0","0","0","45642","153324","60304","366","0","0","0","0","3501","2899","98189","122892","0","223005","0"
"FRANKLIN","18789","10846","29","0","0","0","6644","25014","10173","96","0","0","0","0","429","363","16608","19358","0","36308","0"
"GASTON","48548","49136","109","0","0","0","28305","103550","18566","257","0","0","0","0","1134","1182","55883","68901","0","126098","0"
"GATES","5014","1459","3","0","0","0","1515","4954","2784","3","0","0","0","0","44","12","3560","4223","0","7991","0"
"GRAHAM","2520","2825","3","0","0","0","1170","6145","1","287","0","0","0","0","44","36","3126","3382","0","6518","0"
"GRANVILLE","19693","7977","29","0","0","0","5669","21099","11209","76","0","0","0","0","346","276","14524","17990","0","33368","0"
"GREENE","7476","1812","2","0","0","0","1541","6508","4117","13","0","0","0","0","91","103","4854","5970","0","10831","0"
"GUILFORD","172178","100719","287","0","0","0","71256","218652","109733","915","0","0","0","0","5098","3235","152197","191523","0","344440","0"
"HALIFAX","26750","4708","23","0","0","0","4822","15408","18932","1019","0","0","0","0","232","95","15479","20586","0","36303","0"
"HARNETT","28327","20398","85","0","0","0","11945","43875","13804","404","0","0","0","0","1085","1094","27261","33302","0","60755","0"
"HAYWOOD","20450","11913","25","0","0","0","9125","40496","402","93","0","0","0","0","197","197","19082","22323","0","41513","0"
"HENDERSON","19205","31528","64","0","0","0","23898","70397","2010","124","0","0","0","0","820","740","34162","40039","0","74695","0"
"HERTFORD","11650","1791","6","0","0","0","1458","5527","9008","84","0","0","0","0","87","34","6274","8572","0","14905","0"
"HOKE","14066","5170","17","0","0","0","6180","11964","9980","1974","0","0","0","0","1004","893","11269","14107","0","25433","0"
"HYDE","2695","484","2","0","0","0","511","2630","1006","7","0","0","0","0","11","8","1668","2005","0","3692","0"
"IREDELL","34383","41657","80","0","0","0","24157","84696","11881","153","0","0","0","0","965","1071","46414","53014","0","100277","0"
"JACKSON","11986","7036","17","0","0","0","7385","23479","465","1421","0","0","0","0","190","155","12070","13779","0","26424","0"
"JOHNSTON","38950","37016","79","0","0","0","21791","78917","15139","272","0","0","0","0","1704","1083","44666","52585","0","97836","0"
"JONES","4559","1426","9","0","0","0","1223","4540","2552","11","0","0","0","0","42","27","3295","3869","0","7217","0"
"LEE","16400","9247","28","0","0","0","6577","24070","6794","95","0","0","0","0","609","789","14563","17577","0","32252","0"
"LENOIR","23512","8788","16","0","0","0","5205","21422","15366","58","0","0","0","0","290","169","16257","21136","0","37521","0"
"LINCOLN","17122","20853","27","0","0","0","11256","45311","2760","65","0","0","0","0","427","495","23088","25943","0","49258","0"
"MACON","8456","9770","8","0","0","0","5976","23563","181","37","0","0","0","0","117","95","11132","12978","0","24210","0"
"MADISON","7660","4476","15","0","0","0","3618","15317","115","24","0","0","0","0","77","39","7529","8042","0","15769","0"
"MARTIN","12247","2916","4","0","0","0","2427","9630","7716","36","0","0","0","0","96","49","7686","9862","0","17594","0"
"MCDOWELL","10874","9653","13","0","0","0","6652","25899","849","17","0","0","0","0","199","118","12650","14542","0","27192","0"
"MECKLENBURG","271755","169612","556","0","0","0","146703","364606","178397","1574","0","0","0","0","14505","11077","260697","317592","0","588626","0"
"MITCHELL","1371","7485","3","0","0","0","2594","11299","20","15","0","0","0","0","35","43","5329","6105","0","11453","0"
"MONTGOMERY","8399","4751","10","0","0","0","2699","11904","3454","37","0","0","0","0","197","132","7284","8517","0","15859","0"
"MOORE","18573","25501","58","0","0","0","15482","50370","7810","279","0","0","0","0","670","357","27188","32399","0","59614","0"
"NASH","36357","20412","39","0","0","0","8943","40607","23354","238","0","0","0","0","797","411","29558","36018","0","65751","0"
"NEW HANOVER","54638","48984","233","0","0","0","38591","117969","18931","262","0","0","0","0","1516","1044","64010","75622","0","142446","0"
"NORTHAMPTON","11752","1269","4","0","0","0","1626","5968","8412","22","0","0","0","0","39","22","6301","8056","0","14651","0"
"ONSLOW","31102","29844","95","0","0","0","23448","62704","15750","259","0","0","0","0","2923","2391","37058","46391","0","84489","0"
"ORANGE","53056","18450","147","0","0","0","27991","79020","12251","243","0","0","0","0","2458","1502","44589","54147","0","99644","0"
"PAMLICO","4955","2715","4","0","0","0","1798","7367","1886","26","0","0","0","0","50","24","4313","5071","0","9472","0"
"PASQUOTANK","14948","5736","30","0","0","0","6608","16018","10201","41","0","0","0","0","340","107","12109","14933","0","27322","0"
"PENDER","14539","11639","39","0","0","0","7729","26644","6366","57","0","0","0","0","233","193","15651","18018","0","33946","0"
"PERQUIMANS","4787","2192","5","0","0","0","2346","6926","2240","14","0","0","0","0","42","23","4299","5031","0","9330","0"
"PERSON","13741","5856","10","0","0","0","4969","17270","6680","122","0","0","0","0","151","128","11147","13299","0","24576","0"
"PITT","54531","27910","109","0","0","0","19650","64837","33472","228","0","0","0","0","1553","781","45130","56720","0","102200","0"
"POLK","4907","5327","10","0","0","0","4318","13598","698","10","0","0","0","0","112","84","6582","7932","0","14562","0"
"RANDOLPH","23096","43101","79","0","0","0","19086","78037","4993","248","0","0","0","0","912","945","39379","45728","0","85362","0"
"RICHMOND","19676","5104","6","0","0","0","4814","19328","9381","269","0","0","0","0","235","144","13276","16250","0","29600","0"
"ROBESON","51956","7663","31","0","0","0","9109","23673","19607","23058","0","0","0","0","1079","501","29057","39362","0","68759","0"
"ROCKINGHAM","28151","17926","39","0","0","0","11705","45060","11507","107","0","0","0","0","368","299","26143","31678","0","57821","0"
"ROWAN","33075","36744","45","0","0","0","19478","72483","14525","173","0","0","0","0","957","566","41260","47625","0","89342","0"
"RUTHERFORD","18842","14223","21","0","0","0","9057","37012","4253","47","0","0","0","0","241","230","19123","22679","0","42143","0"
"SAMPSON","18696","12889","15","0","0","0","4761","22991","11518","551","0","0","0","0","673","490","15998","20155","0","36361","0"
"SCOTLAND","14049","3746","8","0","0","0","4213","11876","8306","1082","0","0","0","0","170","107","9353","12387","0","22016","0"
"STANLY","14151","16551","29","0","0","0","7868","33979","3827","48","0","0","0","0","228","96","17857","20531","0","38599","0"
"STOKES","10375","14242","37","0","0","0","5451","28226","1378","48","0","0","0","0","175","124","14022","16060","0","30105","0"
"SURRY","17927","17038","31","0","0","0","8369","40761","1805","38","0","0","0","0","311","307","19830","23390","0","43365","0"
"SWAIN","4339","2402","7","0","0","0","2450","7475","57","1535","0","0","0","0","65","21","4310","4874","0","9198","0"
"TRANSYLVANIA","8010","8489","15","0","0","0","6581","21778","867","39","0","0","0","0","161","88","10732","12199","0","23095","0"
