"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36537","37791","642","44","312","9","7","18","40834","74569","23867","264","19","1248","653","9812","5762","7054","48090","58079","10025","116194","1"
"ALEXANDER","3783","12627","118","5","80","5","2","11","8892","22123","936","33","2","150","39","1786","454","560","11416","12244","1863","25523","1"
"ALLEGHANY","1589","3529","36","1","20","0","0","2","2871","7054","76","11","0","5","13","734","155","236","3571","3800","677","8048","1"
"ANSON","7853","3321","54","5","45","1","2","8","4519","6615","6054","32","1","90","23","2762","231","177","5869","7114","2825","15808","1"
"ASHE","3440","9396","99","5","34","0","0","2","7245","18388","111","25","3","55","20","1374","245","337","8989","9900","1332","20221","1"
"AVERY","1139","7068","62","5","22","0","1","2","3948","11037","55","16","0","24","14","968","133","126","5453","5900","894","12247","1"
"BEAUFORT","9235","13012","125","9","67","2","6","20","10708","23269","6490","39","3","56","54","2510","763","719","13994","16513","2677","33184","1"
"BERTIE","7043","1758","38","1","21","2","1","3","3308","4517","6605","17","1","28","15","917","75","54","5024","6224","927","12175","1"
"BLADEN","8295","5764","76","8","68","0","7","18","8187","12361","7064","393","6","27","88","1955","529","617","9482","11251","1690","22423","1"
"BRUNSWICK","27026","56572","684","34","335","5","7","16","52766","114038","8927","396","13","580","247","10612","2632","2439","58115","67256","12074","137445","1"
"BUNCOMBE","71331","44674","1524","237","690","19","12","61","91244","172745","10010","361","45","1591","1036","17968","6036","5856","88901","103865","17026","209792","1"
"BURKE","11547","24642","343","22","130","8","5","21","22448","49236","3036","96","2","929","132","4213","1522","1559","25826","28739","4601","59166","1"
"CABARRUS","42825","51518","1092","112","837","14","30","73","59943","95775","31968","413","22","3992","709","15634","7931","8164","65048","76208","15188","156444","1"
"CALDWELL","8843","27695","338","16","142","9","6","13","18046","45845","2530","75","0","201","144","5247","1066","1286","24254","26916","3938","55108","1"
"CAMDEN","1206","3226","68","6","28","1","0","2","3623","6615","856","8","2","35","16","477","151","72","3675","3951","534","8160","1"
"CARTERET","8539","26288","330","20","103","9","3","10","20733","48410","2063","99","7","312","125","4181","838","804","24257","27318","4460","56035","1"
"CASWELL","5519","4627","60","1","26","1","2","2","5054","9532","4316","24","1","37","47","1077","258","280","6633","7539","1120","15292","1"
"CATAWBA","19536","50469","645","51","458","21","18","59","43186","88146","8738","154","10","2593","329","9451","5022","5357","49445","55031","9967","114443","1"
"CHATHAM","20820","14853","303","28","152","2","7","5","26259","45368","5754","125","10","1232","258","7307","2375","2628","25531","29593","7305","62429","1"
"CHEROKEE","3031","12617","144","7","38","5","1","5","8021","22120","245","115","2","97","31","975","284","266","11257","12071","541","23869","1"
"CHOWAN","3182","3164","41","2","31","1","1","5","3407","6489","2553","15","6","16","23","616","116","92","4277","5117","440","9834","1"
"CLAY","1279","4982","52","2","5","0","2","2","3561","9246","42","16","0","17","11","471","82","100","4504","4937","444","9885","1"
"CLEVELAND","18387","27258","391","20","252","5","5","30","21665","46815","12848","96","8","358","220","6355","1313","1216","28511","33278","6224","68013","1"
"COLUMBUS","12455","11497","119","7","62","4","2","5","12191","22035","9864","932","4","61","84","2739","623","607","15456","18214","2672","36342","1"
"CRAVEN","18503","28217","532","40","280","12","10","17","26546","51864","13298","180","8","1237","271","4815","2484","2271","31738","37489","4930","74157","1"
"CUMBERLAND","81883","49528","1669","149","1405","35","61","128","77520","83541","83034","2326","124","3482","1998","23794","14079","14195","84094","104732","23552","212378","1"
"CURRITUCK","2991","10108","193","6","100","0","1","6","9967","20034","1142","42","3","119","66","1486","480","279","10595","11265","1512","23372","1"
"DARE","6663","11090","219","16","84","3","6","3","13418","28429","515","33","1","115","65","1712","632","381","14245","15507","1750","31502","1"
"DAVIDSON","20703","58199","677","32","432","15","14","43","39033","92947","10917","250","6","951","275","10246","3556","3789","51063","57734","10351","119148","1"
"DAVIE","4450","16916","152","14","96","1","1","4","11225","27450","1904","42","0","142","84","2427","810","992","14524","16114","2221","32859","1"
"DUPLIN","9918","10413","117","10","79","4","3","8","10954","18294","7789","61","3","64","127","3350","1818","2497","13271","15421","2814","31506","1"
"DURHAM","121107","22692","1036","191","819","21","36","68","90657","112165","71009","565","48","8936","2559","30201","11144","12913","91528","116737","28362","236627","1"
"EDGECOMBE","19224","6865","110","9","143","5","6","13","8506","12050","18390","65","3","55","93","3554","671","707","13616","17734","3531","34881","1"
"FORSYTH","94089","71198","1575","162","1199","31","52","99","97587","158159","63898","510","37","3592","1466","26115","12215","14752","107628","133151","25213","265992","1"
"FRANKLIN","16523","17266","384","16","174","11","6","15","19949","34211","12177","142","6","373","187","5037","2211","2351","22612","25890","5842","54344","1"
"GASTON","39694","61800","1126","66","999","24","13","87","54509","108246","28313","317","15","1461","654","13210","6102","6857","67072","79243","12003","158318","1"
"GATES","3129","2252","32","2","24","0","1","4","2656","5105","2312","18","0","9","36","541","79","56","3528","3964","608","8100","1"
"GRAHAM","966","3179","29","0","2","1","1","2","1932","5533","10","265","1","18","5","234","46","40","2864","3034","214","6112","1"
"GRANVILLE","14999","11504","213","9","155","4","4","12","14059","22283","10750","74","4","175","182","6275","1216","1222","15963","18272","6724","40959","1"
"GREENE","4396","2688","27","2","45","4","7","3","3669","5927","3530","10","1","17","17","833","506","536","4611","5505","725","10841","1"
"GUILFORD","151495","88934","1961","232","1647","38","64","117","136112","191330","125926","982","60","10412","2614","32923","16353","15727","158252","197441","24907","380600","1"
"HALIFAX","18573","4819","92","7","111","2","5","6","10348","13130","17058","940","5","177","118","2114","421","314","14256","17598","2109","33963","1"
"HARNETT","23585","32993","751","59","548","17","22","43","31847","55099","17710","477","31","775","508","9870","5395","6079","37195","43238","9432","89865","1"
"HAYWOOD","11357","16909","315","26","150","5","10","14","18313","43158","483","135","0","166","96","2394","667","724","21235","24114","1750","47099","1"
"HENDERSON","16686","32061","600","45","261","21","5","29","39345","76956","2290","151","16","562","373","5931","2774","3243","38149","45129","5775","89053","1"
"HERTFORD","8191","1667","39","4","34","0","1","1","3530","4463","7819","91","3","41","52","847","151","107","5588","7093","786","13467","1"
"HOKE","12801","7677","289","23","165","6","6","8","13120","12945","12227","1894","21","362","224","4019","2403","2456","14200","16717","3178","34095","1"
"HYDE","1212","692","13","0","4","0","0","0","1062","2253","507","2","0","2","8","163","48","61","1323","1503","157","2983","1"
