"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36478","37973","639","49","0","0","0","0","42716","75164","24178","260","19","1288","644","10127","6175","7378","48816","58851","10188","117855","1"
"ALEXANDER","3726","12656","116","5","0","0","0","0","9069","22174","935","32","2","154","37","1763","475","575","11447","12260","1865","25572","1"
"ALLEGHANY","1541","3583","36","1","0","0","0","0","2950","7103","77","10","0","8","13","728","172","253","3611","3830","670","8111","1"
"ANSON","7620","3361","54","6","0","0","0","0","4622","6585","6009","34","2","87","25","2663","258","202","5846","7084","2733","15663","1"
"ASHE","3407","9507","99","5","0","0","0","0","7440","18608","113","26","2","56","18","1372","263","348","9118","10011","1329","20458","1"
"AVERY","1126","7045","66","4","0","0","0","0","4024","11034","55","17","0","28","14","972","145","135","5460","5912","893","12265","1"
"BEAUFORT","9116","13173","122","10","0","0","0","0","11015","23465","6488","38","3","60","52","2515","815","764","14130","16616","2690","33436","1"
"BERTIE","7023","1789","41","1","0","0","0","0","3390","4557","6629","16","1","28","15","926","72","52","5038","6269","937","12244","1"
"BLADEN","8170","5882","75","9","0","0","0","0","8360","12419","7031","397","6","27","89","1962","565","642","9501","11292","1703","22496","1"
"BRUNSWICK","27284","58063","710","36","0","0","0","0","55277","117403","9144","408","12","628","240","10661","2874","2607","59879","69290","12201","141370","1"
"BUNCOMBE","71096","44821","1536","235","0","0","0","0","93955","174171","10144","365","44","1655","1011","17917","6336","6084","89931","104981","16731","211643","1"
"BURKE","11423","24917","353","21","0","0","0","0","23022","49645","3049","96","2","967","130","4218","1629","1646","26092","29021","4623","59736","1"
"CABARRUS","43029","51812","1074","121","0","0","0","0","62679","96627","32631","418","22","4191","705","15679","8442","8555","66093","77335","15287","158715","1"
"CALDWELL","8716","27757","342","15","0","0","0","0","18556","45837","2529","76","0","207","143","5449","1145","1348","24331","27037","4018","55386","1"
"CAMDEN","1198","3331","65","6","0","0","0","0","3745","6676","862","8","2","39","16","575","167","78","3725","3985","635","8345","1"
"CARTERET","8464","26504","341","21","0","0","0","0","21317","48930","2071","99","7","320","122","4207","891","833","24579","27628","4440","56647","1"
"CASWELL","5481","4698","60","2","0","0","0","0","5164","9611","4319","24","1","37","47","1095","271","290","6657","7614","1134","15405","1"
"CATAWBA","19524","50916","664","52","0","0","0","0","44959","89189","8850","157","10","2700","317","9508","5384","5655","50132","55895","10088","116115","1"
"CHATHAM","20823","14886","308","28","0","0","0","0","27044","45824","5759","127","9","1309","250","7270","2541","2728","25808","29966","7315","63089","1"
"CHEROKEE","2975","12912","146","6","0","0","0","0","8183","22461","249","116","2","100","31","967","296","273","11451","12223","548","24222","1"
"CHOWAN","3159","3212","42","1","0","0","0","0","3475","6535","2537","16","6","18","23","621","133","96","4306","5138","445","9889","1"
