"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","36835","33700","542","19","45","32389","70359","21219","257","0","11695","4084","44203","54241","5086","103530"
"ALEXANDER","5176","10962","91","1","17","7571","21571","926","35","0","1286","338","11128","11981","709","23818"
"ALLEGHANY","2163","2727","31","2","1","2279","6655","75","8","0","465","176","3329","3597","277","7203"
"ANSON","10029","2546","28","7","23","3445","6669","6813","28","0","2568","84","6232","7551","2295","16078"
"ASHE","4532","8187","77","3","7","5726","17565","105","23","0","839","215","8536","9545","451","18532"
"AVERY","1343","6736","53","3","3","3407","10880","76","17","0","572","86","5323","5941","281","11545"
"BEAUFORT","11843","11240","98","11","12","9554","22840","7682","42","0","2194","471","14298","16908","1552","32758"
"BERTIE","8609","1465","27","2","2","2752","4578","7656","19","0","604","37","5506","6923","428","12857"
"BLADEN","10779","4468","55","1","7","6795","12620","7940","390","0","1155","442","9964","11737","404","22105"
"BRUNSWICK","26191","41745","474","18","36","38951","89900","8596","324","0","8595","1373","47217","54364","5834","107415"
"BUNCOMBE","74009","44497","1513","156","79","75188","165971","10527","377","0","18567","3885","85495","101021","8926","195442"
"BURKE","15289","20712","290","25","28","18774","47709","3182","79","0","4148","954","25189","28210","1719","55118"
"CABARRUS","41972","49505","937","49","90","48327","95189","26574","347","0","18770","5317","60856","71824","8200","140880"
"CALDWELL","11304","24146","350","35","21","15482","45811","2667","59","0","2801","893","23817","26276","1245","51338"
"CAMDEN","1785","2631","55","0","2","3273","6325","966","11","0","444","35","3654","3872","220","7746"
"CARTERET","9785","22023","223","6","15","17100","43524","2194","82","0","3352","495","21889","24817","2446","49152"
"CASWELL","6884","3485","39","2","6","4396","9115","4820","18","0","859","161","6624","7679","509","14812"
"CATAWBA","22555","44503","460","19","45","35621","83462","8951","120","0","10670","3388","46471","52588","4144","103203"
"CHATHAM","20460","13243","265","15","22","20754","41278","6045","116","0","7320","1730","23143","27251","4365","54759"
"CHEROKEE","4241","9970","126","7","8","6989","20378","217","124","0","622","176","10119","11154","68","21341"
"CHOWAN","4179","2681","31","3","1","3012","6418","3001","12","0","476","62","4321","5403","183","9907"
"CLAY","1614","3846","55","3","5","3104","8222","46","15","0","344","58","4001","4419","207","8627"
"CLEVELAND","22822","22227","282","9","35","18207","46036","13466","89","0","3991","671","28135","33135","2312","63582"
"COLUMBUS","16893","8318","81","5","16","9948","21975","10756","939","0","1591","314","15695","18794","772","35261"
"CRAVEN","21249","25043","410","28","26","22770","48775","14614","164","0","5973","1625","30382","36571","2573","69526"
"CUMBERLAND","92791","48368","1320","59","121","69091","89319","86477","2299","0","33655","12330","86962","109056","15732","211750"
"CURRITUCK","3556","8173","170","11","8","8710","18363","1080","46","0","1139","158","9749","10301","578","20628"
"DARE","7573","9360","187","11","11","11275","26250","520","35","0","1612","246","13079","14464","874","28417"
"DAVIDSON","23417","50927","479","25","45","32589","88376","10151","253","0","8702","2149","48215","54922","4345","107482"
"DAVIE","4983","15368","133","8","19","9423","25624","1875","35","0","2400","559","13626","15163","1145","29934"
"DUPLIN","12388","8385","101","2","20","8562","17948","8416","49","0","3045","1629","12777","15284","1397","29458"
"DURHAM","125030","25809","1134","113","61","77612","109872","78766","587","0","40534","9482","93969","119078","16712","229759"
"EDGECOMBE","23049","5955","80","6","12","5489","12120","20695","73","0","1703","440","14595","19152","844","34591"
"FORSYTH","102348","73658","1382","87","120","81619","159746","68764","512","0","30192","10571","109629","135085","14500","259214"
"FRANKLIN","16692","13831","249","17","29","13544","28579","10944","129","0","4710","1117","19293","22057","3012","44362"
"GASTON","41138","54664","837","43","97","44876","103577","24042","321","0","13715","3929","61622","73432","6601","141655"
"GATES","3830","1799","29","0","4","2316","4944","2585","16","0","433","43","3567","4056","355","7978"
"GRAHAM","1490","2678","26","0","2","1590","5380","4","267","0","135","18","2752","2964","70","5786"
"GRANVILLE","17287","9582","150","8","15","10899","22726","11882","78","0","3255","807","16185","19114","2642","37941"
"GREENE","5606","2250","23","5","4","3121","6127","4028","10","0","844","424","4882","5859","268","11009"
"GUILFORD","160988","90806","2040","129","143","112462","196275","125253","980","0","44060","10870","156740","196566","13262","366568"
"HALIFAX","22883","4574","95","8","5","8889","14184","19384","1064","0","1822","254","15809","19704","941","36454"
"HARNETT","24674","27210","539","23","47","23845","48934","16552","455","0","10397","3715","32812","39147","4379","76338"
"HAYWOOD","14372","14024","275","11","19","14543","40809","455","101","0","1879","391","19752","22685","807","43244"
"HENDERSON","16917","30494","482","29","31","34126","73239","2354","142","0","6344","1997","36209","43069","2801","82079"
"HERTFORD","10140","1436","33","3","9","2977","4651","9172","92","0","683","101","6164","8110","324","14598"
"HOKE","13865","6624","229","10","28","10116","12902","12197","1990","0","3783","2022","13602","16664","606","30872"
"HYDE","1552","535","16","1","0","964","2274","643","1","0","150","36","1398","1567","103","3068"
"IREDELL","28187","51008","636","35","45","42823","97986","13683","213","0","10852","3288","55632","62171","4931","122734"
"JACKSON","9430","7622","192","9","6","10594","23448","653","1371","0","2381","576","12295","14215","1343","27853"
"JOHNSTON","38260","51266","855","37","106","43144","96410","21615","376","0","15267","5787","59873","69233","4562","133668"
"JONES","3103","1986","26","1","1","2049","4433","2292","15","0","426","73","3228","3667","271","7166"
"LEE","13422","10697","208","5","22","12268","24249","7344","141","0","4888","2643","15782","19097","1743","36622"
"LENOIR","18379","9684","114","2","10","8905","19212","15486","63","0","2333","633","15821","19833","1440","37094"
"LINCOLN","12130","26755","296","17","29","19001","50145","3122","81","0","4880","1486","26574","28998","2656","58228"
"MACON","5831","10802","148","14","14","8758","24262","181","50","0","1074","341","11777","13537","253","25567"
"MADISON","5820","4302","113","10","5","6010","15088","174","26","0","972","164","7514","8034","712","16260"
"MARTIN","8841","3289","36","4","6","3835","8635","6801","29","0","546","128","7029","8746","236","16011"
"MCDOWELL","6902","11247","153","8","10","9525","26383","796","25","0","641","375","13185","14660","0","27845"
"MECKLENBURG","324478","164716","5084","253","349","257960","399236","240183","2043","0","111378","35862","325987","391440","35413","752840"
"MITCHELL","1043","6179","34","1","3","3109","9775","31","9","0","554","96","4824","5259","286","10369"
"MONTGOMERY","6223","5332","75","2","19","4471","11471","3185","42","0","1424","605","7367","8250","505","16122"
"MOORE","15866","28636","438","18","38","24624","56672","7923","312","0","4713","1282","31095","37106","1419","69620"
"NASH","31253","18859","234","8","36","15754","34592","26384","330","0","4838","1358","28875","35157","2112","66144"
"NEW HANOVER","51052","52689","1231","59","77","64193","132009","20582","386","0","16324","3167","72731","85360","11210","169301"
"NORTHAMPTON","9093","1405","27","4","4","3050","5233","7766","33","0","551","49","5914","7176","493","13583"
"ONSLOW","24989","40297","1096","40","93","41803","75555","18426","382","0","13955","5844","47124","56204","4990","108318"
"ORANGE","51564","14704","643","38","28","43550","78012","12149","260","0","20106","3855","46480","55683","8364","110527"
"PAMLICO","3199","3339","45","1","5","2632","7136","1515","27","0","543","82","4169","4734","318","9221"
"PASQUOTANK","11318","6343","168","15","11","9509","15642","9702","41","0","1979","284","11936","14386","1042","27364"
"PENDER","11477","16139","275","12","23","13867","32234","6018","101","0","3440","850","18949","21211","1633","41793"
"PERQUIMANS","3169","2715","34","2","7","3040","6626","1969","18","0","354","38","4074","4716","177","8967"
"PERSON","10960","6882","102","5","8","8179","17400","6990","124","0","1622","360","11556","13771","809","26136"
"PITT","51777","30865","731","54","69","37186","67500","41855","257","0","11070","2785","50734","64137","5811","120682"
"POLK","3909","5600","81","9","8","5858","14080","663","7","0","715","208","6995","8205","265","15465"
"RANDOLPH","16760","45966","506","22","49","26271","76184","5690","274","0","7426","2959","40910","45778","2886","89574"
"RICHMOND","13914","6194","86","10","19","8136","16962","9357","395","0","1645","400","12614","15109","636","28359"
"ROBESON","43082","10090","200","13","62","20651","21200","20540","26017","0","6341","1692","32596","40473","1029","74098"
"ROCKINGHAM","19794","21475","260","12","28","17016","43015","11285","106","0","4179","906","26791","31710","84","58585"
"ROWAN","24762","38402","423","30","50","28670","68850","15568","182","0","7737","2095","41193","47073","4071","92337"
"RUTHERFORD","12238","17446","213","11","20","13719","36578","4193","66","0","2810","636","19504","22540","1603","43647"
"SAMPSON","14215","13759","133","5","20","7947","21524","10506","525","0","3524","1998","15871","19363","845","36079"
"SCOTLAND","11178","3725","66","7","18","6208","9752","8428","1592","0","1430","187","8926","11498","778","21202"
"STANLY","9601","18883","152","13","28","12534","33411","4353","83","0","3364","452","18456","20787","1968","41211"
"STOKES","6366","15216","152","9","13","8380","27159","1209","55","0","1713","312","14233","15779","124","30136"
"SURRY","11357","19660","133","9","14","13444","39309","1746","53","0","3509","1452","19986","23052","1579","44617"
"SWAIN","3369","2669","39","5","0","3407","7511","115","1501","0","362","60","4439","4961","89","9489"
"TRANSYLVANIA","6166","8104","119","3","5","10777","22855","832","46","0","1441","189","11301","13024","849","25174"
"TYRRELL","1176","372","9","0","2","699","1423","689","7","0","139","35","1025","1168","65","2258"
"UNION","38626","65240","857","40","77","54669","119563","19028","418","0","20500","6624","71881","79876","7752","159509"
"VANCE","18047","4333","73","8","22","6073","11611","14902","53","0","1990","575","12144","15410","1002","28556"
"WAKE","277867","184104","5347","266","327","291066","482326","143881","1904","0","130866","28227","329980","378189","50808","758977"
"WARREN","8540","1910","43","0","3","2534","5136","6702","544","0","648","72","5753","6902","375","13030"
"WASHINGTON","5169","1148","19","0","0","1759","3672","4015","10","0","398","49","3504","4410","181","8095"
"WATAUGA","11955","13349","482","16","14","19431","40755","990","75","0","3427","1205","20490","23556","1201","45247"
"WAYNE","29362","23852","355","19","42","19244","41132","24156","139","0","7447","2341","31384","37912","3578","72874"
"WILKES","8235","21885","142","6","13","11158","37823","1625","44","0","1947","724","19047","21136","1256","41439"
"WILSON","27431","13442","184","8","34","14239","27417","22904","104","0","4913","1400","23661","29712","1965","55338"
"YADKIN","3505","13227","100","9","10","6683","21189","731","28","0","1586","748","10859","11935","740","23534"
"YANCEY","4465","4843","51","1","4","4068","12714","80","19","0","619","76","6227","6790","415","13432"
