"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","39420","31168","287","0","0","0","23056","68716","19059","234","0","0","0","0","5922","1700","41112","50911","1908","93931","0"
"ALEXANDER","7244","10589","49","0","0","0","6233","22539","1037","29","0","0","0","0","510","194","11539","12429","147","24115","0"
"ALLEGHANY","3019","2342","21","0","0","0","1771","6885","80","11","0","0","0","0","177","124","3362","3745","46","7153","0"
"ANSON","12433","2362","15","0","0","0","2353","7765","7657","39","0","0","0","0","1702","45","7019","8423","1721","17163","0"
"ASHE","6093","7797","45","0","0","0","4549","18112","93","18","0","0","0","0","261","126","8716","9716","52","18484","0"
"AVERY","1585","7276","34","0","0","0","3160","11667","101","29","0","0","0","0","258","66","5615","6359","81","12055","0"
"BEAUFORT","14971","10131","86","0","0","0","7230","23066","8484","36","0","0","0","0","832","226","14501","17508","409","32418","0"
"BERTIE","10924","1408","13","0","0","0","2065","5102","8692","18","0","0","0","0","598","29","6187","7833","390","14410","0"
"BLADEN","14783","2976","28","0","0","0","4826","13221","8455","291","0","0","0","0","646","236","10307","12185","121","22613","0"
"BRUNSWICK","26862","30835","263","0","0","0","26453","73045","8678","245","0","0","0","0","2445","709","38938","44602","873","84413","0"
"BUNCOMBE","75567","47345","905","0","0","0","60918","163555","11077","382","0","0","0","0","9721","2023","83602","98309","2824","184735","0"
"BURKE","20835","20048","210","0","0","0","16514","51908","3511","77","0","0","0","0","2111","468","26849","30520","238","57607","0"
"CABARRUS","39587","46412","504","0","0","0","33933","93292","19702","317","0","0","0","0","7125","2716","54574","64320","1542","120436","0"
"CALDWELL","16154","23765","268","0","0","0","13051","49015","2850","53","0","0","0","0","1320","519","25080","27899","259","53238","0"
"CAMDEN","2809","2045","26","0","0","0","2459","6015","1105","12","0","0","0","0","207","30","3489","3773","77","7339","0"
"CARTERET","14024","20789","201","0","0","0","15331","45841","2748","101","0","0","0","0","1655","324","23286","26267","792","50345","0"
"CASWELL","8784","3399","21","0","0","0","3220","9540","5479","19","0","0","0","0","386","73","6946","8331","147","15424","0"
"CATAWBA","29305","43781","276","0","0","0","28267","86965","9392","126","0","0","0","0","5146","1684","46687","54293","649","101629","0"
"CHATHAM","20334","12004","167","0","0","0","14095","37375","6292","94","0","0","0","0","2839","845","20720","24524","1356","46600","0"
"CHEROKEE","6670","8881","74","0","0","0","6067","21004","223","124","0","0","0","0","341","115","10156","11474","62","21692","0"
"CHOWAN","5484","2549","15","0","0","0","2525","6978","3343","10","0","0","0","0","242","38","4717","5781","75","10573","0"
"CLAY","2498","3394","30","0","0","0","2935","8644","41","18","0","0","0","0","154","39","4184","4648","25","8857","0"
"CLEVELAND","28497","18994","143","0","0","0","13962","46348","13589","87","0","0","0","0","1572","438","27678","33572","346","61596","0"
"COLUMBUS","23474","6178","48","0","0","0","7312","23549","11717","989","0","0","0","0","757","166","16621","20262","129","37012","0"
"CRAVEN","26768","23270","253","0","0","0","19132","49763","16084","135","0","0","0","0","3441","1134","31006","37488","929","69423","0"
"CUMBERLAND","101790","47905","728","0","0","0","51694","95174","83512","2117","0","0","0","0","21314","9064","88605","109013","4499","202117","0"
"CURRITUCK","4579","5891","89","0","0","0","6895","15914","981","51","0","0","0","0","508","120","8293","9022","139","17454","0"
"DARE","9617","8186","155","0","0","0","9637","26239","555","37","0","0","0","0","764","169","13107","14357","131","27595","0"
"DAVIDSON","29866","47751","354","0","0","0","25777","90985","9763","252","0","0","0","0","2748","1063","48107","55278","363","103748","0"
"DAVIE","6020","14783","74","0","0","0","7381","25494","1933","33","0","0","0","0","798","297","13101","15073","84","28258","0"
"DUPLIN","15126","7468","67","0","0","0","6539","18576","9161","43","0","0","0","0","1420","881","12824","15727","649","29200","0"
"DURHAM","118384","27800","712","0","0","0","54994","102235","78414","529","0","0","0","0","20712","4988","86341","110518","5031","201890","0"
"EDGECOMBE","28903","6063","50","0","0","0","3925","14400","23747","50","0","0","0","0","744","225","16959","21715","267","38941","0"
"FORSYTH","105549","75961","841","0","0","0","58398","160025","67061","454","0","0","0","0","13209","5359","106146","131717","2886","240749","0"
"FRANKLIN","18897","12094","158","0","0","0","9199","27418","11188","112","0","0","0","0","1630","571","18595","21141","612","40348","0"
"GASTON","46806","50917","436","0","0","0","34830","105396","21354","315","0","0","0","0","5924","2048","59061","71811","2117","132989","0"
