"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37993","35854","651","33","75","34297","69964","21101","258","8","17572","4483","44288","54103","10512","108903"
"ALEXANDER","4812","11676","115","4","27","7833","21026","920","34","2","2485","355","10913","11723","1831","24467"
"ALLEGHANY","2053","2955","31","5","5","2414","6551","70","8","0","834","178","3285","3531","647","7463"
"ANSON","9141","2829","35","8","26","3469","6222","6158","23","0","3105","76","5749","6937","2822","15508"
"ASHE","4265","8709","98","5","21","6055","17328","108","22","0","1695","241","8514","9435","1204","19153"
"AVERY","1351","6946","56","7","9","3611","10647","46","20","0","1267","78","5250","5795","935","11980"
"BEAUFORT","10914","11722","115","16","22","9237","21857","6955","34","0","3180","451","13496","15991","2539","32026"
"BERTIE","8189","1600","37","3","3","2764","4441","7235","19","1","900","38","5266","6583","747","12596"
"BLADEN","9849","4889","71","7","10","6659","12026","7349","373","2","1735","433","9399","11122","964","21485"
"BRUNSWICK","26424","45540","601","32","60","41478","90740","8294","340","3","14758","1392","47383","54584","12168","114135"
"BUNCOMBE","74640","45602","1605","272","124","77700","162199","10061","346","34","27303","4083","83948","98519","17476","199943"
"BURKE","14641","22432","334","32","56","19442","46975","3038","88","0","6836","1009","24837","27657","4443","56937"
"CABARRUS","43199","50883","1121","86","138","51295","91728","26472","355","8","28159","5479","59477","69983","17262","146722"
"CALDWELL","10697","25987","360","40","41","16080","45174","2570","67","0","5394","908","23570","25765","3870","53205"
"CAMDEN","1494","2740","59","2","4","3199","5914","869","9","1","705","35","3370","3632","496","7498"
"CARTERET","9841","23648","285","12","40","17736","43472","2124","85","8","5873","521","21998","24790","4774","51562"
"CASWELL","6591","3916","48","5","11","4532","9002","4622","20","1","1458","171","6522","7462","1119","15103"
"CATAWBA","21764","46641","579","44","77","36774","81357","8463","127","2","15930","3530","45464","51213","9202","105879"
"CHATHAM","20837","13795","291","19","28","21850","40711","5787","118","1","10203","1765","23007","26883","6930","56820"
"CHEROKEE","3890","10585","121","11","14","6991","20014","219","123","0","1256","176","10120","11056","436","21612"
"CHOWAN","3854","2768","33","3","4","2927","6127","2724","11","2","725","68","4111","5105","373","9589"
"CLAY","1548","4201","54","3","6","3151","8321","41","15","0","586","65","4080","4438","445","8963"
"CLEVELAND","21583","24696","352","24","62","18840","45111","12868","91","3","7484","707","27513","32328","5716","65557"
"COLUMBUS","15672","9574","96","7","23","10055","21315","10117","912","0","3083","322","15139","17974","2314","35427"
"CRAVEN","20168","25325","485","43","52","21958","46286","13390","159","7","8189","1525","28649","34558","4824","68031"
"CUMBERLAND","86714","47051","1548","126","228","63271","79566","77625","2105","53","39589","10788","77348","97888","23702","198938"
"CURRITUCK","3306","8573","188","15","24","8464","17611","1009","43","2","1905","151","9394","9882","1294","20570"
"DARE","7578","10127","199","24","17","11702","26314","497","34","1","2801","245","13091","14527","2029","29647"
"DAVIDSON","22412","54049","568","45","86","33351","85989","9557","239","5","14721","2143","46998","53246","10267","110511"
"DAVIE","4929","15956","159","13","26","9768","25052","1804","37","1","3957","579","13381","14814","2656","30851"
"DUPLIN","11990","9088","108","9","29","8826","17605","8038","55","1","4351","1680","12608","14866","2576","30050"
"DURHAM","124142","24585","1205","153","92","77183","104057","72541","534","22","50206","9168","87794","111701","27865","227360"
"EDGECOMBE","21727","6331","93","13","15","5544","11780","19115","63","1","2764","434","13672","18142","1909","33723"
"FORSYTH","103012","73199","1575","147","181","84339","153202","66742","497","23","41989","10852","105859","129898","26696","262453"
"FRANKLIN","16715","14896","311","25","46","14703","28245","10692","130","2","7627","1178","19017","21744","5935","46696"
"GASTON","41159","58701","1039","85","152","47254","102146","24254","334","2","21654","4167","61661","72785","13944","148390"
"GATES","3665","1893","28","0","7","2304","4773","2448","15","0","661","46","3402","3919","576","7897"
"GRAHAM","1322","2860","26","0","8","1678","5335","5","266","1","287","20","2767","2922","205","5894"
"GRANVILLE","16887","10489","180","12","28","11547","22232","11333","74","2","5502","878","15823","18543","4777","39143"
"GREENE","5156","2345","19","5","4","3073","5727","3664","11","0","1200","391","4492","5467","643","10602"
"GUILFORD","158601","89946","2101","246","223","112672","187164","119226","938","9","56452","10926","150267","188126","25396","363789"
"HALIFAX","21874","4892","104","10","9","9273","13703","18475","1068","1","2915","246","15228","18870","2064","36162"
