"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37042","36210","694","22","10","0","38119","73044","23155","255","10","15633","5757","46776","56710","8611","112097"
"ALEXANDER","4208","12037","121","3","8","0","8487","21815","944","35","1","2069","485","11263","12039","1562","24864"
"ALLEGHANY","1792","3277","40","0","4","0","2747","6989","74","7","0","790","231","3498","3772","590","7860"
"ANSON","8885","3070","53","1","2","0","4045","6769","6452","31","1","2803","131","6101","7376","2579","16056"
"ASHE","3780","9134","103","1","9","0","6980","18417","111","25","2","1452","312","9024","9921","1062","20007"
"AVERY","1290","7255","60","1","3","0","4047","11485","59","20","0","1092","108","5651","6197","808","12656"
"BEAUFORT","10322","12607","137","3","7","0","10759","23655","7123","42","2","3013","637","14480","17042","2313","33835"
"BERTIE","7699","1678","38","1","0","0","3172","4567","7118","20","1","882","54","5265","6560","763","12588"
"BLADEN","9285","5413","88","2","2","0","7552","12570","7485","405","3","1879","583","9759","11533","1050","22342"
"BRUNSWICK","27228","52024","695","17","30","0","49072","107348","8838","375","9","12496","1973","54847","63524","10695","129066"
"BUNCOMBE","72742","44411","1643","81","50","0","86671","170954","10045","338","43","24218","5174","87582","102822","15194","205598"
"BURKE","12613","23282","352","7","5","0","22006","48715","3045","90","1","6414","1345","25508","28495","4262","58265"
"CABARRUS","43429","50872","1215","45","59","0","57191","96354","30740","390","10","25317","7080","63989","75264","13558","152811"
"CALDWELL","9408","26346","370","5","8","0","17280","45864","2534","71","0","4948","1119","23700","26201","3516","53417"
"CAMDEN","1420","3152","73","0","4","0","3751","6893","927","10","1","569","58","3839","4129","432","8400"
"CARTERET","9414","25652","355","5","15","0","20378","48262","2212","103","9","5233","691","24173","27406","4240","55819"
"CASWELL","5995","4195","58","1","3","0","4852","9336","4533","22","1","1212","224","6608","7556","940","15104"
"CATAWBA","20167","47700","665","17","52","0","41611","85770","8603","143","4","15692","4689","48004","53614","8594","110212"
"CHATHAM","21031","14173","327","8","18","0","24499","44215","5831","122","3","9885","2230","24754","28844","6458","60056"
"CHEROKEE","3370","11734","147","1","5","0","7770","21444","243","120","1","1219","231","10836","11715","476","23027"
"CHOWAN","3676","3134","43","0","3","0","3483","6726","2859","12","5","737","85","4468","5492","379","10339"
"CLAY","1389","4720","59","0","2","0","3532","9107","42","17","0","536","88","4444","4855","403","9702"
"CLEVELAND","19885","25719","402","9","17","0","20883","46681","13161","86","4","6983","1022","28493","33150","5272","66915"
"COLUMBUS","14294","10680","112","5","0","0","11209","21987","10285","949","4","3075","519","15597","18450","2253","36300"
"CRAVEN","20053","27976","594","17","51","0","26571","52607","14140","175","8","8332","2129","32330","38359","4573","75262"
"CUMBERLAND","86811","48335","1817","55","71","0","73484","85280","83925","2319","65","38984","13396","84537","105499","20537","210573"
"CURRITUCK","3451","10148","217","4","8","0","10271","20922","1204","45","3","1925","236","11104","11705","1290","24099"
"DARE","7522","11280","264","10","6","0","13701","29628","549","37","1","2568","337","14750","16239","1794","32783"
"DAVIDSON","21324","55411","687","14","48","0","37279","91285","10545","240","7","12686","3122","49780","56466","8517","114763"
"DAVIE","4668","16323","159","8","11","0","10890","26997","1901","44","1","3116","829","14222","15853","1984","32059"
"DUPLIN","10784","9742","136","8","10","0","10396","18192","8059","67","1","4757","2267","13151","15457","2468","31076"
"DURHAM","124072","23252","1191","66","87","0","83764","112428","72572","571","33","46828","11253","91851","116619","23962","232432"
"EDGECOMBE","20488","6564","102","3","11","0","6851","11950","19173","59","2","2835","594","13802","18142","2075","34019"
"FORSYTH","97360","70710","1698","65","114","0","92121","158184","64808","504","30","38542","13211","107491","132334","22243","262068"
"FRANKLIN","16751","15981","386","6","11","0","17933","32345","11867","139","3","6714","1797","21363","24555","5150","51068"
"GASTON","40438","59822","1173","21","84","0","52950","107427","27048","332","5","19676","5762","65621","77464","11403","154488"
"GATES","3465","2077","38","1","2","0","2601","5068","2453","16","0","647","54","3569","4070","545","8184"
"GRAHAM","1111","3026","31","0","1","0","1873","5482","10","259","1","290","36","2819","3015","208","6042"
"GRANVILLE","15953","10880","225","6","15","0","13071","22935","11398","79","3","5735","1148","16312","18943","4895","40150"
"GREENE","4862","2495","28","1","2","0","3462","5918","3755","12","0","1165","492","4674","5608","568","10850"
"GUILFORD","154922","88062","2205","72","81","0","127909","192036","123910","952","27","56326","13656","156370","195225","21656","373251"
"HALIFAX","20344","4837","98","3","20","0","10189","13582","18243","1025","4","2637","297","15132","18480","1879","35491"
"HARNETT","23971","30483","787","26","48","0","29584","52528","17348","472","16","14535","5232","35326","41475","8098","84899"
"HAYWOOD","12107","15998","310","11","10","0","17065","41977","466","114","1","2943","592","20479","23329","1693","45501"
"HENDERSON","17192","31880","619","14","30","0","38744","76881","2353","146","10","9089","2807","37917","45142","5420","88479"
"HERTFORD","8854","1548","36","0","2","0","3336","4452","8312","93","2","917","99","5710","7431","635","13776"
"HOKE","13726","7314","308","12","8","0","11727","13010","12499","1959","16","5611","2388","14332","17185","1578","33095"
"HYDE","1360","677","15","0","0","0","1097","2357","567","0","0","225","59","1399","1586","164","3149"
"IREDELL","27296","56416","888","24","37","0","51925","106331","14659","222","5","15369","4670","60201","66850","9535","136586"
"JACKSON","8466","8364","250","15","5","0","12406","24214","614","1518","6","3154","730","12852","14450","2204","29506"
"JOHNSTON","39863","56847","1213","48","139","0","55232","103167","25550","422","17","24186","8491","66379","76467","10496","153342"
"JONES","2518","2313","37","0","3","0","2266","4418","2055","12","1","651","102","3079","3532","526","7137"
"LEE","12468","11896","276","5","14","0","14388","25110","7267","142","6","6522","3327","16388","19576","3083","39047"
"LENOIR","16466","10359","150","10","21","0","10477","18690","14570","64","7","4152","822","15204","19082","3197","37483"
"LINCOLN","11759","31709","427","14","34","0","23069","56483","3587","86","3","6853","2083","29800","32348","4864","67012"
"MACON","4968","12302","188","2","1","0","10357","25489","195","62","1","2071","536","12861","14484","473","27818"
"MADISON","4983","4759","116","9","8","0","7010","15188","125","26","0","1546","188","7418","8020","1447","16885"
"MARTIN","7646","3458","51","1","2","0","4706","8505","6242","28","0","1089","184","6631","8427","806","15864"
"MCDOWELL","5632","12936","179","6","7","0","10865","26841","815","36","1","1932","598","13438","14886","1301","29625"
