"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37082","36247","697","22","13","0","38157","73114","23192","254","10","15648","5765","46832","56768","8618","112218"
"ALEXANDER","4205","12029","121","3","8","0","8483","21802","943","34","1","2069","485","11252","12035","1562","24849"
"ALLEGHANY","1790","3301","41","0","5","0","2769","7031","74","7","0","794","231","3518","3798","590","7906"
"ANSON","8902","3083","54","1","7","0","4066","6795","6481","31","1","2805","136","6121","7409","2583","16113"
"ASHE","3774","9131","103","1","10","0","6983","18414","111","25","2","1450","313","9018","9926","1058","20002"
"AVERY","1289","7254","60","1","3","0","4046","11482","59","20","0","1092","108","5650","6195","808","12653"
"BEAUFORT","10318","12610","135","3","7","0","10766","23660","7125","42","2","3010","640","14483","17049","2307","33839"
"BERTIE","7703","1675","38","1","0","0","3177","4568","7123","20","1","882","54","5268","6562","764","12594"
"BLADEN","9286","5412","88","2","2","0","7554","12569","7485","405","3","1882","583","9760","11534","1050","22344"
"BRUNSWICK","27203","51952","695","17","30","0","49037","107223","8832","375","9","12495","1971","54787","63460","10687","128934"
"BUNCOMBE","72720","44388","1642","81","51","0","86690","170932","10044","339","43","24214","5177","87575","102812","15185","205572"
"BURKE","12609","23276","352","7","5","0","21998","48701","3044","90","1","6411","1344","25502","28485","4260","58247"
"CABARRUS","43410","50838","1215","45","59","0","57162","96292","30725","390","10","25312","7079","63956","75225","13548","152729"
"CALDWELL","9405","26342","370","5","8","0","17278","45856","2534","71","0","4947","1118","23694","26198","3516","53408"
"CAMDEN","1420","3156","73","0","4","0","3751","6893","928","11","1","571","58","3841","4129","434","8404"
"CARTERET","9410","25656","355","5","15","0","20378","48262","2211","104","9","5233","689","24172","27407","4240","55819"
"CASWELL","5986","4189","58","1","3","0","4850","9324","4529","22","1","1211","224","6600","7548","939","15087"
"CATAWBA","20169","47748","668","17","57","0","41672","85861","8604","144","4","15718","4704","48058","53670","8603","110331"
"CHATHAM","21020","14157","327","8","18","0","24490","44189","5829","122","3","9877","2229","24742","28828","6450","60020"
"CHEROKEE","3361","11758","148","1","7","0","7788","21477","244","120","1","1221","232","10863","11722","478","23063"
"CHOWAN","3675","3131","43","0","3","0","3481","6721","2858","12","5","737","85","4464","5490","379","10333"
"CLAY","1393","4727","59","0","2","0","3539","9123","43","17","0","537","89","4446","4871","403","9720"
"CLEVELAND","19869","25709","401","9","17","0","20875","46657","13149","86","4","6984","1022","28482","33127","5271","66880"
"COLUMBUS","14272","10669","111","5","0","0","11196","21948","10261","949","4","3091","520","15568","18433","2252","36253"
"CRAVEN","20030","27984","591","17","60","0","26609","52630","14126","175","8","8352","2136","32332","38386","4573","75291"
"CUMBERLAND","86787","48325","1816","55","72","0","73465","85253","83900","2320","65","38982","13394","84516","105474","20530","210520"
"CURRITUCK","3449","10126","217","4","8","0","10256","20892","1197","45","3","1923","236","11077","11696","1287","24060"
"DARE","7529","11317","264","10","14","0","13801","29771","551","37","1","2575","339","14811","16327","1797","32935"
"DAVIDSON","21335","55409","690","14","49","0","37286","91289","10546","240","7","12701","3125","49793","56470","8520","114783"
"DAVIE","4663","16333","161","9","15","0","10905","27017","1900","45","1","3123","832","14226","15867","1993","32086"
"DUPLIN","10771","9735","136","8","10","0","10387","18173","8050","67","1","4756","2266","13138","15442","2467","31047"
"DURHAM","123975","23219","1190","66","86","0","83700","112320","72500","571","33","46812","11249","91778","116511","23947","232236"
"EDGECOMBE","20457","6559","102","3","11","0","6844","11934","19150","59","2","2831","593","13782","18121","2073","33976"
"FORSYTH","97290","70671","1696","69","125","0","92200","158131","64794","504","30","38592","13229","107464","132322","22265","262051"
"FRANKLIN","16757","16035","384","6","17","0","17995","32426","11882","140","3","6743","1811","21412","24610","5172","51194"
"GASTON","40447","59841","1174","21","86","0","52972","107444","27068","331","5","19693","5763","65668","77472","11401","154541"
"GATES","3468","2082","38","1","3","0","2613","5084","2456","16","0","649","54","3576","4083","546","8205"
"GRAHAM","1111","3026","31","0","1","0","1873","5482","10","259","1","290","36","2819","3015","208","6042"
"GRANVILLE","15941","10868","225","6","17","0","13067","22918","11396","79","3","5728","1149","16301","18930","4893","40124"
"GREENE","4856","2496","28","1","5","0","3472","5921","3760","12","0","1165","494","4680","5612","566","10858"
"GUILFORD","154891","88075","2200","76","110","0","128091","192099","124007","951","27","56359","13693","156465","195324","21654","373443"
