"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36551","37535","638","38","280","9","4","17","40224","74144","23632","265","19","1233","663","9840","5500","6862","47722","57599","9975","115296","1"
"ALEXANDER","3821","12619","118","5","80","4","2","11","8879","22143","938","35","2","143","39","1791","448","558","11431","12246","1862","25539","1"
"ALLEGHANY","1605","3519","36","1","20","0","0","2","2875","7062","74","11","0","5","13","743","150","232","3568","3806","684","8058","1"
"ANSON","7895","3323","53","5","43","1","2","5","4496","6622","6045","32","1","91","23","2786","223","173","5866","7115","2842","15823","1"
"ASHE","3472","9380","100","4","32","0","0","1","7221","18370","111","25","3","56","20","1381","244","333","8983","9894","1333","20210","1"
"AVERY","1155","7087","65","4","23","0","1","2","3962","11077","55","17","0","24","14","978","134","126","5482","5912","905","12299","1"
"BEAUFORT","9316","13015","126","9","63","2","6","15","10733","23325","6507","40","3","56","54","2557","743","705","14025","16534","2726","33285","1"
"BERTIE","7084","1755","38","1","21","1","1","2","3312","4520","6627","17","1","28","15","932","75","54","5042","6230","943","12215","1"
"BLADEN","8337","5746","77","8","65","0","4","13","8155","12348","7072","390","5","26","89","1958","517","613","9470","11246","1689","22405","1"
"BRUNSWICK","27059","56303","692","35","328","4","8","14","52418","113479","8893","396","12","568","249","10707","2557","2376","57830","66910","12121","136861","1"
"BUNCOMBE","74441","46391","1669","234","670","19","11","56","94869","179406","10594","381","49","1654","1110","18947","6219","6076","92528","108041","17791","218360","1"
"BURKE","11655","24631","343","22","121","8","5","20","22378","49248","3046","97","2","918","132","4256","1484","1527","25813","28741","4629","59183","1"
"CABARRUS","42918","51535","1096","107","795","12","27","62","59651","95738","31848","415","22","3933","715","15742","7790","8058","64928","76013","15262","156203","1"
"CALDWELL","8897","27679","340","16","134","10","6","12","17967","45881","2534","76","0","199","145","5193","1033","1264","24248","26888","3925","55061","1"
"CAMDEN","1212","3194","68","6","29","1","0","3","3613","6590","857","9","2","35","16","466","151","72","3666","3940","520","8126","1"
"CARTERET","8602","26249","327","20","97","9","3","11","20638","48328","2057","99","7","309","126","4214","816","789","24190","27286","4480","55956","1"
"CASWELL","5864","4749","63","1","27","1","2","2","5247","9879","4569","22","1","39","50","1131","265","286","6944","7854","1158","15956","1"
"CATAWBA","19481","50011","638","51","443","18","15","53","42744","87522","8691","148","9","2549","328","9303","4904","5259","49068","54606","9780","113454","1"
"CHATHAM","20919","14825","300","28","147","2","4","5","26095","45290","5752","125","10","1221","261","7345","2321","2592","25463","29541","7321","62325","1"
"CHEROKEE","3043","12550","145","8","38","3","1","3","7994","22042","239","117","2","95","31","979","280","263","11224","12022","539","23785","1"
"CHOWAN","3238","3193","41","3","32","1","1","5","3420","6553","2580","15","6","17","24","623","116","91","4318","5176","440","9934","1"
"CLAY","1289","4977","54","2","5","0","2","2","3568","9271","39","16","0","16","11","467","79","99","4511","4949","439","9899","1"
"CLEVELAND","18532","27220","393","20","241","4","5","29","21591","46823","12859","94","8","357","220","6391","1283","1192","28522","33257","6256","68035","1"
"COLUMBUS","12545","11425","117","7","56","3","1","4","12128","21974","9868","932","4","60","84","2751","613","600","15430","18178","2678","36286","1"
"CRAVEN","18540","28145","527","40","274","10","9","13","26384","51702","13252","181","8","1233","273","4869","2424","2231","31621","37361","4960","73942","1"
"CUMBERLAND","82174","49564","1659","146","1349","34","50","112","77121","83649","82768","2327","128","3461","2027","23988","13861","14069","84012","104519","23678","212209","1"
"CURRITUCK","3004","10040","197","7","98","0","1","6","9899","19925","1129","41","3","114","68","1500","472","273","10532","11200","1520","23252","1"
"DARE","6712","11058","218","15","83","3","6","3","13312","28340","513","32","1","115","65","1730","614","373","14191","15457","1762","31410","1"
"DAVIDSON","20773","58102","669","31","420","15","14","41","38785","92785","10859","247","6","941","278","10296","3438","3696","50887","57605","10358","118850","1"
"DAVIE","4478","16913","155","14","100","1","1","3","11170","27438","1896","42","0","140","85","2441","793","979","14507","16097","2231","32835","1"
"DUPLIN","9968","10392","119","10","75","4","2","7","10912","18285","7789","60","3","65","128","3378","1781","2466","13254","15406","2829","31489","1"
"DURHAM","121532","22759","1038","195","784","18","31","63","90356","112267","71053","565","47","8887","2578","30407","10972","12792","91492","116761","28523","236776","1"
"EDGECOMBE","19299","6859","109","8","139","5","5","10","8510","12074","18423","64","3","54","95","3575","656","695","13644","17756","3544","34944","1"
"FORSYTH","93933","70785","1559","158","1149","30","45","83","96427","157087","63548","512","37","3503","1474","26243","11765","14378","106721","132234","25214","264169","1"
