"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38276","36093","677","0","0","0","35636","73396","22484","274","8","0","0","0","14520","4931","46338","56586","7758","110682","0"
"ALEXANDER","4717","11776","126","0","0","0","8020","21756","948","33","2","0","0","0","1900","388","11221","12043","1375","24639","0"
"ALLEGHANY","2004","3041","34","0","0","0","2503","6801","71","8","0","0","0","0","702","190","3405","3643","534","7582","0"
"ANSON","9109","2893","42","0","0","0","3658","6596","6329","26","0","0","0","0","2751","91","5949","7233","2520","15702","0"
"ASHE","4236","8844","102","0","0","0","6313","18048","114","24","1","0","0","0","1308","263","8829","9778","888","19495","0"
"AVERY","1343","7033","54","0","0","0","3731","11086","51","20","0","0","0","0","1004","84","5439","5990","732","12161","0"
"BEAUFORT","10804","11904","125","0","0","0","9522","22685","7024","36","2","0","0","0","2608","475","13858","16469","2028","32355","0"
"BERTIE","8145","1651","38","0","0","0","2861","4580","7351","19","1","0","0","0","744","43","5385","6687","623","12695","0"
"BLADEN","9749","5014","76","0","0","0","6847","12341","7439","382","2","0","0","0","1522","455","9569","11357","760","21686","0"
"BRUNSWICK","26934","47390","640","0","0","0","43529","98240","8669","368","5","0","0","0","11211","1547","50748","58523","9222","118493","0"
"BUNCOMBE","75239","45742","1680","0","0","0","80085","168705","10341","354","37","0","0","0","23309","4398","86886","101749","14111","202746","0"
"BURKE","14506","22828","345","0","0","0","20109","48811","3119","95","0","0","0","0","5763","1116","25728","28569","3491","57788","0"
"CABARRUS","43812","51202","1178","0","0","0","53257","96965","29062","383","8","0","0","0","23031","5995","63162","74086","12201","149449","0"
"CALDWELL","10525","26149","369","0","0","0","16622","46579","2638","74","0","0","0","0","4374","982","24154","26486","3025","53665","0"
"CAMDEN","1484","2848","63","0","0","0","3328","6300","893","8","1","0","0","0","521","39","3539","3812","372","7723","0"
"CARTERET","9789","24076","302","0","0","0","18289","45831","2167","87","9","0","0","0","4362","568","22977","25965","3514","52456","0"
"CASWELL","6548","3991","48","0","0","0","4644","9368","4703","21","1","0","0","0","1138","193","6709","7674","848","15231","0"
"CATAWBA","21673","46873","607","0","0","0","37916","84844","8695","139","3","0","0","0","13388","3823","47159","53055","6855","107069","0"
"CHATHAM","21073","13983","308","0","0","0","22615","43503","5973","125","1","0","0","0","8377","1914","24399","28357","5223","57979","0"
"CHEROKEE","3872","10961","128","0","0","0","7259","20693","236","126","0","0","0","0","1165","191","10460","11382","378","22220","0"
"CHOWAN","3827","2813","35","0","0","0","3051","6299","2761","12","2","0","0","0","652","70","4220","5201","305","9726","0"
"CLAY","1550","4381","60","0","0","0","3259","8702","43","17","0","0","0","0","488","74","4255","4630","365","9250","0"
"CLEVELAND","21428","25043","375","0","0","0","19392","46799","13233","93","2","0","0","0","6111","790","28414","33292","4532","66238","0"
"COLUMBUS","15464","9801","104","0","0","0","10326","21759","10241","931","0","0","0","0","2764","358","15391","18274","2030","35695","0"
"CRAVEN","20213","25986","511","0","0","0","22989","48819","13709","161","7","0","0","0","7003","1678","29992","35995","3712","69699","0"
"CUMBERLAND","87445","47535","1627","0","0","0","65995","82949","80654","2222","53","0","0","0","36724","11565","80438","101589","20575","202602","0"
"CURRITUCK","3378","8969","205","0","0","0","8889","18731","1081","44","2","0","0","0","1583","176","9937","10455","1049","21441","0"
"DARE","7592","10352","213","0","0","0","12186","27360","507","37","1","0","0","0","2438","263","13589","15020","1734","30343","0"
"DAVIDSON","22424","54335","613","0","0","0","34746","90299","10145","253","5","0","0","0","11416","2377","49035","55606","7477","112118","0"
"DAVIE","4969","16121","162","0","0","0","10097","26644","1891","38","1","0","0","0","2775","650","14115","15566","1668","31349","0"
"DUPLIN","12020","9378","116","0","0","0","9226","18317","8272","59","1","0","0","0","4091","1811","13102","15396","2242","30740","0"
"DURHAM","125316","24471","1262","0","0","0","79583","110853","74853","570","23","0","0","0","44333","9885","91967","116373","22292","230632","0"
"EDGECOMBE","21484","6393","96","0","0","0","5761","12008","19369","62","1","0","0","0","2294","467","13860","18365","1509","33734","0"
"FORSYTH","102881","72764","1616","0","0","0","86280","158906","68087","525","23","0","0","0","36000","11590","109030","133593","20918","263541","0"
"FRANKLIN","16834","15171","339","0","0","0","15538","30806","11367","145","3","0","0","0","5561","1356","20453","23331","4098","47882","0"
"GASTON","41518","59288","1103","0","0","0","49077","106246","25668","344","3","0","0","0","18725","4617","64186","75658","11142","150986","0"
"GATES","3674","1992","31","0","0","0","2421","5002","2500","15","0","0","0","0","601","48","3524","4073","521","8118","0"
"GRAHAM","1304","2915","27","0","0","0","1750","5456","8","262","1","0","0","0","269","25","2813","3002","181","5996","0"
"GRANVILLE","16718","10704","181","0","0","0","12027","23596","11700","83","3","0","0","0","4248","994","16598","19351","3681","39630","0"
"GREENE","5082","2361","21","0","0","0","3117","5830","3720","13","0","0","0","0","1018","410","4569","5527","485","10581","0"
"GUILFORD","159604","89861","2157","0","0","0","116563","192989","123023","974","11","0","0","0","51188","11779","154956","193616","19613","368185","0"
"HALIFAX","21666","4951","104","0","0","0","9472","13895","18668","1076","0","0","0","0","2554","249","15384","19023","1786","36193","0"
"HARNETT","24322","28984","713","0","0","0","25753","50004","16510","469","15","0","0","0","12774","4142","33329","39571","6872","79772","0"
"HAYWOOD","13487","15690","335","0","0","0","15950","42044","459","117","1","0","0","0","2841","480","20451","23435","1576","45462","0"
"HENDERSON","17538","31713","590","0","0","0","36338","75401","2363","146","3","0","0","0","8266","2224","37214","44212","4753","86179","0"
"HERTFORD","9534","1533","35","0","0","0","3111","4576","8691","95","3","0","0","0","848","94","5969","7713","531","14213","0"
"HOKE","14040","7128","288","0","0","0","10782","12832","12254","1998","13","0","0","0","5141","2189","14088","17099","1051","32238","0"
"HYDE","1392","589","17","0","0","0","1006","2241","568","1","0","0","0","0","194","40","1345","1512","147","3004","0"
"IREDELL","28148","54355","829","0","0","0","47238","102339","13998","216","2","0","0","0","14015","3770","57803","64295","8472","130570","0"
"JACKSON","9089","8186","215","0","0","0","11318","23790","625","1468","3","0","0","0","2922","627","12650","14163","1995","28808","0"
"JOHNSTON","39895","55132","1126","0","0","0","48857","99662","23422","417","13","0","0","0","21496","6877","63856","73551","7603","145010","0"
"JONES","2716","2081","36","0","0","0","1971","4218","2065","13","0","0","0","0","508","72","2949","3474","381","6804","0"
"LEE","13173","11568","234","0","0","0","12992","24775","7191","152","7","0","0","0","5842","2893","16088","19254","2625","37967","0"
"LENOIR","16975","9923","133","0","0","0","8887","18305","14283","58","0","0","0","0","3272","646","14809","18649","2460","35918","0"
"LINCOLN","12231","30130","417","0","0","0","21270","54465","3367","88","0","0","0","0","6128","1753","28742","31283","4023","64048","0"
"MACON","5529","11911","165","0","0","0","9487","24921","171","59","2","0","0","0","1939","411","12494","14202","396","27092","0"
"MADISON","5485","4638","120","0","0","0","6419","15163","142","29","0","0","0","0","1328","163","7518","7971","1173","16662","0"
"MARTIN","8401","3506","41","0","0","0","4043","8573","6541","27","0","0","0","0","850","145","6879","8566","546","15991","0"
"MCDOWELL","6288","12496","164","0","0","0","10212","26597","786","36","1","0","0","0","1740","470","13326","14763","1071","29160","0"
"MECKLENBURG","332057","162188","5899","0","0","0","277359","403631","241273","2105","39","0","0","0","130455","39542","329642","394246","53615","777503","0"
"MITCHELL","1112","6515","43","0","0","0","3351","9938","35","12","0","0","0","0","1036","107","4925","5391","705","11021","0"
"MONTGOMERY","5877","6076","86","0","0","0","4886","11861","3174","44","0","0","0","0","1846","668","7550","8474","901","16925","0"
"MOORE","15843","30254","575","0","0","0","26314","58537","7658","336","5","0","0","0","6450","1508","32117","37897","2972","72986","0"
"NASH","30101","19355","296","0","0","0","16660","34139","25984","341","4","0","0","0","5944","1465","28337","34671","3404","66412","0"
"NEW HANOVER","51040","53448","1466","0","0","0","67850","133986","19513","376","11","0","0","0","19918","3412","72713","85408","15683","173804","0"
"NORTHAMPTON","8439","1544","40","0","0","0","3122","5165","7278","32","0","0","0","0","670","52","5723","6790","632","13145","0"
