"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"LEE","16280","9318","32","0","0","0","6944","24212","6865","95","0","0","0","0","688","871","14722","17740","0","32574","0"
"LENOIR","23179","8878","25","0","0","0","5593","21425","15503","58","0","0","0","0","316","181","16339","21210","0","37675","0"
"LINCOLN","16776","21022","34","0","0","0","12048","45877","2780","65","0","0","0","0","446","525","23419","26236","0","49880","0"
"MACON","8390","9759","14","0","0","0","6222","23729","186","40","0","0","0","0","120","99","11195","13087","0","24385","0"
"MADISON","7690","4489","22","0","0","0","3858","15591","126","26","0","0","0","0","88","42","7685","8182","0","16059","0"
"MARTIN","12303","2944","7","0","0","0","2596","9723","7867","37","0","0","0","0","100","54","7833","9971","0","17850","0"
"MCDOWELL","10801","9812","23","0","0","0","7154","26510","849","19","0","0","0","0","207","131","12954","14833","0","27790","0"
"MECKLENBURG","274715","170980","835","0","0","0","153158","370759","182148","1585","0","0","0","0","15683","11899","265729","323977","0","599688","0"
"MITCHELL","1306","7543","11","0","0","0","2795","11492","21","13","0","0","0","0","36","47","5416","6211","0","11655","0"
"MONTGOMERY","8472","4654","14","0","0","0","3060","12146","3491","37","0","0","0","0","216","166","7450","8691","0","16200","0"
"MOORE","18438","25591","101","0","0","0","16291","51033","7876","283","0","0","0","0","725","396","27545","32850","0","60421","0"
"NASH","36533","19928","57","0","0","0","10145","40949","23859","245","0","0","0","0","852","464","30052","36452","0","66663","0"
"NEW HANOVER","54761","49677","333","0","0","0","40788","120322","19536","280","0","0","0","0","1605","1146","65459","77360","0","145559","0"
"NORTHAMPTON","11701","1283","4","0","0","0","1751","6026","8435","23","0","0","0","0","40","20","6340","8114","0","14739","0"
"ONSLOW","31196","30895","160","0","0","0","25062","64659","16309","272","0","0","0","0","3197","2636","38358","47953","0","87313","0"
"ORANGE","53046","18304","205","0","0","0","28988","79671","12356","244","0","0","0","0","2617","1554","45055","54615","0","100543","0"
"PAMLICO","4667","2656","8","0","0","0","1856","7161","1813","26","0","0","0","0","53","28","4196","4908","0","9187","0"
"PASQUOTANK","15005","5578","40","0","0","0","7187","16287","10406","41","0","0","0","0","340","117","12352","15173","0","27810","0"
"PENDER","14368","11892","63","0","0","0","8100","27068","6392","59","0","0","0","0","249","218","15886","18256","0","34423","0"
"PERQUIMANS","4775","2235","10","0","0","0","2456","7061","2247","14","0","0","0","0","44","25","4377","5099","0","9476","0"
"PERSON","13654","5707","20","0","0","0","5496","17506","6732","122","0","0","0","0","161","137","11257","13492","0","24877","0"
"PITT","54763","27480","161","0","0","0","21411","65768","34035","224","0","0","0","0","1686","822","45881","57574","0","103815","0"
"POLK","4914","5322","16","0","0","0","4589","13862","701","12","0","0","0","0","120","91","6744","8050","0","14841","0"
"RANDOLPH","22774","43401","129","0","0","0","20060","78823","5082","255","0","0","0","0","1033","1059","39855","46260","0","86364","0"
"RICHMOND","19804","5089","14","0","0","0","5260","19610","9619","288","0","0","0","0","268","157","13564","16529","0","30167","0"
"ROBESON","52234","7675","47","0","0","0","9734","23734","19961","23616","0","0","0","0","1123","552","29471","39904","0","69690","0"
"ROCKINGHAM","27802","18137","59","0","0","0","12101","45250","11564","109","0","0","0","0","401","319","26304","31792","0","58099","0"
"ROWAN","32662","37143","68","0","0","0","20434","73292","14628","174","0","0","0","0","1021","621","41749","48125","0","90307","0"
"RUTHERFORD","18594","14235","39","0","0","0","9833","37485","4312","54","0","0","0","0","263","252","19372","22993","0","42701","0"
"SAMPSON","18492","12890","23","0","0","0","4965","22987","11485","540","0","0","0","0","706","534","15980","20152","0","36370","0"
"SCOTLAND","14139","3670","12","0","0","0","4616","11996","8502","1167","0","0","0","0","180","116","9521","12636","0","22437","0"
"STANLY","13984","16646","36","0","0","0","8196","34134","3895","49","0","0","0","0","243","101","18018","20640","0","38862","0"
"STOKES","9937","14353","51","0","0","0","5896","28366","1362","52","0","0","0","0","181","132","14113","16102","0","30237","0"
"SURRY","17767","17186","53","0","0","0","8693","41060","1815","41","0","0","0","0","327","352","19945","23609","0","43699","0"
"SWAIN","4410","2462","12","0","0","0","2672","7709","60","1615","0","0","0","0","69","31","4481","5059","0","9556","0"
"TRANSYLVANIA","7982","8534","22","0","0","0","6936","22142","869","41","0","0","0","0","171","90","10897","12412","0","23474","0"
"TYRRELL","1871","295","0","0","0","0","479","1679","901","3","0","0","0","0","26","9","1194","1431","0","2645","0"
"UNION","37957","54030","202","0","0","0","31164","103185","14646","292","0","0","0","0","2524","2315","57718","64793","0","123353","0"
"VANCE","21028","4050","22","0","0","0","4080","13667","14801","33","0","0","0","0","282","170","12765","16263","0","29180","0"
"WAKE","243868","176621","1031","0","0","0","158413","419659","116553","1251","0","0","0","0","16423","9754","267822","308396","0","579933","0"
"WARREN","10082","1608","17","0","0","0","1686","5344","7191","555","0","0","0","0","86","31","6079","7245","0","13393","0"
"WASHINGTON","6791","1100","7","0","0","0","1178","4403","4509","12","0","0","0","0","33","14","3969","5066","0","9076","0"
"WATAUGA","12859","14292","79","0","0","0","13081","38298","625","54","0","0","0","0","412","270","19602","20503","0","40311","0"
"WAYNE","34908","21928","84","0","0","0","12819","43007","23248","129","0","0","0","0","1112","785","30377","37964","0","69739","0"
"WILKES","12138","21640","33","0","0","0","7991","39567","1629","23","0","0","0","0","230","248","19541","22067","0","41802","0"
"WILSON","31117","13524","35","0","0","0","8291","29847","21561","67","0","0","0","0","834","437","23562","29190","0","52967","0"
"YADKIN","5198","13346","16","0","0","0","4743","22092","743","20","0","0","0","0","191","214","10853","12184","0","23303","0"
"YANCEY","6579","5269","13","0","0","0","2755","14340","101","14","0","0","0","0","54","39","6887","7651","0","14616","0"
