"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","40420","30036","96","0","0","0","18473","67789","17608","176","0","0","0","0","1181","1008","39452","49007","0","89025","0"
"ALEXANDER","8207","10545","27","0","0","0","4995","22326","1077","25","0","0","0","0","148","126","11311","12343","0","23774","0"
"ALLEGHANY","3522","2251","9","0","0","0","1395","6964","80","8","0","0","0","0","39","68","3351","3793","0","7177","0"
"ANSON","12084","2255","5","0","0","0","1830","8181","7679","35","0","0","0","0","64","24","7141","8805","0","16174","0"
"ASHE","7619","8690","22","0","0","0","4144","20126","108","11","0","0","0","0","89","83","9551","10883","0","20475","0"
"AVERY","1630","7301","9","0","0","0","2638","11298","57","18","0","0","0","0","54","51","5431","6069","0","11578","0"
"BEAUFORT","16105","9442","10","0","0","0","5616","22437","8125","31","0","0","0","0","225","133","13844","17070","0","31173","0"
"BERTIE","11252","1354","8","0","0","0","1396","5267","8359","19","0","0","0","0","28","17","5944","7891","0","14010","0"
"BLADEN","15358","2953","3","0","0","0","3431","12956","8070","218","0","0","0","0","133","120","9711","11950","0","21745","0"
"BRUNSWICK","28674","27185","72","0","0","0","18760","65173","7797","211","0","0","0","0","555","420","34581","39508","0","74691","0"
"BUNCOMBE","76968","47946","216","0","0","0","48070","155470","10217","336","0","0","0","0","2863","1275","78049","92956","0","173200","0"
"BURKE","22966","20058","59","0","0","0","13522","51577","3419","66","0","0","0","0","643","285","26272","30129","0","56605","0"
"CABARRUS","38983","43103","127","0","0","0","25734","87015","16022","234","0","0","0","0","1504","1575","48985","57826","0","107947","0"
"CALDWELL","18093","23435","62","0","0","0","10614","48424","2693","50","0","0","0","0","383","288","24445","27541","0","52204","0"
"CAMDEN","3159","1902","7","0","0","0","2070","5863","1108","14","0","0","0","0","56","20","3414","3669","0","7138","0"
"CARTERET","15689","18987","41","0","0","0","12027","43052","2527","83","0","0","0","0","321","197","21637","24525","0","46744","0"
"CASWELL","9416","3108","10","0","0","0","2617","9340","5551","15","0","0","0","0","82","46","6778","8274","0","15151","0"
"CATAWBA","32147","45046","79","0","0","0","24488","89251","8659","109","0","0","0","0","1369","957","46648","54648","0","101760","0"
"CHATHAM","20369","10739","38","0","0","0","10412","33711","6083","69","0","0","0","0","505","453","18783","22060","0","41558","0"
