"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","39786","30263","135","0","0","0","19408","67959","17883","181","0","0","0","0","1257","1092","39721","49286","0","89592","0"
"ALEXANDER","7816","10383","33","0","0","0","5316","22114","1044","23","0","0","0","0","158","130","11274","12151","0","23548","0"
"ALLEGHANY","3412","2283","14","0","0","0","1540","7029","76","8","0","0","0","0","41","88","3396","3818","0","7249","0"
"ANSON","12335","2324","7","0","0","0","1993","8341","7940","39","0","0","0","0","68","26","7306","8974","0","16659","0"
"ASHE","6773","7967","29","0","0","0","4084","18509","98","14","0","0","0","0","85","92","8867","9946","0","18853","0"
"AVERY","1607","7307","15","0","0","0","2775","11422","60","20","0","0","0","0","55","52","5492","6138","0","11704","0"
"BEAUFORT","16102","9701","27","0","0","0","6156","23047","8305","35","0","0","0","0","235","145","14188","17518","0","31986","0"
"BERTIE","11187","1391","7","0","0","0","1614","5290","8491","17","0","0","0","0","34","21","6066","7938","0","14199","0"
"BLADEN","15568","2825","11","0","0","0","4097","13378","8317","258","0","0","0","0","152","140","10089","12303","0","22501","0"
"BRUNSWICK","27000","28337","116","0","0","0","21190","66754","7981","216","0","0","0","0","591","502","35507","40473","0","76643","0"
"BUNCOMBE","75987","47328","378","0","0","0","50535","156429","10170","328","0","0","0","0","2916","1374","78655","93381","0","174228","0"
"BURKE","22331","19826","102","0","0","0","14286","51473","3394","69","0","0","0","0","677","327","26287","30061","0","56545","0"
"CABARRUS","37850","43180","211","0","0","0","27075","87052","16118","236","0","0","0","0","1620","1758","49088","58092","0","108316","0"
"CALDWELL","17750","23549","102","0","0","0","11113","48665","2718","50","0","0","0","0","421","322","24565","27712","0","52514","0"
"CAMDEN","3184","1967","13","0","0","0","2231","6056","1154","12","0","0","0","0","63","25","3509","3804","0","7395","0"
"CARTERET","15437","19496","73","0","0","0","12917","44092","2587","88","0","0","0","0","341","217","22216","25090","0","47923","0"
"CASWELL","9265","3173","14","0","0","0","2799","9435","5541","14","0","0","0","0","90","47","6823","8332","0","15251","0"
"CATAWBA","30835","44332","117","0","0","0","25239","87999","8544","109","0","0","0","0","1407","1076","46257","53808","0","100523","0"
"CHATHAM","20163","11127","60","0","0","0","11385","34613","6122","74","0","0","0","0","547","515","19203","22686","0","42735","0"
"CHEROKEE","7148","8586","31","0","0","0","5044","20226","200","115","0","0","0","0","82","80","9720","11041","0","20809","0"
"CHOWAN","5955","2464","9","0","0","0","2228","7048","3386","12","0","0","0","0","51","26","4733","5849","0","10656","0"
"CLAY","2831","3356","18","0","0","0","2667","8679","30","14","0","0","0","0","30","29","4179","4636","0","8872","0"
"CLEVELAND","29930","18439","63","0","0","0","12194","46607","12672","82","0","0","0","0","338","318","27229","33138","0","60626","0"
"COLUMBUS","24596","5818","24","0","0","0","6160","23760","11343","968","0","0","0","0","180","103","16464","20044","0","36598","0"
"CRAVEN","28213","23016","84","0","0","0","16655","49748","15447","116","0","0","0","0","1156","856","30540","36762","0","67968","0"
"CUMBERLAND","100003","47248","308","0","0","0","44790","95400","77566","1968","0","0","0","0","9535","7218","84640","104782","0","192349","0"
"CURRITUCK","5263","5348","43","0","0","0","5917","15105","960","54","0","0","0","0","155","97","7852","8575","0","16571","0"
"DARE","10278","7875","70","0","0","0","8457","25491","516","37","0","0","0","0","258","120","12655","13934","0","26680","0"
"DAVIDSON","32121","46664","201","0","0","0","21905","89398","9234","235","0","0","0","0","972","758","46876","53883","0","100891","0"
"DAVIE","6214","14543","33","0","0","0","5977","24500","1780","28","0","0","0","0","214","206","12528","14229","0","26767","0"
"DUPLIN","15602","6872","28","0","0","0","5685","18374","8807","43","0","0","0","0","406","526","12285","15393","0","28187","0"
"DURHAM","110230","27885","294","0","0","0","43068","95718","70276","428","0","0","0","0","3852","3106","78320","99753","0","181477","0"
"EDGECOMBE","28187","5690","19","0","0","0","3360","14398","22190","43","0","0","0","0","216","98","15982","21034","0","37256","0"
"FORSYTH","103595","75184","360","0","0","0","49154","156363","61914","401","0","0","0","0","3949","3353","100575","125750","0","228293","0"
"FRANKLIN","18909","11220","61","0","0","0","7263","25897","10360","97","0","0","0","0","455","398","17198","19907","0","37453","0"
"GASTON","46484","48806","194","0","0","0","29316","102220","18385","261","0","0","0","0","1291","1319","55480","67953","0","124800","0"
"GATES","5044","1508","8","0","0","0","1644","5108","2835","5","0","0","0","0","47","15","3654","4349","0","8204","0"
"GRAHAM","2486","2794","7","0","0","0","1311","6180","1","296","0","0","0","0","45","41","3157","3391","0","6598","0"
"GRANVILLE","19595","8093","54","0","0","0","6195","21479","11327","77","0","0","0","0","364","298","14884","18199","0","33937","0"
"GREENE","7428","1743","8","0","0","0","1768","6549","4167","15","0","0","0","0","104","122","4904","6030","0","10947","0"
"GUILFORD","173326","101739","518","0","0","0","75593","221444","112883","922","0","0","0","0","5683","3583","155312","195152","0","351176","0"
"HALIFAX","26779","4845","30","0","0","0","5185","15500","19318","1040","0","0","0","0","248","112","15672","20903","0","36839","0"
"HARNETT","28453","21284","172","0","0","0","13347","45645","14308","419","0","0","0","0","1249","1255","28369","34677","0","63256","0"
"HAYWOOD","19897","11851","32","0","0","0","9731","40486","409","101","0","0","0","0","187","211","19029","22372","0","41511","0"
"HENDERSON","19292","31802","123","0","0","0","25594","72190","2101","134","0","0","0","0","935","877","35064","41237","0","76811","0"
"HERTFORD","11659","1776","7","0","0","0","1583","5542","9080","99","0","0","0","0","89","34","6363","8588","0","15025","0"
"HOKE","14423","5550","39","0","0","0","6790","12649","10400","2073","0","0","0","0","1133","998","11900","14848","0","26802","0"
"HYDE","2563","500","2","0","0","0","577","2606","972","6","0","0","0","0","16","10","1640","1977","0","3642","0"
"IREDELL","33648","42437","149","0","0","0","25991","86230","12160","157","0","0","0","0","1090","1197","47402","54032","0","102225","0"
"JACKSON","11926","7069","38","0","0","0","7920","23890","485","1520","0","0","0","0","196","173","12320","14079","0","26953","0"
"JOHNSTON","39285","39046","167","0","0","0","24163","82342","16075","287","0","0","0","0","1847","1345","46849","55006","0","102661","0"
"JONES","4602","1501","9","0","0","0","1367","4691","2631","13","0","0","0","0","47","37","3424","3992","0","7479","0"
"LEE","16174","9381","37","0","0","0","7019","24179","6897","99","0","0","0","0","711","896","14747","17753","0","32611","0"
"LENOIR","23170","8966","28","0","0","0","5777","21517","15653","59","0","0","0","0","328","196","16445","21374","0","37941","0"
"LINCOLN","16483","21098","44","0","0","0","12254","45833","2790","68","0","0","0","0","459","547","23387","26257","0","49879","0"
"MACON","8363","9870","18","0","0","0","6449","24024","193","41","0","0","0","0","124","101","11348","13247","0","24700","0"
"MADISON","7558","4475","23","0","0","0","3854","15437","123","22","0","0","0","0","90","45","7629","8064","0","15910","0"
"MARTIN","12258","2950","10","0","0","0","2633","9707","7893","34","0","0","0","0","100","53","7858","9951","0","17851","0"
"MCDOWELL","10523","9690","29","0","0","0","7215","26195","822","20","0","0","0","0","207","137","12819","14638","0","27457","0"
"MECKLENBURG","276996","172480","991","0","0","0","156359","374308","184616","1606","0","0","0","0","16295","12476","268780","327977","0","606826","0"
"MITCHELL","1312","7552","7","0","0","0","2832","11533","23","13","0","0","0","0","37","49","5449","6225","0","11703","0"
"MONTGOMERY","8438","4692","16","0","0","0","3135","12196","3492","38","0","0","0","0","224","176","7492","8726","0","16281","0"
"MOORE","18113","25490","119","0","0","0","16437","50825","7782","284","0","0","0","0","746","408","27440","32686","0","60159","0"
"NASH","36623","20131","64","0","0","0","10470","41177","24198","253","0","0","0","0","865","479","30288","36837","0","67288","0"
"NEW HANOVER","55069","50421","401","0","0","0","42128","122170","19900","290","0","0","0","0","1663","1210","66604","78529","0","148019","0"
"NORTHAMPTON","11736","1291","4","0","0","0","1807","6047","8502","26","0","0","0","0","38","21","6420","8133","0","14838","0"
"ONSLOW","30450","30446","195","0","0","0","24874","63722","15938","263","0","0","0","0","3147","2615","37862","47079","0","85965","0"
"ORANGE","52635","18050","264","0","0","0","29578","79466","12310","239","0","0","0","0","2580","1668","45026","54628","0","100527","0"
"PAMLICO","4604","2681","9","0","0","0","1911","7170","1816","25","0","0","0","0","50","27","4220","4897","0","9205","0"
"PASQUOTANK","14614","5411","48","0","0","0","7074","15834","10138","45","0","0","0","0","323","115","12079","14699","0","27147","0"
"PENDER","13926","11661","74","0","0","0","7949","26322","6324","54","0","0","0","0","249","228","15556","17762","0","33610","0"
"PERQUIMANS","4741","2248","12","0","0","0","2472","7053","2248","16","0","0","0","0","44","26","4369","5104","0","9473","0"
"PERSON","13617","5741","28","0","0","0","5641","17591","6795","118","0","0","0","0","165","142","11333","13569","0","25027","0"
"PITT","54269","27260","182","0","0","0","21497","65167","34073","220","0","0","0","0","1705","836","45614","57258","0","103208","0"
"POLK","4785","5150","22","0","0","0","4500","13493","693","11","0","0","0","0","119","102","6580","7826","0","14457","0"
"RANDOLPH","22696","43654","142","0","0","0","20577","79360","5128","260","0","0","0","0","1088","1125","40151","46622","0","87069","0"
"RICHMOND","19463","5026","15","0","0","0","5323","19291","9541","291","0","0","0","0","275","167","13436","16258","0","29827","0"
"ROBESON","52304","7804","59","0","0","0","10062","23921","20096","23777","0","0","0","0","1158","582","29712","40204","0","70229","0"
