"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36997","37125","693","33","133","0","0","0","40611","74626","23978","266","12","1127","670","9853","5060","6552","48164","58268","9160","115592","1"
"ALEXANDER","4036","12301","121","2","31","1","0","0","8899","22229","960","36","1","152","37","1574","402","535","11457","12289","1645","25391","1"
"ALLEGHANY","1698","3438","40","0","11","0","0","0","2920","7188","76","8","0","6","17","663","149","252","3619","3878","610","8107","1"
"ANSON","8488","3203","58","2","27","0","0","0","4614","6881","6498","35","1","103","22","2640","212","158","6197","7466","2729","16392","1"
"ASHE","3653","9349","107","2","19","0","0","0","7329","18820","120","24","2","55","17","1182","239","349","9207","10149","1103","20459","1"
"AVERY","1290","7474","64","3","17","0","0","0","4223","11860","65","18","0","24","19","951","134","128","5858","6385","828","13071","1"
"BEAUFORT","10109","13050","129","3","35","0","0","1","11172","24141","7154","41","2","62","68","2273","758","728","14765","17325","2409","34499","1"
"BERTIE","7538","1749","37","1","8","0","0","0","3331","4605","7081","19","1","31","18","831","78","57","5249","6580","835","12664","1"
"BLADEN","8979","5628","91","4","33","0","0","0","8432","12700","7545","405","4","25","99","1856","533","636","9910","11675","1582","23167","1"
"BRUNSWICK","27521","55197","705","25","169","0","0","0","52602","113562","9136","399","10","554","248","9873","2437","2282","57969","67051","11199","136219","1"
"BUNCOMBE","72822","45217","1657","150","398","0","0","8","92470","176532","10458","363","43","1605","1012","16771","5938","5725","90844","106079","15799","212722","1"
"BURKE","12247","23996","368","13","67","0","0","0","22965","49698","3105","89","1","976","133","4187","1467","1500","26093","29089","4474","59656","1"
"CABARRUS","43994","51753","1219","86","426","0","0","2","60591","98409","32401","410","12","3771","742","14911","7415","7833","66252","77602","14217","158071","1"
