"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"RICHMOND","11939","7441","127","4","3","0","8712","16643","8772","408","0","2403","566","12374","14572","1280","28226"
"ROBESON","35128","13367","233","7","8","0","23049","20157","18760","24821","15","8039","2134","30824","38398","2570","71792"
"ROCKINGHAM","17576","24130","322","9","9","0","18803","42544","10949","100","0","7256","1198","27104","31789","1956","60849"
"ROWAN","22378","41274","616","15","13","0","31648","70051","15042","183","6","10662","2974","41422","47349","7173","95944"
"RUTHERFORD","9975","19784","255","5","5","0","15871","37309","3968","58","0","4560","874","19865","22814","3216","45895"
"SAMPSON","12739","15287","178","1","6","0","9456","21949","9951","532","0","5235","2757","16361","19366","1940","37667"
"SCOTLAND","9889","4526","73","4","0","0","6752","9531","7996","1675","9","2033","218","8703","11099","1442","21244"
"STANLY","8437","20796","207","16","9","0","14149","33731","4457","79","3","5344","662","18436","20907","4271","43614"
"STOKES","5266","16841","202","8","4","0","9752","27583","1174","51","0","3265","438","15275","16751","47","32073"
"SURRY","9287","22004","233","9","3","0","15535","40035","1675","45","2","5314","2025","20723","23300","3048","47071"
"SWAIN","2809","3052","66","1","1","0","3804","7411","92","1544","1","685","89","4405","4926","402","9733"
"TRANSYLVANIA","5684","8352","150","2","2","0","11664","23076","713","49","1","2015","242","11277","13067","1510","25854"
"TYRRELL","1043","446","7","0","0","0","801","1413","645","3","0","236","37","1009","1107","181","2297"
"UNION","39750","69487","1162","28","19","0","64420","123313","19639","511","10","31393","8652","75309","83644","15913","174866"
"VANCE","16066","4918","104","5","7","0","6753","11198","13823","54","1","2777","708","11434","14657","1762","27853"
"WAKE","285465","174905","6349","198","85","0","340467","495567","144813","2067","52","164970","34566","340085","390683","76701","807469"
"WARREN","7801","2242","41","0","1","0","2958","5356","6209","529","2","947","117","5589","6745","709","13043"
"WASHINGTON","4631","1374","24","0","0","0","1942","3646","3760","9","0","556","63","3363","4192","416","7971"
"WATAUGA","11327","12341","389","30","1","0","19763","38208","834","59","11","4739","1210","18851","21936","3064","43851"
"WAYNE","26814","25283","437","11","10","0","21206","40968","23127","127","5","9534","3000","30964","37265","5532","73761"
"WILKES","6885","23947","203","6","1","0","12669","38254","1577","47","0","3833","929","19333","21373","3005","43711"
"WILSON","24830","13820","238","6","6","0","15878","26849","21776","107","0","6046","1806","22943","28768","3067","54778"
"YADKIN","2993","14118","132","1","3","0","7479","21560","722","26","1","2417","964","11101","12112","1513","24726"
"YANCEY","3748","5362","80","1","3","0","4945","12908","72","25","1","1133","146","6368","6951","820","14139"
