"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37094","36239","693","22","7","0","38094","73115","23149","254","10","15621","5751","46791","56763","8595","112149"
"ALEXANDER","4224","12080","121","3","7","0","8483","21874","948","35","1","2060","484","11303","12064","1551","24918"
"ALLEGHANY","1794","3291","40","0","4","0","2747","7004","74","7","0","791","230","3506","3780","590","7876"
"ANSON","8898","3070","53","2","2","0","4043","6766","6460","31","1","2810","131","6108","7375","2585","16068"
"ASHE","3797","9124","103","1","3","0","6962","18408","111","25","2","1444","307","9017","9911","1062","19990"
"AVERY","1288","7244","60","1","2","0","4044","11470","58","20","0","1091","107","5646","6182","811","12639"
"BEAUFORT","10328","12611","139","3","5","0","10762","23685","7107","41","2","3013","635","14476","17057","2315","33848"
"BERTIE","7711","1668","38","1","0","0","3174","4565","7120","19","1","887","54","5266","6562","764","12592"
"BLADEN","9300","5415","88","2","2","0","7560","12594","7489","405","3","1876","582","9773","11545","1049","22367"
"BRUNSWICK","27260","52030","697","17","23","0","49045","107345","8846","375","9","12497","1965","54851","63515","10706","129072"
"BUNCOMBE","72874","44538","1645","79","42","0","86660","171179","10059","339","44","24217","5166","87703","102918","15217","205838"
"BURKE","12637","23289","353","7","5","0","21974","48736","3049","91","1","6388","1338","25513","28513","4239","58265"
"CABARRUS","43458","50937","1212","45","50","0","57192","96473","30739","389","10","25283","7052","64018","75317","13559","152894"
"CALDWELL","9438","26377","370","5","4","0","17282","45929","2533","71","0","4943","1118","23732","26224","3520","53476"
"CAMDEN","1419","3120","73","0","2","0","3726","6849","922","10","1","558","55","3809","4105","426","8340"
"CARTERET","9422","25662","354","5","11","0","20362","48263","2211","103","9","5230","691","24188","27389","4239","55816"
"CASWELL","6004","4193","57","1","1","0","4851","9343","4535","22","1","1206","222","6612","7557","938","15107"
