"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37131","36211","692","18","1","0","37931","73054","23103","256","9","15562","5715","46727","56706","8551","111984"
"ALEXANDER","4225","12032","118","3","1","0","8434","21798","940","34","1","2040","474","11257","12014","1542","24813"
"ALLEGHANY","1804","3259","40","0","0","0","2725","6960","73","7","0","788","223","3488","3752","588","7828"
"ANSON","8921","3041","51","1","0","0","4012","6744","6448","30","1","2803","124","6082","7368","2576","16026"
"ASHE","3802","9094","106","1","1","0","6910","18340","110","25","2","1437","302","8990","9867","1057","19914"
"AVERY","1281","7235","59","1","0","0","4007","11412","58","20","0","1093","104","5623","6152","808","12583"
"BEAUFORT","10373","12562","139","2","0","0","10666","23609","7109","41","2","2981","619","14430","17008","2304","33742"
"BERTIE","7727","1657","38","0","0","0","3159","4564","7123","19","1","874","54","5271","6563","747","12581"
"BLADEN","9312","5384","88","2","0","0","7478","12563","7473","403","3","1822","565","9742","11500","1022","22264"
"BRUNSWICK","27206","51667","690","17","2","0","48515","106499","8800","371","9","12418","1924","54448","63026","10623","128097"
"BUNCOMBE","72773","44508","1628","66","3","0","85987","170456","10013","340","45","24111","5066","87287","102497","15181","204965"
"BURKE","12669","23205","348","7","0","0","21857","48639","3048","91","1","6307","1316","25456","28458","4172","58086"
"CABARRUS","43328","50783","1208","41","4","0","56694","96165","30522","387","11","24973","6914","63684","74937","13437","152058"
"CALDWELL","9448","26301","362","4","1","0","17204","45851","2532","71","0","4866","1095","23666","26164","3490","53320"
"CAMDEN","1421","3111","74","0","0","0","3718","6835","922","10","1","556","55","3798","4105","421","8324"
"CARTERET","9432","25576","350","6","2","0","20192","48023","2200","101","9","5225","668","24066","27244","4248","55558"
"CASWELL","6014","4174","56","1","0","0","4800","9305","4523","21","1","1195","219","6591","7522","932","15045"
"CATAWBA","20266","47602","659","13","5","0","41157","85583","8591","145","4","15379","4609","47874","53507","8321","109702"
"CHATHAM","21046","14156","326","9","1","0","24414","44156","5847","120","3","9826","2194","24732","28812","6408","59952"
"CHEROKEE","3359","11565","144","1","0","0","7680","21173","239","120","1","1216","226","10710","11567","472","22749"
"CHOWAN","3633","3123","43","0","0","0","3474","6691","2826","12","4","740","84","4444","5451","378","10273"
"CLAY","1384","4664","58","0","0","0","3497","9009","42","16","0","536","86","4399","4797","407","9603"
"CLEVELAND","19945","25618","399","9","1","0","20717","46555","13122","86","4","6922","997","28398","33064","5227","66689"
"COLUMBUS","14320","10614","109","4","0","0","11090","21886","10254","944","4","3049","511","15530","18377","2230","36137"
"CRAVEN","20069","27766","578","13","3","0","26245","52174","14109","172","8","8211","2064","32059","38071","4544","74674"
"CUMBERLAND","86990","48297","1804","50","2","0","73100","85206","83791","2327","67","38852","13257","84370","105310","20563","210243"
"CURRITUCK","3415","9952","216","4","0","0","10049","20543","1180","44","3","1866","224","10880","11494","1262","23636"
"DARE","7537","11239","254","10","0","0","13619","29522","542","36","1","2558","331","14684","16185","1790","32659"
"DAVIDSON","21329","55271","669","9","4","0","37051","91059","10461","242","7","12564","3059","49608","56288","8437","114333"
"DAVIE","4688","16340","163","9","1","0","10851","27003","1909","44","1","3095","819","14230","15860","1962","32052"
"DUPLIN","10757","9660","133","5","2","0","10297","18129","8001","64","1","4659","2160","13024","15368","2462","30854"
"DURHAM","123913","23225","1191","56","3","0","83017","111999","72597","566","33","46210","11087","91554","116275","23576","231405"
"EDGECOMBE","20566","6570","103","2","1","0","6753","11977","19151","59","2","2806","578","13801","18141","2053","33995"
"FORSYTH","97269","70649","1692","57","2","0","90628","157535","64555","503","29","37675","12908","106926","131707","21664","260297"
"FRANKLIN","16771","15910","381","5","1","0","17725","32224","11808","138","3","6620","1747","21255","24442","5096","50793"
"GASTON","40307","59631","1163","20","5","0","52386","106931","26782","330","5","19464","5586","65209","76981","11322","153512"
"GATES","3472","2042","37","1","0","0","2560","5005","2447","16","0","644","53","3541","4026","545","8112"
"GRAHAM","1118","3024","32","0","0","0","1860","5484","9","259","1","281","35","2821","3012","201","6034"
"GRANVILLE","16002","10864","225","5","2","0","12956","22929","11397","78","4","5646","1145","16295","18926","4833","40054"
"GREENE","4892","2503","30","1","0","0","3433","5926","3759","12","0","1162","484","4676","5611","572","10859"
"GUILFORD","154882","88122","2202","65","10","0","126027","191868","123466","947","24","55003","13418","155832","194388","21088","371308"
"HALIFAX","20360","4786","100","2","0","0","10101","13501","18207","1027","4","2610","290","15064","18417","1868","35349"
"HARNETT","23915","30313","777","23","5","0","29088","52078","17179","472","17","14375","5105","34994","41107","8020","84121"
"HAYWOOD","12156","15936","308","8","4","0","16911","41835","465","115","1","2907","578","20397","23258","1668","45323"
"HENDERSON","17074","31758","619","11","3","0","38331","76330","2334","146","11","8975","2741","37636","44809","5351","87796"
"HERTFORD","8925","1541","36","0","0","0","3297","4455","8348","93","2","901","95","5723","7463","613","13799"
"HOKE","13683","7256","299","11","0","0","11577","12931","12435","1937","16","5507","2346","14232","17100","1494","32826"
"HYDE","1363","674","15","0","0","0","1096","2355","569","0","0","224","57","1399","1582","167","3148"
"IREDELL","27291","56138","876","23","1","0","51539","105839","14569","221","4","15235","4607","59929","66515","9424","135868"
"JACKSON","8441","8297","249","12","0","0","12273","24021","604","1515","5","3127","706","12753","14327","2192","29272"
"JOHNSTON","39722","56551","1207","42","10","0","54344","102406","25220","423","17","23810","8240","65787","75843","10246","151876"
"JONES","2535","2295","38","0","0","0","2230","4405","2056","11","1","625","99","3064","3528","506","7098"
"LEE","12525","11866","273","4","0","0","14327","25102","7276","143","6","6468","3286","16382","19562","3051","38995"
"LENOIR","16489","10350","147","10","0","0","10375","18677","14518","63","5","4108","790","15157","19031","3183","37371"
"LINCOLN","11747","31431","421","12","0","0","22753","56020","3551","86","2","6705","2021","29526","32077","4761","66364"
"MACON","4959","12269","186","2","0","0","10239","25350","193","61","1","2050","525","12787","14405","463","27655"
