"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","39376","30652","162","0","0","0","20367","68573","18109","180","0","0","0","0","3695","1188","40035","49942","580","90557","0"
"ALEXANDER","7604","10416","37","0","0","0","5532","22124","1046","25","0","0","0","0","394","147","11264","12202","123","23589","0"
"ALLEGHANY","3344","2333","15","0","0","0","1586","7043","78","9","0","0","0","0","148","104","3410","3830","38","7278","0"
"ANSON","12591","2399","7","0","0","0","2142","8457","8227","38","0","0","0","0","417","29","7517","9158","464","17139","0"
"ASHE","6640","7998","29","0","0","0","4268","18584","102","13","0","0","0","0","236","103","8918","9974","43","18935","0"
"AVERY","1571","7211","21","0","0","0","2857","11377","64","21","0","0","0","0","198","53","5456","6130","74","11660","0"
"BEAUFORT","15480","9788","47","0","0","0","6451","22887","8222","32","0","0","0","0","625","161","14104","17383","279","31766","0"
"BERTIE","11087","1434","9","0","0","0","1695","5278","8526","17","0","0","0","0","404","21","6079","7947","199","14225","0"
"BLADEN","14970","2776","15","0","0","0","4179","13050","8096","259","0","0","0","0","535","150","9897","11939","104","21940","0"
"BRUNSWICK","27148","29172","141","0","0","0","22612","68874","8202","219","0","0","0","0","1778","548","36610","41820","643","79073","0"
"BUNCOMBE","75858","47852","514","0","0","0","53793","159400","10436","325","0","0","0","0","7856","1498","80597","95161","2259","178017","0"
"BURKE","22076","20120","137","0","0","0","15262","52259","3446","75","0","0","0","0","1815","377","26892","30497","206","57595","0"
"CABARRUS","38196","44477","321","0","0","0","29131","89570","17030","258","0","0","0","0","5267","1973","50840","60136","1149","112125","0"
"CALDWELL","17488","23815","120","0","0","0","11815","49259","2770","47","0","0","0","0","1162","388","24908","28086","244","53238","0"
"CAMDEN","3068","1982","15","0","0","0","2235","5980","1132","13","0","0","0","0","175","23","3461","3764","75","7300","0"
"CARTERET","14992","19914","100","0","0","0","13622","44685","2619","87","0","0","0","0","1237","243","22508","25502","618","48628","0"
"CASWELL","9131","3236","13","0","0","0","2986","9525","5549","15","0","0","0","0","277","56","6887","8382","97","15366","0"
"CATAWBA","30217","44231","165","0","0","0","26376","87991","8747","110","0","0","0","0","4141","1225","46481","54037","471","100989","0"
"CHATHAM","20200","11507","79","0","0","0","12130","35619","6170","80","0","0","0","0","2047","604","19705","23365","846","43916","0"
"CHEROKEE","7202","8900","40","0","0","0","5489","21015","214","119","0","0","0","0","283","90","10124","11456","51","21631","0"
"CHOWAN","5757","2465","7","0","0","0","2294","7015","3289","12","0","0","0","0","207","31","4712","5745","66","10523","0"
"CLAY","2748","3419","22","0","0","0","2769","8748","34","14","0","0","0","0","162","32","4222","4671","65","8958","0"
"CLEVELAND","29180","18628","76","0","0","0","12765","46535","12734","84","0","0","0","0","1296","342","27160","33230","259","60649","0"
"COLUMBUS","23927","5960","31","0","0","0","6490","23568","11300","971","0","0","0","0","569","122","16366","19956","86","36408","0"
"CRAVEN","27692","23287","127","0","0","0","17681","50299","15612","121","0","0","0","0","2755","953","30939","37220","628","68787","0"
"CUMBERLAND","101341","48606","410","0","0","0","48466","97657","80470","2025","0","0","0","0","18671","7851","87323","108277","3223","198823","0"
"CURRITUCK","5223","5624","51","0","0","0","6278","15699","976","50","0","0","0","0","451","97","8121","8913","142","17176","0"
"DARE","10200","8093","86","0","0","0","8959","26111","533","36","0","0","0","0","658","126","12994","14251","93","27338","0"
"DAVIDSON","31452","47016","242","0","0","0","23179","90076","9443","236","0","0","0","0","2134","844","47380","54338","171","101889","0"
"DAVIE","6219","14609","37","0","0","0","6388","24843","1835","30","0","0","0","0","545","233","12679","14552","22","27253","0"
"DUPLIN","15452","7088","44","0","0","0","5994","18531","8913","41","0","0","0","0","1093","640","12450","15604","524","28578","0"
"DURHAM","112749","28655","350","0","0","0","46413","98842","72829","450","0","0","0","0","16046","3430","81044","103476","3647","188167","0"
"EDGECOMBE","28454","5909","33","0","0","0","3658","14528","22842","43","0","0","0","0","641","124","16406","21419","229","38054","0"
"FORSYTH","103708","75947","484","0","0","0","52242","158154","63272","403","0","0","0","0","10552","3887","102277","128095","2009","232381","0"
"FRANKLIN","18811","11557","83","0","0","0","7800","26466","10534","96","0","0","0","0","1155","447","17613","20265","373","38251","0"
"GASTON","46506","49954","253","0","0","0","31379","104427","19148","263","0","0","0","0","4254","1477","57016","69682","1394","128092","0"
"GATES","4930","1502","9","0","0","0","1689","5081","2783","6","0","0","0","0","260","15","3615","4314","201","8130","0"
"GRAHAM","2441","2810","8","0","0","0","1362","6197","1","303","0","0","0","0","120","41","3181","3393","47","6621","0"
"GRANVILLE","19557","8269","63","0","0","0","6599","21807","11521","79","0","0","0","0","1081","313","15191","18450","847","34488","0"
"GREENE","7381","1815","12","0","0","0","1902","6622","4228","14","0","0","0","0","246","156","5017","6080","13","11110","0"
"GUILFORD","164726","95812","680","0","0","0","74965","207422","111420","890","0","0","0","0","16451","4072","148795","186652","736","336183","0"
"HALIFAX","25576","4792","39","0","0","0","5350","14900","18846","1024","0","0","0","0","987","130","15265","20226","266","35757","0"
"HARNETT","27963","21540","206","0","0","0","14058","45705","14544","428","0","0","0","0","3090","1378","28595","34927","245","63767","0"
"HAYWOOD","19625","12203","68","0","0","0","10314","41159","422","102","0","0","0","0","527","232","19407","22689","114","42210","0"
"HENDERSON","18712","31417","168","0","0","0","26588","72050","2153","140","0","0","0","0","2542","996","35108","41264","513","76885","0"
"HERTFORD","11032","1657","10","0","0","0","1537","5145","8682","100","0","0","0","0","309","39","6020","8149","67","14236","0"
"HOKE","14363","5689","51","0","0","0","7232","12829","10661","2064","0","0","0","0","1781","1074","12118","15164","53","27335","0"
"HYDE","2481","506","3","0","0","0","612","2590","948","5","0","0","0","0","59","11","1636","1942","24","3602","0"
"IREDELL","33539","43663","216","0","0","0","27984","88699","12571","168","0","0","0","0","3964","1372","49006","55629","767","105402","0"
"JACKSON","11393","6910","58","0","0","0","7980","23313","464","1520","0","0","0","0","1044","187","12003","13806","532","26341","0"
"JOHNSTON","37917","38857","231","0","0","0","24902","81332","16251","281","0","0","0","0","4043","1613","46541","54553","813","101907","0"
"JONES","4452","1527","10","0","0","0","1448","4672","2604","13","0","0","0","0","148","44","3403","3980","54","7437","0"
"LEE","15891","9550","45","0","0","0","7435","24313","6962","99","0","0","0","0","1547","980","14844","17960","117","32921","0"
"LENOIR","22848","9118","35","0","0","0","5971","21459","15728","53","0","0","0","0","732","222","16530","21324","118","37972","0"
"LINCOLN","16167","21458","60","0","0","0","13079","46557","2849","76","0","0","0","0","1282","613","23802","26688","274","50764","0"
"MACON","7974","9695","28","0","0","0","6682","23727","159","39","0","0","0","0","454","118","11199","13079","101","24379","0"
"MADISON","7471","4590","37","0","0","0","4095","15713","123","21","0","0","0","0","336","49","7773","8197","223","16193","0"
"MARTIN","11845","2984","17","0","0","0","2725","9563","7755","34","0","0","0","0","219","59","7792","9737","42","17571","0"
"MCDOWELL","10445","9926","43","0","0","0","7712","26795","844","19","0","0","0","0","468","159","13151","14975","0","28126","0"
"MECKLENBURG","282039","173325","1357","0","0","0","165817","378985","192409","1650","0","0","0","0","49494","13939","275145","336766","10627","622538","0"
"MITCHELL","1264","7313","9","0","0","0","2826","11238","22","15","0","0","0","0","137","52","5330","6051","31","11412","0"
"MONTGOMERY","8231","4663","17","0","0","0","3261","12052","3494","43","0","0","0","0","583","201","7414","8691","67","16172","0"
"MOORE","17998","25729","154","0","0","0","17334","51621","7901","294","0","0","0","0","1399","474","27948","33264","3","61215","0"
"NASH","35464","19521","76","0","0","0","10717","39667","24160","254","0","0","0","0","1697","527","29609","36002","167","65778","0"
"NEW HANOVER","53966","50638","596","0","0","0","45002","123444","20316","288","0","0","0","0","6154","1413","67424","79852","2926","150202","0"
"NORTHAMPTON","11532","1341","8","0","0","0","1877","5981","8482","24","0","0","0","0","271","22","6366","8116","276","14758","0"
"ONSLOW","30830","31896","266","0","0","0","27276","66816","16720","275","0","0","0","0","6457","2924","39950","49313","1005","90268","0"
"ORANGE","53046","18381","334","0","0","0","31645","81386","12748","252","0","0","0","0","9020","1832","46168","56284","954","103406","0"
"PAMLICO","4540","2737","11","0","0","0","2052","7296","1808","25","0","0","0","0","211","32","4285","4966","89","9340","0"
"PASQUOTANK","14462","5554","65","0","0","0","7467","16013","10398","47","0","0","0","0","1090","124","12283","14907","358","27548","0"
"PENDER","13763","12162","102","0","0","0","8600","27222","6369","50","0","0","0","0","986","278","16048","18284","295","34627","0"
"PERQUIMANS","4731","2320","15","0","0","0","2602","7197","2289","17","0","0","0","0","165","29","4472","5196","0","9668","0"
"PERSON","13338","5803","34","0","0","0","5874","17582","6817","115","0","0","0","0","535","150","11320","13607","122","25049","0"
"PITT","54754","28011","230","0","0","0","23082","66378","35419","217","0","0","0","0","4063","932","46969","58635","473","106077","0"
"POLK","4763","5255","34","0","0","0","4751","13800","713","14","0","0","0","0","276","115","6747","8007","49","14803","0"
"RANDOLPH","22194","43882","184","0","0","0","21516","79821","5236","258","0","0","0","0","2461","1286","40542","46943","291","87776","0"
"RICHMOND","19167","5159","23","0","0","0","5685","19424","9623","300","0","0","0","0","687","193","13538","16387","109","30034","0"
"ROBESON","51622","8021","77","0","0","0","10632","23683","20264","23878","0","0","0","0","2527","652","29856","40195","301","70352","0"
"ROCKINGHAM","27191","18605","98","0","0","0","12679","45467","11699","109","0","0","0","0","1298","380","26590","31983","0","58573","0"
"ROWAN","31494","37264","122","0","0","0","21515","72954","14864","169","0","0","0","0","2408","738","41829","48156","410","90395","0"
"RUTHERFORD","17876","14342","73","0","0","0","10334","37227","4404","58","0","0","0","0","936","294","19334","22937","354","42625","0"
"SAMPSON","18264","13180","43","0","0","0","5350","23209","11606","545","0","0","0","0","1477","631","16250","20325","262","36837","0"
"SCOTLAND","13772","3516","20","0","0","0","4808","11558","8576","1206","0","0","0","0","776","124","9410","12436","270","22116","0"
"STANLY","13570","16774","45","0","0","0","8669","34157","3976","52","0","0","0","0","873","132","18144","20701","213","39058","0"
"STOKES","9497","14272","69","0","0","0","6170","28154","1326","54","0","0","0","0","474","153","14077","15912","19","30008","0"
"SURRY","17034","17192","89","0","0","0","9145","40745","1785","49","0","0","0","0","881","435","19750","23551","159","43460","0"
"SWAIN","4392","2545","19","0","0","0","2932","7942","58","1707","0","0","0","0","181","34","4637","5234","17","9888","0"
"TRANSYLVANIA","7622","8347","50","0","0","0","7515","22190","857","40","0","0","0","0","447","95","10914","12462","158","23534","0"
"TYRRELL","1761","313","2","0","0","0","513","1666","857","4","0","0","0","0","62","14","1181","1390","18","2589","0"
"UNION","38169","56207","329","0","0","0","34102","107115","15454","305","0","0","0","0","5933","2745","60290","67650","867","128807","0"
"VANCE","20982","4198","37","0","0","0","4506","13775","15190","37","0","0","0","0","721","204","13036","16526","161","29723","0"
"WAKE","249081","181177","1704","0","0","0","174671","432760","123802","1361","0","0","0","0","48710","11826","278787","322547","5299","606633","0"
"WARREN","9696","1610","22","0","0","0","1833","5306","6965","547","0","0","0","0","343","34","5968","7104","89","13161","0"
"WASHINGTON","6660","1125","16","0","0","0","1266","4365","4538","9","0","0","0","0","155","21","3967","5056","44","9067","0"
"WATAUGA","12470","14242","178","0","0","0","13885","38575","643","60","0","0","0","0","1497","332","19635","20848","292","40775","0"
"WAYNE","34367","22233","131","0","0","0","13550","42974","23565","122","0","0","0","0","3620","991","30791","38150","1340","70281","0"
"WILKES","11642","21376","55","0","0","0","8336","39101","1631","23","0","0","0","0","654","293","19357","21844","208","41409","0"
"WILSON","30563","13529","52","0","0","0","9235","29873","21816","66","0","0","0","0","1624","505","23721","29429","229","53379","0"
"YADKIN","5042","13340","28","0","0","0","5068","22229","730","19","0","0","0","0","500","265","10958","12273","247","23478","0"
"YANCEY","6296","5233","18","0","0","0","3023","14269","102","17","0","0","0","0","182","49","6884","7599","87","14570","0"
