"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37117","36328","696","22","19","0","38347","73302","23254","254","10","15709","5799","46936","56927","8666","112529"
"ALEXANDER","4193","12074","118","3","13","0","8541","21886","947","35","1","2073","488","11301","12079","1562","24942"
"ALLEGHANY","1789","3301","41","0","5","0","2769","7031","73","7","0","794","231","3517","3798","590","7905"
"ANSON","8900","3085","54","1","7","0","4071","6794","6475","31","1","2817","135","6123","7410","2585","16118"
"ASHE","3767","9156","102","2","10","0","7011","18459","111","25","2","1451","315","9044","9944","1060","20048"
"AVERY","1281","7228","60","1","3","0","4029","11440","59","19","0","1084","108","5617","6182","803","12602"
"BEAUFORT","10308","12603","135","3","7","0","10759","23641","7119","42","2","3011","639","14477","17032","2306","33815"
"BERTIE","7702","1675","38","1","0","0","3174","4567","7121","20","1","881","54","5267","6559","764","12590"
"BLADEN","9296","5435","89","2","2","0","7588","12604","7503","408","3","1894","589","9794","11558","1060","22412"
"BRUNSWICK","27181","51917","693","17","30","0","48996","107140","8829","375","9","12481","1970","54751","63412","10671","128834"
"BUNCOMBE","72877","44524","1653","88","78","0","87269","171783","10080","339","45","24242","5212","87995","103304","15190","206489"
"BURKE","12594","23241","351","7","5","0","21950","48627","3041","90","1","6389","1341","25462","28448","4238","58148"
"CABARRUS","43465","50871","1218","46","78","0","57302","96404","30814","390","10","25362","7108","64062","75354","13564","152980"
"CALDWELL","9396","26435","372","5","11","0","17386","45982","2545","71","0","5007","1128","23774","26291","3540","53605"
"CAMDEN","1418","3165","73","0","4","0","3755","6906","928","10","1","570","58","3849","4134","432","8415"
"CARTERET","9406","25638","355","5","15","0","20366","48234","2210","104","9","5228","690","24160","27389","4236","55785"
"CASWELL","5982","4203","61","2","4","0","4873","9350","4536","22","1","1216","227","6616","7565","944","15125"
"CATAWBA","20190","47907","671","17","87","0","41852","86149","8635","144","4","15792","4751","48256","53832","8636","110724"
"CHATHAM","21050","14221","330","11","25","0","24630","44368","5847","123","3","9926","2263","24859","28945","6463","60267"
"CHEROKEE","3361","11758","148","1","7","0","7785","21474","244","120","1","1221","232","10862","11720","478","23060"
"CHOWAN","3671","3135","44","0","6","0","3488","6734","2857","12","5","736","86","4464","5502","378","10344"
"CLAY","1393","4728","59","0","2","0","3541","9126","43","17","0","537","89","4448","4872","403","9723"
"CLEVELAND","19884","25823","406","10","24","0","21020","46834","13194","88","4","7047","1039","28606","33240","5321","67167"
"COLUMBUS","14266","10665","111","5","0","0","11193","21939","10258","949","4","3090","520","15563","18426","2251","36240"
"CRAVEN","20012","27976","591","18","61","0","26605","52615","14114","175","8","8351","2137","32315","38378","4570","75263"
"CUMBERLAND","86834","48412","1820","59","117","0","73663","85438","84035","2329","65","39038","13443","84715","105661","20529","210905"
"CURRITUCK","3459","10187","218","4","18","0","10289","20988","1199","45","3","1940","242","11124","11755","1296","24175"
"DARE","7526","11307","263","10","14","0","13802","29761","550","37","1","2573","339","14806","16322","1794","32922"
"DAVIDSON","21369","55556","694","14","74","0","37398","91518","10595","241","7","12744","3159","49937","56642","8526","115105"
"DAVIE","4666","16404","162","10","27","0","10952","27136","1907","46","1","3131","839","14279","15935","2007","32221"
"DUPLIN","10772","9779","136","7","16","0","10421","18225","8068","67","1","4770","2282","13194","15470","2467","31131"
"DURHAM","124311","23257","1192","67","137","0","84024","112739","72670","572","33","46974","11320","92070","116867","24051","232988"
"EDGECOMBE","20444","6557","102","3","11","0","6840","11930","19138","59","2","2828","592","13778","18110","2069","33957"
"FORSYTH","97223","70608","1693","69","128","0","92131","157989","64775","504","30","38554","13229","107410","132228","22214","261852"
"FRANKLIN","16762","16076","384","6","28","0","18061","32511","11896","141","3","6766","1827","21473","24667","5177","51317"
"GASTON","40448","59849","1169","22","88","0","53006","107464","27086","331","5","19696","5780","65687","77509","11386","154582"
"GATES","3466","2081","38","1","3","0","2612","5082","2454","16","0","649","54","3576","4079","546","8201"
"GRAHAM","1101","3038","32","0","1","0","1883","5495","10","259","1","290","36","2829","3018","208","6055"
"GRANVILLE","15952","10905","225","6","27","0","13131","22982","11415","79","3","5767","1160","16350","18986","4910","40246"
"GREENE","4860","2495","28","1","5","0","3465","5914","3760","12","0","1168","493","4676","5612","566","10854"
"GUILFORD","154900","88170","2197","81","161","0","128466","192327","124175","951","27","56495","13755","156737","195562","21676","373975"
"HALIFAX","20354","4846","98","2","22","0","10212","13590","18272","1028","5","2639","299","15154","18500","1880","35534"
"HARNETT","23993","30547","787","26","65","0","29703","52670","17388","472","16","14575","5265","35423","41587","8111","85121"
"HAYWOOD","12111","16084","310","11","13","0","17222","42209","469","114","1","2958","601","20596","23458","1697","45751"
"HENDERSON","17186","31884","620","17","36","0","38801","76932","2359","146","10","9097","2813","37945","45169","5430","88544"
"HERTFORD","8822","1549","38","0","3","0","3340","4453","8287","93","2","917","100","5689","7429","634","13752"
"HOKE","13740","7361","311","12","14","0","11784","13076","12541","1960","16","5629","2403","14385","17254","1583","33222"
"HYDE","1360","677","15","0","0","0","1098","2358","567","0","0","225","60","1400","1586","164","3150"
"IREDELL","27348","56612","889","24","73","0","52211","106742","14737","223","5","15450","4718","60444","67123","9590","137157"
"JACKSON","8470","8370","250","15","5","0","12413","24228","614","1519","6","3156","731","12869","14455","2199","29523"
"JOHNSTON","39898","56952","1220","49","178","0","55406","103378","25611","420","17","24277","8569","66499","76670","10534","153703"
