"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","37078","36075","691","16","0","0","37445","72754","22925","257","10","0","0","0","15359","5604","46455","56383","8467","111305","0"
"ALEXANDER","4259","12006","117","3","0","0","8375","21743","943","32","1","0","0","0","2041","467","11260","11963","1537","24760","0"
"ALLEGHANY","1812","3250","40","0","0","0","2728","6962","73","7","0","0","0","0","788","221","3499","3744","587","7830","0"
"ANSON","8949","3030","51","1","0","0","3967","6725","6447","31","0","0","0","0","2795","118","6072","7355","2571","15998","0"
"ASHE","3827","9056","107","1","0","0","6848","18265","111","24","2","0","0","0","1437","296","8955","9831","1053","19839","0"
"AVERY","1272","7202","55","1","0","0","3947","11317","55","20","0","0","0","0","1085","96","5569","6101","807","12477","0"
"BEAUFORT","10409","12497","138","2","0","0","10562","23503","7100","41","2","0","0","0","2962","601","14387","16930","2291","33608","0"
"BERTIE","7762","1641","39","0","0","0","3127","4551","7136","19","1","0","0","0","862","53","5269","6560","740","12569","0"
"BLADEN","9374","5377","88","1","0","0","7429","12563","7495","404","3","0","0","0","1804","552","9756","11506","1007","22269","0"
"BRUNSWICK","27074","51182","679","16","0","0","47862","105322","8783","368","9","0","0","0","12331","1871","53922","62343","10548","126813","0"
"BUNCOMBE","72652","44546","1630","52","0","0","85365","169738","10000","338","45","0","0","0","24124","4982","86992","102059","15194","204245","0"
"BURKE","12712","23120","348","4","0","0","21628","48496","3053","92","1","0","0","0","6170","1285","25379","28381","4052","57812","0"
"CABARRUS","43246","50665","1210","35","0","0","56062","95842","30294","383","11","0","0","0","24688","6763","63418","74461","13339","151218","0"
"CALDWELL","9504","26246","358","3","0","0","17094","45855","2538","70","0","0","0","0","4742","1061","23651","26113","3441","53205","0"
"CAMDEN","1413","3071","71","0","0","0","3683","6756","919","10","1","0","0","0","552","52","3766","4055","417","8238","0"
"CARTERET","9481","25486","348","6","0","0","20013","47776","2213","99","10","0","0","0","5236","661","23972","27120","4242","55334","0"
"CASWELL","6041","4166","54","2","0","0","4774","9295","4533","20","1","0","0","0","1188","215","6605","7505","927","15037","0"
"CATAWBA","20303","47479","653","9","0","0","40670","85303","8565","147","4","0","0","0","15095","4519","47704","53266","8144","109114","0"
"CHATHAM","20950","14079","322","6","0","0","24166","43984","5836","121","3","0","0","0","9579","2160","24640","28674","6209","59523","0"
"CHEROKEE","3380","11470","138","2","0","0","7612","21039","240","117","1","0","0","0","1205","217","10650","11491","461","22602","0"
"CHOWAN","3657","3096","42","0","0","0","3435","6643","2834","12","4","0","0","0","737","82","4439","5417","374","10230","0"
"CLAY","1383","4612","58","0","0","0","3476","8945","41","16","0","0","0","0","527","82","4378","4751","400","9529","0"
"CLEVELAND","19974","25471","395","7","0","0","20425","46339","13044","83","4","0","0","0","6802","959","28229","32896","5147","66272","0"
"COLUMBUS","14437","10555","109","2","0","0","11044","21854","10292","943","3","0","0","0","3055","495","15568","18337","2242","36147","0"
"CRAVEN","20113","27629","569","12","0","0","25951","51841","14097","172","8","0","0","0","8156","2010","31884","37823","4567","74274","0"
"CUMBERLAND","86882","48063","1764","49","0","0","72140","84669","83294","2303","68","0","0","0","38564","12991","83787","104527","20584","208898","0"
"CURRITUCK","3410","9886","220","4","0","0","9951","20419","1175","44","3","0","0","0","1830","217","10811","11424","1236","23471","0"
"DARE","7557","11166","255","11","0","0","13478","29346","533","36","1","0","0","0","2551","322","14612","16070","1785","32467","0"
"DAVIDSON","21355","55009","657","6","0","0","36650","90609","10395","243","7","0","0","0","12423","2952","49353","55943","8381","113677","0"
"DAVIE","4690","16225","160","5","0","0","10695","26776","1898","44","1","0","0","0","3056","792","14122","15733","1920","31775","0"
"DUPLIN","10807","9622","129","5","0","0","10188","18093","8011","63","1","0","0","0","4583","2081","12973","15318","2460","30751","0"
"DURHAM","123713","23267","1194","49","0","0","82444","111524","72552","566","33","0","0","0","45992","10871","91239","115823","23605","230667","0"
"EDGECOMBE","20609","6560","104","2","0","0","6636","11965","19140","61","2","0","0","0","2743","566","13806","18107","1998","33911","0"
"FORSYTH","97203","70612","1680","47","0","0","89422","156909","64467","501","29","0","0","0","37058","12622","106601","131031","21332","258964","0"
"FRANKLIN","16749","15831","379","5","0","0","17545","32035","11785","136","3","0","0","0","6550","1707","21169","24308","5032","50509","0"
"GASTON","40253","59510","1153","16","0","0","51953","106574","26573","336","5","0","0","0","19397","5486","64930","76619","11336","152885","0"
"GATES","3493","2038","37","1","0","0","2550","5008","2456","16","0","0","0","0","639","54","3541","4038","540","8119","0"
"GRAHAM","1119","3013","31","0","0","0","1846","5467","8","259","1","0","0","0","274","34","2808","3004","197","6009","0"
"GRANVILLE","16022","10806","218","4","0","0","12833","22908","11399","80","4","0","0","0","5492","1116","16282","18899","4702","39883","0"
"GREENE","4927","2502","29","1","0","0","3410","5932","3773","12","0","0","0","0","1152","478","4676","5629","564","10869","0"
