"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36521","38068","635","51","0","0","0","0","43120","75416","24295","260","19","1298","645","10160","6302","7476","49026","59113","10256","118395","1"
"ALEXANDER","3702","12648","120","4","0","0","0","0","9089","22171","933","32","2","157","37","1750","481","580","11458","12250","1855","25563","1"
"ALLEGHANY","1542","3591","37","1","0","0","0","0","2952","7116","77","11","0","8","13","723","175","256","3615","3840","668","8123","1"
"ANSON","7632","3388","54","6","0","0","0","0","4657","6621","6038","34","2","87","25","2667","263","208","5875","7122","2740","15737","1"
"ASHE","3393","9521","99","5","0","0","0","0","7455","18628","112","26","2","56","17","1369","263","350","9129","10022","1322","20473","1"
"AVERY","1121","7037","66","4","0","0","0","0","4003","10997","55","17","0","28","14","975","145","136","5441","5894","896","12231","1"
"BEAUFORT","9083","13214","121","10","0","0","0","0","11075","23525","6499","38","3","61","51","2503","823","768","14167","16662","2674","33503","1"
"BERTIE","7009","1794","42","1","0","0","0","0","3412","4566","6635","16","1","28","15","927","70","51","5046","6271","941","12258","1"
"BLADEN","8148","5931","76","10","0","0","0","0","8415","12448","7031","393","6","27","88","2009","578","649","9501","11319","1760","22580","1"
"BRUNSWICK","27412","58675","724","40","0","0","0","0","55963","118719","9196","409","12","645","237","10648","2948","2658","60566","70020","12228","142814","1"
"BUNCOMBE","71035","44844","1531","237","0","0","0","0","94646","174819","10189","362","44","1666","1003","17764","6446","6163","90338","105361","16594","212293","1"
"BURKE","11404","25016","355","22","0","0","0","0","23118","49811","3058","97","2","972","129","4199","1647","1661","26174","29132","4609","59915","1"
"CABARRUS","42983","51786","1077","123","0","0","0","0","62932","96717","32674","419","21","4210","696","15633","8531","8629","66197","77432","15272","158901","1"
"CALDWELL","8682","27773","341","17","0","0","0","0","18611","45859","2526","76","0","207","143","5459","1154","1348","24361","27055","4008","55424","1"
"CAMDEN","1191","3347","64","6","0","0","0","0","3770","6700","860","8","2","39","16","584","169","82","3738","3994","646","8378","1"
"CARTERET","8428","26596","343","26","0","0","0","0","21411","49077","2073","101","7","325","122","4196","903","843","24649","27712","4443","56804","1"
"CASWELL","5471","4717","59","2","0","0","0","0","5199","9638","4324","24","1","37","47","1099","278","296","6684","7623","1141","15448","1"
"CATAWBA","19561","51068","670","52","0","0","0","0","45229","89560","8896","156","9","2713","317","9481","5448","5690","50343","56140","10097","116580","1"
"CHATHAM","20837","14938","310","29","0","0","0","0","27228","46045","5769","128","9","1317","249","7241","2584","2753","25911","30122","7309","63342","1"
"CHEROKEE","2980","12999","148","8","0","0","0","0","8240","22608","250","116","2","100","30","966","303","276","11515","12308","552","24375","1"
"CHOWAN","3163","3234","44","1","0","0","0","0","3514","6582","2551","16","5","18","23","623","138","99","4341","5169","446","9956","1"
"CLAY","1268","5052","53","2","0","0","0","0","3639","9362","43","16","0","18","10","480","85","100","4559","5002","453","10014","1"
"CLEVELAND","18175","27578","402","21","0","0","0","0","22528","47328","12974","96","8","384","212","6261","1441","1291","28892","33661","6151","68704","1"
"COLUMBUS","12191","11728","121","7","0","0","0","0","12689","22291","9890","958","4","58","82","2763","690","659","15617","18390","2729","36736","1"
"CRAVEN","18512","28695","541","41","0","0","0","0","27975","52854","13461","179","8","1294","263","5007","2698","2405","32496","38204","5064","75764","1"
"CUMBERLAND","82129","50340","1743","148","0","0","0","0","82299","84244","84075","2361","125","3616","1956","25395","14887","14711","85704","106362","24593","216659","1"
"CURRITUCK","3015","10426","203","5","0","0","0","0","10443","20650","1173","41","3","127","66","1514","518","304","10951","11600","1541","24092","1"
"DARE","6620","11303","225","18","0","0","0","0","13962","28969","522","33","1","122","62","1729","690","418","14547","15824","1757","32128","1"
"DAVIDSON","20653","58821","686","35","0","0","0","0","40652","94073","11144","257","7","983","264","10205","3914","4063","51872","58561","10414","120847","1"
"DAVIE","4439","17054","151","14","0","0","0","0","11556","27728","1935","41","0","151","85","2388","886","1061","14686","16296","2232","33214","1"
"DUPLIN","9787","10493","120","10","0","0","0","0","11176","18403","7764","60","3","65","122","3211","1958","2589","13350","15506","2730","31586","1"
"DURHAM","121669","22676","1038","211","0","0","0","0","95944","114186","71505","571","46","9331","2526","31319","12054","13552","93665","118930","28943","241538","1"
"EDGECOMBE","19031","6906","112","12","0","0","0","0","8990","12072","18381","66","3","57","92","3657","723","753","13621","17769","3661","35051","1"
"FORSYTH","94130","71391","1593","178","0","0","0","0","102084","159516","64318","510","36","3718","1460","26694","13124","15493","108993","134788","25595","269376","1"
"FRANKLIN","16520","17622","389","21","0","0","0","0","20965","34897","12351","143","6","403","184","5126","2407","2506","23130","26413","5974","55517","1"
"GASTON","40084","62438","1148","69","0","0","0","0","57319","109672","29057","329","14","1548","649","13142","6647","7362","68443","80665","11950","161058","1"
"GATES","3041","2292","32","2","0","0","0","0","2749","5146","2298","17","0","10","37","526","82","58","3554","3978","584","8116","1"
"GRAHAM","941","3220","31","0","0","0","0","0","1991","5599","10","272","1","16","5","229","51","44","2912","3063","208","6183","1"
"GRANVILLE","14885","11567","218","8","0","0","0","0","14627","22279","10759","77","2","182","180","6518","1308","1306","16031","18365","6909","41305","1"
"GREENE","4332","2709","30","4","0","0","0","0","3811","5898","3550","10","1","16","14","847","550","581","4620","5519","747","10886","1"
"GUILFORD","151760","88847","1999","251","0","0","0","0","142842","192176","127655","972","56","10795","2544","34007","17494","16565","160460","199676","25563","385699","1"
"HALIFAX","18432","4848","95","7","0","0","0","0","10775","13215","17084","947","4","185","119","2158","445","347","14366","17655","2136","34157","1"
"HARNETT","23865","34027","780","65","0","0","0","0","34146","56750","18175","483","33","841","501","10174","5926","6540","38530","44780","9573","92883","1"
"HAYWOOD","11134","17172","316","28","0","0","0","0","19026","43706","492","136","0","170","98","2366","708","768","21545","24427","1704","47676","1"
"HENDERSON","16786","32322","607","53","0","0","0","0","40867","78149","2356","150","15","580","372","5989","3024","3434","38885","45983","5767","90635","1"
"HERTFORD","8034","1693","39","4","0","0","0","0","3679","4472","7775","90","3","41","49","865","154","110","5564","7079","806","13449","1"
"HOKE","12876","7993","304","26","0","0","0","0","14327","13452","12591","1911","22","376","220","4224","2730","2733","14710","17409","3407","35526","1"
"HYDE","1184","712","12","0","0","0","0","0","1074","2252","504","2","0","2","8","158","56","63","1328","1502","152","2982","1"
"IREDELL","27166","60749","891","47","0","0","0","0","57316","111589","16003","210","14","1755","414","10587","5597","5947","64183","70795","11191","146169","1"
"JACKSON","7759","8765","218","24","0","0","0","0","13620","24177","573","1515","9","238","178","2950","746","897","12905","14531","2950","30386","1"
"JOHNSTON","40422","60989","1201","90","0","0","0","0","63304","108885","27955","451","29","1248","577","17421","9440","11162","70995","81539","13472","166006","1"
"JONES","2161","2402","29","0","0","0","0","0","2353","4256","1821","11","2","19","22","697","117","129","2930","3330","685","6945","1"
"LEE","11893","12891","306","23","0","0","0","0","15742","25828","7295","137","9","331","249","3887","3119","4020","17091","20214","3550","40855","1"
"LENOIR","14786","10607","131","17","0","0","0","0","11754","18203","13844","52","5","99","118","4007","967","1006","14660","18654","3981","37295","1"
"LINCOLN","11067","33476","406","17","0","0","0","0","24224","57678","3778","88","2","358","149","5120","2017","2431","30558","33282","5350","69190","1"
"MACON","4560","12601","196","10","0","0","0","0","11683","26419","200","66","1","121","59","1486","698","743","13502","15044","504","29050","1"
"MADISON","4521","5067","114","14","0","0","0","0","7687","15332","111","26","3","65","39","1596","231","205","7462","8087","1854","17403","1"
"MARTIN","6971","3649","60","5","0","0","0","0","5476","8513","5834","24","1","22","49","1465","253","231","6507","8203","1451","16161","1"
"MCDOWELL","4937","13864","176","11","0","0","0","0","11724","27616","821","38","0","153","121","1295","668","705","13972","15215","1525","30712","1"
"MECKLENBURG","317940","156860","5404","581","0","0","0","0","333092","408417","243272","2095","94","25520","4780","80012","49687","51951","338173","405856","69848","813877","1"
"MITCHELL","961","6407","57","3","0","0","0","0","3686","9859","46","14","1","16","15","1050","113","148","4891","5353","870","11114","1"
"MONTGOMERY","4440","6681","74","6","0","0","0","0","5928","11897","2733","46","1","183","42","1486","741","876","7425","8340","1364","17129","1"
"MOORE","14609","33294","607","24","0","0","0","0","31135","63607","7259","394","8","740","246","4854","2561","2248","34852","40660","4157","79669","1"
"NASH","26356","19975","272","22","0","0","0","0","23028","34236","26263","364","5","372","257","5909","2247","2208","28656","34957","6040","69653","1"
"NEW HANOVER","48731","54871","1343","136","0","0","0","0","79244","139531","17757","401","15","1618","753","19111","5139","4789","74790","89036","20499","184325","1"
"NORTHAMPTON","7070","1637","33","2","0","0","0","0","3822","4985","6549","30","0","11","14","878","97","82","5387","6266","911","12564","1"
"ONSLOW","21449","50462","1648","62","0","0","0","0","55795","86852","18470","483","69","1889","743","12702","8208","8683","55224","62229","11963","129416","1"
"ORANGE","49254","13288","477","78","0","0","0","0","47808","75264","11402","232","9","5650","1033","12405","4910","4871","45012","53857","12036","110905","1"
"PAMLICO","2512","4293","50","5","0","0","0","0","3386","8000","1349","24","1","46","16","663","147","146","4580","5021","645","10246","1"
"PASQUOTANK","9763","7963","189","16","0","0","0","0","11781","16664","9118","36","4","162","143","2833","752","509","12395","14509","2808","29712","1"
"PENDER","10278","21897","403","17","0","0","0","0","20118","40713","5619","140","5","252","142","4195","1647","1693","22920","25261","4532","52713","1"
"PERQUIMANS","2554","3830","56","3","0","0","0","0","3830","7486","1741","17","2","25","19","861","122","81","4365","5015","893","10273","1"
"PERSON","8809","8764","124","9","0","0","0","0","10408","18228","6784","111","3","58","92","2157","681","681","12081","13986","2047","28114","1"
