"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36453","38253","617","46","0","0","0","0","44924","76132","24664","264","20","1337","635","10439","6802","7902","49745","59998","10550","120293","1","0"
"ALEXANDER","3594","12729","112","5","0","0","0","0","9304","22335","938","32","1","168","37","1717","516","613","11561","12343","1840","25744","1","0"
"ALLEGHANY","1485","3629","34","2","0","0","0","0","3062","7185","79","12","0","8","12","716","200","273","3675","3877","660","8212","1","0"
"ANSON","7644","3418","58","6","0","0","0","0","4853","6754","6116","31","2","95","25","2674","282","222","5955","7262","2762","15979","1","0"
"ASHE","3319","9608","99","5","0","0","0","0","7674","18826","119","27","2","58","17","1369","287","368","9271","10119","1315","20705","1","0"
"AVERY","1120","7119","65","5","0","0","0","0","4175","11234","56","17","0","31","14","959","173","149","5576","6029","879","12484","1","0"
"BEAUFORT","8825","13314","122","13","0","0","0","0","11577","23758","6474","38","3","61","53","2596","868","811","14304","16767","2780","33851","1","0"
"BERTIE","6982","1809","41","2","0","0","0","0","3791","4609","6682","17","0","29","16","1190","82","58","5090","6334","1201","12625","1","0"
"BLADEN","7999","6017","70","10","0","0","0","0","8778","12513","7058","397","7","28","87","2155","629","692","9585","11389","1900","22874","1","0"
"BRUNSWICK","27579","60198","730","51","0","0","0","0","58525","122458","9511","433","10","679","237","10554","3201","2868","62531","72356","12196","147083","1","0"
"BUNCOMBE","71296","44874","1543","257","0","0","0","0","98484","177499","10421","368","42","1708","1002","18565","6849","6454","91998","107023","17433","216454","1","0"
"BURKE","11216","25194","359","29","0","0","0","0","23730","50280","3080","99","2","996","127","4170","1774","1771","26456","29465","4607","60528","1","0"
"CABARRUS","43549","52098","1067","130","0","0","0","0","65325","98088","33670","433","21","4441","695","15632","9189","9151","67692","79119","15358","162169","1","0"
"CALDWELL","8568","27905","342","18","0","0","0","0","19142","46111","2552","77","0","223","142","5623","1247","1431","24582","27275","4118","55975","1","0"
"CAMDEN","1193","3460","65","8","0","0","0","0","3876","6846","868","9","2","44","15","636","182","92","3834","4067","701","8602","1","0"
"CARTERET","8270","26812","334","24","0","0","0","0","22148","49728","2102","107","8","330","122","4221","970","885","25054","28070","4464","57588","1","0"
"CASWELL","5407","4820","58","3","0","0","0","0","5337","9766","4353","24","1","36","50","1101","294","309","6776","7704","1145","15625","1","0"
"CATAWBA","19600","51387","670","56","0","0","0","0","46658","90803","9022","154","9","2800","317","9432","5834","5981","51230","57046","10095","118371","1","0"
"CHATHAM","20945","14979","302","30","0","0","0","0","27918","46672","5821","134","9","1377","240","7145","2776","2881","26335","30578","7261","64174","1","0"
"CHEROKEE","2962","13244","152","9","0","0","0","0","8432","23008","255","117","2","108","29","961","319","289","11729","12517","553","24799","1","0"
"CHOWAN","3133","3272","47","2","0","0","0","0","3741","6650","2529","16","6","19","23","804","148","108","4427","5234","534","10195","1","0"
"CLAY","1259","5138","54","2","0","0","0","0","3747","9528","43","16","0","19","9","494","91","109","4650","5084","466","10200","1","0"
"CLEVELAND","18010","27779","395","20","0","0","0","0","23289","47917","13142","96","8","391","211","6194","1534","1357","29292","34087","6114","69493","1","0"
"COLUMBUS","11615","11921","125","10","0","0","0","0","13559","22483","9934","975","4","61","80","2948","745","717","15779","18526","2925","37230","1","0"
"CRAVEN","18530","29037","547","50","0","0","0","0","28905","53638","13607","179","8","1323","262","5170","2882","2526","33019","38808","5242","77069","1","0"
"CUMBERLAND","82955","50930","1767","177","0","0","0","0","87700","86039","86365","2432","124","3766","1947","26813","16043","15528","88306","109156","26067","223529","1","0"
"CURRITUCK","3024","10690","204","6","0","0","0","0","10765","21109","1207","41","3","139","63","1578","549","327","11215","11882","1592","24689","1","0"
"DARE","6115","11470","216","18","0","0","0","0","14892","29511","537","35","1","127","61","1712","727","455","14856","16103","1752","32711","1","0"
"DAVIDSON","20698","59242","670","39","0","0","0","0","42003","95208","11445","257","7","1021","262","10196","4256","4346","52786","59407","10459","122652","1","0"
"DAVIE","4445","17146","157","15","0","0","0","0","11948","28097","1962","41","0","165","82","2381","983","1142","14929","16534","2248","33711","1","0"
"DUPLIN","9611","10699","126","11","0","0","0","0","11859","18659","7809","62","3","65","119","3483","2106","2720","13547","15752","3007","32306","1","0"
"DURHAM","122422","22537","1021","214","0","0","0","0","100442","115924","72313","565","45","9562","2525","32781","12921","14205","95304","120936","30396","246636","1","0"
"EDGECOMBE","18777","6911","116","17","0","0","0","0","10010","12080","18287","58","2","58","87","4494","765","799","13627","17718","4486","35831","1","0"
"FORSYTH","94643","71238","1599","198","0","0","0","0","105755","161020","65006","507","37","3850","1421","27514","14078","16226","110501","136545","26387","273433","1","0"
"FRANKLIN","16521","17835","375","20","0","0","0","0","21901","35595","12534","137","5","422","183","5161","2615","2657","23634","26958","6060","56652","1","0"
"GASTON","40212","62739","1159","77","0","0","0","0","59508","110805","29849","330","19","1607","632","13289","7164","7844","69568","81968","12159","163695","1","0"
"GATES","2939","2362","33","3","0","0","0","0","2926","5250","2324","17","0","10","38","535","89","61","3623","4049","591","8263","1","0"
"GRAHAM","905","3270","27","0","0","0","0","0","2047","5665","11","272","1","14","5","229","52","46","2958","3087","204","6249","1","0"
"GRANVILLE","14717","11707","224","10","0","0","0","0","15142","22467","10836","74","2","187","180","6656","1398","1394","16213","18574","7013","41800","1","0"
"GREENE","4261","2744","29","6","0","0","0","0","3957","5956","3539","9","1","15","14","883","580","614","4649","5560","788","10997","1","0"
"GUILFORD","152291","88636","1978","245","0","0","0","0","149093","193432","129293","998","57","11062","2531","36439","18431","17298","162590","202083","27570","392243","1","0"
"HALIFAX","18299","4852","95","8","0","0","0","0","11337","13288","17156","952","4","188","120","2422","461","366","14444","17757","2390","34591","1","0"
"HARNETT","24172","34611","793","77","0","0","0","0","35833","58233","18747","485","34","892","500","10218","6377","6958","39674","46087","9725","95486","1","0"
"HAYWOOD","10827","17331","311","31","0","0","0","0","19696","44186","497","142","0","179","98","2343","751","820","21810","24687","1699","48196","1","0"
"HENDERSON","16918","32535","621","64","0","0","0","0","41815","79231","2422","153","17","599","372","5925","3234","3632","39497","46677","5779","91953","1","0"
"HERTFORD","7952","1719","41","5","0","0","0","0","3856","4499","7780","89","3","41","48","957","156","114","5572","7111","890","13573","1","0"
"HOKE","12943","8108","306","26","0","0","0","0","15450","13775","12861","1952","21","392","222","4687","2923","2896","15116","17867","3850","36833","1","0"
"HYDE","1145","739","13","0","0","0","0","0","1140","2278","511","2","0","2","6","166","72","75","1354","1526","157","3037","1","0"
"IREDELL","27506","61551","905","51","0","0","0","0","59249","113660","16488","219","14","1844","401","10596","6040","6309","65621","72371","11270","149262","1","0"
"JACKSON","7621","8851","224","27","0","0","0","0","14015","24405","569","1553","9","236","177","3003","786","907","13085","14674","2979","30738","1","0"
"JOHNSTON","40987","61598","1190","90","0","0","0","0","66117","111085","28765","457","30","1335","577","17450","10283","11910","72717","83543","13722","169982","1","0"
"JONES","2113","2417","30","0","0","0","0","0","2460","4303","1799","13","2","20","22","736","125","137","2958","3340","722","7020","1","0"
"LEE","11929","12975","314","23","0","0","0","0","16252","26196","7364","138","8","340","244","3872","3331","4207","17374","20562","3557","41493","1","0"
"LENOIR","14635","10715","132","19","0","0","0","0","12449","18397","13948","52","5","108","113","4268","1059","1084","14832","18887","4231","37950","1","0"
"LINCOLN","11060","33987","413","21","0","0","0","0","24931","58603","3839","87","3","374","150","5180","2176","2526","31086","33891","5435","70412","1","0"
"MACON","4478","12731","183","12","0","0","0","0","12115","26806","210","68","1","123","56","1503","752","785","13745","15270","504","29519","1","0"
"MADISON","4515","5134","120","15","0","0","0","0","7912","15607","112","30","4","67","40","1594","242","209","7622","8213","1861","17696","1","0"
"MARTIN","6848","3689","62","7","0","0","0","0","5770","8565","5837","25","1","25","48","1606","269","249","6553","8228","1595","16376","1","0"
"MCDOWELL","4845","13966","183","12","0","0","0","0","12103","27923","841","42","0","161","114","1301","727","748","14190","15367","1552","31109","1","0"
"MECKLENBURG","321617","157293","5397","590","0","0","0","0","348477","415750","248510","2114","95","26450","4705","82979","52771","54526","345951","414464","72959","833374","1","0"
"MITCHELL","922","6394","53","4","0","0","0","0","3841","9949","49","12","1","19","14","1044","126","158","4952","5398","864","11214","1","0"
"MONTGOMERY","4359","6743","74","7","0","0","0","0","6077","12004","2709","46","1","185","42","1456","817","943","7506","8403","1351","17260","1","0"
"MOORE","14695","33684","604","25","0","0","0","0","32078","64742","7312","401","8","786","243","4881","2713","2384","35544","41320","4222","81086","1","0"
"NASH","25240","19959","266","23","0","0","0","0","25661","34438","26289","366","6","385","257","6992","2416","2354","28889","35177","7083","71149","1","0"
"NEW HANOVER","49118","54875","1345","134","0","0","0","0","82059","141710","18095","424","16","1671","737","19431","5447","5039","76179","90637","20715","187531","1","0"
"NORTHAMPTON","6994","1651","32","2","0","0","0","0","4049","5017","6575","29","0","11","15","978","103","91","5419","6307","1002","12728","1","0"
"ONSLOW","21672","51212","1666","77","0","0","0","0","59094","89112","18976","498","73","1957","752","13562","8791","9209","56927","63973","12821","133721","1","0"
"ORANGE","49275","13123","463","84","0","0","0","0","48812","75545","11419","231","9","5729","1012","12693","5119","4962","45343","54095","12319","111757","1","0"
"PAMLICO","2440","4320","51","5","0","0","0","0","3451","8033","1323","25","1","46","16","670","153","145","4594","5014","659","10267","1","0"
"PASQUOTANK","9551","8104","196","18","0","0","0","0","13075","16925","9272","34","3","167","148","3612","783","526","12645","14763","3536","30944","1","0"
"PENDER","10064","22300","403","16","0","0","0","0","21321","41456","5552","142","4","271","144","4788","1747","1774","23332","25627","5145","54104","1","0"
"PERQUIMANS","2453","3904","52","3","0","0","0","0","4222","7655","1745","19","2","25","20","1043","125","85","4454","5105","1075","10634","1","0"
"PERSON","8712","8810","129","9","0","0","0","0","10618","18338","6802","110","3","58","89","2151","727","728","12159","14070","2049","28278","1","0"
"PITT","45242","31175","676","79","0","0","0","0","48825","64808","39643","243","15","1176","626","14380","5106","4362","49233","61991","14773","125997","1","0"
"POLK","3396","6661","104","3","0","0","0","0","7109","15248","582","15","2","56","36","1022","312","341","7688","8972","613","17273","1","0"
"RANDOLPH","13824","51800","528","27","0","0","0","0","32965","79093","6222","301","9","836","211","7681","4791","5368","43457","48534","7153","99144","1","0"
"RICHMOND","10389","8204","107","15","0","0","0","0","9734","16398","8337","400","4","155","48","2125","982","789","12108","14381","1960","28449","1","0"
"ROBESON","29644","16258","226","30","0","0","0","0","30902","19833","18224","25415","46","300","432","9249","3561","2859","31216","38723","7121","77060","1","0"
"ROCKINGHAM","15822","26332","323","28","0","0","0","0","21467","44835","11164","108","1","233","166","5791","1674","1714","28171","32742","3059","63972","1","0"
"ROWAN","21460","43754","621","47","0","0","0","0","35487","72545","15695","167","8","608","315","7898","4133","4425","43529","49506","8334","101369","1","0"
"RUTHERFORD","8471","21233","237","22","0","0","0","0","17256","38226","3763","44","1","158","88","3800","1139","1092","20293","23226","3700","47219","1","0"
"SAMPSON","11508","16021","178","19","0","0","0","0","10935","22247","9632","522","2","100","107","3106","2945","3460","16745","19597","2319","38661","1","0"
"SCOTLAND","8355","5086","78","12","0","0","0","0","8310","9362","7435","1781","18","172","117","2633","323","297","8571","10784","2486","21841","1","0"
"STANLY","7899","22841","236","35","0","0","0","0","16129","36045","4969","84","7","470","69","4371","1125","1094","19914","22471","4755","47140","1","0"
"STOKES","4627","18151","200","18","0","0","0","0","10767","29068","1238","55","2","79","84","2702","535","595","16112","17535","116","33763","1","0"
"SURRY","7914","23636","216","18","0","0","0","0","16975","40887","1616","48","3","136","96","4016","1957","2498","21502","24006","3251","48759","1","0"
"SWAIN","2440","3361","76","11","0","0","0","0","4139","7446","100","1627","1","40","36","598","179","122","4510","4990","527","10027","1","0"
"TRANSYLVANIA","5387","8635","153","9","0","0","0","0","12536","23713","709","44","2","104","70","1671","407","320","11720","13300","1700","26720","1","0"
"TYRRELL","925","506","12","1","0","0","0","0","920","1439","621","3","0","21","4","223","53","49","1017","1120","227","2364","1","0"
"UNION","38358","72246","1126","87","0","0","0","0","72189","120515","19352","542","15","4980","724","28626","9252","10025","75360","83681","24965","184006","1","0"
"VANCE","14505","5343","109","11","0","0","0","0","8106","11210","13365","56","5","106","94","2273","965","981","11221","14601","2252","28074","1","0"
"WAKE","281558","173084","5347","650","0","0","0","0","393423","511674","149090","2245","96","39321","4772","95463","51401","42817","356609","411355","86098","854062","1","0"
"WARREN","7301","2554","43","3","0","0","0","0","3563","5692","6075","537","2","37","43","853","225","179","5731","6831","902","13464","1","0"
"WASHINGTON","4155","1550","23","2","0","0","0","0","2478","3607","3609","8","2","16","13","839","114","84","3324","4066","818","8208","1","0"
"WATAUGA","10483","12296","305","61","0","0","0","0","21173","38330","825","50","12","375","418","3447","861","1397","19220","21887","3211","44318","1","0"
"WAYNE","25241","26775","431","34","0","0","0","0","24329","41954","23270","148","7","571","364","5986","4510","4167","32086","38421","6303","76810","1","0"
"WILKES","5872","25208","187","10","0","0","0","0","14009","39267","1560","48","0","157","93","3090","1071","1201","20032","22045","3209","45286","1","0"
"WILSON","22468","14123","232","26","0","0","0","0","17956","26645","20773","121","2","302","136","4319","2507","2361","22440","28286","4079","54805","1","0"
"YADKIN","2670","14716","121","5","0","0","0","0","8137","22017","729","24","2","67","34","1762","1014","1221","11454","12392","1803","25649","1","0"
"YANCEY","3315","5525","84","9","0","0","0","0","5523","12993","72","28","1","30","23","1112","197","207","6485","7035","936","14456","1","0"
