"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","37133","36205","693","17","0","0","37926","73055","23103","256","9","15551","5713","46725","56707","8542","111974"
"ALEXANDER","4230","12022","118","3","0","0","8422","21782","940","34","1","2038","474","11248","12007","1540","24795"
"ALLEGHANY","1807","3262","40","0","0","0","2726","6966","73","7","0","789","223","3492","3755","588","7835"
"ANSON","8918","3040","51","1","0","0","4006","6742","6447","30","1","2796","122","6080","7364","2572","16016"
"ASHE","3800","9086","106","1","0","0","6902","18325","110","25","2","1433","302","8982","9861","1052","19895"
"AVERY","1281","7239","59","1","0","0","4009","11418","58","20","0","1093","104","5627","6154","808","12589"
"BEAUFORT","10392","12563","138","2","0","0","10652","23632","7104","41","2","2968","614","14440","17015","2292","33747"
"BERTIE","7731","1653","38","0","0","0","3152","4560","7124","19","1","870","54","5272","6559","743","12574"
"BLADEN","9322","5386","88","1","0","0","7469","12565","7475","403","3","1820","564","9748","11500","1018","22266"
"BRUNSWICK","27144","51530","686","18","0","0","48312","106137","8783","369","9","12392","1915","54277","62823","10590","127690"
"BUNCOMBE","72782","44528","1627","61","0","0","85921","170397","10016","340","45","24121","5063","87265","102467","15187","204919"
"BURKE","12664","23198","348","7","0","0","21780","48613","3046","91","1","6246","1313","25439","28444","4114","57997"
"CABARRUS","43315","50757","1208","39","0","0","56601","96133","30485","386","11","24905","6894","63647","74883","13390","151920"
"CALDWELL","9448","26288","362","3","0","0","17189","45832","2533","70","0","4855","1088","23663","26144","3483","53290"
"CAMDEN","1422","3111","74","0","0","0","3716","6835","921","10","1","556","55","3797","4105","421","8323"
"CARTERET","9433","25563","349","6","0","0","20175","47990","2202","99","9","5226","668","24045","27235","4246","55526"
"CASWELL","6017","4168","56","1","0","0","4791","9298","4519","21","1","1194","219","6588","7513","932","15033"
"CATAWBA","20271","47571","656","12","0","0","41005","85516","8584","145","4","15266","4606","47837","53460","8218","109515"
"CHATHAM","21016","14143","326","9","0","0","24393","44119","5848","121","3","9796","2193","24715","28788","6384","59887"
"CHEROKEE","3367","11552","144","2","0","0","7670","21159","239","120","1","1216","225","10710","11555","470","22735"
"CHOWAN","3635","3124","43","0","0","0","3472","6692","2827","12","4","739","84","4444","5452","378","10274"
"CLAY","1382","4656","58","0","0","0","3498","9000","42","16","0","536","86","4397","4790","407","9594"
"CLEVELAND","19956","25601","399","8","0","0","20700","46553","13116","85","4","6906","991","28387","33060","5217","66664"
"COLUMBUS","14309","10610","109","4","0","0","11087","21879","10246","943","4","3047","509","15528","18361","2230","36119"
"CRAVEN","20067","27747","577","13","0","0","26204","52127","14106","172","8","8195","2053","32030","38033","4545","74608"
"CUMBERLAND","86963","48264","1801","50","0","0","73030","85164","83737","2323","67","38817","13221","84309","105229","20570","210108"
"CURRITUCK","3414","9950","216","4","0","0","10040","20540","1177","44","3","1860","223","10876","11489","1259","23624"
"DARE","7545","11228","254","10","0","0","13606","29507","539","36","1","2560","331","14676","16173","1794","32643"
"DAVIDSON","21336","55256","666","8","0","0","37013","91015","10460","242","7","12555","3053","49587","56261","8431","114279"
"DAVIE","4686","16331","162","9","0","0","10845","26989","1907","44","1","3092","819","14222","15856","1955","32033"
"DUPLIN","10756","9649","135","5","0","0","10275","18117","7991","64","1","4647","2147","13005","15352","2463","30820"
"DURHAM","123949","23233","1194","56","0","0","83003","112032","72595","565","33","46210","11080","91567","116292","23576","231435"
"EDGECOMBE","20570","6570","103","2","0","0","6756","11980","19152","60","2","2807","576","13808","18136","2057","34001"
"FORSYTH","97099","70548","1689","56","0","0","90131","157163","64434","501","29","37396","12779","106632","131340","21551","259523"
"FRANKLIN","16762","15909","378","5","0","0","17689","32201","11801","138","3","6600","1737","21233","24421","5089","50743"
"GASTON","40293","59593","1157","20","0","0","52319","106834","26752","330","5","19461","5576","65150","76906","11326","153382"
"GATES","3472","2044","37","1","0","0","2561","5008","2447","16","0","644","53","3542","4028","545","8115"
"GRAHAM","1119","3018","31","0","0","0","1858","5477","9","259","1","280","34","2813","3012","201","6026"
"GRANVILLE","16007","10857","225","5","0","0","12936","22927","11402","78","4","5619","1141","16295","18923","4812","40030"
"GREENE","4894","2502","30","1","0","0","3426","5923","3757","12","0","1161","483","4670","5611","572","10853"
"GUILFORD","154840","88106","2202","65","0","0","125909","191838","123378","946","24","54936","13402","155762","194301","21059","371122"
"HALIFAX","20364","4784","100","2","0","0","10091","13496","18208","1027","4","2606","289","15061","18416","1864","35341"
"HARNETT","23908","30298","777","23","0","0","29067","52044","17173","472","17","14367","5104","34968","41094","8011","84073"
"HAYWOOD","12160","15921","308","8","0","0","16896","41803","465","115","1","2909","575","20377","23247","1669","45293"
"HENDERSON","17056","31744","616","11","0","0","38281","76242","2333","146","11","8976","2737","37595","44761","5352","87708"
"HERTFORD","8926","1541","36","0","0","0","3298","4456","8349","93","2","901","95","5725","7463","613","13801"
"HOKE","13679","7243","300","11","0","0","11567","12912","12425","1938","15","5510","2347","14221","17091","1488","32800"
"HYDE","1367","671","15","0","0","0","1095","2354","570","0","0","224","57","1400","1581","167","3148"
"IREDELL","27296","56107","876","23","0","0","51480","105774","14558","222","4","15224","4595","59884","66476","9422","135782"
"JACKSON","8451","8292","250","12","0","0","12267","24020","604","1516","4","3128","703","12752","14328","2192","29272"
"JOHNSTON","39683","56510","1205","41","0","0","54254","102302","25176","422","17","23776","8222","65714","75756","10223","151693"
"JONES","2535","2298","38","0","0","0","2230","4405","2057","11","1","627","99","3062","3532","507","7101"
"LEE","12533","11874","273","4","0","0","14338","25118","7279","144","6","6475","3287","16393","19575","3054","39022"
"LENOIR","16499","10343","147","10","0","0","10365","18664","14522","63","5","4110","789","15156","19024","3184","37364"
"LINCOLN","11749","31445","422","12","0","0","22759","56056","3553","86","2","6690","2017","29530","32102","4755","66387"
"MACON","4964","12254","186","2","0","0","10232","25336","193","61","1","2047","522","12783","14393","462","27638"
"MADISON","4974","4740","114","5","0","0","6937","15091","121","26","0","1532","183","7358","7970","1442","16770"
"MARTIN","7704","3448","51","1","0","0","4669","8505","6267","27","0","1074","178","6653","8426","794","15873"
"MCDOWELL","5664","12937","182","5","0","0","10745","26797","806","34","1","1895","575","13410","14856","1267","29533"
"MECKLENBURG","320887","153784","5896","179","0","0","290666","397451","236028","2025","59","135849","43329","324160","390125","57127","771412"
