"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36527","38204","621","48","0","0","0","0","45203","76264","24766","268","20","1346","632","10408","6899","7964","49898","60197","10508","120603","1","0"
"ALEXANDER","3576","12721","113","5","0","0","0","0","9360","22352","941","32","1","171","38","1717","523","615","11576","12360","1839","25775","1","0"
"ALLEGHANY","1486","3610","32","2","0","0","0","0","3069","7179","80","12","0","8","12","703","205","278","3673","3879","647","8199","1","0"
"ANSON","7611","3418","56","6","0","0","0","0","4873","6761","6120","32","1","94","25","2646","285","226","5963","7270","2731","15964","1","0"
"ASHE","3308","9639","101","5","0","0","0","0","7736","18919","120","28","2","58","17","1355","290","368","9325","10166","1298","20789","1","0"
"AVERY","1120","7094","66","5","0","0","0","0","4178","11215","57","17","0","31","14","956","173","150","5559","6029","875","12463","1","0"
"BEAUFORT","8751","13317","121","14","0","0","0","0","11775","23783","6467","38","3","61","52","2693","881","819","14303","16797","2878","33978","1","0"
"BERTIE","6928","1798","41","2","0","0","0","0","4006","4594","6655","17","0","29","16","1380","84","61","5076","6309","1390","12775","1","0"
"BLADEN","7930","6027","72","11","0","0","0","0","8935","12538","7029","386","7","28","86","2265","636","695","9573","11390","2012","22975","1","0"
"BRUNSWICK","27788","60778","739","55","0","0","0","0","59238","123887","9565","432","10","694","236","10506","3268","2923","63214","73219","12165","148598","1","0"
"BUNCOMBE","71472","44845","1536","279","0","0","0","0","99805","178159","10493","369","42","1719","1008","19191","6956","6538","92448","107488","18001","217937","1","0"
"BURKE","11156","25195","365","30","0","0","0","0","23833","50329","3078","99","2","1009","127","4143","1792","1788","26515","29511","4553","60579","1","0"
"CABARRUS","43662","52045","1067","130","0","0","0","0","65885","98288","33894","439","20","4493","689","15607","9359","9273","68014","79462","15313","162789","1","0"
"CALDWELL","8540","27889","343","18","0","0","0","0","19242","46114","2558","75","0","225","143","5661","1256","1439","24606","27304","4122","56032","1","0"
"CAMDEN","1185","3471","66","6","0","0","0","0","3944","6857","869","10","2","46","15","687","186","98","3839","4084","749","8672","1","0"
"CARTERET","8269","26861","334","22","0","0","0","0","22279","49897","2101","107","8","335","121","4210","986","893","25144","28178","4443","57765","1","0"
"CASWELL","5384","4842","58","3","0","0","0","0","5364","9786","4357","24","1","37","51","1096","299","314","6788","7725","1138","15651","1","0"
"CATAWBA","19631","51399","676","54","0","0","0","0","47130","91100","9060","154","9","2820","312","9507","5928","6035","51436","57299","10155","118890","1","0"
"CHATHAM","20951","14997","299","31","0","0","0","0","28073","46800","5834","134","9","1400","239","7114","2821","2911","26437","30686","7228","64351","1","0"
"CHEROKEE","2952","13331","151","9","0","0","0","0","8511","23149","259","118","2","111","29","959","327","293","11812","12590","552","24954","1","0"
"CHOWAN","3091","3286","48","2","0","0","0","0","3774","6649","2499","16","6","20","25","839","147","109","4439","5230","532","10201","1","0"
"CLAY","1267","5163","55","2","0","0","0","0","3760","9562","43","16","0","19","9","500","98","112","4660","5115","472","10247","1","0"
"CLEVELAND","17958","27765","400","20","0","0","0","0","23523","48017","13160","96","8","393","211","6226","1555","1369","29369","34155","6142","69666","1","0"
"COLUMBUS","11586","11926","125","10","0","0","0","0","13706","22516","9951","970","4","61","81","3010","760","733","15821","18545","2987","37353","1","0"
"CRAVEN","18534","29056","554","50","0","0","0","0","29229","53882","13614","179","9","1326","262","5224","2927","2559","33171","38966","5286","77423","1","0"
"CUMBERLAND","82969","50962","1772","177","0","0","0","0","88248","86274","86611","2441","123","3783","1929","26743","16224","15640","88598","109578","25952","224128","1","0"
"CURRITUCK","3026","10788","204","7","0","0","0","0","10859","21280","1217","41","3","142","63","1579","559","335","11324","11970","1590","24884","1","0"
"DARE","6111","11515","217","19","0","0","0","0","14990","29649","546","35","1","128","60","1695","738","464","14923","16198","1731","32852","1","0"
"DAVIDSON","20743","59232","673","44","0","0","0","0","42231","95340","11495","257","7","1030","263","10198","4333","4407","52940","59547","10436","122923","1","0"
"DAVIE","4441","17162","160","15","0","0","0","0","12031","28186","1965","41","0","168","83","2373","993","1150","14967","16600","2242","33809","1","0"
"DUPLIN","9596","10703","123","11","0","0","0","0","12042","18695","7806","61","3","65","119","3592","2134","2750","13585","15786","3104","32475","1","0"
"DURHAM","122733","22526","1011","225","0","0","0","0","101338","116516","72544","571","45","9677","2518","32801","13161","14366","95905","121542","30386","247833","1","0"
"EDGECOMBE","18696","6894","117","18","0","0","0","0","10319","12082","18235","60","2","58","86","4745","776","805","13611","17707","4726","36044","1","0"
"FORSYTH","94758","71162","1612","202","0","0","0","0","107022","161562","65137","504","37","3872","1427","27922","14295","16402","110884","137112","26760","274756","1","0"
"FRANKLIN","16530","17878","368","20","0","0","0","0","22149","35770","12606","134","5","429","183","5158","2660","2683","23808","27088","6049","56945","1","0"
"GASTON","40337","62771","1172","80","0","0","0","0","60270","111152","30133","333","20","1620","630","13426","7316","7989","69967","82377","12286","164630","1","0"
"GATES","2939","2378","32","4","0","0","0","0","2930","5257","2327","17","0","9","39","543","91","62","3631","4053","599","8283","1","0"
"GRAHAM","894","3284","27","0","0","0","0","0","2062","5678","11","271","1","16","5","230","55","49","2973","3087","207","6267","1","0"
"GRANVILLE","14675","11724","227","10","0","0","0","0","15268","22481","10829","73","2","187","181","6721","1430","1421","16234","18585","7085","41904","1","0"
"GREENE","4247","2741","29","6","0","0","0","0","4005","5947","3539","8","1","15","14","913","591","623","4664","5546","818","11028","1","0"
"GUILFORD","152143","88559","1983","253","0","0","0","0","150022","193573","129467","999","56","11106","2523","36575","18661","17444","162997","202390","27573","392960","1","0"
"HALIFAX","18231","4846","95","8","0","0","0","0","11641","13300","17148","955","4","189","120","2647","458","378","14439","17793","2589","34821","1","0"
"HARNETT","24233","34741","807","81","0","0","0","0","36350","58662","18847","495","35","920","500","10249","6504","7080","39959","46493","9760","96212","1","0"
"HAYWOOD","10794","17361","309","33","0","0","0","0","19833","44316","504","141","0","180","95","2334","760","830","21880","24764","1686","48330","1","0"
"HENDERSON","16986","32606","625","64","0","0","0","0","42107","79625","2431","154","17","605","366","5917","3273","3659","39701","46904","5783","92388","1","0"
"HERTFORD","7877","1716","40","5","0","0","0","0","4054","4496","7769","89","3","41","48","1087","159","116","5573","7100","1019","13692","1","0"
"HOKE","12967","8139","309","27","0","0","0","0","15719","13870","12953","1958","21","397","223","4778","2961","2932","15220","18000","3941","37161","1","0"
"HYDE","1138","740","13","0","0","0","0","0","1153","2282","504","2","0","2","5","175","74","77","1355","1523","166","3044","1","0"
"IREDELL","27617","61722","913","53","0","0","0","0","59725","114184","16620","220","14","1868","400","10575","6149","6397","66001","72793","11236","150030","1","0"
"JACKSON","7584","8877","227","27","0","0","0","0","14037","24433","564","1567","9","231","175","2975","798","907","13098","14705","2949","30752","1","0"
"JOHNSTON","41092","61693","1188","94","0","0","0","0","66801","111591","28913","455","29","1355","573","17472","10480","12083","73099","83987","13782","170868","1","0"
"JONES","2100","2424","33","0","0","0","0","0","2502","4329","1797","13","3","19","22","750","126","139","2967","3354","738","7059","1","0"
"LEE","11935","12966","319","24","0","0","0","0","16444","26316","7395","138","8","344","239","3865","3383","4252","17485","20659","3544","41688","1","0"
"LENOIR","14554","10698","134","20","0","0","0","0","12786","18410","13987","54","5","109","114","4434","1079","1099","14886","18939","4367","38192","1","0"
"LINCOLN","11081","34035","413","23","0","0","0","0","25112","58800","3843","90","3","378","150","5194","2206","2550","31187","34053","5424","70664","1","0"
"MACON","4473","12780","185","11","0","0","0","0","12203","26943","212","69","1","123","55","1488","761","795","13804","15356","492","29652","1","0"
"MADISON","4474","5127","118","15","0","0","0","0","7962","15630","113","30","4","68","38","1567","246","212","7632","8231","1833","17696","1","0"
"MARTIN","6800","3674","62","8","0","0","0","0","6031","8553","5837","26","1","25","48","1813","272","253","6561","8239","1775","16575","1","0"
