"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38227","33269","512","9","0","3","30089","72346","21147","268","0","0","0","0","8348","3267","44703","54705","2701","102109","0"
"ALEXANDER","6127","10808","87","0","0","3","7381","22491","1004","36","0","0","0","0","875","266","11604","12455","347","24406","0"
"ALLEGHANY","2607","2620","34","1","0","0","2175","7043","79","11","0","0","0","0","304","177","3499","3822","116","7437","0"
"ANSON","11583","2482","21","3","0","25","3273","7398","7617","36","0","0","0","0","2336","66","6977","8290","2120","17387","0"
"ASHE","5274","8155","69","1","0","0","5613","18501","112","18","0","0","0","0","481","194","8970","9961","181","19112","0"
"AVERY","1407","6982","50","0","0","0","3442","11416","75","22","0","0","0","0","368","86","5493","6245","143","11881","0"
"BEAUFORT","13192","10852","90","1","0","5","9210","23450","8233","45","0","0","0","0","1622","384","14856","17522","972","33350","0"
"BERTIE","10046","1550","27","1","0","0","2568","4996","8621","18","0","0","0","0","557","27","6161","7654","377","14192","0"
"BLADEN","12478","4031","40","1","0","1","6507","13396","8441","434","0","0","0","0","787","363","10549","12338","171","23058","0"
"BRUNSWICK","27341","38062","376","6","0","4","35857","87269","9042","305","0","0","0","0","5030","1110","45979","53177","2490","101646","0"
"BUNCOMBE","75357","46142","1445","42","0","7","73446","170539","11023","405","0","0","0","0","14472","3338","87774","102978","5687","196439","0"
"BURKE","18096","20840","265","6","0","2","19178","51805","3482","92","0","0","0","0","3008","794","27327","30615","445","58387","0"
"CABARRUS","41690","49511","811","15","0","10","45161","99326","24972","359","0","0","0","0","12541","4669","61240","72247","3711","137198","0"
"CALDWELL","13883","24599","364","4","0","6","15799","49931","2853","73","0","0","0","0","1798","767","25902","28330","423","54655","0"
"CAMDEN","2210","2499","46","0","0","1","3137","6480","1099","12","0","0","0","0","302","33","3814","3990","89","7893","0"
"CARTERET","11935","22350","242","1","0","0","17980","47488","2691","100","0","0","0","0","2229","480","24036","27129","1343","52508","0"
"CASWELL","7866","3314","37","0","0","1","4488","9758","5320","22","0","0","0","0","606","136","7113","8315","278","15706","0"
"CATAWBA","25271","44801","416","3","0","6","34538","87799","9391","138","0","0","0","0","7707","2782","48309","55196","1530","105035","0"
"CHATHAM","20899","13030","238","6","0","5","19343","41929","6457","110","0","0","0","0","5025","1533","23357","27491","2673","53521","0"
"CHEROKEE","5559","10075","128","1","0","1","7592","22477","257","142","0","0","0","0","480","176","10993","12293","70","23356","0"
"CHOWAN","4830","2653","23","0","0","0","2783","6726","3199","12","0","0","0","0","352","45","4562","5614","113","10289","0"
"CLAY","1851","3626","48","2","0","1","3122","8334","45","18","0","0","0","0","253","56","4066","4466","118","8650","0"
"CLEVELAND","25604","21082","250","3","0","2","17571","47826","13906","92","0","0","0","0","2688","601","29018","34347","1147","64512","0"
"COLUMBUS","20483","7278","60","2","0","0","9615","23483","11764","1046","0","0","0","0","1145","287","16911","20204","323","37438","0"
"CRAVEN","23116","24306","371","3","0","5","21813","49754","15376","162","0","0","0","0","4322","1500","31208","37202","1204","69614","0"
"CUMBERLAND","98689","49667","1215","8","0","11","68642","96565","89479","2396","0","0","0","0","29792","11960","92653","113769","11810","218232","0"
