"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","40005","30142","115","0","0","0","19128","67919","17786","182","0","0","0","0","1240","1064","39587","49251","0","89390","0"
"ALEXANDER","8083","10535","30","0","0","0","5292","22468","1086","26","0","0","0","0","158","125","11419","12401","0","23940","0"
"ALLEGHANY","3475","2277","12","0","0","0","1497","7041","80","7","0","0","0","0","44","84","3395","3833","0","7261","0"
"ANSON","12256","2287","7","0","0","0","1936","8282","7860","39","0","0","0","0","67","27","7259","8947","0","16486","0"
"ASHE","7601","8690","26","0","0","0","4332","20296","111","13","0","0","0","0","89","90","9647","10963","0","20649","0"
"AVERY","1614","7291","14","0","0","0","2777","11407","60","19","0","0","0","0","54","53","5480","6132","0","11696","0"
"BEAUFORT","16103","9549","15","0","0","0","5941","22770","8221","34","0","0","0","0","231","142","13996","17343","0","31608","0"
"BERTIE","11252","1384","8","0","0","0","1529","5288","8487","19","0","0","0","0","31","19","6032","7965","0","14173","0"
"BLADEN","15497","2785","4","0","0","0","3914","13220","8188","249","0","0","0","0","147","130","9926","12163","0","22200","0"
"BRUNSWICK","27366","28324","102","0","0","0","20858","66892","7950","217","0","0","0","0","582","484","35528","40496","0","76650","0"
"BUNCOMBE","76928","47978","288","0","0","0","50191","157553","10296","332","0","0","0","0","2931","1331","79117","94115","0","175385","0"
"BURKE","22794","20098","82","0","0","0","14277","52122","3433","70","0","0","0","0","692","315","26596","30460","0","57251","0"
"CABARRUS","38542","43538","174","0","0","0","27097","87964","16330","240","0","0","0","0","1593","1679","49619","58612","0","109351","0"
"CALDWELL","17943","23665","80","0","0","0","11031","48882","2729","51","0","0","0","0","409","308","24680","27823","0","52719","0"
"CAMDEN","3172","1934","11","0","0","0","2181","5986","1138","11","0","0","0","0","58","22","3490","3743","0","7298","0"
"CARTERET","15519","19324","63","0","0","0","12687","43818","2574","88","0","0","0","0","338","207","22073","24934","0","47593","0"
"CASWELL","9328","3137","12","0","0","0","2755","9410","5557","14","0","0","0","0","87","47","6818","8319","0","15232","0"
"CATAWBA","31872","45160","103","0","0","0","25471","89888","8730","112","0","0","0","0","1443","1026","47067","55077","0","102606","0"
"CHATHAM","20133","10937","46","0","0","0","11061","34249","6093","76","0","0","0","0","535","484","19046","22413","0","42177","0"
"CHEROKEE","7315","8654","28","0","0","0","4983","20414","204","110","0","0","0","0","82","79","9788","11158","0","20980","0"
"CHOWAN","5965","2395","6","0","0","0","2157","6955","3357","12","0","0","0","0","53","26","4685","5771","0","10523","0"
"CLAY","2831","3327","15","0","0","0","2591","8595","29","14","0","0","0","0","29","28","4127","4587","0","8764","0"
"CLEVELAND","30450","18615","52","0","0","0","12194","47112","12839","84","0","0","0","0","349","318","27554","33516","0","61311","0"
"COLUMBUS","24824","5819","20","0","0","0","6162","23959","11370","990","0","0","0","0","177","99","16550","20187","0","36825","0"
"CRAVEN","28185","22744","66","0","0","0","16078","49104","15344","111","0","0","0","0","1121","819","30131","36375","0","67073","0"
"CUMBERLAND","101612","48370","247","0","0","0","45655","97761","78311","2001","0","0","0","0","9862","7511","86520","106385","0","195884","0"
"CURRITUCK","5307","5264","39","0","0","0","5760","14926","961","52","0","0","0","0","155","90","7724","8507","0","16370","0"
"DARE","10312","7828","52","0","0","0","8300","25324","511","36","0","0","0","0","246","116","12577","13834","0","26492","0"
"DAVIDSON","32837","46894","171","0","0","0","21754","90140","9276","240","0","0","0","0","969","747","47177","54348","0","101656","0"
"DAVIE","6308","14544","27","0","0","0","5892","24525","1776","29","0","0","0","0","209","192","12519","14247","0","26771","0"
"DUPLIN","15746","6861","23","0","0","0","5631","18492","8794","41","0","0","0","0","385","500","12277","15470","0","28261","0"
"DURHAM","110740","28163","243","0","0","0","42417","96017","70512","415","0","0","0","0","3878","3027","78543","99933","0","181563","0"
"EDGECOMBE","28491","5726","18","0","0","0","3308","14535","22360","41","0","0","0","0","215","90","16087","21221","0","37543","0"
"FORSYTH","103423","74608","300","0","0","0","48046","155217","61411","391","0","0","0","0","3812","3182","99670","124795","0","226377","0"
"FRANKLIN","18837","11020","54","0","0","0","7044","25551","10267","94","0","0","0","0","447","382","16931","19690","0","36955","0"
"GASTON","48285","49691","163","0","0","0","29751","104898","18883","260","0","0","0","0","1266","1293","56762","69839","0","127890","0"
"GATES","5040","1495","6","0","0","0","1601","5070","2813","3","0","0","0","0","46","13","3628","4311","0","8142","0"
"GRAHAM","2474","2766","5","0","0","0","1264","6125","1","294","0","0","0","0","44","41","3123","3375","0","6509","0"
"GRANVILLE","19701","8055","42","0","0","0","6068","21476","11308","78","0","0","0","0","360","294","14824","18215","0","33866","0"
"GREENE","7473","1722","7","0","0","0","1762","6577","4166","15","0","0","0","0","100","117","4905","6051","0","10964","0"
"GUILFORD","172547","101146","434","0","0","0","74029","220229","111468","927","0","0","0","0","5499","3439","154011","193451","0","348156","0"
"HALIFAX","26717","4766","25","0","0","0","5070","15433","19168","1029","0","0","0","0","243","106","15574","20771","0","36578","0"
"HARNETT","28452","21014","150","0","0","0","13040","45225","14188","414","0","0","0","0","1216","1208","28088","34362","0","62656","0"
"HAYWOOD","20338","11958","31","0","0","0","9687","40975","409","98","0","0","0","0","205","211","19268","22635","0","42014","0"
"HENDERSON","19245","31580","101","0","0","0","25058","71465","2069","131","0","0","0","0","910","833","34712","40762","0","75984","0"
"HERTFORD","11588","1767","6","0","0","0","1499","5498","8990","84","0","0","0","0","86","36","6259","8535","0","14860","0"
"HOKE","14246","5374","30","0","0","0","6599","12382","10227","2047","0","0","0","0","1079","945","11648","14547","0","26249","0"
"HYDE","2566","491","2","0","0","0","551","2585","963","6","0","0","0","0","15","9","1631","1955","0","3610","0"
"IREDELL","33997","42345","132","0","0","0","25766","86384","12081","159","0","0","0","0","1052","1149","47399","54036","0","102240","0"
"JACKSON","11875","7003","29","0","0","0","7747","23656","464","1479","0","0","0","0","195","160","12168","13919","0","26654","0"
"JOHNSTON","39148","38176","140","0","0","0","23329","81096","15744","283","0","0","0","0","1804","1264","46009","54161","0","100793","0"
"JONES","4546","1434","10","0","0","0","1278","4582","2549","11","0","0","0","0","44","32","3312","3898","0","7268","0"
"LEE","16264","9317","32","0","0","0","6963","24215","6860","95","0","0","0","0","693","876","14717","17747","0","32576","0"
"LENOIR","23152","8877","25","0","0","0","5613","21409","15511","58","0","0","0","0","316","181","16336","21205","0","37667","0"
"LINCOLN","16752","21014","34","0","0","0","12059","45860","2776","65","0","0","0","0","446","527","23404","26230","0","49859","0"
"MACON","8386","9757","16","0","0","0","6243","23746","185","40","0","0","0","0","121","99","11207","13092","0","24402","0"
"MADISON","7692","4494","21","0","0","0","3863","15599","126","26","0","0","0","0","89","42","7692","8186","0","16070","0"
"MARTIN","12285","2945","7","0","0","0","2595","9717","7855","37","0","0","0","0","100","54","7833","9953","0","17832","0"
"MCDOWELL","10815","9825","23","0","0","0","7198","26576","851","19","0","0","0","0","209","132","12988","14870","0","27861","0"
"MECKLENBURG","274742","171039","849","0","0","0","153443","370994","182224","1581","0","0","0","0","15748","11947","265857","324243","0","600073","0"
"MITCHELL","1309","7536","11","0","0","0","2797","11490","22","13","0","0","0","0","35","47","5417","6208","0","11653","0"
"MONTGOMERY","8463","4656","14","0","0","0","3074","12151","3492","37","0","0","0","0","218","167","7451","8697","0","16207","0"
"MOORE","18421","25587","100","0","0","0","16313","51040","7869","283","0","0","0","0","726","396","27549","32846","0","60421","0"
"NASH","36526","19944","57","0","0","0","10178","40965","23884","246","0","0","0","0","853","462","30059","36487","0","66705","0"
"NEW HANOVER","54811","49754","339","0","0","0","40911","120518","19585","280","0","0","0","0","1610","1153","65572","77497","0","145815","0"
"NORTHAMPTON","11706","1288","4","0","0","0","1751","6032","8437","23","0","0","0","0","40","20","6346","8118","0","14749","0"
"ONSLOW","31204","30921","165","0","0","0","25117","64727","16321","272","0","0","0","0","3212","2648","38406","48002","0","87407","0"
"ORANGE","53129","18322","211","0","0","0","29095","79840","12380","243","0","0","0","0","2623","1566","45149","54737","0","100757","0"
"PAMLICO","4655","2646","8","0","0","0","1865","7153","1809","26","0","0","0","0","53","28","4190","4901","0","9174","0"
"PASQUOTANK","14986","5582","43","0","0","0","7205","16291","10406","41","0","0","0","0","341","117","12358","15172","0","27816","0"
"PENDER","14363","11904","62","0","0","0","8109","27079","6397","58","0","0","0","0","249","218","15895","18263","0","34438","0"
"PERQUIMANS","4773","2229","10","0","0","0","2453","7051","2246","14","0","0","0","0","44","25","4372","5093","0","9465","0"
"PERSON","13648","5713","23","0","0","0","5505","17515","6735","122","0","0","0","0","161","137","11267","13494","0","24889","0"
"PITT","54702","27452","159","0","0","0","21461","65732","34021","224","0","0","0","0","1695","823","45867","57549","0","103774","0"
"POLK","4917","5328","16","0","0","0","4602","13884","702","12","0","0","0","0","121","93","6752","8064","0","14863","0"
"RANDOLPH","22759","43415","128","0","0","0","20110","78866","5082","254","0","0","0","0","1038","1065","39870","46292","0","86412","0"
"RICHMOND","19807","5097","14","0","0","0","5278","19629","9619","292","0","0","0","0","274","161","13580","16542","0","30196","0"
"ROBESON","52222","7683","47","0","0","0","9751","23733","19972","23622","0","0","0","0","1123","552","29477","39910","0","69703","0"
"ROCKINGHAM","27753","18123","60","0","0","0","12124","45221","11555","108","0","0","0","0","404","320","26289","31771","0","58060","0"
"ROWAN","32656","37161","68","0","0","0","20462","73317","14637","174","0","0","0","0","1024","623","41762","48152","0","90347","0"
"RUTHERFORD","18581","14239","40","0","0","0","9848","37492","4312","54","0","0","0","0","263","252","19373","22999","0","42708","0"
"SAMPSON","18481","12922","24","0","0","0","5025","23025","11521","540","0","0","0","0","709","542","16016","20198","0","36452","0"
"SCOTLAND","14149","3671","12","0","0","0","4626","12005","8509","1171","0","0","0","0","181","117","9533","12645","0","22458","0"
"STANLY","13967","16650","36","0","0","0","8203","34137","3888","48","0","0","0","0","242","101","18012","20640","0","38856","0"
"STOKES","9915","14338","51","0","0","0","5905","28347","1356","52","0","0","0","0","179","131","14102","16085","0","30209","0"
"SURRY","17776","17196","53","0","0","0","8708","41092","1816","41","0","0","0","0","328","355","19962","23626","0","43733","0"
"SWAIN","4416","2464","12","0","0","0","2678","7722","59","1618","0","0","0","0","69","31","4488","5067","0","9570","0"
"TRANSYLVANIA","7970","8528","22","0","0","0","6944","22132","868","42","0","0","0","0","171","90","10890","12409","0","23464","0"
"TYRRELL","1873","295","0","0","0","0","478","1680","901","3","0","0","0","0","26","9","1193","1433","0","2646","0"
"UNION","38001","54097","206","0","0","0","31246","103330","14677","293","0","0","0","0","2538","2322","57812","64897","0","123550","0"
"VANCE","21035","4049","22","0","0","0","4087","13664","14816","34","0","0","0","0","282","170","12768","16273","0","29193","0"
"WAKE","243995","176791","1048","0","0","0","158764","420142","116684","1256","0","0","0","0","16461","9793","268159","308725","0","580598","0"
"WARREN","10079","1613","17","0","0","0","1693","5354","7191","555","0","0","0","0","86","31","6085","7248","0","13402","0"
"WASHINGTON","6766","1095","7","0","0","0","1174","4385","4494","12","0","0","0","0","33","14","3941","5060","0","9042","0"
"WATAUGA","12858","14287","81","0","0","0","13090","38301","625","54","0","0","0","0","412","270","19598","20512","0","40316","0"
"WAYNE","34882","21918","85","0","0","0","12828","42986","23241","130","0","0","0","0","1119","790","30371","37947","0","69713","0"
"WILKES","12135","21642","34","0","0","0","7991","39567","1628","23","0","0","0","0","230","248","19547","22061","0","41802","0"
"WILSON","31126","13540","34","0","0","0","8315","29883","21571","67","0","0","0","0","836","440","23590","29210","0","53015","0"
"YADKIN","5207","13376","16","0","0","0","4776","22159","743","20","0","0","0","0","195","216","10892","12216","0","23375","0"
"YANCEY","6577","5273","14","0","0","0","2762","14350","101","14","0","0","0","0","54","39","6894","7654","0","14626","0"
