"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","39538","30747","168","0","0","0","20565","68783","18195","184","0","0","0","0","3856","1213","40189","50153","676","91018","0"
"ALEXANDER","7590","10502","38","0","0","0","5643","22287","1052","26","0","0","0","0","408","151","11345","12301","127","23773","0"
"ALLEGHANY","3315","2342","15","0","0","0","1601","7035","77","9","0","0","0","0","152","109","3404","3830","39","7273","0"
"ANSON","12666","2413","7","0","0","0","2162","8477","8262","38","0","0","0","0","471","30","7542","9180","526","17248","0"
"ASHE","6613","8001","28","0","0","0","4302","18592","102","14","0","0","0","0","236","103","8929","9972","43","18944","0"
"AVERY","1565","7263","21","0","0","0","2903","11462","67","24","0","0","0","0","199","54","5499","6179","74","11752","0"
"BEAUFORT","15416","9832","48","0","0","0","6519","22935","8216","32","0","0","0","0","632","164","14143","17389","283","31815","0"
"BERTIE","11100","1434","10","0","0","0","1710","5287","8546","17","0","0","0","0","404","22","6096","7960","198","14254","0"
"BLADEN","14945","2786","16","0","0","0","4302","13124","8114","263","0","0","0","0","548","163","9958","11987","104","22049","0"
"BRUNSWICK","27176","29421","145","0","0","0","22931","69377","8265","218","0","0","0","0","1813","565","36905","42122","646","79673","0"
"BUNCOMBE","75901","48103","527","0","0","0","54636","160253","10511","328","0","0","0","0","8075","1549","81115","95700","2352","179167","0"
"BURKE","21980","20124","142","0","0","0","15354","52238","3450","73","0","0","0","0","1839","378","26892","30502","206","57600","0"
"CABARRUS","38225","44640","325","0","0","0","29411","89812","17174","257","0","0","0","0","5358","2020","51026","60402","1173","112601","0"
"CALDWELL","17320","23904","120","0","0","0","12015","49348","2793","47","0","0","0","0","1171","393","24974","28141","244","53359","0"
"CAMDEN","3063","1986","15","0","0","0","2247","5987","1133","13","0","0","0","0","178","24","3465","3772","74","7311","0"
"CARTERET","14950","20064","103","0","0","0","13810","44938","2637","86","0","0","0","0","1266","246","22651","25642","634","48927","0"
"CASWELL","9112","3243","14","0","0","0","3020","9550","5538","15","0","0","0","0","286","58","6894","8390","105","15389","0"
"CATAWBA","30121","44278","170","0","0","0","26525","88051","8753","111","0","0","0","0","4179","1243","46521","54088","485","101094","0"
