"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion","SelectCountyId"
"ALAMANCE","36486","38221","620","47","0","0","0","0","45053","76200","24700","264","20","1338","633","10421","6851","7926","49798","60083","10546","120427","1","0"
"ALEXANDER","3589","12714","113","5","0","0","0","0","9327","22336","940","32","1","167","37","1715","520","613","11568","12342","1838","25748","1","0"
"ALLEGHANY","1487","3617","32","2","0","0","0","0","3060","7178","79","12","0","8","12","706","203","276","3676","3871","651","8198","1","0"
"ANSON","7637","3426","57","6","0","0","0","0","4880","6775","6130","31","2","95","25","2665","283","224","5970","7281","2755","16006","1","0"
"ASHE","3312","9625","101","5","0","0","0","0","7707","18876","119","27","2","58","17","1364","287","368","9303","10140","1307","20750","1","0"
"AVERY","1120","7099","66","5","0","0","0","0","4173","11218","56","17","0","31","14","954","173","150","5558","6031","874","12463","1","0"
"BEAUFORT","8794","13333","122","13","0","0","0","0","11675","23797","6475","38","3","61","53","2638","872","813","14323","16792","2822","33937","1","0"
"BERTIE","6954","1802","41","2","0","0","0","0","3904","4597","6670","17","0","29","16","1291","83","59","5083","6318","1302","12703","1","0"
"BLADEN","7970","6027","70","11","0","0","0","0","8847","12525","7045","395","7","28","86","2206","633","692","9581","11390","1954","22925","1","0"
"BRUNSWICK","27678","60435","737","55","0","0","0","0","58877","123097","9535","433","10","685","236","10548","3238","2895","62835","72727","12220","147782","1","0"
"BUNCOMBE","71398","44871","1536","264","0","0","0","0","99182","177835","10473","368","42","1710","1003","18906","6914","6500","92233","107254","17764","217251","1","0"
"BURKE","11180","25197","358","28","0","0","0","0","23780","50294","3078","99","2","1002","125","4154","1789","1782","26471","29479","4593","60543","1","0"
"CABARRUS","43637","52076","1065","131","0","0","0","0","65631","98195","33822","437","21","4464","694","15619","9288","9232","67866","79308","15366","162540","1","0"
"CALDWELL","8558","27899","343","18","0","0","0","0","19205","46127","2555","76","0","224","142","5647","1252","1436","24592","27297","4134","56023","1","0"
"CAMDEN","1193","3463","65","7","0","0","0","0","3908","6851","870","9","2","45","15","661","183","93","3834","4076","726","8636","1","0"
"CARTERET","8266","26813","335","25","0","0","0","0","22194","49776","2096","107","8","334","121","4217","974","885","25073","28106","4454","57633","1","0"
"CASWELL","5395","4833","58","3","0","0","0","0","5344","9778","4357","24","1","36","50","1092","295","311","6779","7716","1138","15633","1","0"
"CATAWBA","19617","51409","675","57","0","0","0","0","46862","90945","9048","155","9","2810","315","9445","5893","6018","51351","57161","10108","118620","1","0"
"CHATHAM","20951","14980","300","31","0","0","0","0","27999","46727","5830","134","9","1384","239","7138","2800","2899","26377","30621","7263","64261","1","0"
"CHEROKEE","2961","13305","153","9","0","0","0","0","8479","23106","257","118","2","108","29","964","323","291","11789","12562","556","24907","1","0"
"CHOWAN","3116","3285","48","2","0","0","0","0","3775","6668","2517","16","6","20","24","826","149","108","4444","5247","535","10226","1","0"
"CLAY","1267","5154","55","2","0","0","0","0","3752","9556","43","16","0","19","9","493","94","110","4661","5105","464","10230","1","0"
"CLEVELAND","17972","27737","397","20","0","0","0","0","23415","47930","13149","97","8","392","211","6214","1540","1361","29293","34114","6134","69541","1","0"
"COLUMBUS","11606","11924","127","10","0","0","0","0","13629","22498","9944","973","4","61","81","2983","752","727","15795","18536","2965","37296","1","0"
"CRAVEN","18525","29049","550","51","0","0","0","0","29085","53754","13614","180","8","1325","260","5208","2911","2548","33095","38883","5282","77260","1","0"
"CUMBERLAND","82903","50912","1769","177","0","0","0","0","87884","86087","86460","2435","123","3769","1933","26702","16136","15584","88410","109302","25933","223645","1","0"
"CURRITUCK","3019","10731","204","7","0","0","0","0","10824","21198","1213","41","3","142","63","1571","554","328","11269","11932","1584","24785","1","0"
"DARE","6111","11499","215","18","0","0","0","0","14948","29593","543","35","1","127","60","1701","731","459","14898","16152","1741","32791","1","0"
"DAVIDSON","20710","59203","675","42","0","0","0","0","42108","95232","11475","258","7","1026","261","10185","4294","4368","52845","59443","10450","122738","1","0"
"DAVIE","4448","17137","159","15","0","0","0","0","12000","28141","1963","41","0","166","82","2373","993","1148","14949","16565","2245","33759","1","0"
"DUPLIN","9613","10708","127","11","0","0","0","0","11929","18683","7812","62","3","65","118","3529","2116","2734","13569","15765","3054","32388","1","0"
"DURHAM","122613","22540","1013","222","0","0","0","0","100937","116231","72471","565","45","9620","2527","32845","13021","14282","95608","121251","30466","247325","1","0"
"EDGECOMBE","18757","6905","118","17","0","0","0","0","10113","12086","18285","58","2","58","87","4561","773","805","13630","17733","4547","35910","1","0"
"FORSYTH","94659","71181","1600","198","0","0","0","0","106284","161195","65046","504","37","3855","1425","27698","14162","16297","110621","136741","26560","273922","1","0"
"FRANKLIN","16534","17843","371","21","0","0","0","0","22043","35687","12570","135","5","427","183","5167","2638","2672","23711","27031","6070","56812","1","0"
"GASTON","40297","62755","1168","77","0","0","0","0","59916","110977","30008","332","19","1615","630","13372","7260","7926","69775","82191","12247","164213","1","0"
"GATES","2930","2364","33","3","0","0","0","0","2941","5250","2325","17","0","10","38","541","90","62","3624","4050","597","8271","1","0"
"GRAHAM","900","3276","27","0","0","0","0","0","2057","5672","11","271","1","14","5","231","55","49","2964","3090","206","6260","1","0"
"GRANVILLE","14679","11719","226","10","0","0","0","0","15197","22464","10825","73","2","187","180","6687","1413","1409","16226","18570","7035","41831","1","0"
"GREENE","4251","2747","29","6","0","0","0","0","3983","5956","3540","9","1","15","14","895","586","620","4661","5556","799","11016","1","0"
"GUILFORD","152154","88574","1976","247","0","0","0","0","149593","193455","129303","1000","57","11080","2525","36596","18528","17352","162738","202146","27660","392544","1","0"
"HALIFAX","18240","4843","95","8","0","0","0","0","11464","13275","17142","955","4","188","118","2507","461","372","14419","17768","2463","34650","1","0"
"HARNETT","24189","34666","804","79","0","0","0","0","36086","58428","18805","486","34","908","503","10230","6430","7009","39802","46280","9742","95824","1","0"
"HAYWOOD","10803","17351","311","33","0","0","0","0","19745","44233","500","141","0","180","96","2342","751","823","21840","24705","1698","48243","1","0"
"HENDERSON","16953","32548","623","64","0","0","0","0","41982","79415","2428","154","17","605","372","5923","3256","3647","39587","46795","5788","92170","1","0"
"HERTFORD","7891","1719","40","5","0","0","0","0","4010","4500","7767","89","3","42","48","1058","158","115","5565","7107","993","13665","1","0"
"HOKE","12947","8129","308","27","0","0","0","0","15599","13825","12914","1956","21","395","222","4732","2945","2916","15175","17942","3893","37010","1","0"
"HYDE","1138","740","13","0","0","0","0","0","1145","2283","505","2","0","2","5","167","72","75","1356","1522","158","3036","1","0"
"IREDELL","27574","61667","913","53","0","0","0","0","59489","113974","16558","218","14","1856","402","10583","6091","6348","65834","72597","11265","149696","1","0"
"JACKSON","7593","8870","228","28","0","0","0","0","14036","24428","565","1561","9","232","177","2991","792","909","13089","14700","2966","30755","1","0"
"JOHNSTON","41038","61677","1188","94","0","0","0","0","66462","111350","28851","454","30","1343","573","17469","10389","11999","72924","83772","13763","170459","1","0"
"JONES","2112","2422","31","0","0","0","0","0","2490","4321","1798","13","3","20","22","752","126","139","2968","3346","741","7055","1","0"
"LEE","11935","12975","315","24","0","0","0","0","16354","26261","7386","138","8","342","240","3866","3362","4234","17439","20618","3546","41603","1","0"
"LENOIR","14592","10702","135","20","0","0","0","0","12650","18406","13977","52","5","109","114","4371","1065","1086","14865","18916","4318","38099","1","0"
"LINCOLN","11069","33986","415","21","0","0","0","0","25033","58688","3839","89","3","377","150","5182","2196","2542","31128","33960","5436","70524","1","0"
"MACON","4485","12758","183","12","0","0","0","0","12178","26893","212","68","1","123","56","1504","759","793","13781","15332","503","29616","1","0"
"MADISON","4489","5120","119","15","0","0","0","0","7933","15590","114","30","4","67","38","1590","243","209","7609","8207","1860","17676","1","0"
"MARTIN","6823","3677","62","7","0","0","0","0","5929","8557","5840","26","1","25","48","1732","269","249","6558","8233","1707","16498","1","0"
"MCDOWELL","4843","13964","185","12","0","0","0","0","12160","27958","843","42","0","160","114","1312","735","756","14203","15395","1566","31164","1","0"
"MECKLENBURG","322197","157314","5413","584","0","0","0","0","350384","416589","249223","2123","96","26561","4714","83466","53120","54859","346913","415548","73431","835892","1","0"
"MITCHELL","922","6386","53","4","0","0","0","0","3849","9948","50","12","1","20","14","1043","126","160","4954","5397","863","11214","1","0"
"MONTGOMERY","4352","6749","73","7","0","0","0","0","6107","12024","2710","46","1","184","42","1458","823","953","7513","8419","1356","17288","1","0"
"MOORE","14723","33687","604","26","0","0","0","0","32175","64870","7314","403","8","785","242","4860","2733","2405","35608","41411","4196","81215","1","0"
"NASH","25105","19928","265","23","0","0","0","0","25991","34440","26307","364","6","388","257","7113","2437","2373","28917","35196","7199","71312","1","0"
"NEW HANOVER","49160","54814","1347","137","0","0","0","0","82532","141932","18138","425","16","1682","737","19555","5505","5082","76371","90806","20813","187990","1","0"
"NORTHAMPTON","6996","1648","32","2","0","0","0","0","4105","5028","6579","30","0","11","16","1017","102","90","5433","6310","1040","12783","1","0"
"ONSLOW","21710","51277","1670","79","0","0","0","0","59539","89400","19038","498","72","1966","756","13699","8846","9269","57151","64190","12934","134275","1","0"
"ORANGE","49278","13118","462","83","0","0","0","0","48911","75611","11416","231","9","5736","1009","12712","5128","4965","45389","54130","12333","111852","1","0"
"PAMLICO","2442","4331","51","5","0","0","0","0","3468","8055","1318","25","1","46","16","683","153","145","4599","5026","672","10297","1","0"
"PASQUOTANK","9554","8108","196","19","0","0","0","0","13180","16959","9280","34","3","170","149","3674","788","530","12663","14802","3592","31057","1","0"
"PENDER","10059","22323","403","17","0","0","0","0","21429","41557","5561","143","4","273","145","4787","1761","1788","23367","25703","5161","54231","1","0"
"PERQUIMANS","2449","3912","52","3","0","0","0","0","4238","7674","1740","19","2","24","20","1050","125","84","4458","5114","1082","10654","1","0"
"PERSON","8706","8799","130","9","0","0","0","0","10667","18359","6814","111","3","59","88","2145","732","732","12174","14088","2049","28311","1","0"
"PITT","45238","31186","677","77","0","0","0","0","49100","64886","39703","242","15","1180","622","14489","5141","4391","49319","62090","14869","126278","1","0"
"POLK","3387","6670","105","3","0","0","0","0","7124","15262","581","15","2","54","36","1022","317","344","7696","8978","615","17289","1","0"
"RANDOLPH","13814","51800","531","27","0","0","0","0","33111","79159","6248","299","9","840","210","7681","4837","5409","43520","48603","7160","99283","1","0"
"RICHMOND","10370","8212","107","15","0","0","0","0","9751","16395","8332","401","4","155","48","2129","991","796","12100","14390","1965","28455","1","0"
"ROBESON","29586","16278","227","30","0","0","0","0","30992","19840","18230","25405","45","304","433","9295","3561","2871","31220","38720","7173","77113","1","0"
"ROCKINGHAM","15810","26331","325","28","0","0","0","0","21537","44891","11174","107","0","237","165","5773","1684","1717","28188","32781","3062","64031","1","0"
"ROWAN","21491","43791","620","50","0","0","0","0","35623","72620","15726","170","8","609","315","7941","4186","4463","43609","49584","8382","101575","1","0"
"RUTHERFORD","8444","21240","237","21","0","0","0","0","17317","38271","3764","44","1","157","88","3786","1148","1097","20311","23256","3692","47259","1","0"
"SAMPSON","11474","16010","175","21","0","0","0","0","11056","22259","9644","522","2","99","106","3141","2963","3480","16760","19624","2352","38736","1","0"
"SCOTLAND","8351","5088","77","12","0","0","0","0","8356","9364","7450","1781","18","172","117","2653","329","300","8585","10793","2506","21884","1","0"
"STANLY","7901","22849","236","36","0","0","0","0","16159","36074","4989","85","5","473","68","4352","1135","1104","19946","22494","4741","47181","1","0"
"STOKES","4605","18150","198","19","0","0","0","0","10809","29102","1236","55","2","79","84","2685","538","601","16128","17537","116","33781","1","0"
"SURRY","7905","23628","216","18","0","0","0","0","16999","40896","1618","47","3","136","96","3998","1972","2512","21510","24027","3229","48766","1","0"
"SWAIN","2425","3376","78","13","0","0","0","0","4169","7466","99","1639","1","40","36","599","181","124","4532","5002","527","10061","1","0"
"TRANSYLVANIA","5390","8641","153","11","0","0","0","0","12574","23760","708","44","2","104","71","1672","408","319","11732","13331","1706","26769","1","0"
"TYRRELL","923","505","12","1","0","0","0","0","917","1435","620","3","0","21","4","222","53","49","1016","1116","226","2358","1","0"
