"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","JusticeForAll","WeThePeople","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","36586","37832","646","43","309","8","7","18","41061","74634","23912","267","19","1255","654","9949","5820","7097","48244","58225","10041","116510","1"
"ALEXANDER","3792","12623","116","5","80","5","2","11","8910","22126","936","33","2","151","39","1797","460","564","11429","12239","1876","25544","1"
"ALLEGHANY","1587","3538","35","1","20","0","0","2","2885","7066","76","11","0","5","13","740","157","239","3575","3811","682","8068","1"
"ANSON","7852","3330","53","5","45","1","2","8","4531","6626","6060","32","1","91","23","2758","236","181","5874","7129","2824","15827","1"
"ASHE","3447","9416","97","5","35","0","0","1","7277","18421","112","25","3","55","20","1394","248","340","9018","9916","1344","20278","1"
"AVERY","1141","7056","62","5","22","0","1","2","3959","11013","55","16","0","26","14","990","134","127","5446","5897","905","12248","1"
"BEAUFORT","9231","13046","124","9","67","2","6","20","10732","23282","6496","39","3","56","54","2538","769","725","13997","16543","2697","33237","1"
"BERTIE","7035","1764","38","1","21","2","1","3","3314","4519","6603","17","1","27","15","923","74","54","5031","6220","928","12179","1"
"BLADEN","8286","5778","76","8","68","0","7","17","8203","12354","7068","392","6","27","88","1970","538","626","9491","11257","1695","22443","1"
"BRUNSWICK","27080","56726","688","34","332","5","7","16","53000","114275","8959","400","14","586","247","10744","2663","2453","58311","67463","12114","137888","1"
"BUNCOMBE","71395","44708","1528","231","699","19","14","60","91570","172718","10022","363","45","1605","1026","18368","6077","5886","89106","104079","17039","210224","1"
"BURKE","11545","24683","344","21","132","8","5","21","22523","49260","3041","95","2","944","130","4268","1542","1571","25854","28787","4641","59282","1"
"CABARRUS","42916","51597","1096","113","836","14","30","73","60237","95868","32077","413","22","4034","706","15799","7993","8204","65245","76391","15276","156912","1"
"CALDWELL","8840","27686","340","16","142","9","5","12","18108","45820","2530","75","0","203","144","5313","1073","1294","24255","26937","3966","55158","1"
"CAMDEN","1203","3230","67","6","28","1","0","2","3633","6605","855","8","2","35","16","497","152","73","3671","3947","552","8170","1"
"CARTERET","8552","26312","335","20","105","9","3","10","20856","48456","2065","100","7","312","124","4294","844","808","24328","27379","4495","56202","1"
"CASWELL","5514","4629","59","1","27","1","2","2","5058","9517","4311","24","1","37","46","1096","261","282","6624","7540","1129","15293","1"
"CATAWBA","19552","50526","651","51","460","21","18","59","43317","88231","8769","154","10","2604","323","9486","5078","5398","49523","55132","10000","114655","1"
"CHATHAM","20821","14852","306","28","156","2","7","5","26369","45351","5743","124","10","1237","258","7437","2386","2631","25557","29634","7355","62546","1"
